 Eloss (eV)  Int (a.u.)
   0.000000    2.000000
   0.001600    2.000000
   0.003201    2.000000
   0.004801    2.000000
   0.006401    2.000000
   0.008002    2.000000
   0.009602    2.000000
   0.011202    2.000000
   0.012803    2.000000
   0.014403    2.000000
   0.016003    2.000000
   0.017604    2.000000
   0.019204    2.000000
   0.020804    2.000000
   0.022404    2.000000
   0.024005    2.000000
   0.025605    2.000000
   0.027205    2.000000
   0.028806    2.000000
   0.030406    2.000000
   0.032006    2.000000
   0.033607    2.000000
   0.035207    2.000000
   0.036807    2.000000
   0.038408    2.000000
   0.040008    2.000000
   0.041608    2.000000
   0.043209    2.000000
   0.044809    2.000000
   0.046409    2.000000
   0.048010    2.000000
   0.049610    2.000000
   0.051210    2.000000
   0.052811    2.000000
   0.054411    2.000000
   0.056011    2.000000
   0.057612    2.000000
   0.059212    2.000000
   0.060812    2.000000
   0.062412    2.000000
   0.064013    2.000000
   0.065613    2.000000
   0.067213    2.000000
   0.068814    2.000000
   0.070414    2.000000
   0.072014    2.000000
   0.073615    2.000000
   0.075215    2.000000
   0.076815    2.000000
   0.078416    2.000000
   0.080016    2.000000
   0.081616    2.000000
   0.083217    2.000000
   0.084817    2.000000
   0.086417    2.000000
   0.088018    2.000000
   0.089618    2.000000
   0.091218    2.000000
   0.092819    2.000000
   0.094419    2.000000
   0.096019    2.000000
   0.097620    2.000000
   0.099220    2.000000
   0.100820    2.000000
   0.102420    2.000000
   0.104021    2.000000
   0.105621    2.000000
   0.107221    2.000000
   0.108822    2.000000
   0.110422    2.000000
   0.112022    2.000000
   0.113623    2.000000
   0.115223    2.000000
   0.116823    2.000000
   0.118424    2.000000
   0.120024    2.000000
   0.121624    2.000000
   0.123225    2.000000
   0.124825    2.000000
   0.126425    2.000000
   0.128026    2.000000
   0.129626    2.000000
   0.131226    2.000000
   0.132827    2.000000
   0.134427    2.000000
   0.136027    2.000000
   0.137628    2.000000
   0.139228    2.000000
   0.140828    2.000000
   0.142428    2.000000
   0.144029    2.000000
   0.145629    2.000000
   0.147229    2.000000
   0.148830    2.000000
   0.150430    2.000000
   0.152030    2.000000
   0.153631    2.000000
   0.155231    2.000000
   0.156831    2.000000
   0.158432    2.000000
   0.160032    2.000000
   0.161632    2.000000
   0.163233    2.000000
   0.164833    2.000000
   0.166433    2.000000
   0.168034    2.000000
   0.169634    2.000000
   0.171234    2.000000
   0.172835    2.000000
   0.174435    2.000000
   0.176035    2.000000
   0.177636    2.000000
   0.179236    2.000000
   0.180836    2.000000
   0.182436    2.000000
   0.184037    2.000000
   0.185637    2.000000
   0.187237    2.000000
   0.188838    2.000000
   0.190438    2.000000
   0.192038    2.000000
   0.193639    2.000000
   0.195239    2.000000
   0.196839    2.000000
   0.198440    2.000000
   0.200040    2.000000
   0.201640    2.000000
   0.203241    2.000000
   0.204841    2.000000
   0.206441    2.000000
   0.208042    2.000000
   0.209642    2.000000
   0.211242    2.000000
   0.212843    2.000000
   0.214443    2.000000
   0.216043    2.000000
   0.217644    2.000000
   0.219244    2.000000
   0.220844    2.000000
   0.222444    2.000000
   0.224045    2.000000
   0.225645    2.000000
   0.227245    2.000000
   0.228846    2.000000
   0.230446    2.000000
   0.232046    2.000000
   0.233647    2.000000
   0.235247    2.000000
   0.236847    2.000000
   0.238448    2.000000
   0.240048    2.000000
   0.241648    2.000000
   0.243249    2.000001
   0.244849    2.000001
   0.246449    2.000001
   0.248050    2.000001
   0.249650    2.000001
   0.251250    2.000001
   0.252851    2.000001
   0.254451    2.000001
   0.256051    2.000001
   0.257652    2.000001
   0.259252    2.000001
   0.260852    2.000001
   0.262452    2.000001
   0.264053    2.000001
   0.265653    2.000001
   0.267253    2.000001
   0.268854    2.000001
   0.270454    2.000001
   0.272054    2.000001
   0.273655    2.000001
   0.275255    2.000001
   0.276855    2.000001
   0.278456    2.000001
   0.280056    2.000001
   0.281656    2.000001
   0.283257    2.000001
   0.284857    2.000001
   0.286457    2.000001
   0.288058    2.000001
   0.289658    2.000001
   0.291258    2.000001
   0.292859    2.000001
   0.294459    2.000001
   0.296059    2.000001
   0.297660    2.000001
   0.299260    2.000001
   0.300860    2.000001
   0.302460    2.000001
   0.304061    2.000001
   0.305661    2.000001
   0.307261    2.000001
   0.308862    2.000001
   0.310462    2.000001
   0.312062    2.000002
   0.313663    2.000002
   0.315263    2.000002
   0.316863    2.000002
   0.318464    2.000002
   0.320064    2.000002
   0.321664    2.000002
   0.323265    2.000002
   0.324865    2.000002
   0.326465    2.000002
   0.328066    2.000002
   0.329666    2.000002
   0.331266    2.000002
   0.332867    2.000002
   0.334467    2.000002
   0.336067    2.000002
   0.337668    2.000002
   0.339268    2.000002
   0.340868    2.000002
   0.342468    2.000002
   0.344069    2.000003
   0.345669    2.000003
   0.347269    2.000003
   0.348870    2.000003
   0.350470    2.000003
   0.352070    2.000003
   0.353671    2.000003
   0.355271    2.000003
   0.356871    2.000003
   0.358472    2.000003
   0.360072    2.000003
   0.361672    2.000003
   0.363273    2.000003
   0.364873    2.000003
   0.366473    2.000004
   0.368074    2.000004
   0.369674    2.000004
   0.371274    2.000004
   0.372875    2.000004
   0.374475    2.000004
   0.376075    2.000004
   0.377676    2.000004
   0.379276    2.000004
   0.380876    2.000004
   0.382476    2.000005
   0.384077    2.000005
   0.385677    2.000005
   0.387277    2.000005
   0.388878    2.000005
   0.390478    2.000005
   0.392078    2.000005
   0.393679    2.000005
   0.395279    2.000006
   0.396879    2.000006
   0.398480    2.000006
   0.400080    2.000006
   0.401680    2.000006
   0.403281    2.000006
   0.404881    2.000006
   0.406481    2.000007
   0.408082    2.000007
   0.409682    2.000007
   0.411282    2.000007
   0.412883    2.000007
   0.414483    2.000007
   0.416083    2.000008
   0.417684    2.000008
   0.419284    2.000008
   0.420884    2.000008
   0.422484    2.000008
   0.424085    2.000009
   0.425685    2.000009
   0.427285    2.000009
   0.428886    2.000009
   0.430486    2.000009
   0.432086    2.000010
   0.433687    2.000010
   0.435287    2.000010
   0.436887    2.000010
   0.438488    2.000011
   0.440088    2.000011
   0.441688    2.000011
   0.443289    2.000011
   0.444889    2.000012
   0.446489    2.000012
   0.448090    2.000012
   0.449690    2.000012
   0.451290    2.000013
   0.452891    2.000013
   0.454491    2.000013
   0.456091    2.000014
   0.457692    2.000014
   0.459292    2.000014
   0.460892    2.000015
   0.462492    2.000015
   0.464093    2.000015
   0.465693    2.000016
   0.467293    2.000016
   0.468894    2.000017
   0.470494    2.000017
   0.472094    2.000017
   0.473695    2.000018
   0.475295    2.000018
   0.476895    2.000019
   0.478496    2.000019
   0.480096    2.000019
   0.481696    2.000020
   0.483297    2.000020
   0.484897    2.000021
   0.486497    2.000021
   0.488098    2.000022
   0.489698    2.000022
   0.491298    2.000023
   0.492899    2.000024
   0.494499    2.000024
   0.496099    2.000025
   0.497700    2.000025
   0.499300    2.000026
   0.500900    2.000026
   0.502501    2.000027
   0.504101    2.000028
   0.505701    2.000028
   0.507301    2.000029
   0.508902    2.000030
   0.510502    2.000031
   0.512102    2.000031
   0.513703    2.000032
   0.515303    2.000033
   0.516903    2.000034
   0.518504    2.000035
   0.520104    2.000036
   0.521704    2.000037
   0.523305    2.000038
   0.524905    2.000039
   0.526505    2.000040
   0.528106    2.000041
   0.529706    2.000043
   0.531306    2.000044
   0.532907    2.000045
   0.534507    2.000047
   0.536107    2.000049
   0.537708    2.000051
   0.539308    2.000053
   0.540908    2.000055
   0.542509    2.000058
   0.544109    2.000060
   0.545709    2.000064
   0.547309    2.000067
   0.548910    2.000071
   0.550510    2.000075
   0.552110    2.000080
   0.553711    2.000085
   0.555311    2.000091
   0.556911    2.000098
   0.558512    2.000106
   0.560112    2.000114
   0.561712    2.000124
   0.563313    2.000136
   0.564913    2.000148
   0.566513    2.000163
   0.568114    2.000179
   0.569714    2.000198
   0.571314    2.000219
   0.572915    2.000243
   0.574515    2.000271
   0.576115    2.000303
   0.577716    2.000338
   0.579316    2.000379
   0.580916    2.000425
   0.582517    2.000478
   0.584117    2.000538
   0.585717    2.000606
   0.587317    2.000684
   0.588918    2.000771
   0.590518    2.000871
   0.592118    2.000984
   0.593719    2.001113
   0.595319    2.001258
   0.596919    2.001423
   0.598520    2.001609
   0.600120    2.001819
   0.601720    2.002057
   0.603321    2.002326
   0.604921    2.002629
   0.606521    2.002971
   0.608122    2.003356
   0.609722    2.003790
   0.611322    2.004278
   0.612923    2.004826
   0.614523    2.005442
   0.616123    2.006133
   0.617724    2.006909
   0.619324    2.007778
   0.620924    2.008751
   0.622525    2.009839
   0.624125    2.011056
   0.625725    2.012415
   0.627325    2.013932
   0.628926    2.015624
   0.630526    2.017510
   0.632126    2.019608
   0.633727    2.021943
   0.635327    2.024539
   0.636927    2.027421
   0.638528    2.030620
   0.640128    2.034166
   0.641728    2.038095
   0.643329    2.042443
   0.644929    2.047253
   0.646529    2.052568
   0.648130    2.058436
   0.649730    2.064909
   0.651330    2.072045
   0.652931    2.079904
   0.654531    2.088552
   0.656131    2.098059
   0.657732    2.108504
   0.659332    2.119969
   0.660932    2.132541
   0.662533    2.146318
   0.664133    2.161401
   0.665733    2.177899
   0.667333    2.195932
   0.668934    2.215624
   0.670534    2.237110
   0.672134    2.260533
   0.673735    2.286046
   0.675335    2.313813
   0.676935    2.344005
   0.678536    2.376808
   0.680136    2.412417
   0.681736    2.451038
   0.683337    2.492891
   0.684937    2.538207
   0.686537    2.587231
   0.688138    2.640221
   0.689738    2.697449
   0.691338    2.759201
   0.692939    2.825778
   0.694539    2.897496
   0.696139    2.974685
   0.697740    3.057693
   0.699340    3.146880
   0.700940    3.242627
   0.702541    3.345327
   0.704141    3.455392
   0.705741    3.573249
   0.707341    3.699343
   0.708942    3.834134
   0.710542    3.978099
   0.712142    4.131734
   0.713743    4.295547
   0.715343    4.470065
   0.716943    4.655830
   0.718544    4.853400
   0.720144    5.063347
   0.721744    5.286258
   0.723345    5.522735
   0.724945    5.773391
   0.726545    6.038853
   0.728146    6.319761
   0.729746    6.616764
   0.731346    6.930521
   0.732947    7.261702
   0.734547    7.610982
   0.736147    7.979046
   0.737748    8.366582
   0.739348    8.774283
   0.740948    9.202845
   0.742549    9.652965
   0.744149   10.125340
   0.745749   10.620667
   0.747349   11.139637
   0.748950   11.682938
   0.750550   12.251251
   0.752150   12.845251
   0.753751   13.465600
   0.755351   14.112951
   0.756951   14.787942
   0.758552   15.491199
   0.760152   16.223328
   0.761752   16.984920
   0.763353   17.776544
   0.764953   18.598750
   0.766553   19.452063
   0.768154   20.336985
   0.769754   21.253991
   0.771354   22.203530
   0.772955   23.186023
   0.774555   24.201862
   0.776155   25.251405
   0.777756   26.334983
   0.779356   27.452893
   0.780956   28.605398
   0.782557   29.792727
   0.784157   31.015078
   0.785757   32.272612
   0.787357   33.565454
   0.788958   34.893697
   0.790558   36.257397
   0.792158   37.656577
   0.793759   39.091224
   0.795359   40.561292
   0.796959   42.066700
   0.798560   43.607336
   0.800160   45.183055
   0.801760   46.793679
   0.803361   48.439002
   0.804961   50.118788
   0.806561   51.832771
   0.808162   53.580660
   0.809762   55.362136
   0.811362   57.176857
   0.812963   59.024456
   0.814563   60.904545
   0.816163   62.816715
   0.817764   64.760535
   0.819364   66.735560
   0.820964   68.741323
   0.822565   70.777346
   0.824165   72.843131
   0.825765   74.938171
   0.827365   77.061942
   0.828966   79.213911
   0.830566   81.393533
   0.832166   83.600252
   0.833767   85.833501
   0.835367   88.092706
   0.836967   90.377282
   0.838568   92.686634
   0.840168   95.020159
   0.841768   97.377244
   0.843369   99.757268
   0.844969  102.159596
   0.846569  104.583587
   0.848170  107.028584
   0.849770  109.493922
   0.851370  111.978921
   0.852971  114.482885
   0.854571  117.005105
   0.856171  119.544856
   0.857772  122.101392
   0.859372  124.673952
   0.860972  127.261750
   0.862573  129.863981
   0.864173  132.479816
   0.865773  135.108400
   0.867373  137.748855
   0.868974  140.400271
   0.870574  143.061714
   0.872174  145.732218
   0.873775  148.410785
   0.875375  151.096388
   0.876975  153.787966
   0.878576  156.484427
   0.880176  159.184643
   0.881776  161.887456
   0.883377  164.591673
   0.884977  167.296068
   0.886577  169.999383
   0.888178  172.700329
   0.889778  175.397586
   0.891378  178.089806
   0.892979  180.775612
   0.894579  183.453604
   0.896179  186.122356
   0.897780  188.780425
   0.899380  191.426347
   0.900980  194.058644
   0.902581  196.675827
   0.904181  199.276399
   0.905781  201.858859
   0.907381  204.421705
   0.908982  206.963440
   0.910582  209.482575
   0.912182  211.977635
   0.913783  214.447161
   0.915383  216.889719
   0.916983  219.303899
   0.918584  221.688328
   0.920184  224.041666
   0.921784  226.362618
   0.923385  228.649938
   0.924985  230.902427
   0.926585  233.118949
   0.928186  235.298427
   0.929786  237.439851
   0.931386  239.542281
   0.932987  241.604852
   0.934587  243.626781
   0.936187  245.607363
   0.937788  247.545981
   0.939388  249.442108
   0.940988  251.295306
   0.942589  253.105234
   0.944189  254.871643
   0.945789  256.594383
   0.947389  258.273404
   0.948990  259.908753
   0.950590  261.500575
   0.952190  263.049117
   0.953791  264.554721
   0.955391  266.017827
   0.956991  267.438971
   0.958592  268.818781
   0.960192  270.157975
   0.961792  271.457358
   0.963393  272.717820
   0.964993  273.940329
   0.966593  275.125929
   0.968194  276.275735
   0.969794  277.390925
   0.971394  278.472739
   0.972995  279.522470
   0.974595  280.541457
   0.976195  281.531081
   0.977796  282.492758
   0.979396  283.427929
   0.980996  284.338057
   0.982597  285.224615
   0.984197  286.089084
   0.985797  286.932941
   0.987397  287.757651
   0.988998  288.564665
   0.990598  289.355406
   0.992198  290.131264
   0.993799  290.893589
   0.995399  291.643683
   0.996999  292.382794
   0.998600  293.112106
   1.000200  293.832735
   1.001800  294.545722
   1.003401  295.252027
   1.005001  295.952520
   1.006601  296.647981
   1.008202  297.339090
   1.009802  298.026426
   1.011402  298.710459
   1.013003  299.391548
   1.014603  300.069939
   1.016203  300.745761
   1.017804  301.419020
   1.019404  302.089605
   1.021004  302.757277
   1.022605  303.421678
   1.024205  304.082323
   1.025805  304.738603
   1.027405  305.389786
   1.029006  306.035019
   1.030606  306.673328
   1.032206  307.303620
   1.033807  307.924690
   1.035407  308.535218
   1.037007  309.133778
   1.038608  309.718840
   1.040208  310.288774
   1.041808  310.841858
   1.043409  311.376280
   1.045009  311.890146
   1.046609  312.381487
   1.048210  312.848264
   1.049810  313.288375
   1.051410  313.699665
   1.053011  314.079928
   1.054611  314.426921
   1.056211  314.738366
   1.057812  315.011965
   1.059412  315.245400
   1.061012  315.436349
   1.062613  315.582487
   1.064213  315.681502
   1.065813  315.731099
   1.067413  315.729007
   1.069014  315.672991
   1.070614  315.560858
   1.072214  315.390468
   1.073815  315.159736
   1.075415  314.866648
   1.077015  314.509260
   1.078616  314.085713
   1.080216  313.594236
   1.081816  313.033153
   1.083417  312.400891
   1.085017  311.695986
   1.086617  310.917087
   1.088218  310.062966
   1.089818  309.132517
   1.091418  308.124768
   1.093019  307.038879
   1.094619  305.874150
   1.096219  304.630023
   1.097820  303.306086
   1.099420  301.902074
   1.101020  300.417875
   1.102621  298.853528
   1.104221  297.209224
   1.105821  295.485313
   1.107421  293.682296
   1.109022  291.800832
   1.110622  289.841733
   1.112222  287.805965
   1.113823  285.694649
   1.115423  283.509052
   1.117023  281.250592
   1.118624  278.920833
   1.120224  276.521480
   1.121824  274.054378
   1.123425  271.521506
   1.125025  268.924974
   1.126625  266.267017
   1.128226  263.549992
   1.129826  260.776369
   1.131426  257.948729
   1.133027  255.069757
   1.134627  252.142231
   1.136227  249.169023
   1.137828  246.153085
   1.139428  243.097446
   1.141028  240.005201
   1.142629  236.879508
   1.144229  233.723576
   1.145829  230.540656
   1.147429  227.334039
   1.149030  224.107038
   1.150630  220.862990
   1.152230  217.605239
   1.153831  214.337132
   1.155431  211.062007
   1.157031  207.783187
   1.158632  204.503972
   1.160232  201.227626
   1.161832  197.957373
   1.163433  194.696385
   1.165033  191.447776
   1.166633  188.214595
   1.168234  184.999813
   1.169834  181.806320
   1.171434  178.636916
   1.173035  175.494302
   1.174635  172.381075
   1.176235  169.299722
   1.177836  166.252612
   1.179436  163.241990
   1.181036  160.269973
   1.182637  157.338543
   1.184237  154.449544
   1.185837  151.604679
   1.187437  148.805501
   1.189038  146.053418
   1.190638  143.349683
   1.192238  140.695396
   1.193839  138.091501
   1.195439  135.538787
   1.197039  133.037884
   1.198640  130.589269
   1.200240  128.193259
   1.201840  125.850023
   1.203441  123.559572
   1.205041  121.321772
   1.206641  119.136342
   1.208242  117.002858
   1.209842  114.920759
   1.211442  112.889351
   1.213043  110.907813
   1.214643  108.975203
   1.216243  107.090462
   1.217844  105.252426
   1.219444  103.459827
   1.221044  101.711307
   1.222645  100.005419
   1.224245   98.340644
   1.225845   96.715389
   1.227445   95.128006
   1.229046   93.576795
