 Eloss (eV)    Int (a.u.)
   0.000000  5.545434e-42
   0.001600  7.446191e-42
   0.003201  9.994131e-42
   0.004801  1.340813e-41
   0.006401  1.798058e-41
   0.008002  2.410191e-41
   0.009602  3.229324e-41
   0.011202  4.324979e-41
   0.012803  5.789869e-41
   0.014403  7.747574e-41
   0.016003  1.036275e-40
   0.017604  1.385469e-40
   0.019204  1.851529e-40
   0.020804  2.473300e-40
   0.022404  3.302443e-40
   0.024005  4.407641e-40
   0.025605  5.880162e-40
   0.027205  7.841240e-40
   0.028806  1.045183e-39
   0.030406  1.392556e-39
   0.032006  1.854577e-39
   0.033607  2.468821e-39
   0.035207  3.285084e-39
   0.036807  4.369339e-39
   0.038408  5.808946e-39
   0.040008  7.719536e-39
   0.041608  1.025410e-38
   0.043209  1.361494e-38
   0.044809  1.806952e-38
   0.046409  2.397120e-38
   0.048010  3.178667e-38
   0.049610  4.213207e-38
   0.051210  5.582038e-38
   0.052811  7.392393e-38
   0.054411  9.785650e-38
   0.056011  1.294812e-37
   0.057612  1.712521e-37
   0.059212  2.264005e-37
   0.060812  2.991790e-37
   0.062412  3.951821e-37
   0.064013  5.217659e-37
   0.065613  6.885990e-37
   0.067213  9.083839e-37
   0.068814  1.197801e-36
   0.070414  1.578746e-36
   0.072014  2.079947e-36
   0.073615  2.739079e-36
   0.075215  3.605530e-36
   0.076815  4.744014e-36
   0.078416  6.239290e-36
   0.080016  8.202318e-36
   0.081616  1.077830e-35
   0.083217  1.415717e-35
   0.084817  1.858724e-35
   0.086417  2.439302e-35
   0.088018  3.199841e-35
   0.089618  4.195693e-35
   0.091218  5.499096e-35
   0.092819  7.204291e-35
   0.094419  9.434164e-35
   0.096019  1.234889e-34
   0.097620  1.615715e-34
   0.099220  2.113070e-34
   0.100820  2.762328e-34
   0.102420  3.609516e-34
   0.104021  4.714493e-34
   0.105621  6.155074e-34
   0.107221  8.032374e-34
   0.108822  1.047772e-33
   0.110422  1.366162e-33
   0.112022  1.780531e-33
   0.113623  2.319580e-33
   0.115223  3.020519e-33
   0.116823  3.931570e-33
   0.118424  5.115202e-33
   0.120024  6.652300e-33
   0.121624  8.647552e-33
   0.123225  1.123639e-32
   0.124825  1.459395e-32
   0.126425  1.894659e-32
   0.128026  2.458678e-32
   0.129626  3.189220e-32
   0.131226  4.135040e-32
   0.132827  5.359042e-32
   0.134427  6.942358e-32
   0.136027  8.989573e-32
   0.137628  1.163546e-31
   0.139228  1.505359e-31
   0.140828  1.946745e-31
   0.142428  2.516463e-31
   0.144029  3.251502e-31
   0.145629  4.199427e-31
   0.147229  5.421360e-31
   0.148830  6.995822e-31
   0.150430  9.023636e-31
   0.152030  1.163420e-30
   0.153631  1.499354e-30
   0.155231  1.931452e-30
   0.156831  2.487001e-30
   0.158432  3.200960e-30
   0.160032  4.118100e-30
   0.161632  5.295730e-30
   0.163233  6.807178e-30
   0.164833  8.746225e-30
   0.166433  1.123276e-29
   0.168034  1.441998e-29
   0.169634  1.850355e-29
   0.171234  2.373329e-29
   0.172835  3.042797e-29
   0.174435  3.899423e-29
   0.176035  4.995052e-29
   0.177636  6.395758e-29
   0.179236  8.185710e-29
   0.180836  1.047208e-28
   0.182436  1.339127e-28
   0.184037  1.711682e-28
   0.185637  2.186938e-28
   0.187237  2.792945e-28
   0.188838  3.565336e-28
   0.190438  4.549366e-28
   0.192038  5.802479e-28
   0.193639  7.397562e-28
   0.195239  9.427053e-28
   0.196839  1.200814e-27
   0.198440  1.528930e-27
   0.200040  1.945861e-27
   0.201640  2.475417e-27
   0.203241  3.147728e-27
   0.204841  4.000905e-27
   0.206441  5.083136e-27
   0.208042  6.455316e-27
   0.209642  8.194370e-27
   0.211242  1.039743e-26
   0.212843  1.318708e-26
   0.214443  1.671797e-26
   0.216043  2.118512e-26
   0.217644  2.683431e-26
   0.219244  3.397522e-26
   0.220844  4.299782e-26
   0.222444  5.439300e-26
   0.224045  6.877835e-26
   0.225645  8.693064e-26
   0.227245  1.098263e-25
   0.228846  1.386922e-25
   0.230446  1.750693e-25
   0.232046  2.208922e-25
   0.233647  2.785883e-25
   0.235247  3.512027e-25
   0.236847  4.425528e-25
   0.238448  5.574226e-25
   0.240048  7.018049e-25
   0.241648  8.832030e-25
   0.243249  1.111008e-24
   0.244849  1.396966e-24
   0.246449  1.755767e-24
   0.248050  2.205770e-24
   0.249650  2.769911e-24
   0.251250  3.476832e-24
   0.252851  4.362285e-24
   0.254451  5.470872e-24
   0.256051  6.858220e-24
   0.257652  8.593669e-24
   0.259252  1.076361e-23
   0.260852  1.347565e-23
   0.262452  1.686374e-23
   0.264053  2.109455e-23
   0.265653  2.637540e-23
   0.267253  3.296401e-23
   0.268854  4.118066e-23
   0.270454  5.142318e-23
   0.272054  6.418548e-23
   0.273655  8.008055e-23
   0.275255  9.986873e-23
   0.276855  1.244928e-22
   0.278456  1.551213e-22
   0.280056  1.932017e-22
   0.281656  2.405263e-22
   0.283257  2.993137e-22
   0.284857  3.723085e-22
   0.286457  4.629047e-22
   0.288058  5.752976e-22
   0.289658  7.146704e-22
   0.291258  8.874244e-22
   0.292859  1.101461e-21
   0.294459  1.366531e-21
   0.296059  1.694657e-21
   0.297660  2.100664e-21
   0.299260  2.602817e-21
   0.300860  3.223614e-21
   0.302460  3.990752e-21
   0.304061  4.938314e-21
   0.305661  6.108224e-21
   0.307261  7.552028e-21
   0.308862  9.333069e-21
   0.310462  1.152916e-20
   0.312062  1.423584e-20
   0.313663  1.757037e-20
   0.315263  2.167660e-20
   0.316863  2.673089e-20
   0.318464  3.294945e-20
   0.320064  4.059712e-20
   0.321664  4.999822e-20
   0.323265  6.154973e-20
   0.324865  7.573734e-20
   0.326465  9.315503e-20
   0.328066  1.145288e-19
   0.329666  1.407459e-19
   0.331266  1.728896e-19
   0.332867  2.122825e-19
   0.334467  2.605386e-19
   0.336067  3.196260e-19
   0.337668  3.919444e-19
   0.339268  4.804178e-19
   0.340868  5.886079e-19
   0.342468  7.208507e-19
   0.344069  8.824232e-19
   0.345669  1.079744e-18
   0.347269  1.320617e-18
   0.348870  1.614527e-18
   0.350470  1.972996e-18
   0.352070  2.410013e-18
   0.353671  2.942556e-18
   0.355271  3.591223e-18
   0.356871  4.380991e-18
   0.358472  5.342133e-18
   0.360072  6.511324e-18
   0.361672  7.932978e-18
   0.363273  9.660852e-18
   0.364873  1.175999e-17
   0.366473  1.430905e-17
   0.368074  1.740311e-17
   0.369674  2.115706e-17
   0.371274  2.570965e-17
   0.372875  3.122836e-17
   0.374475  3.791530e-17
   0.376075  4.601422e-17
   0.377676  5.581900e-17
   0.379276  6.768373e-17
   0.380876  8.203494e-17
   0.382476  9.938612e-17
   0.384077  1.203552e-16
   0.385677  1.456855e-16
   0.387277  1.762707e-16
   0.388878  2.131848e-16
   0.390478  2.577179e-16
   0.392078  3.114191e-16
   0.393679  3.761476e-16
   0.395279  4.541335e-16
   0.396879  5.480512e-16
   0.398480  6.611059e-16
   0.400080  7.971375e-16
   0.401680  9.607442e-16
   0.403281  1.157430e-15
   0.404881  1.393778e-15
   0.406481  1.677664e-15
   0.408082  2.018500e-15
   0.409682  2.427531e-15
   0.411282  2.918187e-15
   0.412883  3.506500e-15
   0.414483  4.211596e-15
   0.416083  5.056290e-15
   0.417684  6.067776e-15
   0.419284  7.278458e-15
   0.420884  8.726930e-15
   0.422484  1.045914e-14
   0.424085  1.252976e-14
   0.425685  1.500382e-14
   0.427285  1.795863e-14
   0.428886  2.148606e-14
   0.430486  2.569525e-14
   0.432086  3.071574e-14
   0.433687  3.670132e-14
   0.435287  4.383434e-14
   0.436887  5.233108e-14
   0.438488  6.244781e-14
   0.440088  7.448812e-14
   0.441688  8.881148e-14
   0.443289  1.058433e-13
   0.444889  1.260870e-13
   0.446489  1.501375e-13
   0.448090  1.786983e-13
   0.449690  2.126004e-13
   0.451290  2.528250e-13
   0.452891  3.005303e-13
   0.454491  3.570827e-13
   0.456091  4.240935e-13
   0.457692  5.034621e-13
   0.459292  5.974261e-13
   0.460892  7.086209e-13
   0.462492  8.401484e-13
   0.464093  9.956583e-13
   0.465693  1.179443e-12
   0.467293  1.396548e-12
   0.468894  1.652902e-12
   0.470494  1.955468e-12
   0.472094  2.312420e-12
   0.473695  2.733347e-12
   0.475295  3.229500e-12
   0.476895  3.814065e-12
   0.478496  4.502494e-12
   0.480096  5.312887e-12
   0.481696  6.266431e-12
   0.483297  7.387921e-12
   0.484897  8.706358e-12
   0.486497  1.025565e-11
   0.488098  1.207541e-11
   0.489698  1.421194e-11
   0.491298  1.671925e-11
   0.492899  1.966041e-11
   0.494499  2.310898e-11
   0.496099  2.715070e-11
   0.497700  3.188554e-11
   0.499300  3.742992e-11
   0.500900  4.391938e-11
   0.502501  5.151169e-11
   0.504101  6.039038e-11
   0.505701  7.076883e-11
   0.507301  8.289505e-11
   0.508902  9.705713e-11
   0.510502  1.135896e-10
   0.512102  1.328807e-10
   0.513703  1.553810e-10
   0.515303  1.816126e-10
   0.516903  2.121809e-10
   0.518504  2.477872e-10
   0.520104  2.892437e-10
   0.521704  3.374902e-10
   0.523305  3.936142e-10
   0.524905  4.588732e-10
   0.526505  5.347205e-10
   0.528106  6.228355e-10
   0.529706  7.251572e-10
   0.531306  8.439239e-10
   0.532907  9.817178e-10
   0.534507  1.141517e-09
   0.536107  1.326754e-09
   0.537708  1.541384e-09
   0.539308  1.789960e-09
   0.540908  2.077726e-09
   0.542509  2.410713e-09
   0.544109  2.795858e-09
   0.545709  3.241133e-09
   0.547309  3.755701e-09
   0.548910  4.350082e-09
   0.550510  5.036354e-09
   0.552110  5.828372e-09
   0.553711  6.742029e-09
   0.555311  7.795541e-09
   0.556911  9.009781e-09
   0.558512  1.040865e-08
   0.560112  1.201952e-08
   0.561712  1.387369e-08
   0.563313  1.600697e-08
   0.564913  1.846029e-08
   0.566513  2.128043e-08
   0.568114  2.452079e-08
   0.569714  2.824235e-08
   0.571314  3.251469e-08
   0.572915  3.741714e-08
   0.574515  4.304016e-08
   0.576115  4.948682e-08
   0.577716  5.687448e-08
   0.579316  6.533677e-08
   0.580916  7.502572e-08
   0.582517  8.611424e-08
   0.584117  9.879890e-08
   0.585717  1.133030e-07
   0.587317  1.298803e-07
   0.588918  1.488186e-07
   0.590518  1.704448e-07
   0.592118  1.951292e-07
   0.593719  2.232920e-07
   0.595319  2.554092e-07
   0.596919  2.920196e-07
   0.598520  3.337336e-07
   0.600120  3.812414e-07
   0.601720  4.353239e-07
   0.603321  4.968638e-07
   0.604921  5.668582e-07
   0.606521  6.464334e-07
   0.608122  7.368608e-07
   0.609722  8.395749e-07
   0.611322  9.561934e-07
   0.612923  1.088540e-06
   0.614523  1.238669e-06
   0.616123  1.408894e-06
   0.617724  1.601821e-06
   0.619324  1.820379e-06
   0.620924  2.067863e-06
   0.622525  2.347979e-06
   0.624125  2.664888e-06
   0.625725  3.023264e-06
   0.627325  3.428351e-06
   0.628926  3.886037e-06
   0.630526  4.402921e-06
   0.632126  4.986400e-06
   0.633727  5.644763e-06
   0.635327  6.387288e-06
   0.636927  7.224365e-06
   0.638528  8.167613e-06
   0.640128  9.230025e-06
   0.641728  1.042613e-05
   0.643329  1.177214e-05
   0.644929  1.328618e-05
   0.646529  1.498846e-05
   0.648130  1.690154e-05
   0.649730  1.905056e-05
   0.651330  2.146356e-05
   0.652931  2.417174e-05
   0.654531  2.720986e-05
   0.656131  3.061661e-05
   0.657732  3.443501e-05
   0.659332  3.871290e-05
   0.660932  4.350342e-05
   0.662533  4.886562e-05
   0.664133  5.486504e-05
   0.665733  6.157442e-05
   0.667333  6.907442e-05
   0.668934  7.745446e-05
   0.670534  8.681364e-05
   0.672134  9.726169e-05
   0.673735  1.089201e-04
   0.675335  1.219232e-04
   0.676935  1.364197e-04
   0.678536  1.525739e-04
   0.680136  1.705672e-04
   0.681736  1.906001e-04
   0.683337  2.128939e-04
   0.684937  2.376924e-04
   0.686537  2.652650e-04
   0.688138  2.959081e-04
   0.689738  3.299484e-04
   0.691338  3.677456e-04
   0.692939  4.096955e-04
   0.694539  4.562337e-04
   0.696139  5.078386e-04
   0.697740  5.650364e-04
   0.699340  6.284047e-04
   0.700940  6.985777e-04
   0.702541  7.762512e-04
   0.704141  8.621884e-04
   0.705741  9.572258e-04
   0.707341  1.062280e-03
   0.708942  1.178354e-03
   0.710542  1.306546e-03
   0.712142  1.448059e-03
   0.713743  1.604205e-03
   0.715343  1.776422e-03
   0.716943  1.966275e-03
   0.718544  2.175480e-03
   0.720144  2.405902e-03
   0.721744  2.659581e-03
   0.723345  2.938737e-03
   0.724945  3.245791e-03
   0.726545  3.583379e-03
   0.728146  3.954369e-03
   0.729746  4.361883e-03
   0.731346  4.809313e-03
   0.732947  5.300348e-03
   0.734547  5.838995e-03
   0.736147  6.429602e-03
   0.737748  7.076888e-03
   0.739348  7.785974e-03
   0.740948  8.562406e-03
   0.742549  9.412197e-03
   0.744149  1.034186e-02
   0.745749  1.135843e-02
   0.747349  1.246954e-02
   0.748950  1.368343e-02
   0.750550  1.500899e-02
   0.752150  1.645586e-02
   0.753751  1.803441e-02
   0.755351  1.975584e-02
   0.756951  2.163224e-02
   0.758552  2.367662e-02
   0.760152  2.590301e-02
   0.761752  2.832651e-02
   0.763353  3.096337e-02
   0.764953  3.383106e-02
   0.766553  3.694838e-02
   0.768154  4.033550e-02
   0.769754  4.401410e-02
   0.771354  4.800743e-02
   0.772955  5.234044e-02
   0.774555  5.703989e-02
   0.776155  6.213442e-02
   0.777756  6.765472e-02
   0.779356  7.363364e-02
   0.780956  8.010632e-02
   0.782557  8.711031e-02
   0.784157  9.468576e-02
   0.785757  1.028755e-01
