 Eloss (eV)    Int (a.u.)
   0.000000  7.674603e+00
   0.001600  7.917020e+00
   0.003201  8.166617e+00
   0.004801  8.423588e+00
   0.006401  8.688136e+00
   0.008002  8.960468e+00
   0.009602  9.240794e+00
   0.011202  9.529331e+00
   0.012803  9.826302e+00
   0.014403  1.013193e+01
   0.016003  1.044646e+01
   0.017604  1.077012e+01
   0.019204  1.110315e+01
   0.020804  1.144582e+01
   0.022404  1.179836e+01
   0.024005  1.216106e+01
   0.025605  1.253417e+01
   0.027205  1.291796e+01
   0.028806  1.331273e+01
   0.030406  1.371876e+01
   0.032006  1.413635e+01
   0.033607  1.456579e+01
   0.035207  1.500740e+01
   0.036807  1.546149e+01
   0.038408  1.592839e+01
   0.040008  1.640842e+01
   0.041608  1.690193e+01
   0.043209  1.740927e+01
   0.044809  1.793078e+01
   0.046409  1.846683e+01
   0.048010  1.901779e+01
   0.049610  1.958405e+01
   0.051210  2.016598e+01
   0.052811  2.076398e+01
   0.054411  2.137847e+01
   0.056011  2.200985e+01
   0.057612  2.265855e+01
   0.059212  2.332501e+01
   0.060812  2.400965e+01
   0.062412  2.471295e+01
   0.064013  2.543536e+01
   0.065613  2.617735e+01
   0.067213  2.693940e+01
   0.068814  2.772202e+01
   0.070414  2.852570e+01
   0.072014  2.935096e+01
   0.073615  3.019832e+01
   0.075215  3.106833e+01
   0.076815  3.196152e+01
   0.078416  3.287847e+01
   0.080016  3.381975e+01
   0.081616  3.478593e+01
   0.083217  3.577762e+01
   0.084817  3.679542e+01
   0.086417  3.783997e+01
   0.088018  3.891188e+01
   0.089618  4.001181e+01
   0.091218  4.114042e+01
   0.092819  4.229839e+01
   0.094419  4.348641e+01
   0.096019  4.470517e+01
   0.097620  4.595539e+01
   0.099220  4.723781e+01
   0.100820  4.855317e+01
   0.102420  4.990224e+01
   0.104021  5.128578e+01
   0.105621  5.270459e+01
   0.107221  5.415948e+01
   0.108822  5.565127e+01
   0.110422  5.718080e+01
   0.112022  5.874892e+01
   0.113623  6.035651e+01
   0.115223  6.200445e+01
   0.116823  6.369366e+01
   0.118424  6.542505e+01
   0.120024  6.719957e+01
   0.121624  6.901818e+01
   0.123225  7.088184e+01
   0.124825  7.279157e+01
   0.126425  7.474836e+01
   0.128026  7.675326e+01
   0.129626  7.880732e+01
   0.131226  8.091161e+01
   0.132827  8.306721e+01
   0.134427  8.527525e+01
   0.136027  8.753685e+01
   0.137628  8.985316e+01
   0.139228  9.222536e+01
   0.140828  9.465464e+01
   0.142428  9.714221e+01
   0.144029  9.968932e+01
   0.145629  1.022972e+02
   0.147229  1.049672e+02
   0.148830  1.077005e+02
   0.150430  1.104986e+02
   0.152030  1.133627e+02
   0.153631  1.162942e+02
   0.155231  1.192945e+02
   0.156831  1.223651e+02
   0.158432  1.255073e+02
   0.160032  1.287227e+02
   0.161632  1.320128e+02
   0.163233  1.353790e+02
   0.164833  1.388228e+02
   0.166433  1.423460e+02
   0.168034  1.459500e+02
   0.169634  1.496365e+02
   0.171234  1.534071e+02
   0.172835  1.572635e+02
   0.174435  1.612074e+02
   0.176035  1.652406e+02
   0.177636  1.693647e+02
   0.179236  1.735815e+02
   0.180836  1.778930e+02
   0.182436  1.823008e+02
   0.184037  1.868069e+02
   0.185637  1.914132e+02
   0.187237  1.961215e+02
   0.188838  2.009339e+02
   0.190438  2.058523e+02
   0.192038  2.108788e+02
   0.193639  2.160153e+02
   0.195239  2.212640e+02
   0.196839  2.266269e+02
   0.198440  2.321062e+02
   0.200040  2.377041e+02
   0.201640  2.434226e+02
   0.203241  2.492642e+02
   0.204841  2.552310e+02
   0.206441  2.613253e+02
   0.208042  2.675494e+02
   0.209642  2.739057e+02
   0.211242  2.803966e+02
   0.212843  2.870245e+02
   0.214443  2.937918e+02
   0.216043  3.007011e+02
   0.217644  3.077549e+02
   0.219244  3.149556e+02
   0.220844  3.223059e+02
   0.222444  3.298085e+02
   0.224045  3.374659e+02
   0.225645  3.452808e+02
   0.227245  3.532560e+02
   0.228846  3.613943e+02
   0.230446  3.696984e+02
   0.232046  3.781711e+02
   0.233647  3.868153e+02
   0.235247  3.956340e+02
   0.236847  4.046299e+02
   0.238448  4.138062e+02
   0.240048  4.231658e+02
   0.241648  4.327117e+02
   0.243249  4.424470e+02
   0.244849  4.523748e+02
   0.246449  4.624983e+02
   0.248050  4.728206e+02
   0.249650  4.833450e+02
   0.251250  4.940747e+02
   0.252851  5.050130e+02
   0.254451  5.161632e+02
   0.256051  5.275286e+02
   0.257652  5.391127e+02
   0.259252  5.509190e+02
   0.260852  5.629507e+02
   0.262452  5.752115e+02
   0.264053  5.877049e+02
   0.265653  6.004345e+02
   0.267253  6.134039e+02
   0.268854  6.266166e+02
   0.270454  6.400765e+02
   0.272054  6.537871e+02
   0.273655  6.677523e+02
   0.275255  6.819758e+02
   0.276855  6.964615e+02
   0.278456  7.112132e+02
   0.280056  7.262348e+02
   0.281656  7.415302e+02
   0.283257  7.571034e+02
   0.284857  7.729583e+02
   0.286457  7.890990e+02
   0.288058  8.055296e+02
   0.289658  8.222540e+02
   0.291258  8.392766e+02
   0.292859  8.566013e+02
   0.294459  8.742324e+02
   0.296059  8.921741e+02
   0.297660  9.104307e+02
   0.299260  9.290064e+02
   0.300860  9.479056e+02
   0.302460  9.671325e+02
   0.304061  9.866916e+02
   0.305661  1.006587e+03
   0.307261  1.026824e+03
   0.308862  1.047406e+03
   0.310462  1.068338e+03
   0.312062  1.089625e+03
   0.313663  1.111270e+03
   0.315263  1.133279e+03
   0.316863  1.155657e+03
   0.318464  1.178407e+03
   0.320064  1.201534e+03
   0.321664  1.225044e+03
   0.323265  1.248940e+03
   0.324865  1.273228e+03
   0.326465  1.297913e+03
   0.328066  1.322998e+03
   0.329666  1.348489e+03
   0.331266  1.374391e+03
   0.332867  1.400708e+03
   0.334467  1.427445e+03
   0.336067  1.454607e+03
   0.337668  1.482200e+03
   0.339268  1.510227e+03
   0.340868  1.538694e+03
   0.342468  1.567606e+03
   0.344069  1.596968e+03
   0.345669  1.626784e+03
   0.347269  1.657060e+03
   0.348870  1.687800e+03
   0.350470  1.719010e+03
   0.352070  1.750694e+03
   0.353671  1.782858e+03
   0.355271  1.815506e+03
   0.356871  1.848644e+03
   0.358472  1.882276e+03
   0.360072  1.916408e+03
   0.361672  1.951044e+03
   0.363273  1.986190e+03
   0.364873  2.021851e+03
   0.366473  2.058032e+03
   0.368074  2.094737e+03
   0.369674  2.131971e+03
   0.371274  2.169741e+03
   0.372875  2.208050e+03
   0.374475  2.246904e+03
   0.376075  2.286307e+03
   0.377676  2.326265e+03
   0.379276  2.366783e+03
   0.380876  2.407866e+03
   0.382476  2.449518e+03
   0.384077  2.491744e+03
   0.385677  2.534550e+03
   0.387277  2.577940e+03
   0.388878  2.621919e+03
   0.390478  2.666493e+03
   0.392078  2.711665e+03
   0.393679  2.757441e+03
   0.395279  2.803825e+03
   0.396879  2.850822e+03
   0.398480  2.898438e+03
   0.400080  2.946675e+03
   0.401680  2.995541e+03
   0.403281  3.045038e+03
   0.404881  3.095171e+03
   0.406481  3.145945e+03
   0.408082  3.197365e+03
   0.409682  3.249435e+03
   0.411282  3.302160e+03
   0.412883  3.355543e+03
   0.414483  3.409590e+03
   0.416083  3.464304e+03
   0.417684  3.519689e+03
   0.419284  3.575751e+03
   0.420884  3.632493e+03
   0.422484  3.689919e+03
   0.424085  3.748033e+03
   0.425685  3.806839e+03
   0.427285  3.866341e+03
   0.428886  3.926543e+03
   0.430486  3.987449e+03
   0.432086  4.049062e+03
   0.433687  4.111387e+03
   0.435287  4.174426e+03
   0.436887  4.238183e+03
   0.438488  4.302662e+03
   0.440088  4.367865e+03
   0.441688  4.433797e+03
   0.443289  4.500461e+03
   0.444889  4.567859e+03
   0.446489  4.635995e+03
   0.448090  4.704871e+03
   0.449690  4.774491e+03
   0.451290  4.844857e+03
   0.452891  4.915972e+03
   0.454491  4.987839e+03
   0.456091  5.060459e+03
   0.457692  5.133837e+03
   0.459292  5.207972e+03
   0.460892  5.282869e+03
   0.462492  5.358529e+03
   0.464093  5.434954e+03
   0.465693  5.512146e+03
   0.467293  5.590106e+03
   0.468894  5.668837e+03
   0.470494  5.748340e+03
   0.472094  5.828616e+03
   0.473695  5.909667e+03
   0.475295  5.991494e+03
   0.476895  6.074098e+03
   0.478496  6.157480e+03
   0.480096  6.241641e+03
   0.481696  6.326581e+03
   0.483297  6.412302e+03
   0.484897  6.498803e+03
   0.486497  6.586085e+03
   0.488098  6.674148e+03
   0.489698  6.762992e+03
   0.491298  6.852617e+03
   0.492899  6.943023e+03
   0.494499  7.034209e+03
   0.496099  7.126176e+03
   0.497700  7.218922e+03
   0.499300  7.312446e+03
   0.500900  7.406748e+03
   0.502501  7.501826e+03
   0.504101  7.597679e+03
   0.505701  7.694307e+03
   0.507301  7.791706e+03
   0.508902  7.889876e+03
   0.510502  7.988815e+03
   0.512102  8.088521e+03
   0.513703  8.188991e+03
   0.515303  8.290223e+03
   0.516903  8.392214e+03
   0.518504  8.494963e+03
   0.520104  8.598465e+03
   0.521704  8.702719e+03
   0.523305  8.807720e+03
   0.524905  8.913466e+03
   0.526505  9.019953e+03
   0.528106  9.127177e+03
   0.529706  9.235135e+03
   0.531306  9.343821e+03
   0.532907  9.453233e+03
   0.534507  9.563366e+03
   0.536107  9.674215e+03
   0.537708  9.785775e+03
   0.539308  9.898041e+03
   0.540908  1.001101e+04
   0.542509  1.012467e+04
   0.544109  1.023903e+04
   0.545709  1.035407e+04
   0.547309  1.046978e+04
   0.548910  1.058617e+04
   0.550510  1.070323e+04
   0.552110  1.082095e+04
   0.553711  1.093932e+04
   0.555311  1.105834e+04
   0.556911  1.117799e+04
   0.558512  1.129828e+04
   0.560112  1.141920e+04
   0.561712  1.154073e+04
   0.563313  1.166288e+04
   0.564913  1.178562e+04
   0.566513  1.190896e+04
   0.568114  1.203288e+04
   0.569714  1.215739e+04
   0.571314  1.228246e+04
   0.572915  1.240808e+04
   0.574515  1.253426e+04
   0.576115  1.266099e+04
   0.577716  1.278824e+04
   0.579316  1.291601e+04
   0.580916  1.304430e+04
   0.582517  1.317309e+04
   0.584117  1.330237e+04
   0.585717  1.343213e+04
   0.587317  1.356236e+04
   0.588918  1.369306e+04
   0.590518  1.382420e+04
   0.592118  1.395578e+04
   0.593719  1.408779e+04
   0.595319  1.422021e+04
   0.596919  1.435304e+04
   0.598520  1.448626e+04
   0.600120  1.461985e+04
   0.601720  1.475382e+04
   0.603321  1.488814e+04
   0.604921  1.502280e+04
   0.606521  1.515779e+04
   0.608122  1.529310e+04
   0.609722  1.542872e+04
   0.611322  1.556462e+04
   0.612923  1.570080e+04
   0.614523  1.583724e+04
   0.616123  1.597393e+04
   0.617724  1.611086e+04
   0.619324  1.624801e+04
   0.620924  1.638537e+04
   0.622525  1.652292e+04
   0.624125  1.666065e+04
   0.625725  1.679854e+04
   0.627325  1.693658e+04
   0.628926  1.707475e+04
   0.630526  1.721305e+04
   0.632126  1.735144e+04
   0.633727  1.748993e+04
   0.635327  1.762848e+04
   0.636927  1.776709e+04
   0.638528  1.790575e+04
   0.640128  1.804442e+04
   0.641728  1.818311e+04
   0.643329  1.832178e+04
   0.644929  1.846044e+04
   0.646529  1.859905e+04
   0.648130  1.873761e+04
   0.649730  1.887609e+04
   0.651330  1.901448e+04
   0.652931  1.915276e+04
   0.654531  1.929092e+04
   0.656131  1.942893e+04
   0.657732  1.956679e+04
   0.659332  1.970446e+04
   0.660932  1.984195e+04
   0.662533  1.997922e+04
   0.664133  2.011627e+04
   0.665733  2.025306e+04
   0.667333  2.038960e+04
   0.668934  2.052585e+04
   0.670534  2.066180e+04
   0.672134  2.079743e+04
   0.673735  2.093272e+04
   0.675335  2.106766e+04
   0.676935  2.120223e+04
   0.678536  2.133641e+04
   0.680136  2.147017e+04
   0.681736  2.160351e+04
   0.683337  2.173641e+04
   0.684937  2.186884e+04
   0.686537  2.200078e+04
   0.688138  2.213223e+04
   0.689738  2.226316e+04
   0.691338  2.239354e+04
   0.692939  2.252338e+04
   0.694539  2.265263e+04
   0.696139  2.278130e+04
   0.697740  2.290935e+04
   0.699340  2.303677e+04
   0.700940  2.316355e+04
   0.702541  2.328965e+04
   0.704141  2.341507e+04
   0.705741  2.353979e+04
   0.707341  2.366378e+04
   0.708942  2.378703e+04
   0.710542  2.390953e+04
   0.712142  2.403124e+04
   0.713743  2.415216e+04
   0.715343  2.427227e+04
   0.716943  2.439154e+04
   0.718544  2.450997e+04
   0.720144  2.462752e+04
   0.721744  2.474419e+04
   0.723345  2.485995e+04
   0.724945  2.497479e+04
   0.726545  2.508870e+04
   0.728146  2.520164e+04
   0.729746  2.531361e+04
   0.731346  2.542459e+04
   0.732947  2.553455e+04
   0.734547  2.564349e+04
   0.736147  2.575139e+04
   0.737748  2.585822e+04
   0.739348  2.596398e+04
   0.740948  2.606864e+04
   0.742549  2.617219e+04
   0.744149  2.627461e+04
   0.745749  2.637588e+04
   0.747349  2.647599e+04
   0.748950  2.657493e+04
   0.750550  2.667267e+04
   0.752150  2.676920e+04
   0.753751  2.686451e+04
   0.755351  2.695858e+04
   0.756951  2.705139e+04
   0.758552  2.714293e+04
   0.760152  2.723318e+04
   0.761752  2.732214e+04
   0.763353  2.740977e+04
   0.764953  2.749608e+04
   0.766553  2.758104e+04
   0.768154  2.766464e+04
   0.769754  2.774687e+04
   0.771354  2.782772e+04
   0.772955  2.790716e+04
   0.774555  2.798519e+04
   0.776155  2.806180e+04
   0.777756  2.813696e+04
   0.779356  2.821067e+04
   0.780956  2.828292e+04
   0.782557  2.835369e+04
   0.784157  2.842297e+04
   0.785757  2.849076e+04
   0.787357  2.855703e+04
   0.788958  2.862177e+04
   0.790558  2.868499e+04
   0.792158  2.874665e+04
   0.793759  2.880677e+04
   0.795359  2.886531e+04
   0.796959  2.892228e+04
   0.798560  2.897767e+04
   0.800160  2.903145e+04
   0.801760  2.908364e+04
   0.803361  2.913421e+04
   0.804961  2.918316e+04
   0.806561  2.923047e+04
   0.808162  2.927615e+04
   0.809762  2.932018e+04
   0.811362  2.936256e+04
   0.812963  2.940327e+04
   0.814563  2.944232e+04
   0.816163  2.947969e+04
   0.817764  2.951537e+04
   0.819364  2.954937e+04
   0.820964  2.958167e+04
   0.822565  2.961228e+04
   0.824165  2.964118e+04
   0.825765  2.966836e+04
   0.827365  2.969384e+04
   0.828966  2.971759e+04
   0.830566  2.973962e+04
   0.832166  2.975992e+04
   0.833767  2.977849e+04
   0.835367  2.979532e+04
   0.836967  2.981042e+04
   0.838568  2.982378e+04
   0.840168  2.983539e+04
   0.841768  2.984526e+04
   0.843369  2.985338e+04
   0.844969  2.985976e+04
   0.846569  2.986439e+04
   0.848170  2.986726e+04
   0.849770  2.986839e+04
   0.851370  2.986777e+04
   0.852971  2.986539e+04
   0.854571  2.986127e+04
   0.856171  2.985540e+04
   0.857772  2.984778e+04
   0.859372  2.983841e+04
   0.860972  2.982729e+04
   0.862573  2.981444e+04
   0.864173  2.979984e+04
   0.865773  2.978351e+04
   0.867373  2.976543e+04
   0.868974  2.974563e+04
   0.870574  2.972410e+04
   0.872174  2.970084e+04
   0.873775  2.967586e+04
   0.875375  2.964917e+04
   0.876975  2.962076e+04
   0.878576  2.959065e+04
   0.880176  2.955883e+04
   0.881776  2.952532e+04
   0.883377  2.949012e+04
   0.884977  2.945323e+04
   0.886577  2.941467e+04
   0.888178  2.937443e+04
   0.889778  2.933253e+04
   0.891378  2.928898e+04
   0.892979  2.924377e+04
   0.894579  2.919693e+04
   0.896179  2.914845e+04
   0.897780  2.909834e+04
   0.899380  2.904662e+04
   0.900980  2.899329e+04
   0.902581  2.893837e+04
   0.904181  2.888185e+04
   0.905781  2.882376e+04
   0.907381  2.876410e+04
   0.908982  2.870288e+04
   0.910582  2.864011e+04
   0.912182  2.857580e+04
   0.913783  2.850997e+04
   0.915383  2.844262e+04
   0.916983  2.837377e+04
   0.918584  2.830342e+04
   0.920184  2.823160e+04
   0.921784  2.815830e+04
   0.923385  2.808356e+04
   0.924985  2.800736e+04
   0.926585  2.792974e+04
   0.928186  2.785070e+04
   0.929786  2.777026e+04
   0.931386  2.768843e+04
   0.932987  2.760522e+04
