 Charge Transfer (eV)  Eigenvalues Row0 (eV)  Eigenvalues Row1 (eV)  Eigenvalues Row2 (eV)  Eigenvalues Row3 (eV)  Eigenvalues Row4 (eV)  Eigenvalues Row5 (eV)  Eigenvalues Row6 (eV)  Eigenvalues Row7 (eV)  Eigenvalues Row8 (eV)  Eigenvalues Row9 (eV)  Eigenvalues Row10 (eV)  Eigenvalues Row11 (eV)  Eigenvalues Row12 (eV)  Eigenvalues Row13 (eV)  Eigenvalues Row14 (eV)  Eigenvalues Row15 (eV)  Eigenvalues Row16 (eV)  Eigenvalues Row17 (eV)  Eigenvalues Row18 (eV)  Eigenvalues Row19 (eV)  Eigenvalues Row20 (eV)  Eigenvalues Row21 (eV)  Eigenvalues Row22 (eV)  Eigenvalues Row23 (eV)  Eigenvalues Row24 (eV)  Eigenvalues Row25 (eV)  Eigenvalues Row26 (eV)  Eigenvalues Row27 (eV)  Eigenvalues Row28 (eV)  Eigenvalues Row29 (eV)  Eigenvalues Row30 (eV)  Eigenvalues Row31 (eV)  Eigenvalues Row32 (eV)  Eigenvalues Row33 (eV)  Eigenvalues Row34 (eV)  Eigenvalues Row35 (eV)  Eigenvalues Row36 (eV)  Eigenvalues Row37 (eV)  Eigenvalues Row38 (eV)  Eigenvalues Row39 (eV)  Eigenvalues Row40 (eV)  Eigenvalues Row41 (eV)  Eigenvalues Row42 (eV)  Eigenvalues Row43 (eV)  Eigenvalues Row44 (eV)  Eigenvalues Row45 (eV)  Eigenvalues Row46 (eV)  Eigenvalues Row47 (eV)  Eigenvalues Row48 (eV)  Eigenvalues Row49 (eV)  Eigenvalues Row50 (eV)  Eigenvalues Row51 (eV)  Eigenvalues Row52 (eV)  Eigenvalues Row53 (eV)  Eigenvalues Row54 (eV)  Eigenvalues Row55 (eV)  Eigenvalues Row56 (eV)  Eigenvalues Row57 (eV)  Eigenvalues Row58 (eV)  Eigenvalues Row59 (eV)  Eigenvalues Row60 (eV)  Eigenvalues Row61 (eV)  Eigenvalues Row62 (eV)  Eigenvalues Row63 (eV)  Eigenvalues Row64 (eV)  Eigenvalues Row65 (eV)  Eigenvalues Row66 (eV)  Eigenvalues Row67 (eV)  Eigenvalues Row68 (eV)  Eigenvalues Row69 (eV)  Eigenvalues Row70 (eV)  Eigenvalues Row71 (eV)  Eigenvalues Row72 (eV)  Eigenvalues Row73 (eV)  Eigenvalues Row74 (eV)  Eigenvalues Row75 (eV)  Eigenvalues Row76 (eV)  Eigenvalues Row77 (eV)  Eigenvalues Row78 (eV)  Eigenvalues Row79 (eV)  Eigenvalues Row80 (eV)  Eigenvalues Row81 (eV)  Eigenvalues Row82 (eV)  Eigenvalues Row83 (eV)  Eigenvalues Row84 (eV)  Eigenvalues Row85 (eV)  Eigenvalues Row86 (eV)  Eigenvalues Row87 (eV)  Eigenvalues Row88 (eV)  Eigenvalues Row89 (eV)  Eigenvalues Row90 (eV)  Eigenvalues Row91 (eV)  Eigenvalues Row92 (eV)  Eigenvalues Row93 (eV)  Eigenvalues Row94 (eV)  Eigenvalues Row95 (eV)  Eigenvalues Row96 (eV)  Eigenvalues Row97 (eV)  Eigenvalues Row98 (eV)  Eigenvalues Row99 (eV)  Eigenvalues Row100 (eV)  Eigenvalues Row101 (eV)  Eigenvalues Row102 (eV)  Eigenvalues Row103 (eV)  Eigenvalues Row104 (eV)  Eigenvalues Row105 (eV)  Eigenvalues Row106 (eV)  Eigenvalues Row107 (eV)  Eigenvalues Row108 (eV)  Eigenvalues Row109 (eV)  Eigenvalues Row110 (eV)  Eigenvalues Row111 (eV)  Eigenvalues Row112 (eV)  Eigenvalues Row113 (eV)  Eigenvalues Row114 (eV)  Eigenvalues Row115 (eV)  Eigenvalues Row116 (eV)  Eigenvalues Row117 (eV)  Eigenvalues Row118 (eV)  Eigenvalues Row119 (eV)  Eigenvalues Row120 (eV)  Eigenvalues Row121 (eV)  Eigenvalues Row122 (eV)  Eigenvalues Row123 (eV)  Eigenvalues Row124 (eV)  Eigenvalues Row125 (eV)  Eigenvalues Row126 (eV)  Eigenvalues Row127 (eV)  Eigenvalues Row128 (eV)  Eigenvalues Row129 (eV)  Eigenvalues Row130 (eV)  Eigenvalues Row131 (eV)  Eigenvalues Row132 (eV)  Eigenvalues Row133 (eV)  Eigenvalues Row134 (eV)  Eigenvalues Row135 (eV)  Eigenvalues Row136 (eV)  Eigenvalues Row137 (eV)  Eigenvalues Row138 (eV)  Eigenvalues Row139 (eV)  Eigenvalues Row140 (eV)  Eigenvalues Row141 (eV)  Eigenvalues Row142 (eV)  Eigenvalues Row143 (eV)  Eigenvalues Row144 (eV)  Eigenvalues Row145 (eV)  Eigenvalues Row146 (eV)  Eigenvalues Row147 (eV)  Eigenvalues Row148 (eV)  Eigenvalues Row149 (eV)  Eigenvalues Row150 (eV)  Eigenvalues Row151 (eV)  Eigenvalues Row152 (eV)  Eigenvalues Row153 (eV)  Eigenvalues Row154 (eV)  Eigenvalues Row155 (eV)  Eigenvalues Row156 (eV)  Eigenvalues Row157 (eV)  Eigenvalues Row158 (eV)  Eigenvalues Row159 (eV)  Eigenvalues Row160 (eV)  Eigenvalues Row161 (eV)  Eigenvalues Row162 (eV)  Eigenvalues Row163 (eV)  Eigenvalues Row164 (eV)  Eigenvalues Row165 (eV)  Eigenvalues Row166 (eV)  Eigenvalues Row167 (eV)  Eigenvalues Row168 (eV)  Eigenvalues Row169 (eV)  Eigenvalues Row170 (eV)  Eigenvalues Row171 (eV)  Eigenvalues Row172 (eV)  Eigenvalues Row173 (eV)  Eigenvalues Row174 (eV)  Eigenvalues Row175 (eV)  Eigenvalues Row176 (eV)  Eigenvalues Row177 (eV)  Eigenvalues Row178 (eV)  Eigenvalues Row179 (eV)  Eigenvalues Row180 (eV)  Eigenvalues Row181 (eV)  Eigenvalues Row182 (eV)  Eigenvalues Row183 (eV)  Eigenvalues Row184 (eV)  Eigenvalues Row185 (eV)  Eigenvalues Row186 (eV)  Eigenvalues Row187 (eV)  Eigenvalues Row188 (eV)  Eigenvalues Row189 (eV)
             0.000000                    0.0           1.065814e-14               0.000295               0.685259               0.685259               1.020155               1.069001               1.072008               1.072008               1.147382                1.147382                1.180476                1.180476                1.208654                1.210020                1.598657                1.600635                1.600635                1.745352                1.749191                1.768623                1.768623                1.788493                1.788493                1.894749                1.951407                1.951407                2.063496                2.249037                2.249037                2.659208                2.659208                2.660441                2.863236                2.868564                2.880969                2.880969                2.896531                2.896531                3.265926                3.268438                3.268657                3.268657                3.269683                3.270198                3.270198                3.271211                3.271211                3.271398                3.537234                3.537234                3.726169                3.726169                3.748621                4.297735                4.484884                4.484884                4.486604                4.513135                4.513135                4.527342                4.527342                4.542597                4.548802                4.570575                4.582954                4.582954                4.599659                4.599659                4.604132                4.608434                4.665043                4.665043                4.668482                4.668482                4.671852                4.678347                4.687737                4.687737                4.761052                4.761052                4.761364                5.481453                5.492802                5.492802                5.501088                5.501088                5.519690                5.545695                5.545695                5.560827                5.561850                5.561850                5.567303                5.567303                5.579072                5.591892                5.591892                5.620321                5.624687                 5.644575                 5.667029                 5.667494                 5.678097                 5.678097                 5.730381                 5.730381                 5.741506                 5.741506                 5.873228                 5.873228                 5.874579                 5.982796                 5.982796                 6.021229                 6.059763                 6.059763                 6.177284                 6.185062                 6.216124                 6.216124                 6.244899                 6.244899                 6.561997                 6.621748                 6.621748                 6.822700                 6.822700                 6.829478                 6.849832                 6.983244                 6.983244                 6.996293                 6.996293                 7.010175                 7.017327                 7.061331                 7.195204                 7.195204                 7.401119                 7.401119                 7.595460                 7.595460                 7.678330                 9.162111                 9.252044                 9.252048                 9.252048                 9.378572                 9.378572                10.773285                10.773379                10.773379                10.777395                10.777395                10.778875                10.779214                10.779214                10.781066                10.788183                10.801034                10.801034                10.801812                10.810932                10.810932                10.812692                10.814078                10.814078                10.814458                10.817384                10.817384                10.824521                10.842173                10.842173                10.861628                12.335497                12.336273                12.336273                12.345462                12.345462                12.349004                12.349165                12.350665                12.350665                12.353780                12.353780                12.362626                12.362626                12.362640                12.435563
             0.011616                    0.0           1.421085e-14               0.000296               0.687567               0.687567               1.023623               1.067647               1.070693               1.070693               1.146134                1.146134                1.179251                1.179251                1.207441                1.208785                1.598256                1.600203                1.600203                1.744957                1.748827                1.768413                1.768413                1.788431                1.788431                1.896016                1.952843                1.952843                2.065542                2.251012                2.251012                2.657672                2.657672                2.658954                2.861884                2.867172                2.879457                2.879457                2.894923                2.894923                3.270218                3.272726                3.272946                3.272946                3.273966                3.274473                3.274473                3.275495                3.275495                3.275677                3.537360                3.537360                3.726539                3.726539                3.749222                4.300324                4.488223                4.488223                4.490050                4.516784                4.516784                4.530940                4.530940                4.546100                4.552600                4.574699                4.587084                4.587084                4.603856                4.603856                4.608298                4.612812                4.669230                4.669230                4.672727                4.672727                4.676182                4.682345                4.692074                4.692074                4.762027                4.762027                4.762343                5.483712                5.494433                5.494433                5.504926                5.504926                5.523284                5.549085                5.549085                5.563187                5.563503                5.563503                5.571242                5.571242                5.581360                5.593754                5.593754                5.624375                5.627691                 5.647522                 5.670960                 5.671421                 5.682151                 5.682151                 5.734553                 5.734553                 5.745624                 5.745624                 5.877515                 5.877515                 5.878848                 5.982717                 5.982717                 6.022272                 6.060394                 6.060394                 6.178310                 6.186024                 6.216930                 6.216930                 6.245503                 6.245503                 6.560420                 6.620182                 6.620182                 6.821271                 6.821271                 6.828442                 6.849151                 6.981874                 6.981874                 6.994836                 6.994836                 7.008588                 7.015812                 7.058877                 7.192716                 7.192716                 7.398950                 7.398950                 7.593238                 7.593238                 7.676021                 9.171398                 9.264646                 9.264650                 9.264650                 9.389739                 9.389739                10.787210                10.787302                10.787302                10.790075                10.791289                10.791289                10.793100                10.793100                10.794948                10.798430                10.814680                10.814680                10.815076                10.824511                10.824511                10.826131                10.827653                10.827653                10.828020                10.830891                10.830891                10.837914                10.855442                10.855442                10.865224                12.350380                12.351158                12.351158                12.360263                12.360263                12.363838                12.363997                12.365490                12.365490                12.368588                12.368588                12.377312                12.377344                12.377344                12.448971
             0.023232                    0.0           1.243450e-14               0.000298               0.689876               0.689876               1.027094               1.066294               1.069380               1.069380               1.144887                1.144887                1.178026                1.178026                1.206231                1.207550                1.597848                1.599765                1.599765                1.744557                1.748458                1.768198                1.768198                1.788364                1.788364                1.897288                1.954282                1.954282                2.067596                2.252994                2.252994                2.656149                2.656149                2.657479                2.860543                2.865791                2.877956                2.877956                2.893324                2.893324                3.274529                3.277034                3.277255                3.277255                3.278269                3.278768                3.278768                3.279799                3.279799                3.279975                3.537487                3.537487                3.726909                3.726909                3.749823                4.302921                4.491571                4.491571                4.493508                4.520444                4.520444                4.534548                4.534548                4.549608                4.556410                4.578837                4.591228                4.591228                4.608064                4.608064                4.612475                4.617205                4.673421                4.673421                4.676987                4.676987                4.680527                4.686338                4.696414                4.696414                4.763061                4.763061                4.763380                5.485924                5.496064                5.496064                5.508755                5.508755                5.526970                5.552397                5.552397                5.565218                5.565218                5.565511                5.575237                5.575237                5.583566                5.595748                5.595748                5.628460                5.630822                 5.650546                 5.674922                 5.675382                 5.686224                 5.686224                 5.738744                 5.738744                 5.749764                 5.749764                 5.881820                 5.881820                 5.883137                 5.982641                 5.982641                 6.023342                 6.061059                 6.061059                 6.179365                 6.187013                 6.217762                 6.217762                 6.246132                 6.246132                 6.558872                 6.618644                 6.618644                 6.819875                 6.819875                 6.827396                 6.848505                 6.980538                 6.980538                 6.993413                 6.993413                 7.007028                 7.014330                 7.056450                 7.190249                 7.190249                 7.396810                 7.396810                 7.591045                 7.591045                 7.673741                 9.180719                 9.277283                 9.277287                 9.277287                 9.400961                 9.400961                10.797539                10.801164                10.801254                10.801254                10.805212                10.805212                10.807015                10.807015                10.808859                10.810460                10.828358                10.828358                10.828474                10.838121                10.838121                10.839607                10.841261                10.841261                10.841614                10.844432                10.844432                10.851342                10.868748                10.868748                10.870748                12.365288                12.366066                12.366066                12.375089                12.375089                12.378695                12.378853                12.380340                12.380340                12.383421                12.383421                12.392010                12.392087                12.392087                12.462438
             0.034848                    0.0           8.881784e-15               0.000300               0.692187               0.692187               1.030569               1.064941               1.068068               1.068068               1.143641                1.143641                1.176802                1.176802                1.205024                1.206317                1.597434                1.599321                1.599321                1.744151                1.748085                1.767979                1.767979                1.788293                1.788293                1.898564                1.955726                1.955726                2.069655                2.254981                2.254981                2.654639                2.654639                2.656017                2.859214                2.864422                2.876464                2.876464                2.891735                2.891735                3.278860                3.281362                3.281584                3.281584                3.282592                3.283083                3.283083                3.284123                3.284123                3.284293                3.537615                3.537615                3.727279                3.727279                3.750424                4.305527                4.494929                4.494929                4.496978                4.524117                4.524117                4.538164                4.538164                4.553119                4.560232                4.582988                4.595384                4.595384                4.612282                4.612282                4.616663                4.621614                4.677615                4.677615                4.681263                4.681263                4.684888                4.690324                4.700757                4.700757                4.764158                4.764158                4.764476                5.488095                5.497704                5.497704                5.512564                5.512564                5.530742                5.555623                5.555623                5.567005                5.567005                5.567801                5.579279                5.579279                5.585696                5.597882                5.597882                5.632577                5.634074                 5.653648                 5.678911                 5.679373                 5.690318                 5.690318                 5.742955                 5.742955                 5.753926                 5.753926                 5.886144                 5.886144                 5.887446                 5.982567                 5.982567                 6.024440                 6.061759                 6.061759                 6.180448                 6.188029                 6.218621                 6.218621                 6.246786                 6.246786                 6.557353                 6.617136                 6.617136                 6.818513                 6.818513                 6.826345                 6.847892                 6.979237                 6.979237                 6.992023                 6.992023                 7.005497                 7.012882                 7.054051                 7.187805                 7.187805                 7.394699                 7.394699                 7.588883                 7.588883                 7.671491                 9.190072                 9.289957                 9.289961                 9.289961                 9.412238                 9.412238                10.801874                10.815145                10.815233                10.815233                10.819163                10.819163                10.820958                10.820958                10.822798                10.823700                10.841976                10.842068                10.842068                10.851763                10.851763                10.853119                10.854900                10.854900                10.855241                10.858006                10.858006                10.864805                10.878194                10.882090                10.882090                12.380219                12.380998                12.380998                12.389940                12.389940                12.393577                12.393732                12.395214                12.395214                12.398278                12.398278                12.406733                12.406855                12.406855                12.475964
             0.046465                    0.0           1.509903e-14               0.000302               0.694500               0.694500               1.034048               1.063590               1.066758               1.066758               1.142395                1.142395                1.175580                1.175580                1.203819                1.205083                1.597013                1.598871                1.598871                1.743739                1.747706                1.767754                1.767754                1.788219                1.788219                1.899844                1.957173                1.957173                2.071722                2.256974                2.256974                2.653141                2.653141                2.654568                2.857895                2.863064                2.874983                2.874983                2.890156                2.890156                3.283211                3.285710                3.285932                3.285932                3.286934                3.287418                3.287418                3.288466                3.288466                3.288631                3.537742                3.537742                3.727648                3.727648                3.751025                4.308139                4.498297                4.498297                4.500459                4.527801                4.527801                4.541789                4.541789                4.556634                4.564067                4.587153                4.599553                4.599553                4.616510                4.616510                4.620861                4.626039                4.681810                4.681810                4.685554                4.685554                4.689265                4.694302                4.705102                4.705102                4.765322                4.765322                4.765634                5.490234                5.499356                5.499356                5.516347                5.516347                5.534590                5.558758                5.558758                5.568872                5.568872                5.570060                5.583363                5.583363                5.587758                5.600163                5.600163                5.636724                5.637440                 5.656826                 5.682927                 5.683393                 5.694431                 5.694431                 5.747184                 5.747184                 5.758111                 5.758111                 5.890488                 5.890488                 5.891774                 5.982496                 5.982496                 6.025566                 6.062494                 6.062494                 6.181559                 6.189073                 6.219506                 6.219506                 6.247465                 6.247465                 6.555864                 6.615658                 6.615658                 6.817185                 6.817185                 6.825295                 6.847308                 6.977971                 6.977971                 6.990667                 6.990667                 7.003993                 7.011468                 7.051680                 7.185382                 7.185382                 7.392616                 7.392616                 7.586751                 7.586751                 7.669271                 9.199457                 9.302666                 9.302670                 9.302670                 9.423569                 9.423569                10.804174                10.829154                10.829241                10.829241                10.833141                10.833141                10.834929                10.834929                10.836765                10.837352                10.855560                10.855809                10.855809                10.865437                10.865437                10.866669                10.868572                10.868572                10.868899                10.871613                10.871613                10.878303                10.887291                10.895468                10.895468                12.395174                12.395953                12.395953                12.404815                12.404815                12.408483                12.408636                12.410112                12.410112                12.413159                12.413159                12.421482                12.421649                12.421649                12.489547
             0.058081                    0.0           1.243450e-14               0.000303               0.696815               0.696815               1.037530               1.062239               1.065451               1.065451               1.141150                1.141150                1.174358                1.174358                1.202616                1.203850                1.596586                1.598415                1.598415                1.743322                1.747323                1.767526                1.767526                1.788140                1.788140                1.901128                1.958624                1.958624                2.073794                2.258973                2.258973                2.651656                2.651656                2.653131                2.856588                2.861719                2.873513                2.873513                2.888587                2.888587                3.287581                3.290077                3.290300                3.290300                3.291296                3.291773                3.291773                3.292829                3.292829                3.292989                3.537869                3.537869                3.728018                3.728018                3.751626                4.310760                4.501674                4.501674                4.503953                4.531497                4.531497                4.545422                4.545422                4.560152                4.567915                4.591331                4.603735                4.603735                4.620747                4.620747                4.625068                4.630478                4.686004                4.686004                4.689860                4.689860                4.693658                4.698268                4.709445                4.709445                4.766557                4.766557                4.766859                5.492347                5.501025                5.501025                5.520096                5.520096                5.538510                5.561798                5.561798                5.570822                5.570822                5.572291                5.587486                5.587486                5.589761                5.602597                5.602597                5.640900                5.640913                 5.660080                 5.686969                 5.687440                 5.698564                 5.698564                 5.751433                 5.751433                 5.762316                 5.762316                 5.894851                 5.894851                 5.896122                 5.982428                 5.982428                 6.026719                 6.063264                 6.063264                 6.182698                 6.190144                 6.220418                 6.220418                 6.248168                 6.248168                 6.554404                 6.614208                 6.614208                 6.815892                 6.815892                 6.824249                 6.846749                 6.976740                 6.976740                 6.989345                 6.989345                 7.002516                 7.010087                 7.049338                 7.182982                 7.182982                 7.390563                 7.390563                 7.584650                 7.584650                 7.667080                 9.208871                 9.315411                 9.315415                 9.315415                 9.434955                 9.434955                10.805079                10.843191                10.843276                10.843276                10.847148                10.847148                10.848928                10.848928                10.850760                10.851174                10.869210                10.869581                10.869581                10.879142                10.879142                10.880257                10.882276                10.882276                10.882590                10.885254                10.885254                10.891835                10.897657                10.908882                10.908882                12.410152                12.410932                12.410932                12.419715                12.419715                12.423412                12.423564                12.425033                12.425033                12.428064                12.428064                12.436257                12.436467                12.436467                12.503186
             0.069697                    0.0           1.421085e-14               0.000305               0.699131               0.699131               1.041015               1.060889               1.064145               1.064145               1.139906                1.139906                1.173137                1.173137                1.201417                1.202618                1.596153                1.597952                1.597952                1.742899                1.746935                1.767292                1.767292                1.788058                1.788058                1.902417                1.960079                1.960079                2.075874                2.260978                2.260978                2.650184                2.650184                2.651707                2.855292                2.860384                2.872053                2.872053                2.887028                2.887028                3.291971                3.294464                3.294687                3.294687                3.295678                3.296147                3.296147                3.297212                3.297212                3.297367                3.537997                3.537997                3.728388                3.728388                3.752226                4.313389                4.505060                4.505060                4.507458                4.535205                4.535205                4.549064                4.549064                4.563673                4.571775                4.595522                4.607929                4.607929                4.624993                4.624993                4.629284                4.634933                4.690194                4.690194                4.694183                4.694183                4.698067                4.702219                4.713785                4.713785                4.767868                4.767868                4.768153                5.494443                5.502713                5.502713                5.523804                5.523804                5.542494                5.564741                5.564741                5.572859                5.572859                5.574496                5.591646                5.591646                5.591713                5.605188                5.605188                5.644485                5.645105                 5.663408                 5.691036                 5.691514                 5.702715                 5.702715                 5.755700                 5.755700                 5.766543                 5.766543                 5.899232                 5.899232                 5.900489                 5.982364                 5.982364                 6.027900                 6.064069                 6.064069                 6.183866                 6.191242                 6.221356                 6.221356                 6.248896                 6.248896                 6.552974                 6.612789                 6.612789                 6.814633                 6.814633                 6.823210                 6.846213                 6.975544                 6.975544                 6.988057                 6.988057                 7.001066                 7.008740                 7.047026                 7.180603                 7.180603                 7.388539                 7.388539                 7.582579                 7.582579                 7.664918                 9.218314                 9.328191                 9.328195                 9.328195                 9.446394                 9.446394                10.805029                10.857255                10.857339                10.857339                10.861183                10.861183                10.862956                10.862956                10.864783                10.865088                10.882917                10.883384                10.883384                10.892879                10.892879                10.893882                10.896011                10.896011                10.896312                10.898927                10.898927                10.905402                10.908941                10.922332                10.922332                12.425154                12.425934                12.425934                12.434639                12.434639                12.438365                12.438515                12.439979                12.439979                12.442994                12.442994                12.451057                12.451311                12.451311                12.516881
             0.081313                    0.0           1.421085e-14               0.000307               0.701449               0.701449               1.044503               1.059541               1.062841               1.062841               1.138663                1.138663                1.171917                1.171917                1.200221                1.201386                1.595713                1.597483                1.597483                1.742471                1.746543                1.767054                1.767054                1.787971                1.787971                1.903710                1.961537                1.961537                2.077959                2.262989                2.262989                2.648725                2.648725                2.650296                2.854007                2.859062                2.870604                2.870604                2.885479                2.885479                3.296381                3.298870                3.299094                3.299094                3.300080                3.300541                3.300541                3.301615                3.301615                3.301765                3.538125                3.538125                3.728757                3.728757                3.752827                4.316025                4.508456                4.508456                4.510976                4.538925                4.538925                4.552714                4.552714                4.567196                4.575647                4.599727                4.612136                4.612136                4.629247                4.629247                4.633510                4.639404                4.694379                4.694379                4.698521                4.698521                4.702493                4.706153                4.718119                4.718119                4.769262                4.769262                4.769521                5.496526                5.504422                5.504422                5.527466                5.527466                5.546539                5.567591                5.567591                5.574987                5.574987                5.576678                5.593622                5.595841                5.595841                5.607938                5.607938                5.648149                5.649339                 5.666809                 5.695127                 5.695612                 5.706886                 5.706886                 5.759986                 5.759986                 5.770792                 5.770792                 5.903633                 5.903633                 5.904876                 5.982302                 5.982302                 6.029109                 6.064910                 6.064910                 6.185062                 6.192367                 6.222321                 6.222321                 6.249648                 6.249648                 6.551574                 6.611399                 6.611399                 6.813409                 6.813409                 6.822182                 6.845697                 6.974383                 6.974383                 6.986804                 6.986804                 6.999643                 7.007427                 7.044744                 7.178248                 7.178248                 7.386545                 7.386545                 7.580538                 7.580538                 7.662787                 9.227783                 9.341006                 9.341010                 9.341010                 9.457886                 9.457886                10.804329                10.871348                10.871430                10.871430                10.875246                10.875246                10.877011                10.877011                10.878834                10.879065                10.896674                10.897218                10.897218                10.906647                10.906647                10.907545                10.909778                10.909778                10.910066                10.912633                10.912633                10.919003                10.920875                10.935818                10.935818                12.440180                12.440960                12.440960                12.449588                12.449588                12.453342                12.453490                12.454949                12.454949                12.457947                12.457947                12.465883                12.466180                12.466180                12.530630
             0.092929                    0.0           1.953993e-14               0.000309               0.703768               0.703768               1.047993               1.058193               1.061540               1.061540               1.137420                1.137420                1.170698                1.170698                1.199028                1.200155                1.595267                1.597008                1.597008                1.742037                1.746145                1.766811                1.766811                1.787880                1.787880                1.905006                1.962999                1.962999                2.080051                2.265005                2.265005                2.647279                2.647279                2.648898                2.852734                2.857751                2.869166                2.869166                2.883940                2.883940                3.300810                3.303296                3.303521                3.303521                3.304501                3.304955                3.304955                3.306037                3.306037                3.306183                3.538253                3.538253                3.729126                3.729126                3.753427                4.318669                4.511862                4.511862                4.514505                4.542656                4.542656                4.556372                4.556372                4.570721                4.579532                4.603946                4.616355                4.616355                4.633510                4.633510                4.637744                4.643890                4.698554                4.698554                4.702876                4.702876                4.706933                4.710065                4.722444                4.722444                4.770744                4.770744                4.770967                5.498601                5.506153                5.506153                5.531074                5.531074                5.550639                5.570351                5.570351                5.577208                5.577208                5.578840                5.595497                5.600070                5.600070                5.610846                5.610846                5.651897                5.653600                 5.670279                 5.699242                 5.699735                 5.711076                 5.711076                 5.764290                 5.764290                 5.775061                 5.775061                 5.908052                 5.908052                 5.909282                 5.982245                 5.982245                 6.030344                 6.065785                 6.065785                 6.186286                 6.193519                 6.223313                 6.223313                 6.250426                 6.250426                 6.550203                 6.610038                 6.610038                 6.812220                 6.812220                 6.821167                 6.845200                 6.973257                 6.973257                 6.985585                 6.985585                 6.998246                 7.006148                 7.042493                 7.175915                 7.175915                 7.384580                 7.384580                 7.578529                 7.578529                 7.660686                 9.237277                 9.353857                 9.353861                 9.353861                 9.469431                 9.469431                10.803186                10.885467                10.885548                10.885548                10.889337                10.889337                10.891094                10.891094                10.892914                10.893090                10.910476                10.911083                10.911083                10.920447                10.920447                10.921245                10.923577                10.923577                10.923852                10.926373                10.926373                10.932638                10.933275                10.949339                10.949339                12.455229                12.456010                12.456010                12.464560                12.464560                12.468343                12.468490                12.469942                12.469942                12.472925                12.472925                12.480734                12.481074                12.481074                12.544432
