 Eloss (eV)  Int/Int(10Dq)
   0.000000   1.738176e-43
   0.001600   2.417503e-43
   0.003201   3.360460e-43
   0.004801   4.668624e-43
   0.006401   6.482424e-43
   0.008002   8.995897e-43
   0.009602   1.247699e-42
   0.011202   1.729553e-42
   0.012803   2.396162e-42
   0.014403   3.317852e-42
   0.016003   4.591518e-42
   0.017604   6.350588e-42
   0.019204   8.778698e-42
   0.020804   1.212843e-41
   0.022404   1.674703e-41
   0.024005   2.311156e-41
   0.025605   3.187712e-41
   0.027205   4.394278e-41
   0.028806   6.054166e-41
   0.030406   8.336420e-41
   0.032006   1.147264e-40
   0.033607   1.577994e-40
   0.035207   2.169232e-40
   0.036807   2.980335e-40
   0.038408   4.092442e-40
   0.040008   5.616406e-40
   0.041608   7.703585e-40
   0.043209   1.056053e-39
   0.044809   1.446895e-39
   0.046409   1.981284e-39
   0.048010   2.711533e-39
   0.049610   3.708869e-39
   0.051210   5.070217e-39
   0.052811   6.927397e-39
   0.054411   9.459584e-39
   0.056011   1.291018e-38
   0.057612   1.760967e-38
   0.059212   2.400648e-38
   0.060812   3.270878e-38
   0.062412   4.454085e-38
   0.064013   6.061933e-38
   0.065613   8.245599e-38
   0.067213   1.120964e-37
   0.068814   1.523069e-37
   0.070414   2.068265e-37
   0.072014   2.807055e-37
   0.073615   3.807626e-37
   0.075215   5.161976e-37
   0.076815   6.994170e-37
   0.078416   9.471415e-37
   0.080016   1.281893e-36
   0.081616   1.733994e-36
   0.083217   2.344237e-36
   0.084817   3.167480e-36
   0.086417   4.277448e-36
   0.088018   5.773166e-36
   0.089618   7.787568e-36
   0.091218   1.049900e-35
   0.092819   1.414662e-35
   0.094419   1.905091e-35
   0.096019   2.564114e-35
   0.097620   3.449192e-35
   0.099220   4.637200e-35
   0.100820   6.230927e-35
   0.102420   8.367737e-35
   0.104021   1.123109e-34
   0.105621   1.506586e-34
   0.107221   2.019876e-34
   0.108822   2.706536e-34
   0.110422   3.624611e-34
   0.112022   4.851403e-34
   0.113623   6.489807e-34
   0.115223   8.676703e-34
   0.116823   1.159407e-33
   0.118424   1.548374e-33
   0.120024   2.066684e-33
   0.121624   2.756962e-33
   0.123225   3.675749e-33
   0.124825   4.898008e-33
   0.126425   6.523062e-33
   0.128026   8.682444e-33
   0.129626   1.155024e-32
   0.131226   1.535671e-32
   0.132827   2.040629e-32
   0.134427   2.710119e-32
   0.136027   3.597253e-32
   0.137628   4.772129e-32
   0.139228   6.327202e-32
   0.140828   8.384357e-32
   0.142428   1.110417e-31
   0.144029   1.469810e-31
   0.145629   1.944440e-31
   0.147229   2.570907e-31
   0.148830   3.397321e-31
   0.150430   4.486889e-31
   0.152030   5.922601e-31
   0.153631   7.813365e-31
   0.155231   1.030201e-30
   0.156831   1.357578e-30
   0.158432   1.787992e-30
   0.160032   2.353558e-30
   0.161632   3.096298e-30
   0.163233   4.071169e-30
   0.164833   5.350001e-30
   0.166433   7.026629e-30
   0.168034   9.223561e-30
   0.169634   1.210065e-29
   0.171234   1.586636e-29
   0.172835   2.079238e-29
   0.174435   2.723263e-29
   0.176035   3.564785e-29
   0.177636   4.663755e-29
   0.179236   6.098126e-29
   0.180836   7.969216e-29
   0.182436   1.040862e-28
   0.184037   1.358718e-28
   0.185637   1.772653e-28
   0.187237   2.311409e-28
   0.188838   3.012231e-28
   0.190438   3.923359e-28
   0.192038   5.107241e-28
   0.193639   6.644666e-28
   0.195239   8.640092e-28
   0.196839   1.122851e-27
   0.198440   1.458425e-27
   0.200040   1.893235e-27
   0.201640   2.456312e-27
   0.203241   3.185085e-27
   0.204841   4.127783e-27
   0.206441   5.346520e-27
   0.208042   6.921241e-27
   0.209642   8.954786e-27
   0.211242   1.157937e-26
   0.212843   1.496487e-26
   0.214443   1.932945e-26
   0.216043   2.495310e-26
   0.217644   3.219497e-26
   0.219244   4.151546e-26
   0.220844   5.350448e-26
   0.222444   6.891741e-26
   0.224045   8.872095e-26
   0.225645   1.141516e-25
   0.227245   1.467898e-25
   0.228846   1.886551e-25
   0.230446   2.423257e-25
   0.232046   3.110921e-25
   0.233647   3.991507e-25
   0.235247   5.118507e-25
   0.236847   6.560064e-25
   0.238448   8.402941e-25
   0.240048   1.075754e-24
   0.241648   1.376427e-24
   0.243249   1.760158e-24
   0.244849   2.249618e-24
   0.246449   2.873586e-24
   0.248050   3.668581e-24
   0.249650   4.680912e-24
   0.251250   5.969271e-24
   0.252851   7.608001e-24
   0.254451   9.691215e-24
   0.256051   1.233799e-23
   0.257652   1.569889e-23
   0.259252   1.996420e-23
   0.260852   2.537427e-23
   0.262452   3.223246e-23
   0.264053   4.092152e-23
   0.265653   5.192406e-23
   0.267253   6.584820e-23
   0.268854   8.345985e-23
   0.270454   1.057231e-22
   0.272054   1.338506e-22
   0.273655   1.693672e-22
   0.275255   2.141889e-22
   0.276855   2.707216e-22
   0.278456   3.419852e-22
   0.280056   4.317676e-22
   0.281656   5.448179e-22
   0.283257   6.870860e-22
   0.284857   8.660227e-22
   0.286457   1.090953e-21
   0.288058   1.373539e-21
   0.289658   1.728361e-21
   0.291258   2.173634e-21
   0.292859   2.732102e-21
   0.294459   3.432146e-21
   0.296059   4.309164e-21
   0.297660   5.407278e-21
   0.299260   6.781456e-21
   0.300860   8.500130e-21
   0.302460   1.064846e-20
   0.304061   1.333233e-20
   0.305661   1.668338e-20
   0.307261   2.086510e-20
   0.308862   2.608047e-20
   0.310462   3.258132e-20
   0.312062   4.067996e-20
   0.313663   5.076340e-20
   0.315263   6.331102e-20
   0.316863   7.891625e-20
   0.318464   9.831323e-20
   0.320064   1.224097e-19
   0.321664   1.523275e-19
   0.323265   1.894520e-19
   0.324865   2.354933e-19
   0.326465   2.925609e-19
   0.328066   3.632558e-19
   0.329666   4.507827e-19
   0.331266   5.590882e-19
   0.332867   6.930298e-19
   0.334467   8.585822e-19
   0.336067   1.063091e-18
   0.337668   1.315580e-18
   0.339268   1.627131e-18
   0.340868   2.011344e-18
   0.342468   2.484898e-18
   0.344069   3.068239e-18
   0.345669   3.786416e-18
   0.347269   4.670097e-18
   0.348870   5.756811e-18
   0.350470   7.092452e-18
   0.352070   8.733118e-18
   0.353671   1.074733e-17
   0.355271   1.321875e-17
   0.356871   1.624945e-17
   0.358472   1.996390e-17
   0.360072   2.451379e-17
   0.361672   3.008390e-17
   0.363273   3.689913e-17
   0.364873   4.523313e-17
   0.366473   5.541860e-17
   0.368074   6.785985e-17
   0.369674   8.304791e-17
   0.371274   1.015788e-16
   0.372875   1.241754e-16
   0.374475   1.517144e-16
   0.376075   1.852578e-16
   0.377676   2.260916e-16
   0.379276   2.757725e-16
   0.380876   3.361831e-16
   0.382476   4.095993e-16
   0.384077   4.987709e-16
   0.385677   6.070177e-16
   0.387277   7.383462e-16
   0.388878   8.975884e-16
   0.390478   1.090568e-15
   0.392078   1.324302e-15
   0.393679   1.607235e-15
   0.395279   1.949532e-15
   0.396879   2.363414e-15
   0.398480   2.863568e-15
   0.400080   3.467639e-15
   0.401680   4.196803e-15
   0.403281   5.076469e-15
   0.404881   6.137103e-15
   0.406481   7.415210e-15
   0.408082   8.954513e-15
   0.409682   1.080734e-14
   0.411282   1.303630e-14
   0.412883   1.571622e-14
   0.414483   1.893653e-14
   0.416083   2.280401e-14
   0.417684   2.744609e-14
   0.419284   3.301475e-14
   0.420884   3.969119e-14
   0.422484   4.769125e-14
   0.424085   5.727191e-14
   0.425685   6.873898e-14
   0.427285   8.245613e-14
   0.428886   9.885559e-14
   0.430486   1.184508e-13
   0.432086   1.418513e-13
   0.433687   1.697801e-13
   0.435287   2.030949e-13
   0.436887   2.428116e-13
   0.438488   2.901339e-13
   0.440088   3.464862e-13
   0.441688   4.135536e-13
   0.443289   4.933284e-13
   0.444889   5.881646e-13
   0.446489   7.008420e-13
   0.448090   8.346411e-13
   0.449690   9.934314e-13
   0.451290   1.181774e-12
   0.452891   1.405042e-12
   0.454491   1.669563e-12
   0.456091   1.982781e-12
   0.457692   2.353451e-12
   0.459292   2.791862e-12
   0.460892   3.310100e-12
   0.462492   3.922354e-12
   0.464093   4.645270e-12
   0.465693   5.498364e-12
   0.467293   6.504509e-12
   0.468894   7.690490e-12
   0.470494   9.087657e-12
   0.472094   1.073268e-11
   0.473695   1.266844e-11
   0.475295   1.494501e-11
   0.476895   1.762090e-11
   0.478496   2.076434e-11
   0.480096   2.445495e-11
   0.481696   2.878550e-11
   0.483297   3.386408e-11
   0.484897   3.981651e-11
   0.486497   4.678919e-11
   0.488098   5.495236e-11
   0.489698   6.450384e-11
   0.491298   7.567341e-11
   0.492899   8.872774e-11
   0.494499   1.039762e-10
   0.496099   1.217775e-10
   0.497700   1.425472e-10
   0.499300   1.667664e-10
   0.500900   1.949920e-10
   0.502501   2.278682e-10
   0.504101   2.661393e-10
   0.505701   3.106653e-10
   0.507301   3.624390e-10
   0.508902   4.226058e-10
   0.510502   4.924867e-10
   0.512102   5.736038e-10
   0.513703   6.677102e-10
   0.515303   7.768236e-10
   0.516903   9.032651e-10
   0.518504   1.049703e-09
   0.520104   1.219204e-09
   0.521704   1.415287e-09
   0.523305   1.641992e-09
   0.524905   1.903953e-09
   0.526505   2.206478e-09
   0.528106   2.555651e-09
   0.529706   2.958435e-09
   0.531306   3.422795e-09
   0.532907   3.957839e-09
   0.534507   4.573976e-09
   0.536107   5.283091e-09
   0.537708   6.098749e-09
   0.539308   7.036421e-09
   0.540908   8.113745e-09
   0.542509   9.350812e-09
   0.544109   1.077050e-08
   0.545709   1.239883e-08
   0.547309   1.426540e-08
   0.548910   1.640385e-08
   0.550510   1.885237e-08
   0.552110   2.165432e-08
   0.553711   2.485889e-08
   0.555311   2.852182e-08
   0.556911   3.270628e-08
   0.558512   3.748380e-08
   0.560112   4.293530e-08
   0.561712   4.915230e-08
   0.563313   5.623823e-08
   0.564913   6.430990e-08
   0.566513   7.349918e-08
   0.568114   8.395482e-08
   0.569714   9.584450e-08
   0.571314   1.093572e-07
   0.572915   1.247055e-07
   0.574515   1.421289e-07
   0.576115   1.618967e-07
   0.577716   1.843112e-07
   0.579316   2.097123e-07
   0.580916   2.384814e-07
   0.582517   2.710464e-07
   0.584117   3.078870e-07
   0.585717   3.495403e-07
   0.587317   3.966083e-07
   0.588918   4.497640e-07
   0.590518   5.097603e-07
   0.592118   5.774386e-07
   0.593719   6.537385e-07
   0.595319   7.397088e-07
   0.596919   8.365192e-07
   0.598520   9.454738e-07
   0.600120   1.068025e-06
   0.601720   1.205791e-06
   0.603321   1.360570e-06
   0.604921   1.534364e-06
   0.606521   1.729395e-06
   0.608122   1.948132e-06
   0.609722   2.193315e-06
   0.611322   2.467984e-06
   0.612923   2.775504e-06
   0.614523   3.119607e-06
   0.616123   3.504422e-06
   0.617724   3.934516e-06
   0.619324   4.414939e-06
   0.620924   4.951269e-06
   0.622525   5.549666e-06
   0.624125   6.216924e-06
   0.625725   6.960537e-06
   0.627325   7.788760e-06
   0.628926   8.710687e-06
   0.630526   9.736321e-06
   0.632126   1.087667e-05
   0.633727   1.214382e-05
   0.635327   1.355105e-05
   0.636927   1.511295e-05
   0.638528   1.684551e-05
   0.640128   1.876624e-05
   0.641728   2.089435e-05
   0.643329   2.325086e-05
   0.644929   2.585875e-05
   0.646529   2.874316e-05
   0.648130   3.193154e-05
   0.649730   3.545388e-05
   0.651330   3.934287e-05
   0.652931   4.363418e-05
   0.654531   4.836665e-05
   0.656131   5.358258e-05
   0.657732   5.932800e-05
   0.659332   6.565295e-05
   0.660932   7.261181e-05
   0.662533   8.026361e-05
   0.664133   8.867242e-05
   0.665733   9.790770e-05
   0.667333   1.080447e-04
   0.668934   1.191650e-04
   0.670534   1.313568e-04
   0.672134   1.447153e-04
   0.673735   1.593438e-04
   0.675335   1.753534e-04
   0.676935   1.928642e-04
   0.678536   2.120057e-04
   0.680136   2.329173e-04
   0.681736   2.557494e-04
   0.683337   2.806634e-04
   0.684937   3.078332e-04
   0.686537   3.374454e-04
   0.688138   3.697006e-04
   0.689738   4.048136e-04
   0.691338   4.430152e-04
   0.692939   4.845521e-04
   0.694539   5.296889e-04
   0.696139   5.787082e-04
   0.697740   6.319124e-04
   0.699340   6.896243e-04
   0.700940   7.521885e-04
   0.702541   8.199724e-04
   0.704141   8.933678e-04
   0.705741   9.727914e-04
   0.707341   1.058687e-03
   0.708942   1.151527e-03
   0.710542   1.251811e-03
   0.712142   1.360073e-03
   0.713743   1.476875e-03
   0.715343   1.602817e-03
   0.716943   1.738531e-03
   0.718544   1.884688e-03
   0.720144   2.041997e-03
   0.721744   2.211205e-03
   0.723345   2.393103e-03
   0.724945   2.588524e-03
   0.726545   2.798346e-03
   0.728146   3.023494e-03
   0.729746   3.264940e-03
   0.731346   3.523708e-03
   0.732947   3.800869e-03
   0.734547   4.097551e-03
   0.736147   4.414935e-03
   0.737748   4.754258e-03
   0.739348   5.116813e-03
   0.740948   5.503955e-03
   0.742549   5.917095e-03
   0.744149   6.357710e-03
   0.745749   6.827337e-03
   0.747349   7.327578e-03
   0.748950   7.860098e-03
   0.750550   8.426629e-03
   0.752150   9.028972e-03
   0.753751   9.668991e-03
   0.755351   1.034862e-02
   0.756951   1.106986e-02
   0.758552   1.183478e-02
   0.760152   1.264553e-02
   0.761752   1.350430e-02
   0.763353   1.441337e-02
   0.764953   1.537509e-02
   0.766553   1.639185e-02
   0.768154   1.746614e-02
   0.769754   1.860048e-02
   0.771354   1.979748e-02
   0.772955   2.105979e-02
   0.774555   2.239014e-02
   0.776155   2.379128e-02
   0.777756   2.526605e-02
   0.779356   2.681732e-02
   0.780956   2.844800e-02
   0.782557   3.016106e-02
   0.784157   3.195950e-02
   0.785757   3.384634e-02
   0.787357   3.582465e-02
   0.788958   3.789750e-02
   0.790558   4.006800e-02
   0.792158   4.233926e-02
   0.793759   4.471438e-02
   0.795359   4.719649e-02
   0.796959   4.978868e-02
   0.798560   5.249403e-02
   0.800160   5.531561e-02
   0.801760   5.825644e-02
   0.803361   6.131950e-02
   0.804961   6.450772e-02
   0.806561   6.782398e-02
   0.808162   7.127107e-02
   0.809762   7.485171e-02
   0.811362   7.856853e-02
   0.812963   8.242406e-02
   0.814563   8.642070e-02
   0.816163   9.056075e-02
   0.817764   9.484637e-02
   0.819364   9.927956e-02
   0.820964   1.038622e-01
   0.822565   1.085959e-01
   0.824165   1.134822e-01
   0.825765   1.185225e-01
   0.827365   1.237178e-01
   0.828966   1.290690e-01
   0.830566   1.345768e-01
   0.832166   1.402416e-01
   0.833767   1.460636e-01
   0.835367   1.520427e-01
   0.836967   1.581786e-01
   0.838568   1.644706e-01
   0.840168   1.709177e-01
   0.841768   1.775189e-01
   0.843369   1.842724e-01
   0.844969   1.911765e-01
   0.846569   1.982291e-01
   0.848170   2.054274e-01
   0.849770   2.127689e-01
   0.851370   2.202501e-01
   0.852971   2.278676e-01
   0.854571   2.356175e-01
   0.856171   2.434955e-01
   0.857772   2.514970e-01
   0.859372   2.596170e-01
   0.860972   2.678501e-01
   0.862573   2.761906e-01
   0.864173   2.846326e-01
   0.865773   2.931694e-01
   0.867373   3.017944e-01
   0.868974   3.105004e-01
   0.870574   3.192799e-01
   0.872174   3.281250e-01
   0.873775   3.370278e-01
   0.875375   3.459795e-01
   0.876975   3.549716e-01
   0.878576   3.639948e-01
   0.880176   3.730399e-01
   0.881776   3.820972e-01
   0.883377   3.911567e-01
   0.884977   4.002084e-01
   0.886577   4.092419e-01
   0.888178   4.182466e-01
   0.889778   4.272117e-01
   0.891378   4.361264e-01
   0.892979   4.449795e-01
   0.894579   4.537599e-01
   0.896179   4.624562e-01
   0.897780   4.710572e-01
   0.899380   4.795513e-01
   0.900980   4.879271e-01
   0.902581   4.961731e-01
   0.904181   5.042780e-01
   0.905781   5.122303e-01
   0.907381   5.200186e-01
   0.908982   5.276318e-01
   0.910582   5.350588e-01
   0.912182   5.422887e-01
   0.913783   5.493106e-01
   0.915383   5.561141e-01
   0.916983   5.626887e-01
   0.918584   5.690245e-01
   0.920184   5.751117e-01
   0.921784   5.809408e-01
   0.923385   5.865027e-01
   0.924985   5.917886e-01
   0.926585   5.967901e-01
   0.928186   6.014992e-01
   0.929786   6.059084e-01
   0.931386   6.100105e-01
   0.932987   6.137989e-01
   0.934587   6.172674e-01
   0.936187   6.204104e-01
   0.937788   6.232226e-01
   0.939388   6.256994e-01
   0.940988   6.278368e-01
   0.942589   6.296312e-01
   0.944189   6.310796e-01
   0.945789   6.321797e-01
   0.947389   6.329295e-01
   0.948990   6.333279e-01
   0.950590   6.333741e-01
   0.952190   6.330681e-01
   0.953791   6.324105e-01
   0.955391   6.314022e-01
   0.956991   6.300450e-01
   0.958592   6.283412e-01
   0.960192   6.262935e-01
   0.961792   6.239054e-01
   0.963393   6.211807e-01
   0.964993   6.181241e-01
   0.966593   6.147405e-01
   0.968194   6.110355e-01
   0.969794   6.070151e-01
   0.971394   6.026859e-01
   0.972995   5.980548e-01
   0.974595   5.931293e-01
   0.976195   5.879172e-01
   0.977796   5.824270e-01
   0.979396   5.766671e-01
   0.980996   5.706468e-01
   0.982597   5.643753e-01
   0.984197   5.578624e-01
   0.985797   5.511180e-01
   0.987397   5.441524e-01
   0.988998   5.369761e-01
   0.990598   5.295998e-01
   0.992198   5.220344e-01
   0.993799   5.142909e-01
   0.995399   5.063806e-01
   0.996999   4.983147e-01
   0.998600   4.901046e-01
   1.000200   4.817617e-01
   1.001800   4.732975e-01
   1.003401   4.647235e-01
   1.005001   4.560511e-01
   1.006601   4.472917e-01
   1.008202   4.384566e-01
   1.009802   4.295570e-01
   1.011402   4.206041e-01
   1.013003   4.116087e-01
   1.014603   4.025818e-01
   1.016203   3.935338e-01
   1.017804   3.844754e-01
   1.019404   3.754165e-01
   1.021004   3.663673e-01
   1.022605   3.573374e-01
   1.024205   3.483363e-01
   1.025805   3.393731e-01
   1.027405   3.304566e-01
   1.029006   3.215956e-01
   1.030606   3.127981e-01
   1.032206   3.040720e-01
   1.033807   2.954251e-01
   1.035407   2.868644e-01
   1.037007   2.783970e-01
   1.038608   2.700292e-01
   1.040208   2.617673e-01
   1.041808   2.536171e-01
   1.043409   2.455840e-01
   1.045009   2.376731e-01
   1.046609   2.298892e-01
   1.048210   2.222366e-01
   1.049810   2.147192e-01
   1.051410   2.073407e-01
   1.053011   2.001045e-01
   1.054611   1.930135e-01
   1.056211   1.860702e-01
   1.057812   1.792769e-01
   1.059412   1.726356e-01
   1.061012   1.661479e-01
   1.062613   1.598151e-01
   1.064213   1.536382e-01
   1.065813   1.476179e-01
   1.067413   1.417546e-01
   1.069014   1.360485e-01
   1.070614   1.304996e-01
   1.072214   1.251073e-01
   1.073815   1.198711e-01
   1.075415   1.147903e-01
   1.077015   1.098637e-01
   1.078616   1.050900e-01
   1.080216   1.004679e-01
   1.081816   9.599565e-02
   1.083417   9.167149e-02
   1.085017   8.749343e-02
   1.086617   8.345936e-02
   1.088218   7.956702e-02
   1.089818   7.581403e-02
   1.091418   7.219790e-02
   1.093019   6.871601e-02
   1.094619   6.536568e-02
   1.096219   6.214413e-02
   1.097820   5.904849e-02
   1.099420   5.607587e-02
   1.101020   5.322328e-02
   1.102621   5.048771e-02
   1.104221   4.786612e-02
   1.105821   4.535542e-02
   1.107421   4.295251e-02
   1.109022   4.065429e-02
   1.110622   3.845765e-02
   1.112222   3.635946e-02
   1.113823   3.435664e-02
   1.115423   3.244609e-02
   1.117023   3.062474e-02
   1.118624   2.888956e-02
