 Eloss (eV)  Int/Int(10Dq)
   0.000000       0.784733
   0.001600       0.784635
   0.003201       0.784338
   0.004801       0.783839
   0.006401       0.783141
   0.008002       0.782244
   0.009602       0.781147
   0.011202       0.779853
   0.012803       0.778362
   0.014403       0.776675
   0.016003       0.774794
   0.017604       0.772721
   0.019204       0.770455
   0.020804       0.768001
   0.022404       0.765359
   0.024005       0.762531
   0.025605       0.759520
   0.027205       0.756329
   0.028806       0.752958
   0.030406       0.749412
   0.032006       0.745693
   0.033607       0.741803
   0.035207       0.737746
   0.036807       0.733524
   0.038408       0.729142
   0.040008       0.724601
   0.041608       0.719906
   0.043209       0.715060
   0.044809       0.710067
   0.046409       0.704930
   0.048010       0.699653
   0.049610       0.694240
   0.051210       0.688695
   0.052811       0.683021
   0.054411       0.677224
   0.056011       0.671306
   0.057612       0.665273
   0.059212       0.659128
   0.060812       0.652876
   0.062412       0.646521
   0.064013       0.640067
   0.065613       0.633519
   0.067213       0.626881
   0.068814       0.620158
   0.070414       0.613354
   0.072014       0.606474
   0.073615       0.599521
   0.075215       0.592501
   0.076815       0.585418
   0.078416       0.578277
   0.080016       0.571081
   0.081616       0.563836
   0.083217       0.556546
   0.084817       0.549215
   0.086417       0.541847
   0.088018       0.534448
   0.089618       0.527021
   0.091218       0.519570
   0.092819       0.512100
   0.094419       0.504615
   0.096019       0.497120
   0.097620       0.489617
   0.099220       0.482111
   0.100820       0.474607
   0.102420       0.467107
   0.104021       0.459617
   0.105621       0.452138
   0.107221       0.444676
   0.108822       0.437234
   0.110422       0.429816
   0.112022       0.422424
   0.113623       0.415062
   0.115223       0.407733
   0.116823       0.400441
   0.118424       0.393189
   0.120024       0.385979
   0.121624       0.378815
   0.123225       0.371699
   0.124825       0.364635
   0.126425       0.357624
   0.128026       0.350670
   0.129626       0.343774
   0.131226       0.336940
   0.132827       0.330169
   0.134427       0.323463
   0.136027       0.316825
   0.137628       0.310256
   0.139228       0.303759
   0.140828       0.297335
   0.142428       0.290986
