 Eloss (eV)  Int/Int(10Dq)
 -37.956603      -0.075981
 -37.924878      -0.051763
 -37.893154      -0.043060
 -37.861429      -0.027464
 -37.829704      -0.009660
 -37.797979      -0.011532
 -37.766254      -0.007311
 -37.734529      -0.020602
 -37.702804       0.002625
 -37.671079      -0.012000
 -37.639354      -0.013594
 -37.607629      -0.013855
 -37.575904      -0.004147
 -37.544180      -0.009111
 -37.512455      -0.013049
 -37.480730      -0.014910
 -37.449005      -0.008889
 -37.417280      -0.018540
 -37.385555      -0.010991
 -37.353830      -0.013386
 -37.322105      -0.003519
 -37.290380      -0.011269
 -37.258655      -0.006088
 -37.226930      -0.011884
 -37.195205      -0.011130
 -37.163481      -0.022022
 -37.131756      -0.022975
 -37.100031      -0.032820
 -37.068306      -0.006176
 -37.036581      -0.006691
 -37.004856      -0.013410
 -36.973131      -0.012657
 -36.941406      -0.002532
 -36.909681      -0.007480
 -36.877956      -0.013067
 -36.846231      -0.011665
 -36.814507       0.000659
 -36.782782      -0.007493
 -36.751057      -0.014218
 -36.719332      -0.017797
 -36.687607      -0.002491
 -36.655882      -0.012080
 -36.624157      -0.009624
 -36.592432      -0.017970
 -36.560707      -0.001526
 -36.528982      -0.013030
 -36.497257      -0.014658
 -36.465533      -0.018246
 -36.433808      -0.002902
 -36.402083      -0.008079
 -36.370358      -0.017384
 -36.338633      -0.019940
 -36.306908      -0.002483
 -36.275183      -0.010585
 -36.243458      -0.015628
 -36.211733      -0.015716
 -36.180008      -0.004429
 -36.148283      -0.009422
 -36.116559      -0.009207
 -36.084834      -0.008877
 -36.053109      -0.000037
 -36.021384      -0.013880
 -35.989659      -0.015545
 -35.957934      -0.016100
 -35.926209      -0.006570
 -35.894484      -0.010718
 -35.862759      -0.016011
 -35.831034      -0.016265
 -35.799309      -0.012365
 -35.767584      -0.011489
 -35.735860      -0.011586
 -35.704135      -0.013319
 -35.672410      -0.000660
 -35.640685      -0.010639
 -35.608960      -0.015308
 -35.577235      -0.010082
 -35.545510       0.006732
 -35.513785      -0.009297
 -35.482060      -0.013206
 -35.450335      -0.023734
 -35.418610      -0.016111
 -35.386886      -0.005226
 -35.355161      -0.009830
 -35.323436      -0.019139
 -35.291711      -0.001125
 -35.259986      -0.011208
 -35.228261      -0.007924
 -35.196536      -0.007949
 -35.164811      -0.000694
 -35.133086       0.002738
 -35.101361      -0.006464
 -35.069636      -0.011112
 -35.037912      -0.009279
