 Eloss (eV)  Int/Int(10Dq)
  -0.500000       0.025929
  -0.492492       0.026465
  -0.484985       0.027022
  -0.477477       0.027600
  -0.469970       0.028201
  -0.462462       0.028826
  -0.454955       0.029476
  -0.447447       0.030153
  -0.439940       0.030858
  -0.432432       0.031593
  -0.424925       0.032360
  -0.417417       0.033161
  -0.409910       0.033998
  -0.402402       0.034873
  -0.394895       0.035789
  -0.387387       0.036748
  -0.379880       0.037753
  -0.372372       0.038807
  -0.364865       0.039914
  -0.357357       0.041077
  -0.349850       0.042300
  -0.342342       0.043587
  -0.334835       0.044944
  -0.327327       0.046374
  -0.319820       0.047884
  -0.312312       0.049479
  -0.304805       0.051166
  -0.297297       0.052952
  -0.289790       0.054845
  -0.282282       0.056854
  -0.274775       0.058986
  -0.267267       0.061253
  -0.259760       0.063666
  -0.252252       0.066236
  -0.244745       0.068977
  -0.237237       0.071903
  -0.229730       0.075030
  -0.222222       0.078374
  -0.214715       0.081954
  -0.207207       0.085791
  -0.199700       0.089905
  -0.192192       0.094319
  -0.184685       0.099059
  -0.177177       0.104151
  -0.169670       0.109621
  -0.162162       0.115499
  -0.154655       0.121813
  -0.147147       0.128591
  -0.139640       0.135860
  -0.132132       0.143645
  -0.124625       0.151963
  -0.117117       0.160828
  -0.109610       0.170239
  -0.102102       0.180184
  -0.094595       0.190630
  -0.087087       0.201519
  -0.079580       0.212766
  -0.072072       0.224248
  -0.064565       0.235802
  -0.057057       0.247224
  -0.049550       0.258268
  -0.042042       0.268651
  -0.034535       0.278066
  -0.027027       0.286199
  -0.019520       0.292748
  -0.012012       0.297453
  -0.004505       0.300120
   0.003003       0.300641
   0.010511       0.299005
   0.018018       0.295303
   0.025526       0.289713
   0.033033       0.282483
   0.040541       0.273910
   0.048048       0.264308
   0.055556       0.253987
   0.063063       0.243236
   0.070571       0.232311
   0.078078       0.221423
   0.085586       0.210745
   0.093093       0.200407
   0.100601       0.190503
   0.108108       0.181096
   0.115616       0.172223
   0.123123       0.163903
   0.130631       0.156135
   0.138138       0.148913
   0.145646       0.142217
   0.153153       0.136026
   0.160661       0.130313
   0.168168       0.125052
   0.175676       0.120213
   0.183183       0.115769
   0.190691       0.111694
   0.198198       0.107960
   0.205706       0.104545
   0.213213       0.101424
   0.220721       0.098577
   0.228228       0.095985
   0.235736       0.093628
   0.243243       0.091492
   0.250751       0.089560
   0.258258       0.087818
   0.265766       0.086256
   0.273273       0.084860
   0.280781       0.083622
   0.288288       0.082531
   0.295796       0.081579
   0.303303       0.080759
   0.310811       0.080065
   0.318318       0.079489
   0.325826       0.079027
   0.333333       0.078675
   0.340841       0.078427
   0.348348       0.078281
   0.355856       0.078233
   0.363363       0.078280
   0.370871       0.078421
   0.378378       0.078654
   0.385886       0.078977
   0.393393       0.079389
   0.400901       0.079890
   0.408408       0.080479
   0.415916       0.081157
   0.423423       0.081923
   0.430931       0.082779
   0.438438       0.083726
   0.445946       0.084765
   0.453453       0.085898
   0.460961       0.087127
   0.468468       0.088454
