 Charge Transfer (eV)  Eigenvalues Row 1
            -1.200000          10.545089
            -1.151020          10.515340
            -1.102041          10.486408
            -1.053061          10.458364
            -1.004082          10.431299
            -0.955102          10.405328
            -0.906122          10.380604
            -0.857143          10.357330
            -0.808163          10.335778
            -0.759184          10.316324
            -0.710204          10.299491
            -0.661224          10.286004
            -0.612245          10.276863
            -0.563265          10.273376
            -0.514286          10.277089
            -0.465306          10.289479
            -0.416327          10.311419
            -0.367347          10.342743
            -0.318367          10.382319
            -0.269388          10.428562
            -0.220408          10.479935
            -0.171429          10.535190
            -0.122449          10.593394
            -0.073469          10.653879
            -0.024490          10.716170
             0.024490          10.779927
             0.073469          10.844905
             0.122449          10.910923
             0.171429          10.977847
             0.220408          11.045573
             0.269388          11.114024
             0.318367          11.183135
             0.367347          11.252859
             0.416327          11.323153
             0.465306          11.393986
             0.514286          11.465329
             0.563265          11.537159
             0.612245          11.609456
             0.661224          11.682203
             0.710204          11.755384
             0.759184          11.828987
             0.808163          11.902999
             0.857143          11.977410
             0.906122          12.052209
             0.955102          12.127387
             1.004082          12.202937
             1.053061          12.278850
             1.102041          12.355118
             1.151020          12.431736
             1.200000          12.508695
