  Cp (eV)  Eigenvalues Row 2
-0.120000          10.294894
-0.115102          10.293739
-0.110204          10.292638
-0.105306          10.291588
-0.100408          10.290590
-0.095510          10.289643
-0.090612          10.288747
-0.085714          10.287902
-0.080816          10.287106
-0.075918          10.286360
-0.071020          10.285663
-0.066122          10.285015
-0.061224          10.284415
-0.056327          10.283863
-0.051429          10.283359
-0.046531          10.282902
-0.041633          10.282491
-0.036735          10.282127
-0.031837          10.281809
-0.026939          10.281537
-0.022041          10.281310
-0.017143          10.281127
-0.012245          10.280990
-0.007347          10.280896
-0.002449          10.280847
 0.002449          10.280850
 0.007347          10.280905
 0.012245          10.281004
 0.017143          10.281145
 0.022041          10.281328
 0.026939          10.281553
 0.031837          10.281820
 0.036735          10.282128
 0.041633          10.282477
 0.046531          10.282867
 0.051429          10.283298
 0.056327          10.283768
 0.061224          10.284279
 0.066122          10.284829
 0.071020          10.285418
 0.075918          10.286046
 0.080816          10.286713
 0.085714          10.287419
 0.090612          10.288163
 0.095510          10.288946
 0.100408          10.289766
 0.105306          10.290623
 0.110204          10.291519
 0.115102          10.292451
 0.120000          10.293420
