     pdsi  Eigenvalues Row 1
-0.700000           9.482128
-0.707755           9.507396
-0.715510           9.532746
-0.723265           9.558179
-0.731020           9.583697
-0.738776           9.609300
-0.746531           9.634991
-0.754286           9.660772
-0.762041           9.686643
-0.769796           9.712607
-0.777551           9.738666
-0.785306           9.764822
-0.793061           9.791076
-0.800816           9.817431
-0.808571           9.843890
-0.816327           9.870453
-0.824082           9.897125
-0.831837           9.923906
-0.839592           9.950801
-0.847347           9.977811
-0.855102          10.004939
-0.862857          10.032188
-0.870612          10.059560
-0.878367          10.087059
-0.886122          10.114688
-0.893878          10.142450
-0.901633          10.170348
-0.909388          10.198384
-0.917143          10.226563
-0.924898          10.254888
-0.932653          10.283362
-0.940408          10.311988
-0.948163          10.340770
-0.955918          10.369711
-0.963673          10.398815
-0.971429          10.428086
-0.979184          10.457526
-0.986939          10.487139
-0.994694          10.516929
-1.002449          10.546898
-1.010204          10.577052
-1.017959          10.607392
-1.025714          10.637922
-1.033469          10.668645
-1.041224          10.699564
-1.048980          10.730683
-1.056735          10.762004
-1.064490          10.793531
-1.072245          10.825265
-1.080000          10.857209
