 Eloss (eV)    Int (a.u.)
   0.000000  5.458491e-17
   0.001600  6.389428e-17
   0.003201  7.477218e-17
   0.004801  8.747962e-17
   0.006401  1.023204e-16
   0.008002  1.196483e-16
   0.009602  1.398749e-16
   0.011202  1.634788e-16
   0.012803  1.910169e-16
   0.014403  2.231367e-16
   0.016003  2.605907e-16
   0.017604  3.042534e-16
   0.019204  3.551410e-16
   0.020804  4.144335e-16
   0.022404  4.835013e-16
   0.024005  5.639352e-16
   0.025605  6.575813e-16
   0.027205  7.665816e-16
   0.028806  8.934208e-16
   0.030406  1.040980e-15
   0.032006  1.212600e-15
   0.033607  1.412152e-15
   0.035207  1.644122e-15
   0.036807  1.913707e-15
   0.038408  2.226924e-15
   0.040008  2.590742e-15
   0.041608  3.013225e-15
   0.043209  3.503707e-15
   0.044809  4.072984e-15
   0.046409  4.733543e-15
   0.048010  5.499823e-15
   0.049610  6.388514e-15
   0.051210  7.418902e-15
   0.052811  8.613273e-15
   0.054411  9.997363e-15
   0.056011  1.160089e-14
   0.057612  1.345818e-14
   0.059212  1.560880e-14
   0.060812  1.809847e-14
   0.062412  2.097986e-14
   0.064013  2.431377e-14
   0.065613  2.817025e-14
   0.067213  3.263005e-14
   0.068814  3.778622e-14
   0.070414  4.374597e-14
   0.072014  5.063272e-14
   0.073615  5.858861e-14
   0.075215  6.777724e-14
   0.076815  7.838687e-14
   0.078416  9.063406e-14
   0.080016  1.047679e-13
   0.081616  1.210748e-13
   0.083217  1.398840e-13
   0.084817  1.615739e-13
   0.086417  1.865791e-13
   0.088018  2.153989e-13
   0.089618  2.486066e-13
   0.091218  2.868604e-13
   0.092819  3.309156e-13
   0.094419  3.816389e-13
   0.096019  4.400244e-13
   0.097620  5.072120e-13
   0.099220  5.845089e-13
   0.100820  6.734128e-13
   0.102420  7.756403e-13
   0.104021  8.931576e-13
   0.105621  1.028216e-12
   0.107221  1.183395e-12
   0.108822  1.361644e-12
   0.110422  1.566341e-12
   0.112022  1.801348e-12
   0.113623  2.071084e-12
   0.115223  2.380600e-12
   0.116823  2.735672e-12
   0.118424  3.142897e-12
   0.120024  3.609817e-12
   0.121624  4.145041e-12
   0.123225  4.758403e-12
   0.124825  5.461128e-12
   0.126425  6.266027e-12
   0.128026  7.187715e-12
   0.129626  8.242864e-12
   0.131226  9.450487e-12
   0.132827  1.083226e-11
   0.134427  1.241288e-11
   0.136027  1.422049e-11
   0.137628  1.628717e-11
   0.139228  1.864942e-11
   0.140828  2.134881e-11
   0.142428  2.443266e-11
   0.144029  2.795481e-11
   0.145629  3.197651e-11
   0.147229  3.656742e-11
   0.148830  4.180675e-11
   0.150430  4.778451e-11
   0.152030  5.460301e-11
   0.153631  6.237847e-11
   0.155231  7.124291e-11
   0.156831  8.134620e-11
   0.158432  9.285849e-11
   0.160032  1.059729e-10
   0.161632  1.209084e-10
   0.163233  1.379136e-10
   0.164833  1.572701e-10
   0.166433  1.792975e-10
   0.168034  2.043577e-10
   0.169634  2.328608e-10
   0.171234  2.652714e-10
   0.172835  3.021157e-10
   0.174435  3.439893e-10
   0.176035  3.915662e-10
   0.177636  4.456093e-10
   0.179236  5.069814e-10
   0.180836  5.766583e-10
   0.182436  6.557431e-10
   0.184037  7.454829e-10
   0.185637  8.472866e-10
   0.187237  9.627460e-10
   0.188838  1.093659e-09
   0.190438  1.242055e-09
   0.192038  1.410224e-09
   0.193639  1.600754e-09
   0.195239  1.816559e-09
   0.196839  2.060930e-09
   0.198440  2.337576e-09
   0.200040  2.650677e-09
   0.201640  3.004947e-09
   0.203241  3.405692e-09
   0.204841  3.858893e-09
   0.206441  4.371282e-09
   0.208042  4.950438e-09
   0.209642  5.604891e-09
   0.211242  6.344237e-09
   0.212843  7.179272e-09
