 Charge Transfer (eV)  pdsigma (eV)  Eigenvalues Row 1  Eigenvalues Row 2  Eigenvalues Row 3  Eigenvalues Row 4  Eigenvalues Row 5  Eigenvalues Row 6  Eigenvalues Row 7  Eigenvalues Row 8  Eigenvalues Row 9  Eigenvalues Row 10  Eigenvalues Row 11  Eigenvalues Row 12  Eigenvalues Row 13  Eigenvalues Row 14  Eigenvalues Row 15  Eigenvalues Row 16  Eigenvalues Row 17  Eigenvalues Row 18  Eigenvalues Row 19  Eigenvalues Row 20  Eigenvalues Row 21  Eigenvalues Row 22  Eigenvalues Row 23  Eigenvalues Row 24  Eigenvalues Row 25  Eigenvalues Row 26  Eigenvalues Row 27  Eigenvalues Row 28  Eigenvalues Row 29  Eigenvalues Row 30
            -0.800000     -0.850000           0.502550           0.518844           0.535447           0.552334           0.569479           0.586842           0.604375           0.622010           0.639654            0.657173            0.674370            0.690941            0.706410            0.720037            0.730786            0.737603            0.740127            0.739038            0.735461            0.730332            0.724261            0.717616            0.710619            0.703410            0.696078            0.688687            0.681278            0.673883            0.666527            0.659228
            -0.755172     -0.857931           0.503779           0.520019           0.536565           0.553397           0.570489           0.587804           0.605300           0.622914           0.640563            0.658132            0.675450            0.692260            0.708160            0.722524            0.734422            0.742755            0.746821            0.746933            0.744134            0.739468            0.733664            0.727166            0.720244            0.713064            0.705733            0.698320            0.690876            0.683436            0.676026            0.668668
            -0.710345     -0.865862           0.504977           0.521162           0.537651           0.554426           0.571462           0.588727           0.606180           0.623765           0.641410            0.659011            0.676421            0.693420            0.709671            0.724644            0.737532            0.747270            0.752921            0.754392            0.752529            0.748436            0.742964            0.736655            0.729833            0.722699            0.715378            0.707952            0.700479            0.692997            0.685538            0.678122
            -0.665517     -0.873793           0.506145           0.522273           0.538705           0.555421           0.572400           0.589612           0.607018           0.624569           0.642199            0.659817            0.677294            0.694443            0.710977            0.726451            0.740175            0.751171            0.758388            0.761347            0.760588            0.757196            0.752139            0.746067            0.739377            0.732308            0.725011            0.717581            0.710084            0.702567            0.695061            0.687591
            -0.620690     -0.881724           0.507283           0.523354           0.539727           0.556385           0.573305           0.590461           0.607817           0.625328           0.642935            0.660557            0.678081            0.695345            0.712106            0.727989            0.742411            0.754506            0.763205            0.767734            0.768246            0.765702            0.761159            0.755386            0.748864            0.741885            0.734626            0.727202            0.719690            0.712141            0.704593            0.697073
            -0.575862     -0.889655           0.508392           0.524407           0.540720           0.557318           0.574178           0.591275           0.608579           0.626046           0.643623            0.661238            0.678791            0.696142            0.713083            0.729299            0.744297            0.757330            0.767384            0.773499            0.775432            0.773901            0.769990            0.764590            0.758281            0.751419            0.744217            0.736812            0.729293            0.721719            0.714133            0.706566
            -0.531034     -0.897586           0.509474           0.525431           0.541685           0.558221           0.575020           0.592058           0.609306           0.626725           0.644266            0.661864            0.679432            0.696846            0.713928            0.730412            0.745883            0.759705            0.770961            0.778615            0.782078            0.781728            0.778587            0.773651            0.767612            0.760900            0.753778            0.746406            0.738889            0.731298            0.723679            0.716069
            -0.486207     -0.905517           0.510529           0.526428           0.542622           0.559096           0.575833           0.592810           0.610000           0.627367           0.644867            0.662440            0.680010            0.697467            0.714659            0.731357            0.747213            0.761691            0.773986            0.783076            0.788124            0.789116            0.786902            0.782537            0.776835            0.770317            0.763300            0.755978            0.748476            0.740874            0.733229            0.725581
            -0.441379     -0.913448           0.511558           0.527399           0.543532           0.559944           0.576618           0.593533           0.610662           0.627975           0.645429            0.662971            0.680532            0.698016            0.715289            0.732157            0.748326            0.763344            0.776521            0.786906            0.793526            0.795995            0.794874            0.791209            0.785927            0.779653            0.772773            0.765521            0.758047            0.750445            0.742781            0.735099
            -0.396552     -0.921379           0.512562           0.528344           0.544416           0.560766           0.577376           0.594227           0.611295           0.628551           0.645955            0.663460            0.681003            0.698499            0.715831            0.732832            0.749253            0.764713            0.778628            0.790149            0.798267            0.802297            0.802437            0.799621            0.794858            0.788890            0.782185            0.775029            0.767598            0.760007            0.752330            0.744621
