 Incident Energy (eV)  Int (a.u.)
              849.999    0.171454
              849.998    0.169706
              849.998    0.169652
              850.078    0.164542
              850.078    0.159405
              850.078    0.153623
              850.093    0.148298
              850.093    0.144613
              850.196    0.143026
              850.196    0.142058
              850.297    0.142461
              850.297    0.142784
              850.297    0.142703
              850.297    0.138508
              850.394    0.135630
              850.394    0.134232
              850.497    0.131488
              850.497    0.131596
              850.593    0.139664
              850.593    0.140444
              850.593    0.137674
              850.659    0.138589
              850.659    0.134716
              850.695    0.134474
              850.695    0.124523
              850.794    0.123823
              850.794    0.128449
              850.884    0.132188
              850.884    0.133586
              850.896    0.133237
              850.896    0.124307
              850.996    0.127911
              850.996    0.135146
              851.095    0.123259
              851.095    0.118794
              851.095    0.120919
              851.095    0.118041
              851.095    0.120757
              851.195    0.131166
              851.195    0.122532
              851.296    0.115486
              851.296    0.114276
              851.391    0.107902
              851.391    0.109031
              851.391    0.114652
              851.395    0.106584
              851.395    0.102684
              851.495    0.101662
              851.495    0.101097
              851.596    0.103841
              851.596    0.111963
              851.690    0.109973
              851.690    0.106154
              851.690    0.106880
              851.695    0.105132
              851.695    0.105911
              851.797    0.111344
              851.797    0.106315
              851.894    0.105723
              851.894    0.114007
              851.894    0.113576
              851.894    0.113227
              851.997    0.116212
              851.997    0.113200
              852.097    0.115002
              852.097    0.115647
              852.189    0.107579
              852.189    0.109139
              852.189    0.116266
              852.253    0.115325
              852.253    0.115109
              852.297    0.116992
              852.297    0.120354
              852.394    0.125948
              852.394    0.132941
              852.493    0.129014
              852.493    0.132699
              852.493    0.143725
              852.497    0.146603
              852.497    0.151256
              852.596    0.155075
              852.596    0.160454
              852.695    0.171750
              852.695    0.190495
              852.781    0.200957
              852.781    0.210371
              852.781    0.228283
              852.797    0.258109
              852.797    0.284277
              852.896    0.308294
              852.993    0.333495
              852.993    0.362971
              852.993    0.402937
              853.049    0.461836
              853.049    0.504169
              853.097    0.536120
              853.097    0.603303
              853.194    0.666774
              853.194    0.724060
              853.294    0.763326
              853.294    0.799634
              853.294    0.833791
              853.350    0.876015
              853.350    0.927115
              853.394    0.970954
              853.394    1.000000
              853.496    0.999731
              853.496    0.993276
              853.578    0.939756
              853.578    0.916088
              853.578    0.915282
              853.595    0.860954
              853.595    0.827605
              853.695    0.822495
              853.793    0.722177
              853.793    0.658706
              853.793    0.642031
              853.890    0.589855
              853.890    0.558926
              853.893    0.536362
              853.893    0.466193
              853.995    0.429240
              853.995    0.426793
              854.090    0.392663
              854.090    0.371658
              854.090    0.362891
              854.095    0.350143
              854.095    0.339277
              854.195    0.330509
              854.195    0.307864
              854.294    0.296703
              854.294    0.292776
              854.386    0.278280
              854.386    0.272820
              854.386    0.272820
              854.395    0.263434
              854.395    0.259669
              854.494    0.255392
              854.494    0.235248
              854.596    0.226884
              854.596    0.229547
              854.689    0.222930
              854.689    0.219300
              854.689    0.220026
              854.694    0.200554
              854.794    0.190926
              854.794    0.188855
              854.893    0.175246
              854.893    0.172476
              854.893    0.173552
              854.897    0.164972
              854.897    0.159647
              854.994    0.158598
              854.994    0.149992
              855.097    0.146657
              855.097    0.150153
              855.189    0.141170
              855.189    0.135953
              855.189    0.134823
              855.197    0.126325
              855.197    0.124576
              855.294    0.127911
              855.294         NaN
              855.394         NaN
              855.394    0.118552
              855.489    0.109892
              855.489    0.106503
              855.489    0.108897
              855.493    0.101124
              855.493    0.100828
              855.596    0.106476
              855.596    0.097816
              855.694    0.093083
              855.694    0.097816
              855.789    0.094185
              855.789    0.094589
              855.794    0.098220
              855.794    0.086278
              855.894    0.084907
              855.894    0.088780
              855.994    0.086574
              855.994    0.087220
              855.994    0.091684
              855.995    0.080953
              855.995    0.077564
              856.095    0.083562
              856.095    0.094239
              856.195    0.101474
              856.195    0.104352
              856.292    0.095046
              856.292    0.092921
              856.292    0.100156
              856.295    0.095261
              856.295    0.091846
              856.395    0.094454
              856.395    0.094293
              856.495    0.094320
              856.495    0.097467
              856.590    0.091469
              856.590    0.092948
              856.590    0.097816
              856.595    0.101017
              856.595    0.104647
              856.696    0.107444
              856.696    0.100748
              856.794    0.100586
              856.794    0.103222
              856.879    0.098569
              856.879    0.099484
              856.895    0.103195
              856.895    0.095019
              856.995    0.093432
              856.995    0.100694
              857.092    0.096229
              857.092    0.094912
              857.092    0.097198
              857.095    0.087004
              857.095    0.084826
              857.195    0.087435
              857.195    0.076811
              857.293    0.072105
              857.293    0.075359
              857.390    0.068824
              857.390    0.068582
              857.390    0.073826
              857.394    0.063364
              857.394    0.059357
              857.495    0.063203
              857.495    0.062853
              857.596    0.067667
              857.596    0.074740
              857.680    0.073853
              857.680    0.072159
              857.680    0.080146
              857.695    0.075762
              857.695    0.074041
              857.797    0.076704
              857.894    0.070599
              857.894    0.068582
              857.894    0.075036
              857.894    0.080388
              857.894    0.084100
              857.997    0.091846
              857.997    0.079904
              858.097    0.076139
              858.097    0.080657
              858.191    0.072051
              858.191    0.071782
              858.191    0.079017
              858.195    0.076273
              858.195    0.073987
              858.298    0.077107
              858.298    0.066645
              858.397    0.068393
              858.397    0.079743
              858.488    0.073476
              858.488    0.067210
              858.488    0.072535
              858.496    0.062880
              858.496    0.057044
              858.598    0.058496
              858.598    0.049809
              858.696    0.047496
              858.696    0.050239
              858.790    0.042467
              858.790    0.040584
              858.790    0.045856
              858.795    0.038110
              858.897    0.033995
              858.897    0.036523
              858.994    0.029208
              858.994    0.025147
              858.994    0.026357
              858.994    0.021166
              858.994    0.023345
              859.094    0.027540
              859.094    0.014738
              859.194    0.011538
              859.194    0.015787
              859.292    0.011242
              859.292    0.009709
              859.292    0.012183
              859.295    0.009978
              859.295    0.011672
              859.395    0.018288
              859.395    0.010650
              859.494    0.008929
              859.494    0.013582
              859.590    0.008526
              859.590    0.005890
              859.590    0.011592
              859.595    0.004733
              859.595    0.002017
              859.694    0.005379
              859.694   -0.001560
              859.794   -0.000296
              859.794    0.008149
              859.796    0.005433
              859.796    0.005110
              859.895    0.008284
              859.895    0.001856
              859.995    0.002232
              859.995    0.005755
              860.091   -0.006024
              860.091   -0.005594
              860.091    0.000000
