 Incident Energy (eV)  Int (a.u.)
                850.0    0.000000
                850.1    0.000950
                850.2    0.003642
                850.3    0.007168
                850.4    0.011522
                850.5    0.015701
                850.6    0.020923
                850.7    0.026479
                850.8    0.032789
                850.9    0.039644
                851.0    0.047524
                851.1    0.056610
                851.2    0.067222
                851.3    0.079553
                851.4    0.093724
                851.5    0.110962
                851.6    0.131349
                851.7    0.157001
                851.8    0.188257
                851.9    0.226219
                852.0    0.273108
                852.1    0.331529
                852.2    0.407004
                852.3    0.500740
                852.4    0.614015
                852.5    0.737820
                852.6    0.859151
                852.7    0.952427
                852.8    1.000000
                852.9    0.993456
                853.0    0.938021
                853.1    0.848548
                853.2    0.740049
                853.3    0.635332
                853.4    0.548671
                853.5    0.490393
                853.6    0.454097
                853.7    0.432217
                853.8    0.414734
                853.9    0.398856
                854.0    0.381924
                854.1    0.364502
                854.2    0.346692
                854.3    0.327082
                854.4    0.305355
                854.5    0.281430
                854.6    0.257976
                854.7    0.236730
                854.8    0.219379
                854.9    0.207550
                855.0    0.199698
                855.1    0.195956
                855.2    0.194913
                855.3    0.197632
                855.4    0.203624
                855.5    0.212611
                855.6    0.224502
                855.7    0.238621
                855.8    0.254121
                855.9    0.271820
                856.0    0.288587
                856.1    0.303443
                856.2    0.311582
                856.3    0.314864
                856.4    0.312931
                856.5    0.307553
                856.6    0.299936
                856.7    0.291931
                856.8    0.286011
                856.9    0.282473
                857.0    0.281604
                857.1    0.283659
                857.2    0.288076
                857.3    0.293802
                857.4    0.297523
                857.5    0.299343
                857.6    0.297125
                857.7    0.291419
                857.8    0.278210
                857.9    0.258538
                858.0    0.233305
                858.1    0.207386
                858.2    0.185118
                858.3    0.168136
                858.4    0.157339
                858.5    0.149793
                858.6    0.144201
                858.7    0.140469
                858.8    0.137698
                858.9    0.136205
                859.0    0.134385
                859.1    0.132831
                859.2    0.131676
                859.3    0.131103
                859.4    0.131185
                859.5    0.132156
                859.6    0.132668
                859.7    0.133997
                859.8    0.134477
                859.9    0.134794
                860.0    0.133915
