 delta (eV)  Eigenvalues Row 1  Eigenvalues Row 2  Eigenvalues Row 3  Eigenvalues Row 4  Eigenvalues Row 5  Eigenvalues Row 6  Eigenvalues Row 7  Eigenvalues Row 8  Eigenvalues Row 9  Eigenvalues Row 10  Eigenvalues Row 11  Eigenvalues Row 12  Eigenvalues Row 13  Eigenvalues Row 14  Eigenvalues Row 15  Eigenvalues Row 16  Eigenvalues Row 17  Eigenvalues Row 18  Eigenvalues Row 19  Eigenvalues Row 20  Eigenvalues Row 21  Eigenvalues Row 22  Eigenvalues Row 23  Eigenvalues Row 24  Eigenvalues Row 25  Eigenvalues Row 26  Eigenvalues Row 27  Eigenvalues Row 28  Eigenvalues Row 29  Eigenvalues Row 30  Eigenvalues Row 31  Eigenvalues Row 32  Eigenvalues Row 33  Eigenvalues Row 34  Eigenvalues Row 35  Eigenvalues Row 36  Eigenvalues Row 37  Eigenvalues Row 38  Eigenvalues Row 39  Eigenvalues Row 40  Eigenvalues Row 41  Eigenvalues Row 42  Eigenvalues Row 43  Eigenvalues Row 44  Eigenvalues Row 45
   0.000000                0.0       1.776357e-15       7.105427e-15           1.050000           1.050000           1.050000           1.050000           1.050000           1.050000            1.050000            1.050000            1.050000            1.244691            1.244691            1.678186            1.678186            1.678186            1.678186            1.678186            1.678186            1.678186            1.678186            1.678186            2.117706            2.262879            2.262879            2.262879            2.665870            2.665870            2.665870            2.722806            2.722806            2.722806            2.722806            2.722806            2.722806            2.722806            2.722806            2.722806            3.503252            3.503252            3.535064            3.535064            3.535064            5.585718
  -0.003061                0.0       1.776357e-15       2.220446e-15           1.046939           1.046939           1.046939           1.051505           1.051505           1.051505            1.051505            1.051505            1.051505            1.244691            1.244691            1.674031            1.674031            1.674031            1.680284            1.680284            1.680284            1.680284            1.680284            1.680284            2.117696            2.260318            2.264108            2.264108            2.662808            2.667448            2.667448            2.717777            2.717777            2.717777            2.725326            2.725326            2.725326            2.725326            2.725326            2.725326            3.502664            3.502664            3.532845            3.532845            3.540666            5.585749
  -0.006122                0.0       4.440892e-16       1.776357e-15           1.043878           1.043878           1.043878           1.052957           1.052957           1.052957            1.052957            1.052957            1.052957            1.244691            1.244691            1.669871            1.669871            1.669871            1.682423            1.682423            1.682423            1.682423            1.682423            1.682423            2.117666            2.257755            2.265235            2.265235            2.659747            2.669123            2.669123            2.712753            2.712753            2.712753            2.727856            2.727856            2.727856            2.727856            2.727856            2.727856            3.500823            3.500823            3.531885            3.531885            3.546225            5.585843
  -0.009184                0.0       4.440892e-16       1.776357e-15           1.040816           1.040816           1.040816           1.054357           1.054357           1.054357            1.054357            1.054357            1.054357            1.244690            1.244690            1.665708            1.665708            1.665708            1.684605            1.684605            1.684605            1.684605            1.684605            1.684605            2.117616            2.255191            2.266261            2.266261            2.656686            2.670892            2.670892            2.707733            2.707733            2.707733            2.730396            2.730396            2.730396            2.730396            2.730396            2.730396            3.497826            3.497826            3.532087            3.532087            3.551743            5.586001
  -0.012245                0.0       1.332268e-15       1.332268e-15           1.037755           1.037755           1.037755           1.055706           1.055706           1.055706            1.055706            1.055706            1.055706            1.244689            1.244689            1.661540            1.661540            1.661540            1.686829            1.686829            1.686829            1.686829            1.686829            1.686829            2.117545            2.252627            2.267186            2.267186            2.653625            2.672757            2.672757            2.702717            2.702717            2.702717            2.732946            2.732946            2.732946            2.732946            2.732946            2.732946            3.493957            3.493957            3.533168            3.533168            3.557217            5.586223
  -0.015306                0.0       1.332268e-15       1.332268e-15           1.034694           1.034694           1.034694           1.057002           1.057002           1.057002            1.057002            1.057002            1.057002            1.244688            1.244688            1.657369            1.657369            1.657369            1.689096            1.689096            1.689096            1.689096            1.689096            1.689096            2.117455            2.250062            2.268010            2.268010            2.650564            2.674714            2.674714            2.697705            2.697705            2.697705            2.735506            2.735506            2.735506            2.735506            2.735506            2.735506            3.489503            3.489503            3.534841            3.534841            3.562648            5.586509
  -0.018367                0.0       4.440892e-16       8.881784e-16           1.031633           1.031633           1.031633           1.058247           1.058247           1.058247            1.058247            1.058247            1.058247            1.244686            1.244686            1.653193            1.653193            1.653193            1.691404            1.691404            1.691404            1.691404            1.691404            1.691404            2.117344            2.247498            2.268736            2.268736            2.647502            2.676764            2.676764            2.692697            2.692697            2.692697            2.738075            2.738075            2.738075            2.738075            2.738075            2.738075            3.484671            3.484671            3.536899            3.536899            3.568033            5.586860
  -0.021429                0.0       4.440892e-16       1.332268e-15           1.028571           1.028571           1.028571           1.059441           1.059441           1.059441            1.059441            1.059441            1.059441            1.244684            1.244684            1.649013            1.649013            1.649013            1.693754            1.693754            1.693754            1.693754            1.693754            1.693754            2.117213            2.244933            2.269364            2.269364            2.644441            2.678905            2.678905            2.687694            2.687694            2.687694            2.740654            2.740654            2.740654            2.740654            2.740654            2.740654            3.479594            3.479594            3.539209            3.539209            3.573373            5.587277
  -0.024490                0.0       4.440892e-16       2.220446e-15           1.025510           1.025510           1.025510           1.060583           1.060583           1.060583            1.060583            1.060583            1.060583            1.244682            1.244682            1.644828            1.644828            1.644828            1.696146            1.696146            1.696146            1.696146            1.696146            1.696146            2.117062            2.242370            2.269894            2.269894            2.641380            2.681136            2.681136            2.682694            2.682694            2.682694            2.743243            2.743243            2.743243            2.743243            2.743243            2.743243            3.474356            3.474356            3.541688            3.541688            3.578667            5.587759
  -0.027551                0.0       4.440892e-16       1.776357e-15           1.022449           1.022449           1.022449           1.061674           1.061674           1.061674            1.061674            1.061674            1.061674            1.244679            1.244679            1.640640            1.640640            1.640640            1.698579            1.698579            1.698579            1.698579            1.698579            1.698579            2.116890            2.239807            2.270329            2.270329            2.638319            2.677699            2.677699            2.677699            2.683455            2.683455            2.745841            2.745841            2.745841            2.745841            2.745841            2.745841            3.469007            3.469007            3.544285            3.544285            3.583913            5.588309
  -0.030612                0.0       4.440892e-16       1.332268e-15           1.019388           1.019388           1.019388           1.062714           1.062714           1.062714            1.062714            1.062714            1.062714            1.244677            1.244677            1.636447            1.636447            1.636447            1.701054            1.701054            1.701054            1.701054            1.701054            1.701054            2.116697            2.237246            2.270669            2.270669            2.635257            2.672708            2.672708            2.672708            2.685861            2.685861            2.748449            2.748449            2.748449            2.748449            2.748449            2.748449            3.463583            3.463583            3.546966            3.546966            3.589111            5.588925
  -0.033673                0.0       1.776357e-15       3.552714e-15           1.016327           1.016327           1.016327           1.063703           1.063703           1.063703            1.063703            1.063703            1.063703            1.244673            1.244673            1.632250            1.632250            1.632250            1.703570            1.703570            1.703570            1.703570            1.703570            1.703570            2.116484            2.234687            2.270917            2.270917            2.632196            2.667721            2.667721            2.667721            2.688352            2.688352            2.751066            2.751066            2.751066            2.751066            2.751066            2.751066            3.458105            3.458105            3.549708            3.549708            3.594261            5.589609
  -0.036735                0.0       4.440892e-16       1.332268e-15           1.013265           1.013265           1.013265           1.064643           1.064643           1.064643            1.064643            1.064643            1.064643            1.244670            1.244670            1.628049            1.628049            1.628049            1.706127            1.706127            1.706127            1.706127            1.706127            1.706127            2.116249            2.232131            2.271073            2.271073            2.629135            2.662739            2.662739            2.662739            2.690927            2.690927            2.753692            2.753692            2.753692            2.753692            2.753692            2.753692            3.452589            3.452589            3.552498            3.552498            3.599361            5.590361
  -0.039796                0.0       1.332268e-15       1.776357e-15           1.010204           1.010204           1.010204           1.065532           1.065532           1.065532            1.065532            1.065532            1.065532            1.244666            1.244666            1.623844            1.623844            1.623844            1.708725            1.708725            1.708725            1.708725            1.708725            1.708725            2.115994            2.229577            2.271139            2.271139            2.626074            2.657761            2.657761            2.657761            2.693582            2.693582            2.756327            2.756327            2.756327            2.756327            2.756327            2.756327            3.447045            3.447045            3.555324            3.555324            3.604411            5.591182
