 Eloss (eV)    Int (a.u.)  Int Err (a.u.)
 -38.078957   1307.538940       36.159908
 -38.047232    867.548340       29.454174
 -38.015507   1267.074463       35.595989
 -37.983783    840.511230       28.991572
 -37.952058   1189.216797       34.485023
 -37.920333    998.086853       31.592513
 -37.888608   1542.792847       39.278402
 -37.856883    960.318237       30.989002
 -37.825158   1226.022949       35.014611
 -37.793433    730.794800       27.033217
 -37.761708   1617.304443       40.215724
 -37.729983    901.434937       30.023906
 -37.698258   1265.565918       35.574793
 -37.666533   1094.946533       33.089976
 -37.634809   1425.655762       37.757857
 -37.603084    568.557068       23.844435
 -37.571359    963.683960       31.043259
 -37.539634    966.944580       31.095733
 -37.507909   1326.338867       36.418936
 -37.476184    724.516113       26.916837
 -37.444459   1361.341309       36.896359
 -37.412734   1176.802612       34.304557
 -37.381009   1659.210083       40.733403
 -37.349284    920.539795       30.340399
 -37.317559   1035.299316       32.176067
 -37.285834    971.987305       31.176711
 -37.254110   1468.703857       38.323672
 -37.222385    743.852905       27.273667
 -37.190660   1479.745605       38.467462
 -37.158935    985.587158       31.394062
 -37.127210   1398.079346       37.390899
 -37.095485    544.528076       23.335125
 -37.063760   1083.857544       32.921992
 -37.032035    752.344238       27.428894
 -37.000310   1241.340088       35.232657
 -36.968585    712.729736       26.696999
 -36.936860   1244.525146       35.277828
 -36.905136   1038.218872       32.221404
 -36.873411   1488.399536       38.579781
 -36.841686    701.956177       26.494456
 -36.809961   1195.922974       34.582119
 -36.778236    796.580444       28.223757
 -36.746511   1308.958130       36.179526
 -36.714786    984.180298       31.371648
 -36.683061   1222.908936       34.970115
 -36.651336   1252.955200       35.397107
 -36.619611   1421.908936       37.708208
 -36.587886    590.349915       24.297117
 -36.556162   1169.028564       34.191060
 -36.524437    924.192505       30.400535
 -36.492712   1371.825928       37.038169
 -36.460987    720.981934       26.851107
 -36.429262   1149.237549       33.900406
 -36.397537   1127.151855       33.573082
 -36.365812   1610.214111       40.127473
 -36.334087    785.746582       28.031172
 -36.302362   1282.366943       35.810151
 -36.270637    765.328125       27.664564
 -36.238912   1402.206665       37.446050
 -36.207188    465.969604       21.586329
 -36.175463   1067.179688       32.667716
 -36.143738    876.960144       29.613513
 -36.112013   1580.321045       39.753252
 -36.080288    570.587646       23.886977
 -36.048563   1174.825928       34.275734
 -36.016838    965.837402       31.077925
 -35.985113   1266.265137       35.584619
 -35.953388    900.786011       30.013097
 -35.921663   1047.921387       32.371614
 -35.889938    789.482910       28.097739
 -35.858213   1647.136963       40.584935
 -35.826489    909.031128       30.150143
 -35.794764   1300.820801       36.066893
 -35.763039    849.566223       29.147319
 -35.731314   1850.605957       43.018670
 -35.699589   1038.834595       32.230957
 -35.667864    865.408325       29.417823
 -35.636139    892.251282       29.870576
 -35.604414   1497.435059       38.696706
 -35.572689    395.344482       19.883271
 -35.540964   1235.532837       35.150147
 -35.509239    929.608459       30.489481
 -35.477515   1276.698242       35.730914
 -35.445790   1097.137695       33.123069
 -35.414065    928.018921       30.463403
 -35.382340   1026.780762       32.043420
 -35.350615   1425.784668       37.759564
 -35.318890    822.811157       28.684685
 -35.287165   1299.089478       36.042884
 -35.255440   1052.162109       32.437048
 -35.223715   1192.224243       34.528600
 -35.191990    636.971924       25.238303
 -35.160265   1129.383667       33.606304
 -35.128541    915.247253       30.253054
 -35.096816   1331.383667       36.488130
 -35.065091    861.380249       29.349280
 -35.033366   1312.927002       36.234335
 -35.001641   1099.431641       33.157678
 -34.969916   1456.602539       38.165463
 -34.938191    830.120850       28.811818
 -34.906466   1306.947632       36.151731
 -34.874741    857.849731       29.289072
 -34.843016   1245.797119       35.295851
 -34.811291    599.639709       24.487542
 -34.779567   1177.282837       34.311555
 -34.747842    872.717834       29.541798
 -34.716117   1482.102661       38.498086
 -34.684392    667.739197       25.840650
 -34.652667   1215.009766       34.856990
 -34.620942   1017.203125       31.893622
 -34.589217   1397.608887       37.384608
 -34.557492    917.500732       30.290275
 -34.525767   1384.114502       37.203689
 -34.494042   1067.610107       32.674303
 -34.462317   1334.637573       36.532692
 -34.430592    778.272217       27.897531
 -34.398868   1377.971436       37.121038
 -34.367143    925.327515       30.419196
 -34.335418   1448.527832       38.059530
 -34.303693   1068.916992       32.694296
 -34.271968   1546.562012       39.326353
 -34.240243   1427.966553       37.788445
 -34.208518   1419.041626       37.670169
 -34.176793    739.672852       27.196927
 -34.145068   1351.305908       36.760113
 -34.113343    810.912598       28.476527
 -34.081618   1457.658447       38.179293
 -34.049894    649.464294       25.484589
 -34.018169   1313.624390       36.243957
 -33.986444    881.704407       29.693508
 -33.954719   1349.485596       36.735345
 -33.922994   1066.677856       32.660035
 -33.891269   1130.061279       33.616384
 -33.859544    810.933838       28.476900
 -33.827819   1207.760742       34.752852
 -33.796094    926.637390       30.440719
 -33.764369   1208.529419       34.763910
 -33.732644   1036.577759       32.195928
 -33.700920   1280.829590       35.788680
 -33.669195    854.602356       29.233583
 -33.637470    979.506836       31.297074
 -33.605745   1104.879639       33.239730
 -33.574020   1315.705322       36.272653
 -33.542295    676.956116       26.018380
 -33.510570   1461.010986       38.223173
 -33.478845   1007.125549       31.735241
 -33.447120   1565.860718       39.570958
 -33.415395    756.755859       27.509196
 -33.383670    871.099976       29.514403
 -33.351946    903.040100       30.050626
 -33.320221   1460.444946       38.215768
 -33.288496    921.415283       30.354823
 -33.256771   1109.371338       33.307227
 -33.225046   1310.953979       36.207098
 -33.193321   1536.178467       39.194113
 -33.161596    761.857178       27.601760
 -33.129871   1155.948486       33.999242
 -33.098146    940.286377       30.664089
 -33.066421   1733.357544       41.633611
 -33.034696    449.027740       21.190275
 -33.002971   1402.882935       37.455079
 -32.971247   1036.151611       32.189309
 -32.939522   1415.253174       37.619851
 -32.907797    790.169678       28.109957
 -32.876072   1028.110107       32.064156
 -32.844347   1010.145996       31.782794
 -32.812622   1392.247070       37.312827
 -32.780897    753.651489       27.452714
 -32.749172   1215.601074       34.865471
 -32.717447    641.335510       25.324603
 -32.685722   1564.852539       39.558217
 -32.653997    627.734375       25.054628
 -32.622273    844.056885       29.052657
 -32.590548    844.835327       29.066051
 -32.558823   1561.273926       39.512959
 -32.527098    956.625000       30.929355
 -32.495373    685.663696       26.185181
 -32.463648   1014.702637       31.854397
 -32.431923   1185.581055       34.432268
 -32.400198    968.104736       31.114382
 -32.368473   1220.684814       34.938300
 -32.336748   1048.445923       32.379715
 -32.305023   1368.315674       36.990751
 -32.273299    617.858887       24.856767
 -32.241574   1195.907837       34.581900
 -32.209849   1026.760254       32.043100
 -32.178124   1372.760742       37.050786
 -32.146399    619.339233       24.886527
 -32.114674   1033.587646       32.149458
 -32.082949    970.997681       31.160836
 -32.051224   1239.016846       35.199671
 -32.019499    511.369080       22.613471
 -31.987774   1203.736328       34.694903
 -31.956049   1123.661377       33.521059
 -31.924325   1270.324463       35.641611
 -31.892600    737.516235       27.157250
 -31.860875    991.645386       31.490401
 -31.829150   1030.690063       32.104362
 -31.797425   1602.391113       40.029878
 -31.765700    932.701355       30.540160
 -31.733975   1112.821289       33.358976
 -31.702250   1154.112549       33.972232
 -31.670525   1499.595337       38.724609
 -31.638800    938.225159       30.630461
 -31.607075   1106.000732       33.256589
 -31.575350    918.381897       30.304816
 -31.543626   1337.439575       36.571021
 -31.511901    953.107422       30.872438
 -31.480176   1341.126709       36.621397
 -31.448451    953.469482       30.878301
 -31.416726   1583.399292       39.791950
 -31.385001    927.256958       30.450894
 -31.353276   1135.917725       33.703379
 -31.321551    997.286560       31.579844
 -31.289826   1365.158203       36.948047
 -31.258101    613.144348       24.761752
 -31.226376    976.070923       31.242134
 -31.194652   1090.666992       33.025248
 -31.162927   1492.182129       38.628773
 -31.131202    738.003296       27.166216
 -31.099477    911.204224       30.186159
 -31.067752    674.253906       25.966400
 -31.036027   1476.742554       38.428408
 -31.004302    568.228943       23.837553
 -30.972577   1125.556396       33.549313
 -30.940852   1019.367188       31.927530
 -30.909127   1591.430298       39.892735
 -30.877402    685.749695       26.186823
 -30.845678   1199.005493       34.626659
 -30.813953    932.470276       30.536376
 -30.782228   1470.247925       38.343812
 -30.750503    832.968628       28.861196
 -30.718778    639.915894       25.296559
 -30.687053    920.841003       30.345362
 -30.655328   1308.902344       36.178755
 -30.623603    479.069305       21.887652
 -30.591878   1551.140625       39.384523
 -30.560153    687.332275       26.217023
 -30.528428   1493.011963       38.639513
 -30.496704    884.620972       29.742578
 -30.464979   1215.184814       34.859501
 -30.433254   1125.113770       33.542716
 -30.401529   1577.578857       39.718747
 -30.369804    773.056396       27.803892
 -30.338079   1252.343262       35.388462
 -30.306354   1026.478271       32.038700
 -30.274629   1523.564453       39.032864
 -30.242904    706.024048       26.571113
 -30.211179   1209.021729       34.770990
 -30.179454    923.914429       30.395961
 -30.147729   1365.352417       36.950675
 -30.116005    796.633789       28.224702
 -30.084280   1314.180786       36.251631
 -30.052555    555.898926       23.577509
 -30.020830   1380.378906       37.153451
 -29.989105    823.664062       28.699548
 -29.957380   1355.530640       36.817532
 -29.925655    809.571899       28.452977
 -29.893930   1509.583008       38.853353
 -29.862205    950.225647       30.825730
 -29.830480   1148.796265       33.893897
 -29.798755    803.796448       28.351304
 -29.767031   1678.213135       40.966000
 -29.735306    934.168823       30.564175
 -29.703581   1170.180664       34.207904
 -29.671856   1049.592041       32.397408
 -29.640131   1399.884521       37.415031
 -29.608406    902.323120       30.038694
 -29.576681   1227.866089       35.040920
 -29.544956    708.286743       26.613657
 -29.513231   1601.958252       40.024471
 -29.481506    752.255615       27.427279
 -29.449781   1237.848511       35.183071
 -29.418057   1030.780884       32.105776
 -29.386332   1658.561523       40.725441
 -29.354607    913.490417       30.224004
 -29.322882   1272.159180       35.667341
 -29.291157    951.925293       30.853287
 -29.259432   1442.500977       37.980271
 -29.227707    721.791687       26.866181
 -29.195982   1319.097168       36.319377
 -29.164257   1200.734985       34.651623
 -29.132532   1500.275391       38.733389
 -29.100807    716.002197       26.758217
 -29.069083    979.687988       31.299968
 -29.037358    876.533936       29.606316
 -29.005633   1197.964355       34.611622
 -28.973908    386.616608       19.662569
 -28.942183   1117.981201       33.436226
 -28.910458    841.733459       29.012643
 -28.878733   1385.723999       37.225314
 -28.847008    788.108521       28.073271
 -28.815283   1151.751343       33.937462
 -28.783558    851.686890       29.183675
 -28.751833   1358.341797       36.855689
 -28.720108    812.122803       28.497768
 -28.688384   1158.278320       34.033488
 -28.656659    887.168823       29.785379
 -28.624934   1438.905029       37.932902
 -28.593209    737.637756       27.159487
 -28.561484   1017.057129       31.891333
 -28.529759   1140.380615       33.769522
 -28.498034   1517.847412       38.959561
 -28.466309    847.297485       29.108375
 -28.434584   1417.527344       37.650064
 -28.402859   1150.835449       33.923966
 -28.371134   1586.184326       39.826930
 -28.339410    892.667480       29.877541
 -28.307685   1173.865723       34.261724
 -28.275960   1152.441406       33.947627
 -28.244235   1522.251953       39.016047
 -28.212510    910.986755       30.182557
 -28.180785   1263.607910       35.547263
 -28.149060    903.699402       30.061593
 -28.117335   1456.394775       38.162741
 -28.085610    811.551514       28.487743
 -28.053885   1118.427979       33.442906
 -28.022160    959.904480       30.982325
 -27.990436   1283.753662       35.829508
 -27.958711    649.122681       25.477886
 -27.926986   1096.590576       33.114809
 -27.895261   1120.382324       33.472113
 -27.863536   1410.476929       37.556317
 -27.831811    615.178223       24.802787
 -27.800086   1157.346558       34.019797
 -27.768361    971.426819       31.167721
 -27.736636   1752.922485       41.867917
 -27.704911    860.893188       29.340981
 -27.673186   1225.683838       35.009768
 -27.641462    800.869629       28.299640
 -27.609737   1627.331299       40.340195
 -27.578012    952.557312       30.863527
 -27.546287   1149.073975       33.897994
 -27.514562    836.704712       28.925849
 -27.482837   1409.396362       37.541928
 -27.451112    773.710022       27.815643
 -27.419387   1258.152100       35.470440
 -27.387662   1074.060913       32.772869
 -27.355937   1404.231567       37.473078
 -27.324212    699.434631       26.446826
 -27.292487   1147.587891       33.876067
 -27.260763    883.280396       29.720034
 -27.229038   1378.516602       37.128380
 -27.197313    820.194580       28.639039
 -27.165588    987.894653       31.430791
 -27.133863    772.916260       27.801372
 -27.102138   1219.556641       34.922151
 -27.070413    951.606506       30.848120
 -27.038688   1082.561768       32.902306
 -27.006963   1102.378418       33.202085
 -26.975238   1333.846313       36.521861
 -26.943513   1013.082275       31.828953
 -26.911789   1201.352051       34.660526
 -26.880064    992.139648       31.498248
 -26.848339   1388.091309       37.257097
 -26.816614    804.725464       28.367683
 -26.784889   1145.180420       33.840514
 -26.753164    977.921021       31.271729
 -26.721439   1584.290283       39.803144
 -26.689714    904.659180       30.077553
 -26.657989   1384.355225       37.206924
 -26.626264   1286.916260       35.873615
 -26.594539   1324.701172       36.396444
 -26.562815    710.481445       26.654858
 -26.531090   1367.246582       36.976298
 -26.499365   1024.115356       32.001802
 -26.467640   1555.535400       39.440276
 -26.435915    737.970947       27.165621
 -26.404190   1458.256348       38.187123
 -26.372465    899.399841       29.989996
 -26.340740   1457.326660       38.174948
 -26.309015    962.522034       31.024539
 -26.277290   1210.071777       34.786086
 -26.245565    902.288818       30.038123
 -26.213841   1595.924316       39.949021
 -26.182116    730.238403       27.022924
 -26.150391   1376.474854       37.100874
 -26.118666    756.149414       27.498171
 -26.086941   1601.073975       40.013422
 -26.055216    852.781372       29.202421
 -26.023491   1437.951172       37.920327
 -25.991766   1049.513062       32.396189
 -25.960041   1856.806152       43.090674
 -25.928316    874.654907       29.574565
 -25.896591   1378.311523       37.125618
 -25.864866    839.484802       28.973864
 -25.833142   1517.248657       38.951876
 -25.801417    904.930847       30.082069
 -25.769692   1129.264893       33.604537
 -25.737967   1097.424561       33.127399
 -25.706242   1439.769653       37.944297
 -25.674517    917.559875       30.291251
 -25.642792   1174.138428       34.265703
 -25.611067    677.357666       26.026096
 -25.579342   1720.564209       41.479684
 -25.547617    922.540588       30.373353
 -25.515892   1229.036865       35.057622
 -25.484168   1235.575439       35.150753
 -25.452443   1631.786621       40.395379
 -25.420718   1124.796143       33.537981
 -25.388993   1403.275879       37.460324
 -25.357268   1237.980835       35.184952
 -25.325543   1603.768311       40.047076
 -25.293818    869.380249       29.485255
 -25.262093   1367.589844       36.980939
 -25.230368   1002.403137       31.660751
 -25.198643   1508.354492       38.837540
 -25.166918    895.594116       29.926479
 -25.135194   1402.056885       37.444050
 -25.103469   1047.711670       32.368375
 -25.071744   1384.362549       37.207023
 -25.040019    783.657959       27.993891
 -25.008294   1367.862305       36.984623
 -24.976569   1099.671875       33.161301
 -24.944844   1712.439819       41.381636
 -24.913119    515.686096       22.708723
 -24.881394   1340.746338       36.616203
 -24.849669   1006.557495       31.726290
 -24.817944   1606.582520       40.082197
 -24.786220    941.869141       30.689887
 -24.754495   1141.390015       33.784464
 -24.722770   1239.459351       35.205956
 -24.691045   1790.214844       42.310931
 -24.659320    899.429443       29.990489
 -24.627595   1274.141846       35.695124
 -24.595870    905.728821       30.095329
 -24.564145   1423.308105       37.726756
 -24.532420   1103.230469       33.214913
 -24.500695    986.914490       31.415195
 -24.468970   1208.374268       34.761678
 -24.437245   1646.425781       40.576173
 -24.405521    787.199829       28.057082
 -24.373796   1011.878052       31.810031
 -24.342071   1213.212891       34.831206
 -24.310346   1471.192383       38.356126
 -24.278621    828.285522       28.779950
 -24.246896   1461.048340       38.223662
 -24.215171   1230.161621       35.073660
 -24.183446   1435.652344       37.890003
 -24.151721    726.810547       26.959424
 -24.119996   1053.154053       32.452335
 -24.088271    892.737427       29.878712
 -24.056547   1081.873291       32.891842
