 Eloss (eV)    Int (a.u.)
   0.000000  25930.498776
   0.001600  25927.217831
   0.003201  25917.376714
   0.004801  25900.983177
   0.006401  25878.050127
   0.008002  25848.595609
   0.009602  25812.642786
   0.011202  25770.219902
   0.012803  25721.360251
   0.014403  25666.102129
   0.016003  25604.488786
   0.017604  25536.568368
   0.019204  25462.393854
   0.020804  25382.022987
   0.022404  25295.518198
   0.024005  25202.946524
   0.025605  25104.379525
   0.027205  24999.893185
   0.028806  24889.567817
   0.030406  24773.487962
   0.032006  24651.742274
   0.033607  24524.423411
   0.035207  24391.627917
   0.036807  24253.456097
   0.038408  24110.011890
   0.040008  23961.402739
   0.041608  23807.739458
   0.043209  23649.136088
   0.044809  23485.709762
   0.046409  23317.580554
   0.048010  23144.871336
   0.049610  22967.707624
   0.051210  22786.217429
   0.052811  22600.531099
   0.054411  22410.781165
   0.056011  22217.102180
   0.057612  22019.630565
   0.059212  21818.504442
   0.060812  21613.863478
   0.062412  21405.848723
   0.064013  21194.602445
   0.065613  20980.267972
   0.067213  20762.989527
   0.068814  20542.912072
   0.070414  20320.181142
   0.072014  20094.942692
   0.073615  19867.342933
   0.075215  19637.528182
   0.076815  19405.644702
   0.078416  19171.838553
   0.080016  18936.255441
   0.081616  18699.040568
   0.083217  18460.338488
   0.084817  18220.292967
   0.086417  17979.046837
   0.088018  17736.741866
   0.089618  17493.518621
   0.091218  17249.516339
   0.092819  17004.872802
   0.094419  16759.724213
   0.096019  16514.205081
   0.097620  16268.448101
   0.099220  16022.584050
   0.100820  15776.741678
   0.102420  15531.047605
   0.104021  15285.626228
   0.105621  15040.599626
   0.107221  14796.087471
   0.108822  14552.206949
   0.110422  14309.072675
   0.112022  14066.796627
   0.113623  13825.488071
   0.115223  13585.253500
   0.116823  13346.196572
   0.118424  13108.418058
   0.120024  12872.015792
   0.121624  12637.084626
   0.123225  12403.716387
   0.124825  12171.999848
   0.126425  11942.020689
   0.128026  11713.861480
   0.129626  11487.601652
   0.131226  11263.317485
   0.132827  11041.082093
   0.134427  10820.965417
   0.136027  10603.034223
   0.137628  10387.352100
   0.139228  10173.979466
   0.140828   9962.973574
   0.142428   9754.388532
   0.144029   9548.275312
   0.145629   9344.681772
   0.147229   9143.652682
   0.148830   8945.229750
   0.150430   8749.451653
   0.152030   8556.354070
   0.153631   8365.969719
   0.155231   8178.328396
   0.156831   7993.457021
   0.158432   7811.379680
   0.160032   7632.117674
   0.161632   7455.689569
   0.163233   7282.111247
   0.164833   7111.395966
   0.166433   6943.554408
   0.168034   6778.594746
   0.169634   6616.522697
   0.171234   6457.341589
   0.172835   6301.052420
   0.174435   6147.653925
   0.176035   5997.142639
   0.177636   5849.512967
   0.179236   5704.757245
   0.180836   5562.865817
   0.182436   5423.827094
   0.184037   5287.627630
   0.185637   5154.252188
   0.187237   5023.683812
   0.188838   4895.903894
   0.190438   4770.892245
   0.192038   4648.627167
   0.193639   4529.085518
   0.195239   4412.242786
   0.196839   4298.073153
   0.198440   4186.549568
   0.200040   4077.643810
   0.201640   3971.326560
   0.203241   3867.567464
   0.204841   3766.335197
   0.206441   3667.597531
   0.208042   3571.321399
   0.209642   3477.472952
   0.211242   3386.017628
   0.212843   3296.920204
   0.214443   3210.144862
   0.216043   3125.655244
   0.217644   3043.414506
   0.219244   2963.385377
   0.220844   2885.530211
   0.222444   2809.811038
   0.224045   2736.189618
   0.225645   2664.627485
   0.227245   2595.086002
   0.228846   2527.526398
   0.230446   2461.909823
   0.232046   2398.197382
   0.233647   2336.350183
   0.235247   2276.329374
   0.236847   2218.096180
   0.238448   2161.611946
   0.240048   2106.838164
   0.241648   2053.736512
   0.243249   2002.268887
   0.244849   1952.397431
   0.246449   1904.084564
   0.248050   1857.293010
   0.249650   1811.985825
   0.251250   1768.126417
   0.252851   1725.678575
   0.254451   1684.606488
   0.256051   1644.874763
   0.257652   1606.448448
   0.259252   1569.293047
   0.260852   1533.374539
   0.262452   1498.659390
   0.264053   1465.114567
   0.265653   1432.707553
   0.267253   1401.406357
   0.268854   1371.179521
   0.270454   1341.996135
   0.272054   1313.825842
   0.273655   1286.638843
   0.275255   1260.405906
   0.276855   1235.098368
   0.278456   1210.688143
   0.280056   1187.147722
   0.281656   1164.450173
   0.283257   1142.569149
   0.284857   1121.478882
   0.286457   1101.154187
   0.288058   1081.570459
   0.289658   1062.703672
   0.291258   1044.530376
   0.292859   1027.027696
   0.294459   1010.173326
   0.296059    993.945528
   0.297660    978.323122
   0.299260    963.285488
   0.300860    948.812556
   0.302460    934.884800
   0.304061    921.483236
   0.305661    908.589407
   0.307261    896.185387
   0.308862    884.253763
   0.310462    872.777634
   0.312062    861.740602
   0.313663    851.126763
   0.315263    840.920696
   0.316863    831.107462
   0.318464    821.672589
   0.320064    812.602063
   0.321664    803.882324
   0.323265    795.500252
   0.324865    787.443164
   0.326465    779.698796
   0.328066    772.255302
   0.329666    765.101243
   0.331266    758.225573
   0.332867    751.617637
   0.334467    745.267156
   0.336067    739.164222
   0.337668    733.299288
   0.339268    727.663156
   0.340868    722.246972
   0.342468    717.042217
   0.344069    712.040695
   0.345669    707.234529
   0.347269    702.616147
   0.348870    698.178279
   0.350470    693.913948
   0.352070    689.816457
   0.353671    685.879387
   0.355271    682.096587
   0.356871    678.462165
   0.358472    674.970484
   0.360072    671.616151
   0.361672    668.394012
   0.363273    665.299145
   0.364873    662.326853
   0.366473    659.472655
   0.368074    656.732287
   0.369674    654.101685
   0.371274    651.576988
   0.372875    649.154529
   0.374475    646.830829
   0.376075    644.602589
   0.377676    642.466692
   0.379276    640.420189
   0.380876    638.460302
   0.382476    636.584413
   0.384077    634.790063
   0.385677    633.074948
   0.387277    631.436911
   0.388878    629.873943
   0.390478    628.384175
   0.392078    626.965877
   0.393679    625.617451
   0.395279    624.337435
   0.396879    623.124489
   0.398480    621.977402
   0.400080    620.895084
   0.401680    619.876564
   0.403281    618.920988
   0.404881    618.027615
   0.406481    617.195820
   0.408082    616.425084
   0.409682    615.714997
   0.411282    615.065258
   0.412883    614.475667
   0.414483    613.946130
   0.416083    613.476653
   0.417684    613.067343
   0.419284    612.718405
   0.420884    612.430145
   0.422484    612.202963
   0.424085    612.037359
   0.425685    611.933926
   0.427285    611.893353
   0.428886    611.916424
   0.430486    612.004017
   0.432086    612.157105
   0.433687    612.376755
   0.435287    612.664125
   0.436887    613.020471
   0.438488    613.447140
   0.440088    613.945573
   0.441688    614.517308
   0.443289    615.163975
   0.444889    615.887299
   0.446489    616.689103
   0.448090    617.571304
   0.449690    618.535915
   0.451290    619.585048
   0.452891    620.720912
   0.454491    621.945815
   0.456091    623.262164
   0.457692    624.672468
   0.459292    626.179336
   0.460892    627.785478
   0.462492    629.493711
   0.464093    631.306951
   0.465693    633.228225
   0.467293    635.260661
   0.468894    637.407499
   0.470494    639.672084
   0.472094    642.057873
   0.473695    644.568433
   0.475295    647.207443
   0.476895    649.978696
   0.478496    652.886098
   0.480096    655.933671
   0.481696    659.125555
   0.483297    662.466007
   0.484897    665.959402
   0.486497    669.610238
   0.488098    673.423133
   0.489698    677.402826
   0.491298    681.554183
   0.492899    685.882192
   0.494499    690.391970
   0.496099    695.088757
   0.497700    699.977925
   0.499300    705.064972
   0.500900    710.355529
   0.502501    715.855355
   0.504101    721.570343
   0.505701    727.506518
   0.507301    733.670039
   0.508902    740.067198
   0.510502    746.704425
   0.512102    753.588282
   0.513703    760.725471
   0.515303    768.122828
   0.516903    775.787330
   0.518504    783.726090
   0.520104    791.946358
   0.521704    800.455527
   0.523305    809.261127
   0.524905    818.370826
   0.526505    827.792434
   0.528106    837.533901
   0.529706    847.603317
   0.531306    858.008911
   0.532907    868.759052
   0.534507    879.862252
   0.536107    891.327161
   0.537708    903.162567
   0.539308    915.377402
   0.540908    927.980735
   0.542509    940.981774
   0.544109    954.389867
   0.545709    968.214501
