 Eloss (eV)    Int (a.u.)
   0.000000  3.934096e-23
   0.001600  4.705555e-23
   0.003201  5.626852e-23
   0.004801  6.726806e-23
   0.006401  8.039722e-23
   0.008002  9.606426e-23
   0.009602  1.147549e-22
   0.011202  1.370470e-22
   0.012803  1.636276e-22
   0.014403  1.953136e-22
   0.016003  2.330756e-22
   0.017604  2.780674e-22
   0.019204  3.316591e-22
   0.020804  3.954782e-22
   0.022404  4.714568e-22
   0.024005  5.618883e-22
   0.025605  6.694941e-22
   0.027205  7.975029e-22
   0.028806  9.497440e-22
   0.030406  1.130758e-21
   0.032006  1.345926e-21
   0.033607  1.601628e-21
   0.035207  1.905420e-21
   0.036807  2.266254e-21
   0.038408  2.694730e-21
   0.040008  3.203395e-21
   0.041608  3.807103e-21
   0.043209  4.523425e-21
   0.044809  5.373148e-21
   0.046409  6.380858e-21
   0.048010  7.575617e-21
   0.049610  8.991780e-21
   0.051210  1.066994e-20
   0.052811  1.265806e-20
   0.054411  1.501278e-20
   0.056011  1.780096e-20
   0.057612  2.110157e-20
   0.059212  2.500776e-20
   0.060812  2.962945e-20
   0.062412  3.509627e-20
   0.064013  4.156112e-20
   0.065613  4.920419e-20
   0.067213  5.823790e-20
   0.068814  6.891251e-20
   0.070414  8.152281e-20
   0.072014  9.641597e-20
   0.073615  1.140007e-19
   0.075215  1.347581e-19
   0.076815  1.592541e-19
   0.078416  1.881548e-19
   0.080016  2.222434e-19
   0.081616  2.624406e-19
   0.083217  3.098288e-19
   0.084817  3.656802e-19
   0.086417  4.314890e-19
   0.088018  5.090106e-19
   0.089618  6.003059e-19
   0.091218  7.077943e-19
   0.092819  8.343155e-19
   0.094419  9.832008e-19
   0.096019  1.158358e-18
   0.097620  1.364370e-18
   0.099220  1.606610e-18
   0.100820  1.891373e-18
   0.102420  2.226039e-18
   0.104021  2.619251e-18
   0.105621  3.081131e-18
   0.107221  3.623530e-18
   0.108822  4.260321e-18
   0.110422  5.007737e-18
   0.112022  5.884769e-18
   0.113623  6.913628e-18
   0.115223  8.120287e-18
   0.116823  9.535105e-18
   0.118424  1.119356e-17
   0.120024  1.313711e-17
   0.121624  1.541417e-17
   0.123225  1.808127e-17
   0.124825  2.120444e-17
   0.126425  2.486069e-17
   0.128026  2.913992e-17
   0.129626  3.414697e-17
   0.131226  4.000413e-17
   0.132827  4.685394e-17
   0.134427  5.486257e-17
   0.136027  6.422364e-17
   0.137628  7.516271e-17
   0.139228  8.794247e-17
   0.140828  1.028688e-16
   0.142428  1.202977e-16
   0.144029  1.406435e-16
   0.145629  1.643882e-16
   0.147229  1.920926e-16
   0.148830  2.244084e-16
   0.150430  2.620936e-16
   0.152030  3.060289e-16
   0.153631  3.572377e-16
   0.155231  4.169084e-16
   0.156831  4.864216e-16
   0.158432  5.673797e-16
   0.160032  6.616425e-16
   0.161632  7.713683e-16
   0.163233  8.990604e-16
   0.164833  1.047622e-15
   0.166433  1.220420e-15
   0.168034  1.421355e-15
   0.169634  1.654948e-15
   0.171234  1.926439e-15
   0.172835  2.241891e-15
   0.174435  2.608331e-15
   0.176035  3.033889e-15
   0.177636  3.527973e-15
   0.179236  4.101470e-15
   0.180836  4.766972e-15
   0.182436  5.539038e-15
   0.184037  6.434501e-15
   0.185637  7.472813e-15
   0.187237  8.676450e-15
   0.188838  1.007137e-14
   0.190438  1.168757e-14
