 Eloss (eV)    Int (a.u.)
   0.000000  74915.381962
   0.001600  74905.783586
   0.003201  74876.988807
   0.004801  74829.020313
   0.006401  74761.915880
   0.008002  74675.728322
   0.009602  74570.525422
   0.011202  74446.389840
   0.012803  74303.419007
   0.014403  74141.724996
   0.016003  73961.434374
   0.017604  73762.688034
   0.019204  73545.641016
   0.020804  73310.462297
   0.022404  73057.334575
   0.024005  72786.454030
   0.025605  72498.030067
   0.027205  72192.285048
   0.028806  71869.454000
   0.030406  71529.784317
   0.032006  71173.535436
   0.033607  70800.978510
   0.035207  70412.396060
   0.036807  70008.081615
   0.038408  69588.339342
   0.040008  69153.483660
   0.041608  68703.838848
   0.043209  68239.738638
   0.044809  67761.525801
   0.046409  67269.551721
   0.048010  66764.175967
   0.049610  66245.765851
   0.051210  65714.695978
   0.052811  65171.347800
   0.054411  64616.109153
   0.056011  64049.373798
   0.057612  63471.540951
   0.059212  62883.014820
   0.060812  62284.204126
   0.062412  61675.521638
   0.064013  61057.383695
   0.065613  60430.209735
   0.067213  59794.421822
   0.068814  59150.444173
   0.070414  58498.702695
   0.072014  57839.624515
   0.073615  57173.637519
   0.075215  56501.169897
   0.076815  55822.649689
   0.078416  55138.504338
   0.080016  54449.160253
   0.081616  53755.042372
   0.083217  53056.573739
   0.084817  52354.175086
   0.086417  51648.264427
   0.088018  50939.256651
   0.089618  50227.563143
   0.091218  49513.591396
   0.092819  48797.744645
   0.094419  48080.421511
   0.096019  47362.015652
   0.097620  46642.915431
   0.099220  45923.503593
   0.100820  45204.156953
   0.102420  44485.246102
   0.104021  43767.135124
   0.105621  43050.181322
   0.107221  42334.734962
   0.108822  41621.139033
   0.110422  40909.729011
   0.112022  40200.832649
   0.113623  39494.769774
   0.115223  38791.852097
   0.116823  38092.383042
   0.118424  37396.657585
   0.120024  36704.962110
   0.121624  36017.574278
   0.123225  35334.762908
   0.124825  34656.787875
   0.126425  33983.900021
   0.128026  33316.341077
   0.129626  32654.343604
   0.131226  31998.130939
   0.132827  31347.917164
   0.134427  30703.907080
   0.136027  30066.296199
   0.137628  29435.270740
   0.139228  28811.007651
   0.140828  28193.674629
   0.142428  27583.430160
   0.144029  26980.423565
   0.145629  26384.795065
   0.147229  25796.675841
   0.148830  25216.188124
   0.150430  24643.445278
   0.152030  24078.551904
   0.153631  23521.603943
   0.155231  22972.688796
   0.156831  22431.885448
   0.158432  21899.264603
   0.160032  21374.888818
   0.161632  20858.812659
   0.163233  20351.082846
   0.164833  19851.738419
   0.166433  19360.810901
   0.168034  18878.324470
   0.169634  18404.296132
   0.171234  17938.735907
   0.172835  17481.647009
   0.174435  17033.026035
   0.176035  16592.863159
   0.177636  16161.142324
   0.179236  15737.841438
   0.180836  15322.932578
   0.182436  14916.382186
   0.184037  14518.151274
   0.185637  14128.195627
   0.187237  13746.466006
   0.188838  13372.908353
   0.190438  13007.463999
   0.192038  12650.069861
   0.193639  12300.658651
   0.195239  11959.159081
   0.196839  11625.496056
   0.198440  11299.590883
   0.200040  10981.361464
   0.201640  10670.722494
   0.203241  10367.585656
   0.204841  10071.859811
   0.206441   9783.451191
   0.208042   9502.263579
   0.209642   9228.198496
   0.211242   8961.155383
   0.212843   8701.031773
   0.214443   8447.723466
   0.216043   8201.124699
