 Eloss (eV)    Int (a.u.)
   0.000000  6.853845e-32
   0.001600  7.987990e-32
   0.003201  9.308484e-32
   0.004801  1.084573e-31
   0.006401  1.263504e-31
   0.008002  1.471746e-31
   0.009602  1.714065e-31
   0.011202  1.995997e-31
   0.012803  2.323972e-31
   0.014403  2.705453e-31
   0.016003  3.149107e-31
   0.017604  3.664992e-31
   0.019204  4.264783e-31
   0.020804  4.962027e-31
   0.022404  5.772441e-31
   0.024005  6.714259e-31
   0.025605  7.808633e-31
   0.027205  9.080089e-31
   0.028806  1.055707e-30
   0.030406  1.227256e-30
   0.032006  1.426478e-30
   0.033607  1.657803e-30
   0.035207  1.926369e-30
   0.036807  2.238123e-30
   0.038408  2.599961e-30
   0.040008  3.019867e-30
   0.041608  3.507092e-30
   0.043209  4.072347e-30
   0.044809  4.728034e-30
   0.046409  5.488512e-30
   0.048010  6.370403e-30
   0.049610  7.392944e-30
   0.051210  8.578398e-30
   0.052811  9.952524e-30
   0.054411  1.154512e-29
   0.056011  1.339066e-29
   0.057612  1.552901e-29
   0.059212  1.800627e-29
   0.060812  2.087575e-29
   0.062412  2.419906e-29
   0.064013  2.804744e-29
   0.065613  3.250321e-29
   0.067213  3.766149e-29
   0.068814  4.363218e-29
   0.070414  5.054226e-29
   0.072014  5.853837e-29
   0.073615  6.778987e-29
   0.075215  7.849233e-29
   0.076815  9.087155e-29
   0.078416  1.051882e-28
   0.080016  1.217430e-28
   0.081616  1.408833e-28
   0.083217  1.630096e-28
   0.084817  1.885841e-28
   0.086417  2.181399e-28
   0.088018  2.522921e-28
   0.089618  2.917496e-28
   0.091218  3.373301e-28
   0.092819  3.899763e-28
   0.094419  4.507748e-28
   0.096019  5.209778e-28
   0.097620  6.020285e-28
   0.099220  6.955898e-28
   0.100820  8.035771e-28
   0.102420  9.281969e-28
   0.104021  1.071991e-27
   0.105621  1.237884e-27
   0.107221  1.429247e-27
   0.108822  1.649958e-27
   0.110422  1.904482e-27
   0.112022  2.197955e-27
