 Eloss (eV)    Int (a.u.)
   0.000000  1.178826e-21
   0.001600  1.401818e-21
   0.003201  1.666564e-21
   0.004801  1.980803e-21
   0.006401  2.353689e-21
   0.008002  2.796055e-21
   0.009602  3.320711e-21
   0.011202  3.942804e-21
   0.012803  4.680239e-21
   0.014403  5.554175e-21
   0.016003  6.589611e-21
   0.017604  7.816076e-21
   0.019204  9.268436e-21
   0.020804  1.098785e-20
   0.022404  1.302291e-20
   0.024005  1.543092e-20
   0.025605  1.827951e-20
   0.027205  2.164840e-20
   0.028806  2.563161e-20
   0.030406  3.033994e-20
   0.032006  3.590394e-20
   0.033607  4.247744e-20
   0.035207  5.024158e-20
   0.036807  5.940965e-20
   0.038408  7.023270e-20
   0.040008  8.300619e-20
   0.041608  9.807771e-20
   0.043209  1.158561e-19
   0.044809  1.368221e-19
   0.046409  1.615408e-19
   0.048010  1.906764e-19
   0.049610  2.250093e-19
   0.051210  2.654560e-19
   0.052811  3.130931e-19
   0.054411  3.691842e-19
   0.056011  4.352126e-19
   0.057612  5.129188e-19
   0.059212  6.043442e-19
   0.060812  7.118835e-19
   0.062412  8.383438e-19
   0.064013  9.870159e-19
   0.065613  1.161756e-18
   0.067213  1.367081e-18
   0.068814  1.608283e-18
   0.070414  1.891557e-18
   0.072014  2.224154e-18
   0.073615  2.614564e-18
   0.075215  3.072715e-18
   0.076815  3.610223e-18
   0.078416  4.240671e-18
   0.080016  4.979937e-18
   0.081616  5.846578e-18
   0.083217  6.862280e-18
   0.084817  8.052372e-18
   0.086417  9.446435e-18
   0.088018  1.107901e-17
   0.089618  1.299040e-17
   0.091218  1.522764e-17
   0.092819  1.784562e-17
   0.094419  2.090833e-17
   0.096019  2.449040e-17
   0.097620  2.867881e-17
   0.099220  3.357492e-17
   0.100820  3.929684e-17
   0.102420  4.598212e-17
   0.104021  5.379093e-17
   0.105621  6.290974e-17
   0.107221  7.355555e-17
   0.108822  8.598084e-17
   0.110422  1.004793e-16
   0.112022  1.173925e-16
   0.113623  1.371175e-16
   0.115223  1.601157e-16
   0.116823  1.869235e-16
   0.118424  2.181637e-16
   0.120024  2.545598e-16
   0.121624  2.969517e-16
   0.123225  3.463145e-16
   0.124825  4.037794e-16
   0.126425  4.706590e-16
   0.128026  5.484756e-16
   0.129626  6.389943e-16
   0.131226  7.442612e-16
   0.132827  8.666475e-16
   0.134427  1.008901e-15
   0.136027  1.174202e-15
   0.137628  1.366238e-15
   0.139228  1.589272e-15
   0.140828  1.848243e-15
   0.142428  2.148862e-15
   0.144029  2.497737e-15
