 Eloss (eV)    Int (a.u.)
   0.000000  4.445633e-17
   0.001600  4.917650e-17
   0.003201  5.439195e-17
   0.004801  6.015404e-17
   0.006401  6.651935e-17
   0.008002  7.355027e-17
   0.009602  8.131556e-17
   0.011202  8.989098e-17
   0.012803  9.936001e-17
   0.014403  1.098146e-16
   0.016003  1.213562e-16
   0.017604  1.340963e-16
   0.019204  1.481578e-16
   0.020804  1.636762e-16
   0.022404  1.808004e-16
   0.024005  1.996947e-16
   0.025605  2.205397e-16
   0.027205  2.435342e-16
   0.028806  2.688972e-16
   0.030406  2.968696e-16
   0.032006  3.277164e-16
   0.033607  3.617294e-16
   0.035207  3.992293e-16
   0.036807  4.405692e-16
   0.038408  4.861373e-16
   0.040008  5.363606e-16
   0.041608  5.917085e-16
   0.043209  6.526974e-16
   0.044809  7.198947e-16
   0.046409  7.939245e-16
   0.048010  8.754725e-16
   0.049610  9.652924e-16
   0.051210  1.064212e-15
   0.052811  1.173143e-15
   0.054411  1.293083e-15
   0.056011  1.425132e-15
   0.057612  1.570496e-15
   0.059212  1.730501e-15
   0.060812  1.906600e-15
   0.062412  2.100394e-15
   0.064013  2.313635e-15
   0.065613  2.548249e-15
   0.067213  2.806352e-15
   0.068814  3.090264e-15
   0.070414  3.402530e-15
   0.072014  3.745945e-15
   0.073615  4.123576e-15
   0.075215  4.538785e-15
   0.076815  4.995263e-15
   0.078416  5.497056e-15
   0.080016  6.048602e-15
   0.081616  6.654769e-15
   0.083217  7.320893e-15
   0.084817  8.052823e-15
   0.086417  8.856974e-15
   0.088018  9.740375e-15
   0.089618  1.071073e-14
   0.091218  1.177648e-14
   0.092819  1.294688e-14
   0.094419  1.423205e-14
   0.096019  1.564312e-14
   0.097620  1.719222e-14
   0.099220  1.889269e-14
   0.100820  2.075911e-14
   0.102420  2.280745e-14
   0.104021  2.505520e-14
   0.105621  2.752150e-14
   0.107221  3.022730e-14
   0.108822  3.319553e-14
   0.110422  3.645130e-14
   0.112022  4.002207e-14
   0.113623  4.393788e-14
   0.115223  4.823161e-14
   0.116823  5.293921e-14
   0.118424  5.810002e-14
   0.120024  6.375704e-14
   0.121624  6.995731e-14
   0.123225  7.675226e-14
   0.124825  8.419810e-14
   0.126425  9.235629e-14
   0.128026  1.012940e-13
   0.129626  1.110847e-13
   0.131226  1.218085e-13
   0.132827  1.335531e-13
   0.134427  1.464144e-13
   0.136027  1.604968e-13
   0.137628  1.759147e-13
   0.139228  1.927929e-13
   0.140828  2.112676e-13
   0.142428  2.314877e-13
   0.144029  2.536156e-13
   0.145629  2.778287e-13
   0.147229  3.043206e-13
   0.148830  3.333026e-13
   0.150430  3.650052e-13
   0.152030  3.996802e-13
   0.153631  4.376018e-13
   0.155231  4.790698e-13
   0.156831  5.244107e-13
   0.158432  5.739807e-13
   0.160032  6.281685e-13
   0.161632  6.873978e-13
   0.163233  7.521305e-13
   0.164833  8.228701e-13
   0.166433  9.001658e-13
   0.168034  9.846158e-13
   0.169634  1.076872e-12
   0.171234  1.177646e-12
   0.172835  1.287710e-12
   0.174435  1.407909e-12
   0.176035  1.539162e-12
   0.177636  1.682469e-12
   0.179236  1.838921e-12
   0.180836  2.009703e-12
   0.182436  2.196109e-12
   0.184037  2.399545e-12
   0.185637  2.621544e-12
   0.187237  2.863772e-12
   0.188838  3.128043e-12
   0.190438  3.416332e-12
   0.192038  3.730788e-12
   0.193639  4.073748e-12
   0.195239  4.447754e-12
   0.196839  4.855573e-12
   0.198440  5.300212e-12
   0.200040  5.784944e-12
   0.201640  6.313325e-12
   0.203241  6.889222e-12
   0.204841  7.516839e-12
   0.206441  8.200748e-12
   0.208042  8.945915e-12
   0.209642  9.757737e-12
   0.211242  1.064208e-11
   0.212843  1.160532e-11
   0.214443  1.265437e-11
   0.216043  1.379677e-11
   0.217644  1.504067e-11
   0.219244  1.639494e-11
   0.220844  1.786923e-11
   0.222444  1.947399e-11
   0.224045  2.122056e-11
   0.225645  2.312129e-11
   0.227245  2.518954e-11
   0.228846  2.743984e-11
   0.230446  2.988794e-11
   0.232046  3.255094e-11
   0.233647  3.544737e-11
   0.235247  3.859737e-11
   0.236847  4.202274e-11
   0.238448  4.574717e-11
   0.240048  4.979630e-11
   0.241648  5.419797e-11
