 10Dq (eV)  Eigenvalues Row 1
  0.100000          13.186620
  0.118367          13.203358
  0.136735          13.220114
  0.155102          13.236890
  0.173469          13.253684
  0.191837          13.270497
  0.210204          13.287329
  0.228571          13.304180
  0.246939          13.321050
  0.265306          13.337939
  0.283673          13.354847
  0.302041          13.371773
  0.320408          13.388719
  0.338776          13.405683
  0.357143          13.422666
  0.375510          13.439668
  0.393878          13.456689
  0.412245          13.473728
  0.430612          13.490787
  0.448980          13.507864
  0.467347          13.524960
  0.485714          13.542075
  0.504082          13.559208
  0.522449          13.576361
  0.540816          13.593532
  0.559184          13.610722
  0.577551          13.627931
  0.595918          13.645158
  0.614286          13.662405
  0.632653          13.679670
  0.651020          13.696953
  0.669388          13.714256
  0.687755          13.731577
  0.706122          13.748917
  0.724490          13.766276
  0.742857          13.783653
  0.761224          13.801049
  0.779592          13.818464
  0.797959          13.835897
  0.816327          13.853350
  0.834694          13.870821
  0.853061          13.888310
  0.871429          13.905818
  0.889796          13.923345
  0.908163          13.940891
  0.926531          13.958455
  0.944898          13.976038
  0.963265          13.993640
  0.981633          14.011260
  1.000000          14.028899
