 10Dq (eV)  Eigenvalues Row 2
  0.100000          13.201393
  0.118367          13.217898
  0.136735          13.234431
  0.155102          13.250991
  0.173469          13.267577
  0.191837          13.284189
  0.210204          13.300827
  0.228571          13.317490
  0.246939          13.334179
  0.265306          13.350892
  0.283673          13.367629
  0.302041          13.384391
  0.320408          13.401177
  0.338776          13.417986
  0.357143          13.434819
  0.375510          13.451675
  0.393878          13.468554
  0.412245          13.485456
  0.430612          13.502380
  0.448980          13.519327
  0.467347          13.536297
  0.485714          13.553288
  0.504082          13.570302
  0.522449          13.587338
  0.540816          13.604395
  0.559184          13.621474
  0.577551          13.638574
  0.595918          13.655696
  0.614286          13.672840
  0.632653          13.690004
  0.651020          13.707190
  0.669388          13.724397
  0.687755          13.741624
  0.706122          13.758873
  0.724490          13.776142
  0.742857          13.793432
  0.761224          13.810743
  0.779592          13.828074
  0.797959          13.845426
  0.816327          13.862799
  0.834694          13.880191
  0.853061          13.897604
  0.871429          13.915038
  0.889796          13.932491
  0.908163          13.949965
  0.926531          13.967459
  0.944898          13.984972
  0.963265          14.002506
  0.981633          14.020060
  1.000000          14.037634
