    FddR  Eigenvalues Row 1
0.400000          13.141203
0.411224          13.149135
0.422449          13.157101
0.433673          13.165102
0.444898          13.173137
0.456122          13.181208
0.467347          13.189313
0.478571          13.197454
0.489796          13.205631
0.501020          13.213844
0.512245          13.222093
0.523469          13.230379
0.534694          13.238702
0.545918          13.247063
0.557143          13.255462
0.568367          13.263900
0.579592          13.272376
0.590816          13.280891
0.602041          13.289447
0.613265          13.298043
0.624490          13.306680
0.635714          13.315359
0.646939          13.324080
0.658163          13.332843
0.669388          13.341651
0.680612          13.350503
0.691837          13.359401
0.703061          13.368344
0.714286          13.377335
0.725510          13.386374
0.736735          13.395462
0.747959          13.404600
0.759184          13.413790
0.770408          13.423033
0.781633          13.432329
0.792857          13.441682
0.804082          13.451091
0.815306          13.460560
0.826531          13.470089
0.837755          13.479680
0.848980          13.489337
0.860204          13.499060
0.871429          13.508853
0.882653          13.518717
0.893878          13.528657
0.905102          13.538674
0.916327          13.548772
0.927551          13.558956
0.938776          13.569228
0.950000          13.579594
