 Charge Transfer (eV)  Eigenvalues Row 2
            -1.200000          10.635136
            -1.151020          10.605913
            -1.102041          10.577499
            -1.053061          10.549965
            -1.004082          10.523396
            -0.955102          10.497906
            -0.906122          10.473639
            -0.857143          10.450786
            -0.808163          10.429606
            -0.759184          10.410447
            -0.710204          10.393792
            -0.661224          10.380306
            -0.612245          10.370900
            -0.563265          10.366770
            -0.514286          10.369358
            -0.465306          10.380125
            -0.416327          10.400096
            -0.367347          10.429398
            -0.318367          10.467184
            -0.269388          10.512022
            -0.220408          10.562394
            -0.171429          10.616995
            -0.122449          10.674824
            -0.073469          10.735144
            -0.024490          10.797430
             0.024490          10.861302
             0.073469          10.926484
             0.122449          10.992776
             0.171429          11.060026
             0.220408          11.128120
             0.269388          11.196970
             0.318367          11.266507
             0.367347          11.336675
             0.416327          11.407430
             0.465306          11.478735
             0.514286          11.550560
             0.563265          11.622879
             0.612245          11.695672
             0.661224          11.768918
             0.710204          11.842601
             0.759184          11.916707
             0.808163          11.991224
             0.857143          12.066139
             0.906122          12.141442
             0.955102          12.217123
             1.004082          12.293174
             1.053061          12.369585
             1.102041          12.446350
             1.151020          12.523461
             1.200000          12.600911
