  Cp (eV)  Eigenvalues Row 1
-0.120000          11.330045
-0.115102          11.329620
-0.110204          11.329207
-0.105306          11.328807
-0.100408          11.328420
-0.095510          11.328047
-0.090612          11.327688
-0.085714          11.327345
-0.080816          11.327017
-0.075918          11.326706
-0.071020          11.326413
-0.066122          11.326137
-0.061224          11.325880
-0.056327          11.325643
-0.051429          11.325424
-0.046531          11.325226
-0.041633          11.325048
-0.036735          11.324891
-0.031837          11.324755
-0.026939          11.324638
-0.022041          11.324543
-0.017143          11.324467
-0.012245          11.324411
-0.007347          11.324375
-0.002449          11.324357
 0.002449          11.324357
 0.007347          11.324374
 0.012245          11.324408
 0.017143          11.324457
 0.022041          11.324522
 0.026939          11.324600
 0.031837          11.324692
 0.036735          11.324796
 0.041633          11.324913
 0.046531          11.325040
 0.051429          11.325178
 0.056327          11.325326
 0.061224          11.325483
 0.066122          11.325649
 0.071020          11.325823
 0.075918          11.326005
 0.080816          11.326193
 0.085714          11.326389
 0.090612          11.326591
 0.095510          11.326799
 0.100408          11.327013
 0.105306          11.327232
 0.110204          11.327457
 0.115102          11.327686
 0.120000          11.327920
