 Charge Transfer (eV)  Eigenvalues Row0 (eV)  Eigenvalues Row1 (eV)  Eigenvalues Row2 (eV)  Eigenvalues Row3 (eV)  Eigenvalues Row4 (eV)  Eigenvalues Row5 (eV)  Eigenvalues Row6 (eV)  Eigenvalues Row7 (eV)  Eigenvalues Row8 (eV)  Eigenvalues Row9 (eV)  Eigenvalues Row10 (eV)  Eigenvalues Row11 (eV)  Eigenvalues Row12 (eV)  Eigenvalues Row13 (eV)  Eigenvalues Row14 (eV)  Eigenvalues Row15 (eV)  Eigenvalues Row16 (eV)  Eigenvalues Row17 (eV)  Eigenvalues Row18 (eV)  Eigenvalues Row19 (eV)  Eigenvalues Row20 (eV)  Eigenvalues Row21 (eV)  Eigenvalues Row22 (eV)  Eigenvalues Row23 (eV)  Eigenvalues Row24 (eV)  Eigenvalues Row25 (eV)  Eigenvalues Row26 (eV)  Eigenvalues Row27 (eV)  Eigenvalues Row28 (eV)  Eigenvalues Row29 (eV)  Eigenvalues Row30 (eV)  Eigenvalues Row31 (eV)  Eigenvalues Row32 (eV)  Eigenvalues Row33 (eV)  Eigenvalues Row34 (eV)  Eigenvalues Row35 (eV)  Eigenvalues Row36 (eV)  Eigenvalues Row37 (eV)  Eigenvalues Row38 (eV)  Eigenvalues Row39 (eV)  Eigenvalues Row40 (eV)  Eigenvalues Row41 (eV)  Eigenvalues Row42 (eV)  Eigenvalues Row43 (eV)  Eigenvalues Row44 (eV)  Eigenvalues Row45 (eV)  Eigenvalues Row46 (eV)  Eigenvalues Row47 (eV)  Eigenvalues Row48 (eV)  Eigenvalues Row49 (eV)  Eigenvalues Row50 (eV)  Eigenvalues Row51 (eV)  Eigenvalues Row52 (eV)  Eigenvalues Row53 (eV)  Eigenvalues Row54 (eV)  Eigenvalues Row55 (eV)  Eigenvalues Row56 (eV)  Eigenvalues Row57 (eV)  Eigenvalues Row58 (eV)  Eigenvalues Row59 (eV)  Eigenvalues Row60 (eV)  Eigenvalues Row61 (eV)  Eigenvalues Row62 (eV)  Eigenvalues Row63 (eV)  Eigenvalues Row64 (eV)  Eigenvalues Row65 (eV)  Eigenvalues Row66 (eV)  Eigenvalues Row67 (eV)  Eigenvalues Row68 (eV)  Eigenvalues Row69 (eV)  Eigenvalues Row70 (eV)  Eigenvalues Row71 (eV)  Eigenvalues Row72 (eV)  Eigenvalues Row73 (eV)  Eigenvalues Row74 (eV)  Eigenvalues Row75 (eV)  Eigenvalues Row76 (eV)  Eigenvalues Row77 (eV)  Eigenvalues Row78 (eV)  Eigenvalues Row79 (eV)  Eigenvalues Row80 (eV)  Eigenvalues Row81 (eV)  Eigenvalues Row82 (eV)  Eigenvalues Row83 (eV)  Eigenvalues Row84 (eV)  Eigenvalues Row85 (eV)  Eigenvalues Row86 (eV)  Eigenvalues Row87 (eV)  Eigenvalues Row88 (eV)  Eigenvalues Row89 (eV)  Eigenvalues Row90 (eV)  Eigenvalues Row91 (eV)  Eigenvalues Row92 (eV)  Eigenvalues Row93 (eV)  Eigenvalues Row94 (eV)  Eigenvalues Row95 (eV)  Eigenvalues Row96 (eV)  Eigenvalues Row97 (eV)  Eigenvalues Row98 (eV)  Eigenvalues Row99 (eV)  Eigenvalues Row100 (eV)  Eigenvalues Row101 (eV)  Eigenvalues Row102 (eV)  Eigenvalues Row103 (eV)  Eigenvalues Row104 (eV)  Eigenvalues Row105 (eV)  Eigenvalues Row106 (eV)  Eigenvalues Row107 (eV)  Eigenvalues Row108 (eV)  Eigenvalues Row109 (eV)  Eigenvalues Row110 (eV)  Eigenvalues Row111 (eV)  Eigenvalues Row112 (eV)  Eigenvalues Row113 (eV)  Eigenvalues Row114 (eV)  Eigenvalues Row115 (eV)  Eigenvalues Row116 (eV)  Eigenvalues Row117 (eV)  Eigenvalues Row118 (eV)  Eigenvalues Row119 (eV)  Eigenvalues Row120 (eV)  Eigenvalues Row121 (eV)  Eigenvalues Row122 (eV)  Eigenvalues Row123 (eV)  Eigenvalues Row124 (eV)  Eigenvalues Row125 (eV)  Eigenvalues Row126 (eV)  Eigenvalues Row127 (eV)  Eigenvalues Row128 (eV)  Eigenvalues Row129 (eV)  Eigenvalues Row130 (eV)  Eigenvalues Row131 (eV)  Eigenvalues Row132 (eV)  Eigenvalues Row133 (eV)  Eigenvalues Row134 (eV)  Eigenvalues Row135 (eV)  Eigenvalues Row136 (eV)  Eigenvalues Row137 (eV)  Eigenvalues Row138 (eV)  Eigenvalues Row139 (eV)  Eigenvalues Row140 (eV)  Eigenvalues Row141 (eV)  Eigenvalues Row142 (eV)  Eigenvalues Row143 (eV)  Eigenvalues Row144 (eV)  Eigenvalues Row145 (eV)  Eigenvalues Row146 (eV)  Eigenvalues Row147 (eV)  Eigenvalues Row148 (eV)  Eigenvalues Row149 (eV)  Eigenvalues Row150 (eV)  Eigenvalues Row151 (eV)  Eigenvalues Row152 (eV)  Eigenvalues Row153 (eV)  Eigenvalues Row154 (eV)  Eigenvalues Row155 (eV)  Eigenvalues Row156 (eV)  Eigenvalues Row157 (eV)  Eigenvalues Row158 (eV)  Eigenvalues Row159 (eV)  Eigenvalues Row160 (eV)  Eigenvalues Row161 (eV)  Eigenvalues Row162 (eV)  Eigenvalues Row163 (eV)  Eigenvalues Row164 (eV)  Eigenvalues Row165 (eV)  Eigenvalues Row166 (eV)  Eigenvalues Row167 (eV)  Eigenvalues Row168 (eV)  Eigenvalues Row169 (eV)  Eigenvalues Row170 (eV)  Eigenvalues Row171 (eV)  Eigenvalues Row172 (eV)  Eigenvalues Row173 (eV)  Eigenvalues Row174 (eV)  Eigenvalues Row175 (eV)  Eigenvalues Row176 (eV)  Eigenvalues Row177 (eV)  Eigenvalues Row178 (eV)  Eigenvalues Row179 (eV)  Eigenvalues Row180 (eV)  Eigenvalues Row181 (eV)  Eigenvalues Row182 (eV)  Eigenvalues Row183 (eV)  Eigenvalues Row184 (eV)  Eigenvalues Row185 (eV)  Eigenvalues Row186 (eV)  Eigenvalues Row187 (eV)  Eigenvalues Row188 (eV)  Eigenvalues Row189 (eV)
             0.000000                    0.0           3.552714e-15           3.641532e-14               0.691999               0.691999               1.023146               1.068620               1.068620               1.068620               1.173258                1.173258                1.173258                1.173258                1.173258                1.173258                1.586275                1.586275                1.586275                1.758210                1.758210                1.758210                1.758210                1.758210                1.758210                1.887489                1.943546                1.943546                2.053076                2.243018                2.243018                2.651668                2.651668                2.651668                2.871645                2.871645                2.871645                2.871645                2.871645                2.871645                3.259088                3.259088                3.259088                3.259088                3.259088                3.259088                3.259088                3.259088                3.259088                3.259088                3.529340                3.529340                3.719332                3.719332                3.741916                4.293940                4.482940                4.482940                4.482940                4.524129                4.524129                4.524129                4.524129                4.524129                4.524129                4.576508                4.576508                4.576508                4.590461                4.595909                4.595909                4.602582                4.659236                4.659236                4.659236                4.659236                4.659236                4.659236                4.682037                4.682037                4.740658                4.740658                4.740658                5.506196                5.506196                5.506196                5.549088                5.549088                5.549088                5.549088                5.549088                5.549088                5.549088                5.549088                5.549088                5.549088                5.578726                5.578726                5.578726                5.578726                5.578726                 5.578726                 5.682693                 5.682693                 5.682693                 5.682693                 5.682693                 5.682693                 5.699615                 5.699615                 5.849088                 5.849088                 5.849088                 6.013229                 6.013229                 6.023552                 6.023552                 6.023552                 6.188856                 6.188856                 6.188856                 6.188856                 6.188856                 6.188856                 6.581595                 6.638693                 6.638693                 6.802900                 6.802900                 6.802900                 6.830048                 6.978672                 6.978672                 6.978672                 6.978672                 6.978672                 6.978672                 7.045076                 7.179681                 7.179681                 7.387202                 7.387202                 7.581374                 7.581374                 7.664557                 9.151332                 9.242174                 9.242174                 9.242174                 9.368508                 9.368508                10.764164                10.764164                10.764164                10.769756                10.769756                10.769756                10.769756                10.769756                10.769756                10.791621                10.791621                10.791621                10.800271                10.804179                10.804179                10.804179                10.804179                10.804179                10.804179                10.805418                10.805418                10.814302                10.820191                10.832302                10.832302                12.327215                12.327215                12.327215                12.337163                12.337163                12.341388                12.341388                12.341388                12.341388                12.341388                12.341388                12.352654                12.352654                12.352744                12.425007
             0.011616                    0.0           1.065814e-14           2.753353e-14               0.694404               0.694404               1.026689               1.067244               1.067244               1.067244               1.171986                1.171986                1.171986                1.171986                1.171986                1.171986                1.585801                1.585801                1.585801                1.757922                1.757922                1.757922                1.757922                1.757922                1.757922                1.888836                1.945035                1.945035                2.055112                2.244978                2.244978                2.650056                2.650056                2.650056                2.870092                2.870092                2.870092                2.870092                2.870092                2.870092                3.263382                3.263382                3.263382                3.263382                3.263382                3.263382                3.263382                3.263382                3.263382                3.263382                3.529420                3.529420                3.719654                3.719654                3.742465                4.296437                4.486350                4.486350                4.486350                4.527811                4.527811                4.527811                4.527811                4.527811                4.527811                4.580656                4.580656                4.580656                4.594719                4.600216                4.600216                4.606945                4.663517                4.663517                4.663517                4.663517                4.663517                4.663517                4.686503                4.686503                4.740955                4.740955                4.740955                5.507435                5.507435                5.507435                5.553382                5.553382                5.553382                5.553382                5.553382                5.553382                5.553382                5.553382                5.553382                5.553382                5.579694                5.579694                5.579694                5.579694                5.579694                 5.579694                 5.686810                 5.686810                 5.686810                 5.686810                 5.686810                 5.686810                 5.703811                 5.703811                 5.853382                 5.853382                 5.853382                 6.012584                 6.012584                 6.024542                 6.024542                 6.024542                 6.189670                 6.189670                 6.189670                 6.189670                 6.189670                 6.189670                 6.579944                 6.637054                 6.637054                 6.801419                 6.801419                 6.801419                 6.829750                 6.977218                 6.977218                 6.977218                 6.977218                 6.977218                 6.977218                 7.042483                 7.177137                 7.177137                 7.385003                 7.385003                 7.579120                 7.579120                 7.662215                 9.160588                 9.254760                 9.254760                 9.254760                 9.379661                 9.379661                10.778069                10.778069                10.778069                10.783626                10.783626                10.783626                10.783626                10.783626                10.783626                10.805247                10.805247                10.805247                10.811911                10.817737                10.817737                10.817737                10.817737                10.817737                10.817737                10.818898                10.818898                10.819162                10.827673                10.845553                10.845553                12.342078                12.342078                12.342078                12.351933                12.351933                12.356195                12.356195                12.356195                12.356195                12.356195                12.356195                12.367351                12.367351                12.367396                12.438409
             0.023232                    0.0           5.329071e-15           3.996803e-14               0.696812               0.696812               1.030238               1.065868               1.065868               1.065868               1.170714                1.170714                1.170714                1.170714                1.170714                1.170714                1.585320                1.585320                1.585320                1.757630                1.757630                1.757630                1.757630                1.757630                1.757630                1.890188                1.946527                1.946527                2.057155                2.246945                2.246945                2.648457                2.648457                2.648457                2.868550                2.868550                2.868550                2.868550                2.868550                2.868550                3.267696                3.267696                3.267696                3.267696                3.267696                3.267696                3.267696                3.267696                3.267696                3.267696                3.529500                3.529500                3.719975                3.719975                3.743014                4.298943                4.489771                4.489771                4.489771                4.531506                4.531506                4.531506                4.531506                4.531506                4.531506                4.584818                4.584818                4.584818                4.598992                4.604538                4.604538                4.611324                4.667814                4.667814                4.667814                4.667814                4.667814                4.667814                4.690985                4.690985                4.741275                4.741275                4.741275                5.508712                5.508712                5.508712                5.557696                5.557696                5.557696                5.557696                5.557696                5.557696                5.557696                5.557696                5.557696                5.557696                5.580698                5.580698                5.580698                5.580698                5.580698                 5.580698                 5.690947                 5.690947                 5.690947                 5.690947                 5.690947                 5.690947                 5.708025                 5.708025                 5.857696                 5.857696                 5.857696                 6.011947                 6.011947                 6.025559                 6.025559                 6.025559                 6.190510                 6.190510                 6.190510                 6.190510                 6.190510                 6.190510                 6.578321                 6.635443                 6.635443                 6.799972                 6.799972                 6.799972                 6.829445                 6.975798                 6.975798                 6.975798                 6.975798                 6.975798                 6.975798                 7.039911                 7.174615                 7.174615                 7.382833                 7.382833                 7.576895                 7.576895                 7.659902                 9.169878                 9.267382                 9.267382                 9.267382                 9.390869                 9.390869                10.792001                10.792001                10.792001                10.797524                10.797524                10.797524                10.797524                10.797524                10.797524                10.812979                10.818903                10.818903                10.818903                10.828757                10.831327                10.831327                10.831327                10.831327                10.831327                10.831327                10.832412                10.832412                10.841078                10.858841                10.858841                12.356965                12.356965                12.356965                12.366727                12.366727                12.371026                12.371026                12.371026                12.371026                12.371026                12.371026                12.382073                12.382074                12.382074                12.451870
             0.034848                    0.0           1.154632e-14           3.286260e-14               0.699225               0.699225               1.033794               1.064494               1.064494               1.064494               1.169443                1.169443                1.169443                1.169443                1.169443                1.169443                1.584834                1.584834                1.584834                1.757334                1.757334                1.757334                1.757334                1.757334                1.757334                1.891543                1.948024                1.948024                2.059203                2.248917                2.248917                2.646870                2.646870                2.646870                2.867018                2.867018                2.867018                2.867018                2.867018                2.867018                3.272030                3.272030                3.272030                3.272030                3.272030                3.272030                3.272030                3.272030                3.272030                3.272030                3.529581                3.529581                3.720296                3.720296                3.743563                4.301456                4.493205                4.493205                4.493205                4.535212                4.535212                4.535212                4.535212                4.535212                4.535212                4.588995                4.588995                4.588995                4.603280                4.608874                4.608874                4.615718                4.672126                4.672126                4.672126                4.672126                4.672126                4.672126                4.695484                4.695484                4.741618                4.741618                4.741618                5.510026                5.510026                5.510026                5.562030                5.562030                5.562030                5.562030                5.562030                5.562030                5.562030                5.562030                5.562030                5.562030                5.581737                5.581737                5.581737                5.581737                5.581737                 5.581737                 5.695104                 5.695104                 5.695104                 5.695104                 5.695104                 5.695104                 5.712257                 5.712257                 5.862030                 5.862030                 5.862030                 6.011317                 6.011317                 6.026604                 6.026604                 6.026604                 6.191377                 6.191377                 6.191377                 6.191377                 6.191377                 6.191377                 6.576727                 6.633860                 6.633860                 6.798559                 6.798559                 6.798559                 6.829136                 6.974413                 6.974413                 6.974413                 6.974413                 6.974413                 6.974413                 7.037362                 7.172113                 7.172113                 7.380691                 7.380691                 7.574701                 7.574701                 7.657619                 9.179200                 9.280039                 9.280039                 9.280039                 9.402132                 9.402132                10.805962                10.805962                10.805962                10.810517                10.811449                10.811449                10.811449                10.811449                10.811449                10.811449                10.832591                10.832591                10.832591                10.841935                10.844950                10.844950                10.844950                10.844950                10.844950                10.844950                10.845959                10.845959                10.854519                10.872165                10.872165                12.371876                12.371876                12.371876                12.381546                12.381546                12.385881                12.385881                12.385881                12.385881                12.385881                12.385881                12.396776                12.396822                12.396822                12.465390
             0.046465                    0.0           5.329071e-15           4.352074e-14               0.701641               0.701641               1.037356               1.063120               1.063120               1.063120               1.168173                1.168173                1.168173                1.168173                1.168173                1.168173                1.584342                1.584342                1.584342                1.757032                1.757032                1.757032                1.757032                1.757032                1.757032                1.892901                1.949524                1.949524                2.061258                2.250896                2.250896                2.645296                2.645296                2.645296                2.865498                2.865498                2.865498                2.865498                2.865498                2.865498                3.276383                3.276383                3.276383                3.276383                3.276383                3.276383                3.276383                3.276383                3.276383                3.276383                3.529661                3.529661                3.720617                3.720617                3.744111                4.303978                4.496650                4.496650                4.496650                4.538931                4.538931                4.538931                4.538931                4.538931                4.538931                4.593185                4.593185                4.593185                4.607583                4.613226                4.613226                4.620128                4.676454                4.676454                4.676454                4.676454                4.676454                4.676454                4.700000                4.700000                4.741984                4.741984                4.741984                5.511378                5.511378                5.511378                5.566383                5.566383                5.566383                5.566383                5.566383                5.566383                5.566383                5.566383                5.566383                5.566383                5.582813                5.582813                5.582813                5.582813                5.582813                 5.582813                 5.699280                 5.699280                 5.699280                 5.699280                 5.699280                 5.699280                 5.716507                 5.716507                 5.866383                 5.866383                 5.866383                 6.010695                 6.010695                 6.027676                 6.027676                 6.027676                 6.192271                 6.192271                 6.192271                 6.192271                 6.192271                 6.192271                 6.575160                 6.632305                 6.632305                 6.797180                 6.797180                 6.797180                 6.828821                 6.973062                 6.973062                 6.973062                 6.973062                 6.973062                 6.973062                 7.034834                 7.169633                 7.169633                 7.378578                 7.378578                 7.572536                 7.572536                 7.655365                 9.188552                 9.292732                 9.292732                 9.292732                 9.413450                 9.413450                10.807801                10.819950                10.819950                10.819950                10.825403                10.825403                10.825403                10.825403                10.825403                10.825403                10.846311                10.846311                10.846311                10.855425                10.858604                10.858604                10.858604                10.858604                10.858604                10.858604                10.859539                10.859539                10.867994                10.885525                10.885525                12.386810                12.386810                12.386810                12.396390                12.396390                12.400760                12.400760                12.400760                12.400760                12.400760                12.400760                12.411504                12.411596                12.411596                12.478966
             0.058081                    0.0           7.105427e-15           4.440892e-14               0.704060               0.704060               1.040925               1.061747               1.061747               1.061747               1.166903                1.166903                1.166903                1.166903                1.166903                1.166903                1.583844                1.583844                1.583844                1.756726                1.756726                1.756726                1.756726                1.756726                1.756726                1.894264                1.951027                1.951027                2.063319                2.252880                2.252880                2.643735                2.643735                2.643735                2.863988                2.863988                2.863988                2.863988                2.863988                2.863988                3.280755                3.280755                3.280755                3.280755                3.280755                3.280755                3.280755                3.280755                3.280755                3.280755                3.529742                3.529742                3.720939                3.720939                3.744660                4.306508                4.500108                4.500108                4.500108                4.542661                4.542661                4.542661                4.542661                4.542661                4.542661                4.597389                4.597389                4.597389                4.611900                4.617592                4.617592                4.624552                4.680798                4.680798                4.680798                4.680798                4.680798                4.680798                4.704532                4.704532                4.742373                4.742373                4.742373                5.512768                5.512768                5.512768                5.570755                5.570755                5.570755                5.570755                5.570755                5.570755                5.570755                5.570755                5.570755                5.570755                5.583925                5.583925                5.583925                5.583925                5.583925                 5.583925                 5.703475                 5.703475                 5.703475                 5.703475                 5.703475                 5.703475                 5.720776                 5.720776                 5.870755                 5.870755                 5.870755                 6.010080                 6.010080                 6.028775                 6.028775                 6.028775                 6.193192                 6.193192                 6.193192                 6.193192                 6.193192                 6.193192                 6.573622                 6.630779                 6.630779                 6.795836                 6.795836                 6.795836                 6.828502                 6.971745                 6.971745                 6.971745                 6.971745                 6.971745                 6.971745                 7.032329                 7.167174                 7.167174                 7.376494                 7.376494                 7.570402                 7.570402                 7.653140                 9.197934                 9.305460                 9.305460                 9.305460                 9.424821                 9.424821                10.805042                10.833966                10.833966                10.833966                10.839385                10.839385                10.839385                10.839385                10.839385                10.839385                10.860061                10.860061                10.860061                10.869014                10.872290                10.872290                10.872290                10.872290                10.872290                10.872290                10.873152                10.873152                10.881504                10.898921                10.898921                12.401768                12.401768                12.401768                12.411258                12.411258                12.415664                12.415664                12.415664                12.415664                12.415664                12.415664                12.426258                12.426394                12.426394                12.492599
             0.069697                    0.0           1.776357e-14           4.440892e-14               0.706484               0.706484               1.044501               1.060375               1.060375               1.060375               1.165633                1.165633                1.165633                1.165633                1.165633                1.165633                1.583339                1.583339                1.583339                1.756415                1.756415                1.756415                1.756415                1.756415                1.756415                1.895630                1.952534                1.952534                2.065387                2.254870                2.254870                2.642187                2.642187                2.642187                2.862489                2.862489                2.862489                2.862489                2.862489                2.862489                3.285147                3.285147                3.285147                3.285147                3.285147                3.285147                3.285147                3.285147                3.285147                3.285147                3.529822                3.529822                3.721260                3.721260                3.745208                4.309045                4.503577                4.503577                4.503577                4.546404                4.546404                4.546404                4.546404                4.546404                4.546404                4.601607                4.601607                4.601607                4.616232                4.621974                4.621974                4.628992                4.685158                4.685158                4.685158                4.685158                4.685158                4.685158                4.709081                4.709081                4.742785                4.742785                4.742785                5.514195                5.514195                5.514195                5.575147                5.575147                5.575147                5.575147                5.575147                5.575147                5.575147                5.575147                5.575147                5.575147                5.585073                5.585073                5.585073                5.585073                5.585073                 5.585073                 5.707690                 5.707690                 5.707690                 5.707690                 5.707690                 5.707690                 5.725062                 5.725062                 5.875147                 5.875147                 5.875147                 6.009475                 6.009475                 6.029900                 6.029900                 6.029900                 6.194139                 6.194139                 6.194139                 6.194139                 6.194139                 6.194139                 6.572112                 6.629282                 6.629282                 6.794526                 6.794526                 6.794526                 6.828180                 6.970463                 6.970463                 6.970463                 6.970463                 6.970463                 6.970463                 7.029846                 7.164738                 7.164738                 7.374439                 7.374439                 7.568298                 7.568298                 7.650945                 9.207343                 9.318224                 9.318224                 9.318224                 9.436245                 9.436245                10.802284                10.848010                10.848010                10.848010                10.853395                10.853395                10.853395                10.853395                10.853395                10.853395                10.873843                10.873843                10.873843                10.882661                10.886008                10.886008                10.886008                10.886008                10.886008                10.886008                10.886798                10.886798                10.895048                10.912353                10.912353                12.416750                12.416750                12.416750                12.426151                12.426151                12.430591                12.430591                12.430591                12.430591                12.430591                12.430591                12.441038                12.441218                12.441218                12.506286
             0.081313                    0.0           7.105427e-15           3.286260e-14               0.708911               0.708911               1.048083               1.059004               1.059004               1.059004               1.164364                1.164364                1.164364                1.164364                1.164364                1.164364                1.582829                1.582829                1.582829                1.756099                1.756099                1.756099                1.756099                1.756099                1.756099                1.896999                1.954045                1.954045                2.067460                2.256866                2.256866                2.640652                2.640652                2.640652                2.861001                2.861001                2.861001                2.861001                2.861001                2.861001                3.289559                3.289559                3.289559                3.289559                3.289559                3.289559                3.289559                3.289559                3.289559                3.289559                3.529902                3.529902                3.721580                3.721580                3.745756                4.311591                4.507059                4.507059                4.507059                4.550158                4.550158                4.550158                4.550158                4.550158                4.550158                4.605839                4.605839                4.605839                4.620578                4.626370                4.626370                4.633447                4.689533                4.689533                4.689533                4.689533                4.689533                4.689533                4.713646                4.713646                4.743221                4.743221                4.743221                5.515659                5.515659                5.515659                5.579559                5.579559                5.579559                5.579559                5.579559                5.579559                5.579559                5.579559                5.579559                5.579559                5.586257                5.586257                5.586257                5.586257                5.586257                 5.586257                 5.711924                 5.711924                 5.711924                 5.711924                 5.711924                 5.711924                 5.729366                 5.729366                 5.879559                 5.879559                 5.879559                 6.008878                 6.008878                 6.031053                 6.031053                 6.031053                 6.195112                 6.195112                 6.195112                 6.195112                 6.195112                 6.195112                 6.570630                 6.627813                 6.627813                 6.793251                 6.793251                 6.793251                 6.827854                 6.969217                 6.969217                 6.969217                 6.969217                 6.969217                 6.969217                 7.027386                 7.162323                 7.162323                 7.372413                 7.372413                 7.566225                 7.566225                 7.648781                 9.216779                 9.331023                 9.331023                 9.331023                 9.447723                 9.447723                10.799542                10.862081                10.862081                10.862081                10.867433                10.867433                10.867433                10.867433                10.867433                10.867433                10.887655                10.887655                10.887655                10.896354                10.899757                10.899757                10.899757                10.899757                10.899757                10.899757                10.900477                10.900477                10.908627                10.925820                10.925820                12.431754                12.431754                12.431754                12.441068                12.441068                12.445541                12.445541                12.445541                12.445541                12.445541                12.445541                12.455842                12.456067                12.456067                12.520026
             0.092929                    0.0           9.769963e-15           3.730349e-14               0.711341               0.711341               1.051671               1.057634               1.057634               1.057634               1.163096                1.163096                1.163096                1.163096                1.163096                1.163096                1.582312                1.582312                1.582312                1.755778                1.755778                1.755778                1.755778                1.755778                1.755778                1.898372                1.955559                1.955559                2.069540                2.258867                2.258867                2.639130                2.639130                2.639130                2.859523                2.859523                2.859523                2.859523                2.859523                2.859523                3.293990                3.293990                3.293990                3.293990                3.293990                3.293990                3.293990                3.293990                3.293990                3.293990                3.529982                3.529982                3.721901                3.721901                3.746304                4.314144                4.510552                4.510552                4.510552                4.553925                4.553925                4.553925                4.553925                4.553925                4.553925                4.610086                4.610086                4.610086                4.624939                4.630781                4.630781                4.637917                4.693924                4.693924                4.693924                4.693924                4.693924                4.693924                4.718228                4.718228                4.743681                4.743681                4.743681                5.517162                5.517162                5.517162                5.583990                5.583990                5.583990                5.583990                5.583990                5.583990                5.583990                5.583990                5.583990                5.583990                5.587478                5.587478                5.587478                5.587478                5.587478                 5.587478                 5.716177                 5.716177                 5.716177                 5.716177                 5.716177                 5.716177                 5.733687                 5.733687                 5.883990                 5.883990                 5.883990                 6.008290                 6.008290                 6.032233                 6.032233                 6.032233                 6.196112                 6.196112                 6.196112                 6.196112                 6.196112                 6.196112                 6.569177                 6.626372                 6.626372                 6.792011                 6.792011                 6.792011                 6.827527                 6.968005                 6.968005                 6.968005                 6.968005                 6.968005                 6.968005                 7.024948                 7.159930                 7.159930                 7.370416                 7.370416                 7.564182                 7.564182                 7.646646                 9.226238                 9.343857                 9.343857                 9.343857                 9.459254                 9.459254                10.796823                10.876180                10.876180                10.876180                10.881498                10.881498                10.881498                10.881498                10.881498                10.881498                10.901498                10.901498                10.901498                10.910087                10.913538                10.913538                10.913538                10.913538                10.913538                10.913538                10.914188                10.914188                10.922239                10.939323                10.939323                12.446783                12.446783                12.446783                12.456010                12.456010                12.460516                12.460516                12.460516                12.460516                12.460516                12.460516                12.470672                12.470941                12.470941                12.533820
