 Eloss (eV)  Int/Int(10Dq)
   0.000000       0.006335
   0.001600       0.006335
   0.003201       0.006335
   0.004801       0.006335
   0.006401       0.006335
   0.008002       0.006335
   0.009602       0.006335
   0.011202       0.006335
   0.012803       0.006335
   0.014403       0.006335
   0.016003       0.006335
   0.017604       0.006335
   0.019204       0.006335
   0.020804       0.006335
   0.022404       0.006335
   0.024005       0.006335
   0.025605       0.006335
   0.027205       0.006335
   0.028806       0.006335
   0.030406       0.006335
   0.032006       0.006335
   0.033607       0.006335
   0.035207       0.006335
   0.036807       0.006335
   0.038408       0.006335
   0.040008       0.006335
   0.041608       0.006335
   0.043209       0.006335
   0.044809       0.006335
   0.046409       0.006335
   0.048010       0.006335
   0.049610       0.006335
   0.051210       0.006335
   0.052811       0.006335
   0.054411       0.006335
   0.056011       0.006335
   0.057612       0.006335
   0.059212       0.006335
   0.060812       0.006335
   0.062412       0.006335
   0.064013       0.006335
   0.065613       0.006335
   0.067213       0.006335
   0.068814       0.006335
   0.070414       0.006335
   0.072014       0.006335
   0.073615       0.006335
   0.075215       0.006335
   0.076815       0.006335
   0.078416       0.006335
   0.080016       0.006335
   0.081616       0.006335
   0.083217       0.006335
   0.084817       0.006335
   0.086417       0.006335
   0.088018       0.006335
   0.089618       0.006335
   0.091218       0.006335
   0.092819       0.006335
   0.094419       0.006335
   0.096019       0.006335
   0.097620       0.006335
   0.099220       0.006335
   0.100820       0.006335
   0.102420       0.006335
   0.104021       0.006335
   0.105621       0.006335
   0.107221       0.006335
   0.108822       0.006335
   0.110422       0.006335
   0.112022       0.006335
   0.113623       0.006335
   0.115223       0.006335
   0.116823       0.006335
   0.118424       0.006335
   0.120024       0.006335
   0.121624       0.006335
   0.123225       0.006335
   0.124825       0.006335
   0.126425       0.006335
   0.128026       0.006335
   0.129626       0.006335
   0.131226       0.006335
   0.132827       0.006335
   0.134427       0.006335
   0.136027       0.006335
   0.137628       0.006335
   0.139228       0.006335
   0.140828       0.006335
   0.142428       0.006335
   0.144029       0.006335
   0.145629       0.006335
   0.147229       0.006335
   0.148830       0.006335
   0.150430       0.006335
   0.152030       0.006335
   0.153631       0.006335
   0.155231       0.006335
   0.156831       0.006335
   0.158432       0.006335
   0.160032       0.006335
   0.161632       0.006335
   0.163233       0.006335
   0.164833       0.006335
   0.166433       0.006335
   0.168034       0.006335
   0.169634       0.006335
   0.171234       0.006335
   0.172835       0.006335
   0.174435       0.006335
   0.176035       0.006335
   0.177636       0.006335
   0.179236       0.006335
   0.180836       0.006335
   0.182436       0.006335
   0.184037       0.006335
   0.185637       0.006335
   0.187237       0.006335
   0.188838       0.006335
   0.190438       0.006335
   0.192038       0.006335
   0.193639       0.006335
   0.195239       0.006335
   0.196839       0.006335
   0.198440       0.006335
   0.200040       0.006335
   0.201640       0.006335
   0.203241       0.006335
   0.204841       0.006335
   0.206441       0.006335
   0.208042       0.006335
   0.209642       0.006335
   0.211242       0.006335
   0.212843       0.006335
   0.214443       0.006335
   0.216043       0.006335
   0.217644       0.006335
   0.219244       0.006335
   0.220844       0.006335
   0.222444       0.006335
   0.224045       0.006335
   0.225645       0.006335
   0.227245       0.006335
   0.228846       0.006335
   0.230446       0.006335
   0.232046       0.006335
   0.233647       0.006335
   0.235247       0.006335
   0.236847       0.006335
   0.238448       0.006335
   0.240048       0.006335
   0.241648       0.006335
   0.243249       0.006335
   0.244849       0.006335
   0.246449       0.006335
   0.248050       0.006335
   0.249650       0.006335
   0.251250       0.006335
   0.252851       0.006335
   0.254451       0.006335
   0.256051       0.006335
   0.257652       0.006335
   0.259252       0.006335
   0.260852       0.006335
   0.262452       0.006335
   0.264053       0.006335
   0.265653       0.006335
   0.267253       0.006335
   0.268854       0.006335
   0.270454       0.006335
   0.272054       0.006335
   0.273655       0.006335
   0.275255       0.006335
   0.276855       0.006335
   0.278456       0.006335
   0.280056       0.006335
   0.281656       0.006335
   0.283257       0.006335
   0.284857       0.006335
   0.286457       0.006335
   0.288058       0.006335
   0.289658       0.006335
   0.291258       0.006335
   0.292859       0.006335
   0.294459       0.006335
   0.296059       0.006335
   0.297660       0.006335
   0.299260       0.006335
   0.300860       0.006335
   0.302460       0.006335
   0.304061       0.006335
   0.305661       0.006335
   0.307261       0.006335
   0.308862       0.006335
   0.310462       0.006335
   0.312062       0.006335
   0.313663       0.006335
   0.315263       0.006335
   0.316863       0.006335
   0.318464       0.006335
   0.320064       0.006335
   0.321664       0.006335
   0.323265       0.006335
   0.324865       0.006335
   0.326465       0.006335
   0.328066       0.006335
   0.329666       0.006335
   0.331266       0.006335
   0.332867       0.006335
   0.334467       0.006335
   0.336067       0.006335
   0.337668       0.006335
   0.339268       0.006335
   0.340868       0.006335
   0.342468       0.006335
   0.344069       0.006335
   0.345669       0.006335
   0.347269       0.006335
   0.348870       0.006335
   0.350470       0.006335
   0.352070       0.006335
   0.353671       0.006335
   0.355271       0.006335
   0.356871       0.006335
   0.358472       0.006335
   0.360072       0.006335
   0.361672       0.006335
   0.363273       0.006335
   0.364873       0.006335
   0.366473       0.006335
   0.368074       0.006335
   0.369674       0.006335
   0.371274       0.006335
   0.372875       0.006335
   0.374475       0.006335
   0.376075       0.006335
   0.377676       0.006335
   0.379276       0.006335
   0.380876       0.006335
   0.382476       0.006335
   0.384077       0.006335
   0.385677       0.006335
   0.387277       0.006335
   0.388878       0.006335
   0.390478       0.006335
   0.392078       0.006335
   0.393679       0.006335
   0.395279       0.006335
   0.396879       0.006335
   0.398480       0.006335
   0.400080       0.006335
   0.401680       0.006335
   0.403281       0.006335
   0.404881       0.006335
   0.406481       0.006335
   0.408082       0.006335
   0.409682       0.006335
   0.411282       0.006335
   0.412883       0.006335
   0.414483       0.006335
   0.416083       0.006335
   0.417684       0.006335
   0.419284       0.006335
   0.420884       0.006335
   0.422484       0.006335
   0.424085       0.006335
   0.425685       0.006335
   0.427285       0.006335
   0.428886       0.006335
   0.430486       0.006335
   0.432086       0.006335
   0.433687       0.006335
   0.435287       0.006335
   0.436887       0.006335
   0.438488       0.006335
   0.440088       0.006335
   0.441688       0.006335
   0.443289       0.006335
   0.444889       0.006335
   0.446489       0.006335
   0.448090       0.006335
   0.449690       0.006335
   0.451290       0.006335
   0.452891       0.006335
   0.454491       0.006335
   0.456091       0.006335
   0.457692       0.006335
   0.459292       0.006335
   0.460892       0.006335
   0.462492       0.006335
   0.464093       0.006335
   0.465693       0.006335
   0.467293       0.006335
   0.468894       0.006335
   0.470494       0.006335
   0.472094       0.006335
   0.473695       0.006335
   0.475295       0.006335
   0.476895       0.006335
   0.478496       0.006335
   0.480096       0.006335
   0.481696       0.006335
   0.483297       0.006335
   0.484897       0.006335
   0.486497       0.006335
   0.488098       0.006335
   0.489698       0.006335
   0.491298       0.006335
   0.492899       0.006335
   0.494499       0.006335
   0.496099       0.006335
   0.497700       0.006335
   0.499300       0.006335
   0.500900       0.006335
   0.502501       0.006335
   0.504101       0.006335
   0.505701       0.006335
   0.507301       0.006335
   0.508902       0.006335
   0.510502       0.006335
   0.512102       0.006335
   0.513703       0.006335
   0.515303       0.006335
   0.516903       0.006335
   0.518504       0.006335
   0.520104       0.006335
   0.521704       0.006335
   0.523305       0.006335
   0.524905       0.006335
   0.526505       0.006335
   0.528106       0.006335
   0.529706       0.006335
   0.531306       0.006335
   0.532907       0.006335
   0.534507       0.006335
   0.536107       0.006335
   0.537708       0.006335
   0.539308       0.006335
   0.540908       0.006335
