 Eloss (eV)  Int/Int(10Dq)
   0.000000   1.756379e-44
   0.001600   2.358396e-44
   0.003201   3.165393e-44
   0.004801   4.246693e-44
   0.006401   5.694903e-44
   0.008002   7.633684e-44
   0.009602   1.022808e-43
   0.011202   1.369830e-43
   0.012803   1.833797e-43
   0.014403   2.453852e-43
   0.016003   3.282144e-43
   0.017604   4.388128e-43
   0.019204   5.864260e-43
   0.020804   7.833565e-43
   0.022404   1.045967e-42
   0.024005   1.396011e-42
   0.025605   1.862396e-42
   0.027205   2.483518e-42
   0.028806   3.310359e-42
   0.030406   4.410575e-42
   0.032006   5.873913e-42
   0.033607   7.819377e-42
   0.035207   1.040469e-41
   0.036807   1.383880e-41
   0.038408   1.839840e-41
   0.040008   2.444972e-41
   0.041608   3.247731e-41
   0.043209   4.312196e-41
   0.044809   5.723073e-41
   0.046409   7.592282e-41
   0.048010   1.006764e-40
   0.049610   1.334429e-40
   0.051210   1.767972e-40
   0.052811   2.341357e-40
   0.054411   3.099362e-40
   0.056011   4.100995e-40
   0.057612   5.423984e-40
   0.059212   7.170673e-40
   0.060812   9.475753e-40
   0.062412   1.251641e-39
   0.064013   1.652564e-39
   0.065613   2.180967e-39
   0.067213   2.877081e-39
   0.068814   3.793739e-39
   0.070414   5.000288e-39
   0.072014   6.587718e-39
   0.073615   8.675354e-39
   0.075215   1.141962e-38
   0.076815   1.502549e-38
   0.078416   1.976140e-38
   0.080016   2.597881e-38
   0.081616   3.413760e-38
   0.083217   4.483933e-38
   0.084817   5.887046e-38
   0.086417   7.725883e-38
   0.088018   1.013470e-37
   0.089618   1.328882e-37
   0.091218   1.741703e-37
   0.092819   2.281781e-37
   0.094419   2.988038e-37
   0.096019   3.911205e-37
   0.097620   5.117376e-37
   0.099220   6.692625e-37
   0.100820   8.748989e-37
   0.102420   1.143225e-36
   0.104021   1.493199e-36
   0.105621   1.949467e-36
   0.107221   2.544055e-36
   0.108822   3.318559e-36
   0.110422   4.326978e-36
   0.112022   5.639391e-36
   0.113623   7.346696e-36
   0.115223   9.566746e-36
   0.116823   1.245227e-35
   0.118424   1.620113e-35
   0.120024   2.106951e-35
   0.121624   2.738898e-35
   0.123225   3.558848e-35
   0.124825   4.622272e-35
   0.126425   6.000863e-35
   0.128026   7.787253e-35
   0.129626   1.010107e-34
   0.131226   1.309671e-34
   0.132827   1.697344e-34
   0.134427   2.198820e-34
   0.136027   2.847225e-34
   0.137628   3.685243e-34
   0.139228   4.767852e-34
   0.140828   6.165834e-34
   0.142428   7.970272e-34
   0.144029   1.029833e-33
   0.145629   1.330064e-33
   0.147229   1.717081e-33
   0.148830   2.215753e-33
   0.150430   2.858013e-33
   0.152030   3.684846e-33
   0.153631   4.748832e-33
   0.155231   6.117395e-33
   0.156831   7.876958e-33
   0.158432   1.013825e-32
   0.160032   1.304306e-32
   0.161632   1.677291e-32
   0.163233   2.156005e-32
   0.164833   2.770150e-32
   0.166433   3.557699e-32
   0.168034   4.567171e-32
   0.169634   5.860542e-32
   0.171234   7.516931e-32
   0.172835   9.637306e-32
   0.174435   1.235046e-31
   0.176035   1.582059e-31
   0.177636   2.025698e-31
   0.179236   2.592621e-31
   0.180836   3.316772e-31
   0.182436   4.241353e-31
   0.184037   5.421328e-31
   0.185637   6.926585e-31
   0.187237   8.845960e-31
   0.188838   1.129232e-30
   0.190438   1.440899e-30
   0.192038   1.837791e-30
   0.193639   2.342994e-30
   0.195239   2.985785e-30
   0.196839   3.803279e-30
   0.198440   4.842506e-30
   0.200040   6.163031e-30
   0.201640   7.840268e-30
   0.203241   9.969647e-30
   0.204841   1.267188e-29
   0.206441   1.609957e-29
   0.208042   2.044561e-29
   0.209642   2.595364e-29
   0.211242   3.293128e-29
   0.212843   4.176680e-29
   0.214443   5.295003e-29
   0.216043   6.709860e-29
   0.217644   8.499102e-29
   0.219244   1.076081e-28
   0.220844   1.361850e-28
   0.222444   1.722763e-28
   0.224045   2.178384e-28
   0.225645   2.753313e-28
