 Charge Transfer (eV)  Eigenvalues Row0 (eV)  Eigenvalues Row1 (eV)  Eigenvalues Row2 (eV)  Eigenvalues Row3 (eV)  Eigenvalues Row4 (eV)  Eigenvalues Row5 (eV)  Eigenvalues Row6 (eV)  Eigenvalues Row7 (eV)  Eigenvalues Row8 (eV)  Eigenvalues Row9 (eV)  Eigenvalues Row10 (eV)  Eigenvalues Row11 (eV)  Eigenvalues Row12 (eV)  Eigenvalues Row13 (eV)  Eigenvalues Row14 (eV)  Eigenvalues Row15 (eV)  Eigenvalues Row16 (eV)  Eigenvalues Row17 (eV)  Eigenvalues Row18 (eV)  Eigenvalues Row19 (eV)  Eigenvalues Row20 (eV)  Eigenvalues Row21 (eV)  Eigenvalues Row22 (eV)  Eigenvalues Row23 (eV)  Eigenvalues Row24 (eV)  Eigenvalues Row25 (eV)  Eigenvalues Row26 (eV)  Eigenvalues Row27 (eV)  Eigenvalues Row28 (eV)  Eigenvalues Row29 (eV)  Eigenvalues Row30 (eV)  Eigenvalues Row31 (eV)  Eigenvalues Row32 (eV)  Eigenvalues Row33 (eV)  Eigenvalues Row34 (eV)  Eigenvalues Row35 (eV)  Eigenvalues Row36 (eV)  Eigenvalues Row37 (eV)  Eigenvalues Row38 (eV)  Eigenvalues Row39 (eV)  Eigenvalues Row40 (eV)  Eigenvalues Row41 (eV)  Eigenvalues Row42 (eV)  Eigenvalues Row43 (eV)  Eigenvalues Row44 (eV)  Eigenvalues Row45 (eV)  Eigenvalues Row46 (eV)  Eigenvalues Row47 (eV)  Eigenvalues Row48 (eV)  Eigenvalues Row49 (eV)  Eigenvalues Row50 (eV)  Eigenvalues Row51 (eV)  Eigenvalues Row52 (eV)  Eigenvalues Row53 (eV)  Eigenvalues Row54 (eV)  Eigenvalues Row55 (eV)  Eigenvalues Row56 (eV)  Eigenvalues Row57 (eV)  Eigenvalues Row58 (eV)  Eigenvalues Row59 (eV)  Eigenvalues Row60 (eV)  Eigenvalues Row61 (eV)  Eigenvalues Row62 (eV)  Eigenvalues Row63 (eV)  Eigenvalues Row64 (eV)  Eigenvalues Row65 (eV)  Eigenvalues Row66 (eV)  Eigenvalues Row67 (eV)  Eigenvalues Row68 (eV)  Eigenvalues Row69 (eV)  Eigenvalues Row70 (eV)  Eigenvalues Row71 (eV)  Eigenvalues Row72 (eV)  Eigenvalues Row73 (eV)  Eigenvalues Row74 (eV)  Eigenvalues Row75 (eV)  Eigenvalues Row76 (eV)  Eigenvalues Row77 (eV)  Eigenvalues Row78 (eV)  Eigenvalues Row79 (eV)  Eigenvalues Row80 (eV)  Eigenvalues Row81 (eV)  Eigenvalues Row82 (eV)  Eigenvalues Row83 (eV)  Eigenvalues Row84 (eV)  Eigenvalues Row85 (eV)  Eigenvalues Row86 (eV)  Eigenvalues Row87 (eV)  Eigenvalues Row88 (eV)  Eigenvalues Row89 (eV)  Eigenvalues Row90 (eV)  Eigenvalues Row91 (eV)  Eigenvalues Row92 (eV)  Eigenvalues Row93 (eV)  Eigenvalues Row94 (eV)  Eigenvalues Row95 (eV)  Eigenvalues Row96 (eV)  Eigenvalues Row97 (eV)  Eigenvalues Row98 (eV)  Eigenvalues Row99 (eV)  Eigenvalues Row100 (eV)  Eigenvalues Row101 (eV)  Eigenvalues Row102 (eV)  Eigenvalues Row103 (eV)  Eigenvalues Row104 (eV)  Eigenvalues Row105 (eV)  Eigenvalues Row106 (eV)  Eigenvalues Row107 (eV)  Eigenvalues Row108 (eV)  Eigenvalues Row109 (eV)  Eigenvalues Row110 (eV)  Eigenvalues Row111 (eV)  Eigenvalues Row112 (eV)  Eigenvalues Row113 (eV)  Eigenvalues Row114 (eV)  Eigenvalues Row115 (eV)  Eigenvalues Row116 (eV)  Eigenvalues Row117 (eV)  Eigenvalues Row118 (eV)  Eigenvalues Row119 (eV)  Eigenvalues Row120 (eV)  Eigenvalues Row121 (eV)  Eigenvalues Row122 (eV)  Eigenvalues Row123 (eV)  Eigenvalues Row124 (eV)  Eigenvalues Row125 (eV)  Eigenvalues Row126 (eV)  Eigenvalues Row127 (eV)  Eigenvalues Row128 (eV)  Eigenvalues Row129 (eV)  Eigenvalues Row130 (eV)  Eigenvalues Row131 (eV)  Eigenvalues Row132 (eV)  Eigenvalues Row133 (eV)  Eigenvalues Row134 (eV)  Eigenvalues Row135 (eV)  Eigenvalues Row136 (eV)  Eigenvalues Row137 (eV)  Eigenvalues Row138 (eV)  Eigenvalues Row139 (eV)  Eigenvalues Row140 (eV)  Eigenvalues Row141 (eV)  Eigenvalues Row142 (eV)  Eigenvalues Row143 (eV)  Eigenvalues Row144 (eV)  Eigenvalues Row145 (eV)  Eigenvalues Row146 (eV)  Eigenvalues Row147 (eV)  Eigenvalues Row148 (eV)  Eigenvalues Row149 (eV)  Eigenvalues Row150 (eV)  Eigenvalues Row151 (eV)  Eigenvalues Row152 (eV)  Eigenvalues Row153 (eV)  Eigenvalues Row154 (eV)  Eigenvalues Row155 (eV)  Eigenvalues Row156 (eV)  Eigenvalues Row157 (eV)  Eigenvalues Row158 (eV)  Eigenvalues Row159 (eV)  Eigenvalues Row160 (eV)  Eigenvalues Row161 (eV)  Eigenvalues Row162 (eV)  Eigenvalues Row163 (eV)  Eigenvalues Row164 (eV)  Eigenvalues Row165 (eV)  Eigenvalues Row166 (eV)  Eigenvalues Row167 (eV)  Eigenvalues Row168 (eV)  Eigenvalues Row169 (eV)  Eigenvalues Row170 (eV)  Eigenvalues Row171 (eV)  Eigenvalues Row172 (eV)  Eigenvalues Row173 (eV)  Eigenvalues Row174 (eV)  Eigenvalues Row175 (eV)  Eigenvalues Row176 (eV)  Eigenvalues Row177 (eV)  Eigenvalues Row178 (eV)  Eigenvalues Row179 (eV)  Eigenvalues Row180 (eV)  Eigenvalues Row181 (eV)  Eigenvalues Row182 (eV)  Eigenvalues Row183 (eV)  Eigenvalues Row184 (eV)  Eigenvalues Row185 (eV)  Eigenvalues Row186 (eV)  Eigenvalues Row187 (eV)  Eigenvalues Row188 (eV)  Eigenvalues Row189 (eV)
             0.000000                    0.0           6.661338e-15           1.243450e-14               0.794860               0.794860               0.977480               0.977480               0.977480               1.087236               1.087236                1.087236                1.087236                1.087236                1.087236                1.150407                1.515897                1.515897                1.515897                1.698963                1.698963                1.698963                1.698963                1.698963                1.698963                1.891274                1.949570                1.949570                2.068624                2.256418                2.256418                2.504918                2.504918                2.504918                2.720204                2.720204                2.720204                2.720204                2.720204                2.720204                3.001634                3.001634                3.001634                3.001634                3.001634                3.001634                3.001634                3.001634                3.001634                3.001634                3.340435                3.340435                3.518341                3.518341                3.531742                3.840358                3.840358                3.840358                3.845723                3.845723                3.845723                3.845723                3.845723                3.845723                3.850087                3.850087                3.850087                3.851178                3.851973                3.851973                3.852541                3.919815                3.919815                3.919815                3.919815                3.919815                3.919815                3.919870                3.919870                3.967748                4.214606                4.214606                4.214606                4.551634                4.551634                4.551634                4.551634                4.551634                4.551634                4.551634                4.551634                4.551634                4.551634                4.625293                4.625293                4.625293                4.672469                4.672469                4.672469                4.672469                4.672469                 4.672469                 4.708082                 4.708082                 4.729960                 4.729960                 4.729960                 4.729960                 4.729960                 4.729960                 4.851634                 4.851634                 4.851634                 4.944331                 4.944331                 4.944331                 5.145401                 5.145401                 5.145401                 5.145401                 5.145401                 5.145401                 5.379207                 5.379207                 5.657883                 5.680202                 5.680202                 5.795925                 5.795925                 5.795925                 5.969173                 5.969173                 5.969173                 5.969173                 5.969173                 5.969173                 6.066045                 6.194809                 6.222850                 6.222850                 6.348514                 6.348514                 6.469663                 6.469663                 6.534179                 8.808143                 8.995865                 8.995865                 8.995865                 9.054935                 9.054935                 9.868974                 9.868974                 9.868974                 9.871647                 9.871647                 9.871647                 9.871647                 9.871647                 9.871647                 9.879988                 9.879988                 9.879988                 9.883697                 9.885744                 9.885744                 9.886744                 9.886744                 9.886744                 9.886744                 9.886744                 9.886744                 9.889246                 9.898691                 9.898691                 9.958277                10.766416                10.766416                10.766416                10.769718                10.769718                10.773966                10.773966                10.773966                10.773966                10.773966                10.773966                10.777726                10.777774                10.777774                10.817496
             0.011616                    0.0           9.325873e-15           2.042810e-14               0.797676               0.797676               0.976196               0.976196               0.976196               1.086059               1.086059                1.086059                1.086059                1.086059                1.086059                1.154541                1.515323                1.515323                1.515323                1.698677                1.698677                1.698677                1.698677                1.698677                1.698677                1.893234                1.951691                1.951691                2.071432                2.259151                2.259151                2.504406                2.504406                2.504406                2.719725                2.719725                2.719725                2.719725                2.719725                2.719725                3.006977                3.006977                3.006977                3.006977                3.006977                3.006977                3.006977                3.006977                3.006977                3.006977                3.342001                3.342001                3.520227                3.520227                3.533958                3.845869                3.845869                3.845869                3.851319                3.851319                3.851319                3.851319                3.851319                3.851319                3.855749                3.855749                3.855749                3.856852                3.857663                3.857663                3.858240                3.925511                3.925511                3.925511                3.925511                3.925511                3.925511                3.925561                3.925561                3.971710                4.215899                4.215899                4.215899                4.556977                4.556977                4.556977                4.556977                4.556977                4.556977                4.556977                4.556977                4.556977                4.556977                4.626763                4.626763                4.626763                4.677306                4.677306                4.677306                4.677306                4.677306                 4.677306                 4.713287                 4.713287                 4.731535                 4.731535                 4.731535                 4.731535                 4.731535                 4.731535                 4.856977                 4.856977                 4.856977                 4.946918                 4.946918                 4.946918                 5.147949                 5.147949                 5.147949                 5.147949                 5.147949                 5.147949                 5.378680                 5.378680                 5.656607                 5.679045                 5.679045                 5.794204                 5.794204                 5.794204                 5.967434                 5.967434                 5.967434                 5.967434                 5.967434                 5.967434                 6.064483                 6.192234                 6.220419                 6.220419                 6.346100                 6.346100                 6.467043                 6.467043                 6.531585                 8.819136                 9.010600                 9.010600                 9.010600                 9.068989                 9.068989                 9.884647                 9.884647                 9.884647                 9.887301                 9.887301                 9.887301                 9.887301                 9.887301                 9.887301                 9.895540                 9.895540                 9.895540                 9.899189                 9.901231                 9.901231                 9.902261                 9.902261                 9.902261                 9.902261                 9.902261                 9.902261                 9.904685                 9.914065                 9.914065                 9.957257                10.782820                10.782820                10.782820                10.786086                10.786086                10.790338                10.790338                10.790338                10.790338                10.790338                10.790338                10.794015                10.794104                10.794104                10.832685
             0.023232                    0.0           1.598721e-14           1.909584e-14               0.800496               0.800496               0.974913               0.974913               0.974913               1.084883               1.084883                1.084883                1.084883                1.084883                1.084883                1.158682                1.514739                1.514739                1.514739                1.698382                1.698382                1.698382                1.698382                1.698382                1.698382                1.895196                1.953814                1.953814                2.074245                2.261889                2.261889                2.503908                2.503908                2.503908                2.719256                2.719256                2.719256                2.719256                2.719256                2.719256                3.012340                3.012340                3.012340                3.012340                3.012340                3.012340                3.012340                3.012340                3.012340                3.012340                3.343562                3.343562                3.522109                3.522109                3.536172                3.851397                3.851397                3.851397                3.856931                3.856931                3.856931                3.856931                3.856931                3.856931                3.861429                3.861429                3.861429                3.862544                3.863372                3.863372                3.863958                3.931226                3.931226                3.931226                3.931226                3.931226                3.931226                3.931271                3.931271                3.975683                4.217223                4.217223                4.217223                4.562340                4.562340                4.562340                4.562340                4.562340                4.562340                4.562340                4.562340                4.562340                4.562340                4.628273                4.628273                4.628273                4.682132                4.682132                4.682132                4.682132                4.682132                 4.682132                 4.718511                 4.718511                 4.733178                 4.733178                 4.733178                 4.733178                 4.733178                 4.733178                 4.862340                 4.862340                 4.862340                 4.949540                 4.949540                 4.949540                 5.150533                 5.150533                 5.150533                 5.150533                 5.150533                 5.150533                 5.378178                 5.378178                 5.655367                 5.677927                 5.677927                 5.792520                 5.792520                 5.792520                 5.965733                 5.965733                 5.965733                 5.965733                 5.965733                 5.965733                 6.062940                 6.189688                 6.218022                 6.218022                 6.343717                 6.343717                 6.464456                 6.464456                 6.529026                 8.830077                 9.025366                 9.025366                 9.025366                 9.083085                 9.083085                 9.900347                 9.900347                 9.900347                 9.902981                 9.902981                 9.902981                 9.902981                 9.902981                 9.902981                 9.911121                 9.911121                 9.911121                 9.914698                 9.916746                 9.916746                 9.917806                 9.917806                 9.917806                 9.917806                 9.917806                 9.917806                 9.920154                 9.929469                 9.929469                 9.956313                10.799247                10.799247                10.799247                10.802477                10.802477                10.806733                10.806733                10.806733                10.806733                10.806733                10.806733                10.810327                10.810457                10.810457                10.847950
             0.034848                    0.0           5.773160e-15           9.769963e-15               0.803318               0.803318               0.973630               0.973630               0.973630               1.083706               1.083706                1.083706                1.083706                1.083706                1.083706                1.162829                1.514144                1.514144                1.514144                1.698078                1.698078                1.698078                1.698078                1.698078                1.698078                1.897160                1.955939                1.955939                2.077064                2.264632                2.264632                2.503424                2.503424                2.503424                2.718799                2.718799                2.718799                2.718799                2.718799                2.718799                3.017724                3.017724                3.017724                3.017724                3.017724                3.017724                3.017724                3.017724                3.017724                3.017724                3.345120                3.345120                3.523988                3.523988                3.538382                3.856941                3.856941                3.856941                3.862561                3.862561                3.862561                3.862561                3.862561                3.862561                3.867127                3.867127                3.867127                3.868253                3.869099                3.869099                3.869694                3.936960                3.936960                3.936960                3.936960                3.936960                3.936960                3.937000                3.937000                3.979667                4.218577                4.218577                4.218577                4.567724                4.567724                4.567724                4.567724                4.567724                4.567724                4.567724                4.567724                4.567724                4.567724                4.629821                4.629821                4.629821                4.686941                4.686941                4.686941                4.686941                4.686941                 4.686941                 4.723754                 4.723754                 4.734896                 4.734896                 4.734896                 4.734896                 4.734896                 4.734896                 4.867724                 4.867724                 4.867724                 4.952196                 4.952196                 4.952196                 5.153152                 5.153152                 5.153152                 5.153152                 5.153152                 5.153152                 5.377702                 5.377702                 5.654164                 5.676848                 5.676848                 5.790874                 5.790874                 5.790874                 5.964069                 5.964069                 5.964069                 5.964069                 5.964069                 5.964069                 6.061416                 6.187170                 6.215658                 6.215658                 6.341366                 6.341366                 6.461901                 6.461901                 6.526501                 8.840964                 9.040162                 9.040162                 9.040162                 9.097220                 9.097220                 9.916071                 9.916071                 9.916071                 9.918687                 9.918687                 9.918687                 9.918687                 9.918687                 9.918687                 9.926728                 9.926728                 9.926728                 9.930199                 9.932289                 9.932289                 9.933378                 9.933378                 9.933378                 9.933378                 9.933378                 9.933378                 9.935651                 9.944903                 9.944903                 9.955474                10.815696                10.815696                10.815696                10.818892                10.818892                10.823151                10.823151                10.823151                10.823151                10.823151                10.823151                10.826664                10.826833                10.826833                10.863288
             0.046465                    0.0           1.554312e-14           1.820766e-14               0.806144               0.806144               0.972348               0.972348               0.972348               1.082529               1.082529                1.082529                1.082529                1.082529                1.082529                1.166984                1.513540                1.513540                1.513540                1.697765                1.697765                1.697765                1.697765                1.697765                1.697765                1.899126                1.958065                1.958065                2.079889                2.267379                2.267379                2.502953                2.502953                2.502953                2.718352                2.718352                2.718352                2.718352                2.718352                2.718352                3.023128                3.023128                3.023128                3.023128                3.023128                3.023128                3.023128                3.023128                3.023128                3.023128                3.346674                3.346674                3.525863                3.525863                3.540589                3.862501                3.862501                3.862501                3.868208                3.868208                3.868208                3.868208                3.868208                3.868208                3.872844                3.872844                3.872844                3.873981                3.874844                3.874844                3.875449                3.942713                3.942713                3.942713                3.942713                3.942713                3.942713                3.942749                3.942749                3.983662                4.219962                4.219962                4.219962                4.573128                4.573128                4.573128                4.573128                4.573128                4.573128                4.573128                4.573128                4.573128                4.573128                4.631409                4.631409                4.631409                4.691725                4.691725                4.691725                4.691725                4.691725                 4.691725                 4.729017                 4.729017                 4.736695                 4.736695                 4.736695                 4.736695                 4.736695                 4.736695                 4.873128                 4.873128                 4.873128                 4.954886                 4.954886                 4.954886                 5.155807                 5.155807                 5.155807                 5.155807                 5.155807                 5.155807                 5.377252                 5.377252                 5.652998                 5.675807                 5.675807                 5.789265                 5.789265                 5.789265                 5.962442                 5.962442                 5.962442                 5.962442                 5.962442                 5.962442                 6.059913                 6.184681                 6.213328                 6.213328                 6.339047                 6.339047                 6.459380                 6.459380                 6.524012                 8.851792                 9.054990                 9.054990                 9.054990                 9.111396                 9.111396                 9.931822                 9.931822                 9.931822                 9.934419                 9.934419                 9.934419                 9.934419                 9.934419                 9.934419                 9.942363                 9.942363                 9.942363                 9.945505                 9.947860                 9.947860                 9.948978                 9.948978                 9.948978                 9.948978                 9.948978                 9.948978                 9.951177                 9.954934                 9.960367                 9.960367                10.832168                10.832168                10.832168                10.835330                10.835330                10.839592                10.839592                10.839592                10.839592                10.839592                10.839592                10.843024                10.843233                10.843233                10.878695
             0.058081                    0.0           2.486900e-14           2.753353e-14               0.808972               0.808972               0.971066               0.971066               0.971066               1.081352               1.081352                1.081352                1.081352                1.081352                1.081352                1.171145                1.512926                1.512926                1.512926                1.697443                1.697443                1.697443                1.697443                1.697443                1.697443                1.901093                1.960193                1.960193                2.082718                2.270132                2.270132                2.502496                2.502496                2.502496                2.717917                2.717917                2.717917                2.717917                2.717917                2.717917                3.028552                3.028552                3.028552                3.028552                3.028552                3.028552                3.028552                3.028552                3.028552                3.028552                3.348224                3.348224                3.527735                3.527735                3.542792                3.868078                3.868078                3.868078                3.873873                3.873873                3.873873                3.873873                3.873873                3.873873                3.878578                3.878578                3.878578                3.879727                3.880607                3.880607                3.881222                3.948485                3.948485                3.948485                3.948485                3.948485                3.948485                3.948516                3.948516                3.987668                4.221377                4.221377                4.221377                4.578552                4.578552                4.578552                4.578552                4.578552                4.578552                4.578552                4.578552                4.578552                4.578552                4.633036                4.633036                4.633036                4.696475                4.696475                4.696475                4.696475                4.696475                 4.696475                 4.734300                 4.734300                 4.738585                 4.738585                 4.738585                 4.738585                 4.738585                 4.738585                 4.878552                 4.878552                 4.878552                 4.957609                 4.957609                 4.957609                 5.158497                 5.158497                 5.158497                 5.158497                 5.158497                 5.158497                 5.376827                 5.376827                 5.651870                 5.674805                 5.674805                 5.787693                 5.787693                 5.787693                 5.960853                 5.960853                 5.960853                 5.960853                 5.960853                 5.960853                 6.058431                 6.182221                 6.211031                 6.211031                 6.336760                 6.336760                 6.456891                 6.456891                 6.521557                 8.862557                 9.069848                 9.069848                 9.069848                 9.125611                 9.125611                 9.947598                 9.947598                 9.947598                 9.950177                 9.950177                 9.950177                 9.950177                 9.950177                 9.950177                 9.953269                 9.958025                 9.958025                 9.958025                 9.962047                 9.963460                 9.963460                 9.964605                 9.964605                 9.964605                 9.964605                 9.964605                 9.964605                 9.966732                 9.975861                 9.975861                10.848663                10.848663                10.848663                10.851791                10.851791                10.856055                10.856055                10.856055                10.856055                10.856055                10.856055                10.859408                10.859657                10.859657                10.894169
             0.069697                    0.0           6.661338e-15           1.376677e-14               0.811804               0.811804               0.969784               0.969784               0.969784               1.080175               1.080175                1.080175                1.080175                1.080175                1.080175                1.175313                1.512301                1.512301                1.512301                1.697112                1.697112                1.697112                1.697112                1.697112                1.697112                1.903062                1.962323                1.962323                2.085553                2.272890                2.272890                2.502052                2.502052                2.502052                2.717493                2.717493                2.717493                2.717493                2.717493                2.717493                3.033997                3.033997                3.033997                3.033997                3.033997                3.033997                3.033997                3.033997                3.033997                3.033997                3.349770                3.349770                3.529603                3.529603                3.544991                3.873671                3.873671                3.873671                3.879554                3.879554                3.879554                3.879554                3.879554                3.879554                3.884330                3.884330                3.884330                3.885490                3.886389                3.886389                3.887013                3.954276                3.954276                3.954276                3.954276                3.954276                3.954276                3.954303                3.954303                3.991685                4.222823                4.222823                4.222823                4.583997                4.583997                4.583997                4.583997                4.583997                4.583997                4.583997                4.583997                4.583997                4.583997                4.634701                4.634701                4.634701                4.701181                4.701181                4.701181                4.701181                4.701181                 4.701181                 4.739602                 4.739602                 4.740577                 4.740577                 4.740577                 4.740577                 4.740577                 4.740577                 4.883997                 4.883997                 4.883997                 4.960366                 4.960366                 4.960366                 5.161223                 5.161223                 5.161223                 5.161223                 5.161223                 5.161223                 5.376429                 5.376429                 5.650778                 5.673842                 5.673842                 5.786159                 5.786159                 5.786159                 5.959302                 5.959302                 5.959302                 5.959302                 5.959302                 5.959302                 6.056969                 6.179790                 6.208769                 6.208769                 6.334506                 6.334506                 6.454436                 6.454436                 6.519138                 8.873257                 9.084736                 9.084736                 9.084736                 9.139867                 9.139867                 9.952930                 9.963400                 9.963400                 9.963400                 9.965960                 9.965960                 9.965960                 9.965960                 9.965960                 9.965960                 9.973714                 9.973714                 9.973714                 9.977379                 9.979088                 9.979088                 9.980260                 9.980260                 9.980260                 9.980260                 9.980260                 9.980260                 9.982316                 9.991384                 9.991384                10.865180                10.865180                10.865180                10.868275                10.868275                10.872542                10.872542                10.872542                10.872542                10.872542                10.872542                10.875815                10.876103                10.876103                10.909707
             0.081313                    0.0           1.465494e-14           3.552714e-14               0.814638               0.814638               0.968503               0.968503               0.968503               1.078998               1.078998                1.078998                1.078998                1.078998                1.078998                1.179487                1.511667                1.511667                1.511667                1.696772                1.696772                1.696772                1.696772                1.696772                1.696772                1.905033                1.964453                1.964453                2.088394                2.275652                2.275652                2.501622                2.501622                2.501622                2.717081                2.717081                2.717081                2.717081                2.717081                2.717081                3.039462                3.039462                3.039462                3.039462                3.039462                3.039462                3.039462                3.039462                3.039462                3.039462                3.351312                3.351312                3.531468                3.531468                3.547187                3.879281                3.879281                3.879281                3.885253                3.885253                3.885253                3.885253                3.885253                3.885253                3.890100                3.890100                3.890100                3.891271                3.892189                3.892189                3.892823                3.960086                3.960086                3.960086                3.960086                3.960086                3.960086                3.960110                3.960110                3.995713                4.224299                4.224299                4.224299                4.589462                4.589462                4.589462                4.589462                4.589462                4.589462                4.589462                4.589462                4.589462                4.589462                4.636406                4.636406                4.636406                4.705829                4.705829                4.705829                4.705829                4.705829                 4.705829                 4.742683                 4.742683                 4.742683                 4.742683                 4.742683                 4.742683                 4.744923                 4.744923                 4.889462                 4.889462                 4.889462                 4.963157                 4.963157                 4.963157                 5.163983                 5.163983                 5.163983                 5.163983                 5.163983                 5.163983                 5.376057                 5.376057                 5.649724                 5.672918                 5.672918                 5.784663                 5.784663                 5.784663                 5.957788                 5.957788                 5.957788                 5.957788                 5.957788                 5.957788                 6.055528                 6.177388                 6.206540                 6.206540                 6.332283                 6.332283                 6.452014                 6.452014                 6.516754                 8.883886                 9.099655                 9.099655                 9.099655                 9.154161                 9.154161                 9.952436                 9.979227                 9.979227                 9.979227                 9.981769                 9.981769                 9.981769                 9.981769                 9.981769                 9.981769                 9.989430                 9.989430                 9.989430                 9.992988                 9.994743                 9.994743                 9.995943                 9.995943                 9.995943                 9.995943                 9.995943                 9.995943                 9.997929                10.006937                10.006937                10.881719                10.881719                10.881719                10.884782                10.884782                10.889051                10.889051                10.889051                10.889051                10.889051                10.889051                10.892246                10.892573                10.892573                10.925307
             0.092929                    0.0           1.865175e-14           2.264855e-14               0.817475               0.817475               0.967223               0.967223               0.967223               1.077821               1.077821                1.077821                1.077821                1.077821                1.077821                1.183668                1.511022                1.511022                1.511022                1.696424                1.696424                1.696424                1.696424                1.696424                1.696424                1.907005                1.966585                1.966585                2.091239                2.278419                2.278419                2.501205                2.501205                2.501205                2.716680                2.716680                2.716680                2.716680                2.716680                2.716680                3.044948                3.044948                3.044948                3.044948                3.044948                3.044948                3.044948                3.044948                3.044948                3.044948                3.352850                3.352850                3.533329                3.533329                3.549379                3.884907                3.884907                3.884907                3.890970                3.890970                3.890970                3.890970                3.890970                3.890970                3.895888                3.895888                3.895888                3.897070                3.898007                3.898007                3.898650                3.965915                3.965915                3.965915                3.965915                3.965915                3.965915                3.965935                3.965935                3.999751                4.225806                4.225806                4.225806                4.594948                4.594948                4.594948                4.594948                4.594948                4.594948                4.594948                4.594948                4.594948                4.594948                4.638149                4.638149                4.638149                4.710402                4.710402                4.710402                4.710402                4.710402                 4.710402                 4.744921                 4.744921                 4.744921                 4.744921                 4.744921                 4.744921                 4.750264                 4.750264                 4.894948                 4.894948                 4.894948                 4.965981                 4.965981                 4.965981                 5.166778                 5.166778                 5.166778                 5.166778                 5.166778                 5.166778                 5.375712                 5.375712                 5.648707                 5.672033                 5.672033                 5.783204                 5.783204                 5.783204                 5.956313                 5.956313                 5.956313                 5.956313                 5.956313                 5.956313                 6.054109                 6.175015                 6.204346                 6.204346                 6.330093                 6.330093                 6.449625                 6.449625                 6.514405                 8.894440                 9.114605                 9.114605                 9.114605                 9.168495                 9.168495                 9.952005                 9.995079                 9.995079                 9.995079                 9.997603                 9.997603                 9.997603                 9.997603                 9.997603                 9.997603                10.005173                10.005173                10.005173                10.008662                10.010426                10.010426                10.011652                10.011652                10.011652                10.011652                10.011652                10.011652                10.013570                10.022519                10.022519                10.898281                10.898281                10.898281                10.901311                10.901311                10.905583                10.905583                10.905583                10.905583                10.905583                10.905583                10.908701                10.909066                10.909066                10.940967
