 Charge Transfer (eV)  Eigenvalues Row0 (eV)  Eigenvalues Row1 (eV)  Eigenvalues Row2 (eV)  Eigenvalues Row3 (eV)  Eigenvalues Row4 (eV)  Eigenvalues Row5 (eV)  Eigenvalues Row6 (eV)  Eigenvalues Row7 (eV)  Eigenvalues Row8 (eV)  Eigenvalues Row9 (eV)  Eigenvalues Row10 (eV)  Eigenvalues Row11 (eV)  Eigenvalues Row12 (eV)  Eigenvalues Row13 (eV)  Eigenvalues Row14 (eV)  Eigenvalues Row15 (eV)  Eigenvalues Row16 (eV)  Eigenvalues Row17 (eV)  Eigenvalues Row18 (eV)  Eigenvalues Row19 (eV)  Eigenvalues Row20 (eV)  Eigenvalues Row21 (eV)  Eigenvalues Row22 (eV)  Eigenvalues Row23 (eV)  Eigenvalues Row24 (eV)  Eigenvalues Row25 (eV)  Eigenvalues Row26 (eV)  Eigenvalues Row27 (eV)  Eigenvalues Row28 (eV)  Eigenvalues Row29 (eV)  Eigenvalues Row30 (eV)  Eigenvalues Row31 (eV)  Eigenvalues Row32 (eV)  Eigenvalues Row33 (eV)  Eigenvalues Row34 (eV)  Eigenvalues Row35 (eV)  Eigenvalues Row36 (eV)  Eigenvalues Row37 (eV)  Eigenvalues Row38 (eV)  Eigenvalues Row39 (eV)  Eigenvalues Row40 (eV)  Eigenvalues Row41 (eV)  Eigenvalues Row42 (eV)  Eigenvalues Row43 (eV)  Eigenvalues Row44 (eV)  Eigenvalues Row45 (eV)  Eigenvalues Row46 (eV)  Eigenvalues Row47 (eV)  Eigenvalues Row48 (eV)  Eigenvalues Row49 (eV)  Eigenvalues Row50 (eV)  Eigenvalues Row51 (eV)  Eigenvalues Row52 (eV)  Eigenvalues Row53 (eV)  Eigenvalues Row54 (eV)  Eigenvalues Row55 (eV)  Eigenvalues Row56 (eV)  Eigenvalues Row57 (eV)  Eigenvalues Row58 (eV)  Eigenvalues Row59 (eV)  Eigenvalues Row60 (eV)  Eigenvalues Row61 (eV)  Eigenvalues Row62 (eV)  Eigenvalues Row63 (eV)  Eigenvalues Row64 (eV)  Eigenvalues Row65 (eV)  Eigenvalues Row66 (eV)  Eigenvalues Row67 (eV)  Eigenvalues Row68 (eV)  Eigenvalues Row69 (eV)  Eigenvalues Row70 (eV)  Eigenvalues Row71 (eV)  Eigenvalues Row72 (eV)  Eigenvalues Row73 (eV)  Eigenvalues Row74 (eV)  Eigenvalues Row75 (eV)  Eigenvalues Row76 (eV)  Eigenvalues Row77 (eV)  Eigenvalues Row78 (eV)  Eigenvalues Row79 (eV)  Eigenvalues Row80 (eV)  Eigenvalues Row81 (eV)  Eigenvalues Row82 (eV)  Eigenvalues Row83 (eV)  Eigenvalues Row84 (eV)  Eigenvalues Row85 (eV)  Eigenvalues Row86 (eV)  Eigenvalues Row87 (eV)  Eigenvalues Row88 (eV)  Eigenvalues Row89 (eV)  Eigenvalues Row90 (eV)  Eigenvalues Row91 (eV)  Eigenvalues Row92 (eV)  Eigenvalues Row93 (eV)  Eigenvalues Row94 (eV)  Eigenvalues Row95 (eV)  Eigenvalues Row96 (eV)  Eigenvalues Row97 (eV)  Eigenvalues Row98 (eV)  Eigenvalues Row99 (eV)  Eigenvalues Row100 (eV)  Eigenvalues Row101 (eV)  Eigenvalues Row102 (eV)  Eigenvalues Row103 (eV)  Eigenvalues Row104 (eV)  Eigenvalues Row105 (eV)  Eigenvalues Row106 (eV)  Eigenvalues Row107 (eV)  Eigenvalues Row108 (eV)  Eigenvalues Row109 (eV)  Eigenvalues Row110 (eV)  Eigenvalues Row111 (eV)  Eigenvalues Row112 (eV)  Eigenvalues Row113 (eV)  Eigenvalues Row114 (eV)  Eigenvalues Row115 (eV)  Eigenvalues Row116 (eV)  Eigenvalues Row117 (eV)  Eigenvalues Row118 (eV)  Eigenvalues Row119 (eV)  Eigenvalues Row120 (eV)  Eigenvalues Row121 (eV)  Eigenvalues Row122 (eV)  Eigenvalues Row123 (eV)  Eigenvalues Row124 (eV)  Eigenvalues Row125 (eV)  Eigenvalues Row126 (eV)  Eigenvalues Row127 (eV)  Eigenvalues Row128 (eV)  Eigenvalues Row129 (eV)  Eigenvalues Row130 (eV)  Eigenvalues Row131 (eV)  Eigenvalues Row132 (eV)  Eigenvalues Row133 (eV)  Eigenvalues Row134 (eV)  Eigenvalues Row135 (eV)  Eigenvalues Row136 (eV)  Eigenvalues Row137 (eV)  Eigenvalues Row138 (eV)  Eigenvalues Row139 (eV)  Eigenvalues Row140 (eV)  Eigenvalues Row141 (eV)  Eigenvalues Row142 (eV)  Eigenvalues Row143 (eV)  Eigenvalues Row144 (eV)  Eigenvalues Row145 (eV)  Eigenvalues Row146 (eV)  Eigenvalues Row147 (eV)  Eigenvalues Row148 (eV)  Eigenvalues Row149 (eV)  Eigenvalues Row150 (eV)  Eigenvalues Row151 (eV)  Eigenvalues Row152 (eV)  Eigenvalues Row153 (eV)  Eigenvalues Row154 (eV)  Eigenvalues Row155 (eV)  Eigenvalues Row156 (eV)  Eigenvalues Row157 (eV)  Eigenvalues Row158 (eV)  Eigenvalues Row159 (eV)  Eigenvalues Row160 (eV)  Eigenvalues Row161 (eV)  Eigenvalues Row162 (eV)  Eigenvalues Row163 (eV)  Eigenvalues Row164 (eV)  Eigenvalues Row165 (eV)  Eigenvalues Row166 (eV)  Eigenvalues Row167 (eV)  Eigenvalues Row168 (eV)  Eigenvalues Row169 (eV)  Eigenvalues Row170 (eV)  Eigenvalues Row171 (eV)  Eigenvalues Row172 (eV)  Eigenvalues Row173 (eV)  Eigenvalues Row174 (eV)  Eigenvalues Row175 (eV)  Eigenvalues Row176 (eV)  Eigenvalues Row177 (eV)  Eigenvalues Row178 (eV)  Eigenvalues Row179 (eV)  Eigenvalues Row180 (eV)  Eigenvalues Row181 (eV)  Eigenvalues Row182 (eV)  Eigenvalues Row183 (eV)  Eigenvalues Row184 (eV)  Eigenvalues Row185 (eV)  Eigenvalues Row186 (eV)  Eigenvalues Row187 (eV)  Eigenvalues Row188 (eV)  Eigenvalues Row189 (eV)
             0.000000                    0.0           1.243450e-14               0.000420               0.779810               0.779810               0.978977               0.986146               0.986146               1.062446               1.062446                1.097773                1.097773                1.115221                1.126329                1.154074                1.531909                1.532638                1.532638                1.680384                1.686773                1.712981                1.712981                1.740203                1.740203                1.895770                1.955500                1.955500                2.078665                2.261419                2.261419                2.514146                2.514146                2.518156                2.717378                2.723753                2.729279                2.729279                2.740614                2.740614                3.008674                3.012233                3.012489                3.012489                3.014078                3.015019                3.015019                3.016184                3.016184                3.016685                3.345441                3.345441                3.520372                3.520372                3.533257                3.838316                3.839668                3.839668                3.840481                3.840481                3.845596                3.845596                3.846088                3.860355                3.861424                3.861877                3.862452                3.863476                3.863476                3.866868                3.866868                3.907520                3.927009                3.927280                3.927280                3.928056                3.928056                3.933871                3.933871                4.017068                4.212993                4.212993                4.213906                4.511472                4.511995                4.511995                4.559823                4.559823                4.561046                4.561046                4.593196                4.607569                4.611760                4.629167                4.629167                4.648943                4.659580                4.659616                4.673199                4.673199                4.687480                 4.687480                 4.727451                 4.727451                 4.745312                 4.745312                 4.758668                 4.758668                 4.761692                 4.767636                 4.879420                 4.879420                 4.881122                 4.951759                 4.963349                 4.963349                 5.137668                 5.144354                 5.165230                 5.165230                 5.185272                 5.185272                 5.404675                 5.404675                 5.626347                 5.661941                 5.661941                 5.820900                 5.820900                 5.840153                 5.975324                 5.975324                 5.993042                 5.993042                 6.012606                 6.019826                 6.081612                 6.209297                 6.237528                 6.237528                 6.364166                 6.364166                 6.483726                 6.483726                 6.548918                 8.820794                 9.006992                 9.006993                 9.006993                 9.066164                 9.066164                 9.879667                 9.879693                 9.879693                 9.881489                 9.881489                 9.882476                 9.882476                 9.882952                 9.883565                 9.888933                 9.890899                 9.890899                 9.892572                 9.895638                 9.895638                 9.896543                 9.897720                 9.897885                 9.897885                 9.898687                 9.898687                 9.900807                 9.909822                 9.909822                 9.982133                10.776600                10.777053                10.777053                10.780162                10.780162                10.783842                10.783916                10.784633                10.784633                10.786204                10.786204                10.788872                10.789030                10.789030                10.829187
             0.011616                    0.0           9.769963e-15               0.000422               0.782302               0.782302               0.977718               0.985059               0.985059               1.061321               1.061321                1.096694                1.096694                1.115080                1.125198                1.157084                1.531428                1.532110                1.532110                1.679956                1.686429                1.712802                1.712802                1.740205                1.740205                1.897658                1.957574                1.957574                2.081499                2.264173                2.264173                2.513730                2.513730                2.517783                2.717184                2.723502                2.728869                2.728869                2.740091                2.740091                3.014013                3.017560                3.017817                3.017817                3.019389                3.020311                3.020311                3.021492                3.021492                3.021974                3.347109                3.347109                3.522400                3.522400                3.535629                3.843876                3.845206                3.845206                3.846047                3.846047                3.851196                3.851196                3.851718                3.866007                3.866821                3.867568                3.868107                3.869073                3.869073                3.872501                3.872501                3.912935                3.932727                3.932976                3.932976                3.933715                3.933715                3.939501                3.939501                4.021457                4.214422                4.214422                4.215319                4.516763                4.517328                4.517328                4.564861                4.564861                4.566360                4.566360                4.597065                4.612724                4.617052                4.631032                4.631032                4.652617                4.663998                4.664557                4.677796                4.677796                4.690299                 4.690299                 4.730776                 4.730776                 4.748593                 4.748593                 4.762967                 4.762967                 4.763139                 4.769237                 4.884761                 4.884761                 4.886408                 4.954325                 4.965916                 4.965916                 5.140436                 5.147089                 5.167600                 5.167600                 5.187642                 5.187642                 5.404436                 5.404436                 5.625069                 5.660781                 5.660781                 5.819256                 5.819256                 5.838519                 5.973680                 5.973680                 5.991335                 5.991335                 6.010861                 6.018064                 6.080081                 6.206759                 6.235130                 6.235130                 6.361785                 6.361785                 6.481141                 6.481141                 6.546359                 8.831849                 9.021748                 9.021749                 9.021749                 9.080238                 9.080238                 9.895364                 9.895389                 9.895389                 9.897170                 9.897170                 9.898151                 9.898151                 9.898414                 9.899239                 9.903973                 9.906476                 9.906476                 9.907681                 9.911172                 9.911172                 9.911949                 9.913247                 9.913424                 9.913424                 9.914205                 9.914205                 9.916276                 9.925218                 9.925218                 9.982403                10.793026                10.793481                10.793481                10.796557                10.796557                10.800241                10.800314                10.801027                10.801027                10.802592                10.802592                10.805186                10.805383                10.805383                10.844377
             0.023232                    0.0           1.287859e-14               0.000425               0.784787               0.784787               0.976460               0.983979               0.983979               1.060197               1.060197                1.095617                1.095617                1.114755                1.124066                1.160281                1.530940                1.531573                1.531573                1.679518                1.686077                1.712615                1.712615                1.740198                1.740198                1.899549                1.959649                1.959649                2.084338                2.266931                2.266931                2.513327                2.513327                2.517423                2.717000                2.723264                2.728469                2.728469                2.739578                2.739578                3.019372                3.022909                3.023166                3.023166                3.024722                3.025625                3.025625                3.026821                3.026821                3.027286                3.348773                3.348773                3.524422                3.524422                3.537995                3.849452                3.850760                3.850760                3.851630                3.851630                3.856814                3.856814                3.857366                3.871677                3.872221                3.873278                3.873792                3.874689                3.874689                3.878152                3.878152                3.918362                3.938464                3.938690                3.938690                3.939395                3.939395                3.945151                3.945151                4.025868                4.215883                4.215883                4.216765                4.522070                4.522680                4.522680                4.569885                4.569885                4.571693                4.571693                4.600845                4.617889                4.622361                4.632967                4.632967                4.656293                4.668550                4.669554                4.682285                4.682285                4.693182                 4.693182                 4.733823                 4.733823                 4.752232                 4.752232                 4.764625                 4.767366                 4.767366                 4.770881                 4.890123                 4.890123                 4.891720                 4.956928                 4.968518                 4.968518                 5.143239                 5.149860                 5.169999                 5.169999                 5.190050                 5.190050                 5.404230                 5.404230                 5.623828                 5.659659                 5.659659                 5.817649                 5.817649                 5.836922                 5.972074                 5.972074                 5.989666                 5.989666                 6.009153                 6.016339                 6.078569                 6.204250                 6.232765                 6.232765                 6.359436                 6.359436                 6.478588                 6.478588                 6.543835                 8.842854                 9.036535                 9.036536                 9.036536                 9.094353                 9.094353                 9.911087                 9.911111                 9.911111                 9.912877                 9.912877                 9.913662                 9.913853                 9.913853                 9.914938                 9.918662                 9.922080                 9.922080                 9.922824                 9.926733                 9.926733                 9.927385                 9.928801                 9.928991                 9.928991                 9.929752                 9.929752                 9.931774                 9.940645                 9.940645                 9.983345                10.809475                10.809931                10.809931                10.812975                10.812975                10.816663                10.816735                10.817445                10.817445                10.819003                10.819003                10.821523                10.821760                10.821760                10.859644
             0.034848                    0.0           1.110223e-14               0.000427               0.787264               0.787264               0.975203               0.982907               0.982907               1.059074               1.059074                1.094541                1.094541                1.114285                1.122934                1.163625                1.530442                1.531026                1.531026                1.679071                1.685718                1.712420                1.712420                1.740183                1.740183                1.901442                1.961726                1.961726                2.087184                2.269695                2.269695                2.512937                2.512937                2.517076                2.716827                2.723036                2.728079                2.728079                2.739075                2.739075                3.024752                3.028277                3.028536                3.028536                3.030075                3.030961                3.030961                3.032171                3.032171                3.032619                3.350432                3.350432                3.526440                3.526440                3.540357                3.855045                3.856329                3.856329                3.857231                3.857231                3.862450                3.862450                3.863031                3.877364                3.877630                3.879006                3.879500                3.880322                3.880322                3.883822                3.883822                3.923802                3.944220                3.944422                3.944422                3.945095                3.945095                3.950820                3.950820                4.030300                4.217377                4.217377                4.218244                4.527391                4.528051                4.528051                4.574891                4.574891                4.577045                4.577045                4.604537                4.623064                4.627687                4.634976                4.634976                4.660015                4.673231                4.674571                4.686602                4.686602                4.696196                 4.696196                 4.736631                 4.736631                 4.756193                 4.756193                 4.766151                 4.771859                 4.771859                 4.772567                 4.895507                 4.895507                 4.897056                 4.959566                 4.971155                 4.971155                 5.146079                 5.152666                 5.172426                 5.172426                 5.192496                 5.192496                 5.404057                 5.404057                 5.622624                 5.658576                 5.658576                 5.816079                 5.816079                 5.835362                 5.970506                 5.970506                 5.988035                 5.988035                 6.007481                 6.014651                 6.077078                 6.201770                 6.230434                 6.230434                 6.357119                 6.357119                 6.476069                 6.476069                 6.541345                 8.853805                 9.051353                 9.051355                 9.051355                 9.108509                 9.108509                 9.926835                 9.926859                 9.926859                 9.928165                 9.928609                 9.928609                 9.929581                 9.929581                 9.930664                 9.933022                 9.937712                 9.937712                 9.938078                 9.942323                 9.942323                 9.942853                 9.944384                 9.944585                 9.944585                 9.945328                 9.945328                 9.947301                 9.956101                 9.956101                 9.985396                10.825947                10.826405                10.826405                10.829417                10.829417                10.833109                10.833179                10.833885                10.833885                10.835438                10.835438                10.837884                10.838160                10.838160                10.874985
             0.046465                    0.0           9.325873e-15               0.000429               0.789732               0.789732               0.973946               0.981843               0.981843               1.057952               1.057952                1.093469                1.093469                1.113702                1.121803                1.167086                1.529937                1.530468                1.530468                1.678615                1.685352                1.712215                1.712215                1.740160                1.740160                1.903337                1.963805                1.963805                2.090034                2.272463                2.272463                2.512560                2.512560                2.516742                2.716663                2.722821                2.727699                2.727699                2.738582                2.738582                3.030152                3.033667                3.033927                3.033927                3.035450                3.036318                3.036318                3.037543                3.037543                3.037974                3.352087                3.352087                3.528454                3.528454                3.542715                3.860655                3.861914                3.861914                3.862850                3.862850                3.868104                3.868104                3.868714                3.883050                3.883070                3.884753                3.885230                3.885973                3.885973                3.889511                3.889511                3.929253                3.949996                3.950170                3.950170                3.950816                3.950816                3.956510                3.956510                4.034753                4.218905                4.218905                4.219756                4.532726                4.533440                4.533440                4.579874                4.579874                4.582416                4.582416                4.608140                4.628248                4.633029                4.637066                4.637066                4.663814                4.678008                4.679606                4.690665                4.690665                4.699426                 4.699426                 4.739258                 4.739258                 4.760423                 4.760423                 4.767717                 4.774297                 4.776439                 4.776439                 4.900911                 4.900911                 4.902416                 4.962239                 4.973827                 4.973827                 5.148954                 5.155507                 5.174883                 5.174883                 5.194978                 5.194978                 5.403918                 5.403918                 5.621458                 5.657531                 5.657531                 5.814547                 5.814547                 5.833840                 5.968975                 5.968975                 5.986441                 5.986441                 6.005847                 6.012999                 6.075607                 6.199319                 6.228138                 6.228138                 6.354834                 6.354834                 6.473582                 6.473582                 6.538891                 8.864700                 9.066202                 9.066203                 9.066203                 9.122704                 9.122704                 9.940561                 9.942610                 9.942632                 9.942632                 9.944368                 9.944368                 9.945335                 9.945335                 9.946415                 9.947671                 9.953371                 9.953371                 9.953467                 9.957940                 9.957940                 9.958357                 9.959994                 9.960207                 9.960207                 9.960932                 9.960932                 9.962858                 9.971587                 9.971587                 9.989276                10.842441                10.842901                10.842901                10.845881                10.845881                10.849577                10.849645                10.850348                10.850348                10.851896                10.851896                10.854269                10.854584                10.854584                10.890397
             0.058081                    0.0           1.332268e-14               0.000432               0.792191               0.792191               0.972689               0.980787               0.980787               1.056832               1.056832                1.092398                1.092398                1.113029                1.120671                1.170640                1.529423                1.529900                1.529900                1.678149                1.684979                1.712003                1.712003                1.740128                1.740128                1.905234                1.965885                1.965885                2.092891                2.275236                2.275236                2.512196                2.512196                2.516421                2.716509                2.722616                2.727329                2.727329                2.738099                2.738099                3.035573                3.039077                3.039338                3.039338                3.040845                3.041697                3.041697                3.042936                3.042936                3.043351                3.353738                3.353738                3.530463                3.530463                3.545067                3.866281                3.867515                3.867515                3.868485                3.868485                3.873775                3.873775                3.874414                3.888482                3.888794                3.890519                3.890981                3.891643                3.891643                3.895218                3.895218                3.934716                3.955790                3.955936                3.955936                3.956557                3.956557                3.962219                3.962219                4.039229                4.220466                4.220466                4.221301                4.538074                4.538849                4.538849                4.584826                4.584826                4.587805                4.587805                4.611658                4.633441                4.638387                4.639243                4.639243                4.667710                4.682859                4.684661                4.694392                4.694392                4.702954                 4.702954                 4.741764                 4.741764                 4.764866                 4.764866                 4.769323                 4.776073                 4.781098                 4.781098                 4.906336                 4.906336                 4.907801                 4.964948                 4.976534                 4.976534                 5.151865                 5.158384                 5.177367                 5.177367                 5.197497                 5.197497                 5.403813                 5.403813                 5.620330                 5.656525                 5.656525                 5.813052                 5.813052                 5.832355                 5.967482                 5.967482                 5.984885                 5.984885                 6.004250                 6.011384                 6.074157                 6.196897                 6.225875                 6.225875                 6.352581                 6.352581                 6.471129                 6.471129                 6.536472                 8.875534                 9.081081                 9.081083                 9.081083                 9.136940                 9.136940                 9.949726                 9.958410                 9.958432                 9.958432                 9.960152                 9.960152                 9.961115                 9.961115                 9.962192                 9.962916                 9.968972                 9.969057                 9.969057                 9.973585                 9.973585                 9.973898                 9.975631                 9.975857                 9.975857                 9.976563                 9.976563                 9.978443                 9.987103                 9.987103                 9.995825                10.858959                10.859420                10.859420                10.862369                10.862369                10.866068                10.866135                10.866834                10.866834                10.868376                10.868376                10.870678                10.871031                10.871031                10.905877
             0.069697                    0.0           1.376677e-14               0.000434               0.794640               0.794640               0.971433               0.979740               0.979740               1.055713               1.055713                1.091331                1.091331                1.112284                1.119539                1.174267                1.528901                1.529322                1.529322                1.677674                1.684598                1.711781                1.711781                1.740087                1.740087                1.907133                1.967967                1.967967                2.095753                2.278014                2.278014                2.511846                2.511846                2.516113                2.716366                2.722424                2.726969                2.726969                2.737626                2.737626                3.041014                3.044507                3.044769                3.044769                3.046262                3.047097                3.047097                3.048350                3.048350                3.048750                3.355384                3.355384                3.532467                3.532467                3.547415                3.871924                3.873132                3.873132                3.874138                3.874138                3.879464                3.879464                3.880132                3.893926                3.894535                3.896303                3.896751                3.897330                3.897330                3.900943                3.900943                3.940190                3.961603                3.961719                3.961719                3.962320                3.962320                3.967948                3.967948                4.043726                4.222060                4.222060                4.222880                4.543435                4.544276                4.544276                4.589740                4.589740                4.593213                4.593213                4.615094                4.638642                4.641515                4.641515                4.643761                4.671713                4.687771                4.689735                4.697760                4.697760                4.706804                 4.706804                 4.744200                 4.744200                 4.769479                 4.769479                 4.770969                 4.777894                 4.785831                 4.785831                 4.911782                 4.911782                 4.913209                 4.967692                 4.979274                 4.979274                 5.154811                 5.161295                 5.179878                 5.179878                 5.200054                 5.200054                 5.403742                 5.403742                 5.619239                 5.655557                 5.655557                 5.811595                 5.811595                 5.830907                 5.966027                 5.966027                 5.983366                 5.983366                 6.002690                 6.009806                 6.072729                 6.194504                 6.223646                 6.223646                 6.350361                 6.350361                 6.468709                 6.468709                 6.534089                 8.886303                 9.095992                 9.095993                 9.095993                 9.151215                 9.151215                 9.955693                 9.974235                 9.974256                 9.974256                 9.975962                 9.975962                 9.976920                 9.976920                 9.977995                 9.978468                 9.984562                 9.984770                 9.984770                 9.989257                 9.989257                 9.989478                 9.991296                 9.991534                 9.991534                 9.992223                 9.992223                 9.994058                10.002648                10.002648                10.005336                10.875498                10.875961                10.875961                10.878879                10.878879                10.882581                10.882647                10.883343                10.883343                10.884879                10.884879                10.887111                10.887502                10.887502                10.921422
             0.081313                    0.0           1.465494e-14               0.000437               0.797079               0.797079               0.970177               0.978702               0.978702               1.054595               1.054595                1.090265                1.090265                1.111482                1.118407                1.177954                1.528371                1.528734                1.528734                1.677190                1.684211                1.711551                1.711551                1.740038                1.740038                1.909034                1.970050                1.970050                2.098620                2.280796                2.280796                2.511509                2.511509                2.515818                2.716233                2.722243                2.726619                2.726619                2.737164                2.737164                3.046476                3.049958                3.050221                3.050221                3.051699                3.052518                3.052518                3.053785                3.053785                3.054171                3.357026                3.357026                3.534466                3.534466                3.549757                3.877583                3.878764                3.878764                3.879808                3.879808                3.885170                3.885170                3.885868                3.899382                3.900294                3.902106                3.902540                3.903036                3.903036                3.906687                3.906687                3.945675                3.967436                3.967518                3.967518                3.968103                3.968103                3.973697                3.973697                4.048246                4.223688                4.223688                4.224491                4.548808                4.549721                4.549721                4.594607                4.594607                4.598640                4.598640                4.618455                4.643849                4.643891                4.643891                4.649150                4.675831                4.692733                4.694828                4.700816                4.700816                4.710924                 4.710924                 4.746613                 4.746613                 4.772656                 4.774223                 4.774223                 4.779763                 4.790633                 4.790633                 4.917249                 4.917249                 4.918640                 4.970470                 4.982049                 4.982049                 5.157792                 5.164240                 5.182416                 5.182416                 5.202647                 5.202647                 5.403706                 5.403706                 5.618185                 5.654627                 5.654627                 5.810176                 5.810176                 5.829498                 5.964610                 5.964610                 5.981886                 5.981886                 6.001168                 6.008266                 6.071321                 6.192141                 6.221452                 6.221452                 6.348173                 6.348173                 6.466322                 6.466322                 6.531741                 8.897004                 9.110932                 9.110934                 9.110934                 9.165530                 9.165530                 9.959262                 9.990086                 9.990107                 9.990107                 9.991797                 9.991797                 9.992751                 9.992751                 9.993823                 9.994160                10.000215                10.000510                10.000510                10.004957                10.004957                10.005097                10.006989                10.007239                10.007239                10.007911                10.007911                10.009701                10.017204                10.018223                10.018223                10.892060                10.892525                10.892525                10.895413                10.895413                10.899118                10.899182                10.899875                10.899875                10.901405                10.901405                10.903567                10.903995                10.903995                10.937030
             0.092929                    0.0           1.421085e-14               0.000439               0.799507               0.799507               0.968922               0.977674               0.977674               1.053479               1.053479                1.089203                1.089203                1.110634                1.117275                1.181691                1.527834                1.528137                1.528137                1.676696                1.683816                1.711313                1.711313                1.739980                1.739980                1.910937                1.972134                1.972134                2.101493                2.283583                2.283583                2.511184                2.511184                2.515536                2.716111                2.722074                2.726279                2.726279                2.736712                2.736712                3.051957                3.055429                3.055693                3.055693                3.057157                3.057961                3.057961                3.059241                3.059241                3.059613                3.358663                3.358663                3.536460                3.536460                3.552094                3.883259                3.884411                3.884411                3.885495                3.885495                3.890894                3.890894                3.891621                3.904852                3.906071                3.907927                3.908348                3.908759                3.908759                3.912449                3.912449                3.951171                3.973287                3.973332                3.973332                3.973909                3.973909                3.979466                3.979466                4.052788                4.225349                4.225349                4.226136                4.554190                4.555185                4.555185                4.599418                4.599418                4.604084                4.604084                4.621746                4.646382                4.646382                4.649062                4.654553                4.680063                4.697737                4.699940                4.703648                4.703648                4.715224                 4.715224                 4.749037                 4.749037                 4.774384                 4.779072                 4.779072                 4.781679                 4.795498                 4.795498                 4.922735                 4.922735                 4.924095                 4.973283                 4.984859                 4.984859                 5.160808                 5.167220                 5.184980                 5.184980                 5.205277                 5.205277                 5.403705                 5.403705                 5.617169                 5.653736                 5.653736                 5.808796                 5.808796                 5.828126                 5.963231                 5.963231                 5.980444                 5.980444                 5.999684                 6.006762                 6.069936                 6.189807                 6.219292                 6.219292                 6.346018                 6.346018                 6.463969                 6.463969                 6.529429                 8.907631                 9.125903                 9.125905                 9.125905                 9.179884                 9.179884                 9.961383                10.005963                10.005982                10.005982                10.007658                10.007658                10.008607                10.008607                10.009677                10.009929                10.015918                10.016278                10.016278                10.020684                10.020684                10.020753                10.022708                10.022971                10.022971                10.023627                10.023627                10.025373                10.030560                10.033828                10.033828                10.908645                10.909112                10.909112                10.911969                10.911969                10.915677                10.915739                10.916430                10.916430                10.917954                10.917954                10.920046                10.920513                10.920513                10.952699
