 Eloss (eV)  Int/Int(10Dq)  Int Err/Int(10Dq)
 -37.956603      -0.075981           0.000000
 -37.924878      -0.051763           0.000000
 -37.893154      -0.043060           0.000000
 -37.861429      -0.027464           0.000000
 -37.829704      -0.009660           0.000000
 -37.797979      -0.011532           0.000000
 -37.766254      -0.007311           0.000000
 -37.734529      -0.020602           0.000000
 -37.702804       0.002625           0.000184
 -37.671079      -0.012000           0.000000
 -37.639354      -0.013594           0.000000
 -37.607629      -0.013855           0.000000
 -37.575904      -0.004147           0.000000
 -37.544180      -0.009111           0.000000
 -37.512455      -0.013049           0.000000
 -37.480730      -0.014910           0.000000
 -37.449005      -0.008889           0.000000
 -37.417280      -0.018540           0.000000
 -37.385555      -0.010991           0.000000
 -37.353830      -0.013386           0.000000
 -37.322105      -0.003519           0.000000
 -37.290380      -0.011269           0.000000
 -37.258655      -0.006088           0.000000
 -37.226930      -0.011884           0.000000
 -37.195205      -0.011130           0.000000
 -37.163481      -0.022022           0.000000
 -37.131756      -0.022975           0.000000
 -37.100031      -0.032820           0.000000
 -37.068306      -0.006176           0.000000
 -37.036581      -0.006691           0.000000
 -37.004856      -0.013410           0.000000
 -36.973131      -0.012657           0.000000
 -36.941406      -0.002532           0.000000
 -36.909681      -0.007480           0.000000
 -36.877956      -0.013067           0.000000
 -36.846231      -0.011665           0.000000
 -36.814507       0.000659           0.000092
 -36.782782      -0.007493           0.000000
 -36.751057      -0.014218           0.000000
 -36.719332      -0.017797           0.000000
 -36.687607      -0.002491           0.000000
 -36.655882      -0.012080           0.000000
 -36.624157      -0.009624           0.000000
 -36.592432      -0.017970           0.000000
 -36.560707      -0.001526           0.000000
 -36.528982      -0.013030           0.000000
 -36.497257      -0.014658           0.000000
 -36.465533      -0.018246           0.000000
 -36.433808      -0.002902           0.000000
 -36.402083      -0.008079           0.000000
 -36.370358      -0.017384           0.000000
 -36.338633      -0.019940           0.000000
 -36.306908      -0.002483           0.000000
 -36.275183      -0.010585           0.000000
 -36.243458      -0.015628           0.000000
 -36.211733      -0.015716           0.000000
 -36.180008      -0.004429           0.000000
 -36.148283      -0.009422           0.000000
 -36.116559      -0.009207           0.000000
 -36.084834      -0.008877           0.000000
 -36.053109      -0.000037           0.000000
 -36.021384      -0.013880           0.000000
 -35.989659      -0.015545           0.000000
 -35.957934      -0.016100           0.000000
 -35.926209      -0.006570           0.000000
 -35.894484      -0.010718           0.000000
 -35.862759      -0.016011           0.000000
 -35.831034      -0.016265           0.000000
 -35.799309      -0.012365           0.000000
 -35.767584      -0.011489           0.000000
 -35.735860      -0.011586           0.000000
 -35.704135      -0.013319           0.000000
 -35.672410      -0.000660           0.000000
 -35.640685      -0.010639           0.000000
 -35.608960      -0.015308           0.000000
 -35.577235      -0.010082           0.000000
 -35.545510       0.006732           0.000295
 -35.513785      -0.009297           0.000000
 -35.482060      -0.013206           0.000000
 -35.450335      -0.023734           0.000000
 -35.418610      -0.016111           0.000000
 -35.386886      -0.005226           0.000000
 -35.355161      -0.009830           0.000000
 -35.323436      -0.019139           0.000000
 -35.291711      -0.001125           0.000000
 -35.259986      -0.011208           0.000000
 -35.228261      -0.007924           0.000000
 -35.196536      -0.007949           0.000000
 -35.164811      -0.000694           0.000000
 -35.133086       0.002738           0.000188
 -35.101361      -0.006464           0.000000
 -35.069636      -0.011112           0.000000
 -35.037912      -0.009279           0.000000
 -35.006187      -0.019096           0.000000
 -34.974462      -0.013326           0.000000
 -34.942737      -0.020006           0.000000
 -34.911012      -0.015878           0.000000
 -34.879287      -0.013722           0.000000
 -34.847562      -0.018411           0.000000
 -34.815837      -0.032287           0.000000
 -34.784112      -0.013981           0.000000
 -34.752387      -0.017520           0.000000
 -34.720662      -0.014691           0.000000
 -34.688938      -0.015103           0.000000
 -34.657213      -0.006115           0.000000
 -34.625488      -0.016364           0.000000
 -34.593763      -0.012827           0.000000
 -34.562038      -0.015214           0.000000
 -34.530313      -0.002642           0.000000
 -34.498588      -0.003879           0.000000
 -34.466863      -0.010042           0.000000
 -34.435138      -0.016591           0.000000
 -34.403413      -0.006061           0.000000
 -34.371688      -0.011156           0.000000
 -34.339963      -0.016325           0.000000
 -34.308239      -0.023819           0.000000
 -34.276514      -0.013348           0.000000
 -34.244789      -0.015579           0.000000
 -34.213064      -0.014607           0.000000
 -34.181339      -0.016445           0.000000
 -34.149614      -0.008494           0.000000
 -34.117889      -0.006408           0.000000
 -34.086164      -0.004366           0.000000
 -34.054439      -0.012513           0.000000
 -34.022714      -0.006940           0.000000
 -33.990989      -0.020686           0.000000
 -33.959265      -0.013591           0.000000
 -33.927540      -0.017257           0.000000
 -33.895815      -0.007189           0.000000
 -33.864090      -0.016577           0.000000
 -33.832365      -0.014911           0.000000
 -33.800640      -0.023520           0.000000
 -33.768915      -0.008602           0.000000
 -33.737190      -0.018198           0.000000
 -33.705465      -0.006320           0.000000
 -33.673740      -0.019369           0.000000
 -33.642015      -0.009308           0.000000
 -33.610291      -0.015804           0.000000
 -33.578566      -0.011629           0.000000
 -33.546841      -0.023190           0.000000
 -33.515116      -0.009721           0.000000
 -33.483391      -0.012443           0.000000
 -33.451666      -0.011281           0.000000
 -33.419941      -0.020511           0.000000
 -33.388216      -0.010186           0.000000
 -33.356491      -0.006381           0.000000
 -33.324766      -0.012227           0.000000
 -33.293041      -0.018875           0.000000
 -33.261317      -0.005298           0.000000
 -33.229592      -0.014481           0.000000
 -33.197867      -0.008922           0.000000
 -33.166142      -0.013992           0.000000
 -33.134417       0.004411           0.000239
 -33.102692      -0.004033           0.000000
 -33.070967      -0.006705           0.000000
 -33.039242      -0.013712           0.000000
 -33.007517      -0.001756           0.000000
 -32.975792      -0.011542           0.000000
 -32.944067      -0.017253           0.000000
 -32.912342      -0.023779           0.000000
 -32.880618       0.003413           0.000210
 -32.848893      -0.006479           0.000000
 -32.817168      -0.012496           0.000000
 -32.785443      -0.021712           0.000000
 -32.753718      -0.005583           0.000000
 -32.721993      -0.011824           0.000000
 -32.690268      -0.007310           0.000000
 -32.658543      -0.013227           0.000000
 -32.626818      -0.000637           0.000000
 -32.595093      -0.011374           0.000000
 -32.563368      -0.009813           0.000000
 -32.531644      -0.015692           0.000000
 -32.499919      -0.002987           0.000000
 -32.468194      -0.009662           0.000000
 -32.436469      -0.010799           0.000000
 -32.404744      -0.014666           0.000000
 -32.373019      -0.004031           0.000000
 -32.341294      -0.016556           0.000000
 -32.309569      -0.019263           0.000000
 -32.277844      -0.017987           0.000000
 -32.246119      -0.003605           0.000000
 -32.214394      -0.005396           0.000000
 -32.182670      -0.006469           0.000000
 -32.150945      -0.020813           0.000000
 -32.119220      -0.008390           0.000000
 -32.087495      -0.010152           0.000000
 -32.055770      -0.020335           0.000000
 -32.024045      -0.017509           0.000000
 -31.992320      -0.004972           0.000000
 -31.960595      -0.014024           0.000000
 -31.928870      -0.015433           0.000000
 -31.897145      -0.012757           0.000000
 -31.865420      -0.005672           0.000000
 -31.833696      -0.014929           0.000000
 -31.801971      -0.012476           0.000000
 -31.770246      -0.017683           0.000000
 -31.738521      -0.013106           0.000000
 -31.706796      -0.006515           0.000000
 -31.675071      -0.014094           0.000000
 -31.643346      -0.014017           0.000000
 -31.611621       0.000432           0.000075
 -31.579896      -0.007495           0.000000
 -31.548171      -0.009547           0.000000
 -31.516446      -0.013604           0.000000
 -31.484721       0.002402           0.000176
 -31.452997      -0.009371           0.000000
 -31.421272      -0.008568           0.000000
 -31.389547      -0.014851           0.000000
 -31.357822      -0.000935           0.000000
 -31.326097      -0.005085           0.000000
 -31.294372      -0.008938           0.000000
 -31.262647      -0.013766           0.000000
 -31.230922      -0.000164           0.000000
 -31.199197      -0.006860           0.000000
 -31.167472      -0.005466           0.000000
 -31.135747      -0.013009           0.000000
 -31.104023      -0.004150           0.000000
 -31.072298      -0.007746           0.000000
 -31.040573      -0.010496           0.000000
 -31.008848      -0.018293           0.000000
 -30.977123      -0.011010           0.000000
 -30.945398      -0.018189           0.000000
 -30.913673      -0.018008           0.000000
 -30.881948      -0.020883           0.000000
 -30.850223      -0.010220           0.000000
 -30.818498      -0.010115           0.000000
 -30.786773      -0.008890           0.000000
 -30.755049      -0.011136           0.000000
 -30.723324      -0.000091           0.000000
 -30.691599      -0.001736           0.000000
 -30.659874      -0.001358           0.000000
 -30.628149      -0.009240           0.000000
 -30.596424       0.003130           0.000201
 -30.564699      -0.005804           0.000000
 -30.532974      -0.006160           0.000000
 -30.501249      -0.012818           0.000000
 -30.469524      -0.007776           0.000000
 -30.437799      -0.011604           0.000000
 -30.406075      -0.013532           0.000000
 -30.374350      -0.021740           0.000000
 -30.342625      -0.017590           0.000000
 -30.310900      -0.017526           0.000000
 -30.279175      -0.012256           0.000000
 -30.247450      -0.014969           0.000000
 -30.215725      -0.001103           0.000000
 -30.184000      -0.007329           0.000000
 -30.152275      -0.005537           0.000000
 -30.120550      -0.010458           0.000000
 -30.088825      -0.001293           0.000000
 -30.057100      -0.009903           0.000000
 -30.025376      -0.007172           0.000000
 -29.993651      -0.009817           0.000000
 -29.961926      -0.001674           0.000000
 -29.930201      -0.006867           0.000000
 -29.898476      -0.003446           0.000000
 -29.866751      -0.010680           0.000000
 -29.835026       0.010385           0.000366
 -29.803301      -0.002972           0.000000
 -29.771576      -0.003204           0.000000
 -29.739851      -0.010244           0.000000
 -29.708126       0.005451           0.000265
 -29.676402      -0.013778           0.000000
 -29.644677      -0.006733           0.000000
 -29.612952      -0.010864           0.000000
 -29.581227       0.000326           0.000065
 -29.549502      -0.005990           0.000000
 -29.517777      -0.011917           0.000000
 -29.486052      -0.013685           0.000000
 -29.454327      -0.000365           0.000000
 -29.422602      -0.009322           0.000000
 -29.390877      -0.010226           0.000000
 -29.359152      -0.012842           0.000000
