 Eloss (eV)  Int/Int(10Dq)
   0.000000   5.839998e-22
   0.001600   6.460061e-22
   0.003201   7.145189e-22
   0.004801   7.902124e-22
   0.006401   8.738302e-22
   0.008002   9.661918e-22
   0.009602   1.068200e-21
   0.011202   1.180851e-21
   0.012803   1.305241e-21
   0.014403   1.442578e-21
   0.016003   1.594193e-21
   0.017604   1.761553e-21
   0.019204   1.946272e-21
   0.020804   2.150129e-21
   0.022404   2.375082e-21
   0.024005   2.623286e-21
   0.025605   2.897115e-21
   0.027205   3.199183e-21
   0.028806   3.532363e-21
   0.030406   3.899822e-21
   0.032006   4.305041e-21
   0.033607   4.751851e-21
   0.035207   5.244469e-21
   0.036807   5.787530e-21
   0.038408   6.386134e-21
   0.040008   7.045891e-21
   0.041608   7.772968e-21
   0.043209   8.574147e-21
   0.044809   9.456884e-21
   0.046409   1.042937e-20
   0.048010   1.150063e-20
   0.049610   1.268055e-20
   0.051210   1.398001e-20
   0.052811   1.541097e-20
   0.054411   1.698656e-20
   0.056011   1.872122e-20
   0.057612   2.063079e-20
   0.059212   2.273269e-20
   0.060812   2.504602e-20
   0.062412   2.759178e-20
   0.064013   3.039302e-20
   0.065613   3.347503e-20
   0.067213   3.686559e-20
   0.068814   4.059519e-20
   0.070414   4.469727e-20
   0.072014   4.920854e-20
   0.073615   5.416928e-20
   0.075215   5.962367e-20
   0.076815   6.562018e-20
   0.078416   7.221197e-20
   0.080016   7.945735e-20
   0.081616   8.742025e-20
   0.083217   9.617077e-20
   0.084817   1.057858e-19
   0.086417   1.163495e-19
   0.088018   1.279543e-19
   0.089618   1.407013e-19
   0.091218   1.547015e-19
   0.092819   1.700764e-19
   0.094419   1.869591e-19
   0.096019   2.054955e-19
   0.097620   2.258453e-19
   0.099220   2.481835e-19
   0.100820   2.727017e-19
   0.102420   2.996097e-19
   0.104021   3.291372e-19
   0.105621   3.615357e-19
   0.107221   3.970803e-19
   0.108822   4.360725e-19
   0.110422   4.788419e-19
   0.112022   5.257492e-19
   0.113623   5.771891e-19
   0.115223   6.335936e-19
   0.116823   6.954350e-19
   0.118424   7.632298e-19
   0.120024   8.375432e-19
   0.121624   9.189929e-19
   0.123225   1.008255e-18
