 Eloss (eV)  Int/Int(10Dq)
  -0.500000       0.008597
  -0.492492       0.008785
  -0.484985       0.008981
  -0.477477       0.009185
  -0.469970       0.009397
  -0.462462       0.009619
  -0.454955       0.009850
  -0.447447       0.010092
  -0.439940       0.010345
  -0.432432       0.010609
  -0.424925       0.010886
  -0.417417       0.011176
  -0.409910       0.011481
  -0.402402       0.011801
  -0.394895       0.012137
  -0.387387       0.012491
  -0.379880       0.012864
  -0.372372       0.013257
  -0.364865       0.013672
  -0.357357       0.014111
  -0.349850       0.014576
  -0.342342       0.015068
  -0.334835       0.015590
  -0.327327       0.016146
  -0.319820       0.016736
  -0.312312       0.017366
  -0.304805       0.018038
  -0.297297       0.018757
  -0.289790       0.019526
  -0.282282       0.020351
  -0.274775       0.021238
  -0.267267       0.022193
  -0.259760       0.023224
  -0.252252       0.024338
  -0.244745       0.025544
  -0.237237       0.026855
  -0.229730       0.028281
  -0.222222       0.029837
  -0.214715       0.031540
  -0.207207       0.033407
  -0.199700       0.035461
  -0.192192       0.037727
  -0.184685       0.040235
  -0.177177       0.043019
  -0.169670       0.046120
  -0.162162       0.049587
  -0.154655       0.053476
  -0.147147       0.057855
  -0.139640       0.062805
  -0.132132       0.068423
  -0.124625       0.074824
  -0.117117       0.082144
  -0.109610       0.090547
  -0.102102       0.100226
  -0.094595       0.111406
  -0.087087       0.124346
  -0.079580       0.139332
  -0.072072       0.156663
  -0.064565       0.176618
  -0.057057       0.199395
  -0.049550       0.225001
  -0.042042       0.253092
  -0.034535       0.282763
  -0.027027       0.312331
  -0.019520       0.339256
  -0.012012       0.360374
  -0.004505       0.372581
   0.003003       0.373823
   0.010511       0.363896
   0.018018       0.344527
   0.025526       0.318693
   0.033033       0.289613
   0.040541       0.259987
   0.048048       0.231669
   0.055556       0.205709
   0.063063       0.182543
   0.070571       0.162222
   0.078078       0.144575
   0.085586       0.129333
   0.093093       0.116199
   0.100601       0.104881
   0.108108       0.095116
   0.115616       0.086671
   0.123123       0.079347
   0.130631       0.072976
   0.138138       0.067415
   0.145646       0.062545
   0.153153       0.058268
   0.160661       0.054498
   0.168168       0.051166
   0.175676       0.048213
   0.183183       0.045590
   0.190691       0.043254
   0.198198       0.041170
   0.205706       0.039307
   0.213213       0.037639
   0.220721       0.036145
   0.228228       0.034804
   0.235736       0.033601
   0.243243       0.032522
   0.250751       0.031553
   0.258258       0.030685
   0.265766       0.029908
   0.273273       0.029213
