 Hybrid Ratio Row1  Hybrid Ratio Row2  Hybrid Ratio Row3  Hybrid Ratio Row4  Hybrid Ratio Row5  Hybrid Ratio Row6  Hybrid Ratio Row7  Hybrid Ratio Row8  Hybrid Ratio Row9  Hybrid Ratio Row10  Hybrid Ratio Row11  Hybrid Ratio Row12  Hybrid Ratio Row13  Hybrid Ratio Row14  Hybrid Ratio Row15  Hybrid Ratio Row16  Hybrid Ratio Row17  Hybrid Ratio Row18  Hybrid Ratio Row19  Hybrid Ratio Row20  Hybrid Ratio Row21  Hybrid Ratio Row22  Hybrid Ratio Row23  Hybrid Ratio Row24  Hybrid Ratio Row25  Hybrid Ratio Row26  Hybrid Ratio Row27  Hybrid Ratio Row28  Hybrid Ratio Row29  Hybrid Ratio Row30  Hybrid Ratio Row31  Hybrid Ratio Row32  Hybrid Ratio Row33  Hybrid Ratio Row34  Hybrid Ratio Row35  Hybrid Ratio Row36  Hybrid Ratio Row37  Hybrid Ratio Row38  Hybrid Ratio Row39  Hybrid Ratio Row40  Hybrid Ratio Row41  Hybrid Ratio Row42  Hybrid Ratio Row43  Hybrid Ratio Row44  Hybrid Ratio Row45  Hybrid Ratio Row46  Hybrid Ratio Row47  Hybrid Ratio Row48  Hybrid Ratio Row49  Hybrid Ratio Row50  Hybrid Ratio Row51  Hybrid Ratio Row52  Hybrid Ratio Row53  Hybrid Ratio Row54  Hybrid Ratio Row55  Hybrid Ratio Row56  Hybrid Ratio Row57  Hybrid Ratio Row58  Hybrid Ratio Row59  Hybrid Ratio Row60  Hybrid Ratio Row61  Hybrid Ratio Row62  Hybrid Ratio Row63  Hybrid Ratio Row64  Hybrid Ratio Row65
          1.208344           1.214353           1.220345           1.226320           1.232278           1.238218           1.244142           1.250048           1.255938            1.261810            1.267665            1.273503            1.279323            1.285126            1.290912            1.296681            1.302432            1.308166            1.313882            1.319581            1.325263            1.330928            1.336575            1.342205            1.347817            1.353412            1.358990            1.364550            1.370094            1.375619            1.381128            1.386619            1.392093            1.397549            1.402989            1.408411            1.413816            1.419204            1.424574            1.429928            1.435264            1.440583            1.445886            1.451171            1.456439            1.461690            1.466924            1.472141            1.477342            1.482525            1.482471            1.487685            1.492884            1.498066            1.503232            1.508381            1.513515            1.518632            1.523733            1.528817            1.533886            1.538939            1.543975            1.548996            1.554001
          1.201972           1.207975           1.213961           1.219930           1.225883           1.231818           1.237737           1.243639           1.249524            1.255391            1.261242            1.267075            1.272892            1.278691            1.284473            1.290238            1.295986            1.301717            1.307430            1.313126            1.318805            1.324467            1.330112            1.335739            1.341349            1.346942            1.352518            1.358076            1.363617            1.369141            1.374648            1.380138            1.385610            1.391066            1.396504            1.401925            1.407329            1.412716            1.418086            1.423439            1.428775            1.434094            1.439396            1.444681            1.449949            1.455200            1.460434            1.465652            1.470852            1.476036            1.475982            1.481197            1.486396            1.491578            1.496744            1.501894            1.507027            1.512145            1.517247            1.522332            1.527402            1.532455            1.537493            1.542515            1.547520
          1.195629           1.201626           1.207607           1.213570           1.219518           1.225448           1.231362           1.237258           1.243138            1.249001            1.254848            1.260677            1.266489            1.272285            1.278063            1.283824            1.289568            1.295296            1.301006            1.306699            1.312375            1.318034            1.323676            1.329300            1.334908            1.340498            1.346072            1.351628            1.357168            1.362690            1.368195            1.373683            1.379154            1.384608            1.390045            1.395465            1.400868            1.406254            1.411623            1.416975            1.422311            1.427629            1.432931            1.438215            1.443483            1.448734            1.453968            1.459186            1.464387            1.469571            1.469518            1.474732            1.479931            1.485113            1.490280            1.495430            1.500564            1.505682            1.510784            1.515870            1.520940            1.525995            1.531033            1.536056            1.541062
          1.189316           1.195307           1.201282           1.207240           1.213182           1.219107           1.225015           1.230907           1.236782            1.242641            1.248482            1.254307            1.260115            1.265906            1.271681            1.277438            1.283179            1.288902            1.294609            1.300299            1.305972            1.311628            1.317267            1.322889            1.328494            1.334082            1.339653            1.345207            1.350744            1.356265            1.361768            1.367254            1.372724            1.378176            1.383612            1.389031            1.394432            1.399817            1.405186            1.410537            1.415871            1.421189            1.426490            1.431774            1.437042            1.442293            1.447527            1.452744            1.457945            1.463130            1.463077            1.468292            1.473490            1.478672            1.483839            1.488989            1.494123            1.499242            1.504344            1.509431            1.514502            1.519557            1.524596            1.529619            1.534627
          1.183034           1.189019           1.194987           1.200940           1.206876           1.212795           1.218698           1.224585           1.230455            1.236308            1.242145            1.247966            1.253769            1.259556            1.265326            1.271080            1.276817            1.282537            1.288240            1.293926            1.299596            1.305249            1.310885            1.316504            1.322106            1.327692            1.333260            1.338812            1.344347            1.349865            1.355367            1.360851            1.366319            1.371770            1.377204            1.382621            1.388022            1.393406            1.398773            1.404123            1.409457            1.414774            1.420074            1.425358            1.430625            1.435876            1.441109            1.446327            1.451528            1.456712            1.456661            1.461875            1.467073            1.472255            1.477421            1.482572            1.487706            1.492825            1.497928            1.503015            1.508086            1.513141            1.518181            1.523205            1.528214
          1.176781           1.182760           1.188722           1.194669           1.200599           1.206513           1.212410           1.218291           1.224156            1.230005            1.235837            1.241653            1.247452            1.253234            1.259000            1.264750            1.270483            1.276199            1.281898            1.287581            1.293248            1.298897            1.304530            1.310146            1.315746            1.321328            1.326895            1.332444            1.337977            1.343493            1.348992            1.354474            1.359940            1.365389            1.370822            1.376238            1.381637            1.387020            1.392385            1.397735            1.403067            1.408384            1.413683            1.418966            1.424233            1.429483            1.434716            1.439933            1.445134            1.450318            1.450268            1.455481            1.460679            1.465861            1.471027            1.476178            1.481312            1.486431            1.491534            1.496621            1.501693            1.506749            1.511789            1.516814            1.521823
          1.170558           1.176531           1.182487           1.188427           1.194351           1.200259           1.206151           1.212027           1.217887            1.223730            1.229557            1.235368            1.241162            1.246940            1.252702            1.258447            1.264176            1.269888            1.275584            1.281264            1.286926            1.292573            1.298202            1.303815            1.309412            1.314992            1.320555            1.326102            1.331632            1.337146            1.342643            1.348123            1.353587            1.359035            1.364465            1.369880            1.375277            1.380658            1.386023            1.391371            1.396703            1.402018            1.407317            1.412599            1.417865            1.423114            1.428347            1.433564            1.438765            1.443949            1.443899            1.449112            1.454309            1.459491            1.464657            1.469807            1.474941            1.480060            1.485163            1.490251            1.495323            1.500379            1.505420            1.510445            1.515455
          1.164365           1.170331           1.176281           1.182215           1.188133           1.194035           1.199921           1.205792           1.211646            1.217484            1.223306            1.229112            1.234901            1.240675            1.246432            1.252173            1.257897            1.263606            1.269298            1.274973            1.280632            1.286275            1.291901            1.297511            1.303105            1.308682            1.314242            1.319786            1.325314            1.330825            1.336320            1.341798            1.347260            1.352705            1.358134            1.363547            1.368943            1.374322            1.379686            1.385032            1.390363            1.395677            1.400975            1.406256            1.411521            1.416770            1.422003            1.427219            1.432419            1.437603            1.437553            1.442766            1.447963            1.453144            1.458310            1.463459            1.468594            1.473712            1.478816            1.483903            1.488975            1.494032            1.499073            1.504099            1.509109
          1.158202           1.164161           1.170104           1.176032           1.181944           1.187840           1.193720           1.199585           1.205433            1.211266            1.217083            1.222884            1.228668            1.234437            1.240190            1.245926            1.251646            1.257350            1.263038            1.268710            1.274365            1.280004            1.285627            1.291234            1.296824            1.302398            1.307956            1.313497            1.319022            1.324530            1.330023            1.335499            1.340958            1.346402            1.351828            1.357239            1.362633            1.368011            1.373373            1.378719            1.384048            1.389361            1.394657            1.399938            1.405202            1.410450            1.415682            1.420897            1.426097            1.431280            1.431232            1.436444            1.441640            1.446821            1.451986            1.457135            1.462269            1.467388            1.472491            1.477578            1.482650            1.487707            1.492749            1.497775            1.502785
          1.152068           1.158020           1.163957           1.169878           1.175784           1.181674           1.187548           1.193407           1.199250            1.205077            1.210888            1.216684            1.222464            1.228227            1.233975            1.239707            1.245423            1.251123            1.256806            1.262474            1.268125            1.273761            1.279380            1.284983            1.290570            1.296141            1.301695            1.307234            1.312756            1.318262            1.323751            1.329225            1.334682            1.340123            1.345548            1.350957            1.356349            1.361726            1.367086            1.372429            1.377757            1.383069            1.388364            1.393644            1.398907            1.404154            1.409385            1.414600            1.419799            1.424982            1.424934            1.430145            1.435340            1.440520            1.445685            1.450834            1.455968            1.461086            1.466189            1.471276            1.476348            1.481405            1.486447            1.491473            1.496484
