 Eloss (eV)    Int (a.u.)
   0.000000  1.326481e-30
   0.001600  1.530536e-30
   0.003201  1.765750e-30
   0.004801  2.036847e-30
   0.006401  2.349257e-30
   0.008002  2.709231e-30
   0.009602  3.123954e-30
   0.011202  3.601692e-30
   0.012803  4.151946e-30
   0.014403  4.785641e-30
   0.016003  5.515332e-30
   0.017604  6.355453e-30
   0.019204  7.322587e-30
   0.020804  8.435791e-30
   0.022404  9.716958e-30
   0.024005  1.119124e-29
   0.025605  1.288751e-29
   0.027205  1.483895e-29
   0.028806  1.708365e-29
   0.030406  1.966533e-29
   0.032006  2.263419e-29
   0.033607  2.604786e-29
   0.035207  2.997246e-29
   0.036807  3.448387e-29
   0.038408  3.966914e-29
   0.040008  4.562814e-29
   0.041608  5.247542e-29
   0.043209  6.034237e-29
   0.044809  6.937964e-29
   0.046409  7.975996e-29
   0.048010  9.168136e-29
   0.049610  1.053708e-28
   0.051210  1.210885e-28
   0.052811  1.391326e-28
   0.054411  1.598445e-28
   0.056011  1.836158e-28
   0.057612  2.108947e-28
   0.059212  2.421945e-28
   0.060812  2.781033e-28
   0.062412  3.192945e-28
   0.064013  3.665386e-28
   0.065613  4.207183e-28
   0.067213  4.828433e-28
   0.068814  5.540696e-28
   0.070414  6.357196e-28
   0.072014  7.293065e-28
   0.073615  8.365615e-28
   0.075215  9.594643e-28
   0.076815  1.100280e-27
   0.078416  1.261596e-27
   0.080016  1.446376e-27
   0.081616  1.658002e-27
   0.083217  1.900343e-27
   0.084817  2.177822e-27
   0.086417  2.495491e-27
   0.088018  2.859123e-27
   0.089618  3.275313e-27
   0.091218  3.751596e-27
   0.092819  4.296576e-27
   0.094419  4.920081e-27
   0.096019  5.633329e-27
   0.097620  6.449132e-27
   0.099220  7.382113e-27
   0.100820  8.448960e-27
   0.102420  9.668723e-27
   0.104021  1.106313e-26
   0.105621  1.265699e-26
   0.107221  1.447858e-26
   0.108822  1.656017e-26
   0.110422  1.893855e-26
   0.112022  2.165568e-26
   0.113623  2.475941e-26
   0.115223  2.830427e-26
   0.116823  3.235242e-26
   0.118424  3.697472e-26
   0.120024  4.225189e-26
   0.121624  4.827594e-26
   0.123225  5.515165e-26
   0.124825  6.299840e-26
   0.126425  7.195214e-26
   0.128026  8.216771e-26
   0.129626  9.382139e-26
   0.131226  1.071139e-25
   0.132827  1.222737e-25
   0.134427  1.395607e-25
   0.136027  1.592711e-25
   0.137628  1.817413e-25
   0.139228  2.073546e-25
   0.140828  2.365468e-25
   0.142428  2.698134e-25
   0.144029  3.077182e-25
   0.145629  3.509023e-25
   0.147229  4.000943e-25
   0.148830  4.561228e-25
   0.150430  5.199294e-25
   0.152030  5.925844e-25
   0.153631  6.753040e-25
   0.155231  7.694699e-25
   0.156831  8.766518e-25
   0.158432  9.986330e-25
   0.160032  1.137438e-24
   0.161632  1.295368e-24
   0.163233  1.475032e-24
   0.164833  1.679396e-24
   0.166433  1.911825e-24
   0.168034  2.176137e-24
   0.169634  2.476667e-24
   0.171234  2.818332e-24
   0.172835  3.206712e-24
   0.174435  3.648136e-24
   0.176035  4.149782e-24
   0.177636  4.719791e-24
   0.179236  5.367394e-24
   0.180836  6.103056e-24
   0.182436  6.938643e-24
   0.184037  7.887601e-24
   0.185637  8.965171e-24
   0.187237  1.018862e-23
   0.188838  1.157752e-23
   0.190438  1.315403e-23
   0.192038  1.494326e-23
   0.193639  1.697364e-23
   0.195239  1.927738e-23
   0.196839  2.189093e-23
   0.198440  2.485557e-23
   0.200040  2.821800e-23
   0.201640  3.203112e-23
   0.203241  3.635476e-23
   0.204841  4.125662e-23
   0.206441  4.681329e-23
