 Charge Transfer (eV)  Tpp (eV)  Eigenvalues Row 1  Eigenvalues Row 2  Eigenvalues Row 3  Eigenvalues Row 4  Eigenvalues Row 5  Eigenvalues Row 6  Eigenvalues Row 7  Eigenvalues Row 8  Eigenvalues Row 9  Eigenvalues Row 10  Eigenvalues Row 11  Eigenvalues Row 12  Eigenvalues Row 13  Eigenvalues Row 14  Eigenvalues Row 15  Eigenvalues Row 16  Eigenvalues Row 17  Eigenvalues Row 18  Eigenvalues Row 19  Eigenvalues Row 20  Eigenvalues Row 21  Eigenvalues Row 22  Eigenvalues Row 23  Eigenvalues Row 24  Eigenvalues Row 25  Eigenvalues Row 26  Eigenvalues Row 27  Eigenvalues Row 28  Eigenvalues Row 29  Eigenvalues Row 30
            -0.800000  0.500000           0.540767           0.556935           0.573360           0.590023           0.606900           0.623961           0.641170           0.658480           0.675827            0.693130            0.710274            0.727097            0.743355            0.758684            0.772522            0.784065            0.792355            0.796722            0.797318            0.794998            0.790729            0.785233            0.778975            0.772242            0.765212            0.758001            0.750685            0.743316            0.735933            0.728564
            -0.755172  0.517241           0.536829           0.552936           0.569307           0.585921           0.602758           0.619789           0.636981           0.654290           0.671659            0.689015            0.706254            0.723234            0.739744            0.755467            0.769919            0.782377            0.791902            0.797647            0.799442            0.797964            0.794210            0.789006            0.782902            0.776240            0.769231            0.762007            0.754658            0.747243            0.739804            0.732373
            -0.710345  0.534483           0.532903           0.548948           0.565261           0.581825           0.598618           0.615616           0.632785           0.650087           0.667470            0.684865            0.702183            0.719295            0.736018            0.752077            0.767052            0.780309            0.790963            0.798068            0.801156            0.800648            0.797510            0.792664            0.786755            0.780189            0.773216            0.765991            0.758616            0.751159            0.743669            0.736178
            -0.665517  0.551724           0.528989           0.544971           0.561226           0.577736           0.594483           0.611443           0.628586           0.645875           0.663262            0.680688            0.698068            0.715290            0.732193            0.748537            0.763961            0.777908            0.789573            0.797981            0.802422            0.803009            0.800601            0.796190            0.790524            0.784083            0.777164            0.769949            0.762557            0.755064            0.747526            0.739979
            -0.620690  0.568966           0.525089           0.541006           0.557200           0.573655           0.590353           0.607272           0.624384           0.641655           0.659041            0.676486            0.693916            0.711230            0.728284            0.744871            0.760677            0.775218            0.787776            0.797400            0.803213            0.805006            0.803451            0.799563            0.794195            0.787914            0.781070            0.773879            0.766478            0.758956            0.751374            0.743775
            -0.575862  0.586207           0.521202           0.537053           0.553185           0.569582           0.586229           0.603104           0.620182           0.637430           0.654808            0.672265            0.689733            0.707121            0.724304            0.741097            0.757228            0.772280            0.785617            0.796350            0.803512            0.806601            0.806023            0.802759            0.797755            0.791673            0.784929            0.777777            0.770378            0.762833            0.755213            0.747564
            -0.531034  0.603448           0.517329           0.533113           0.549181           0.565520           0.582113           0.598942           0.615981           0.633202           0.650567            0.668028            0.685524            0.702973            0.720262            0.737230            0.753639            0.769127            0.783140            0.794867            0.803319            0.807758            0.808279            0.805751            0.801185            0.795349            0.788734            0.781640            0.774254            0.766695            0.759041            0.751348
            -0.486207  0.620690           0.513472           0.529187           0.545190           0.561468           0.578006           0.594785           0.611784           0.628973           0.646319            0.663777            0.681292            0.698789            0.716167            0.733283            0.749929            0.765791            0.780387            0.792992            0.802647            0.808451            0.810180            0.808507            0.804468            0.798932            0.792478            0.785462            0.778103            0.770538            0.762858            0.755123
            -0.441379  0.637931           0.509629           0.525275           0.541212           0.557428           0.573908           0.590636           0.607590           0.624745           0.642067            0.659517            0.677043            0.694577            0.712028            0.729269            0.746117            0.762298            0.777395            0.790768            0.801520            0.808665            0.811687            0.810992            0.807578            0.802407            0.796154            0.789240            0.781922            0.774361            0.766661            0.758891
            -0.396552  0.655172           0.505802           0.521378           0.537247           0.553399           0.569820           0.586495           0.603402           0.620519           0.637814            0.655250            0.672779            0.690340            0.707850            0.725196            0.742216            0.758671            0.774198            0.788238            0.799974            0.808401            0.812767            0.813169            0.810489            0.805757            0.799751            0.792966            0.785707            0.778162            0.770449            0.762649
