 Charge Transfer (eV)  delta (eV)  Eigenvalues Row 1  Eigenvalues Row 2  Eigenvalues Row 3  Eigenvalues Row 4  Eigenvalues Row 5  Eigenvalues Row 6  Eigenvalues Row 7  Eigenvalues Row 8  Eigenvalues Row 9  Eigenvalues Row 10  Eigenvalues Row 11  Eigenvalues Row 12  Eigenvalues Row 13  Eigenvalues Row 14  Eigenvalues Row 15  Eigenvalues Row 16  Eigenvalues Row 17  Eigenvalues Row 18  Eigenvalues Row 19  Eigenvalues Row 20  Eigenvalues Row 21  Eigenvalues Row 22  Eigenvalues Row 23  Eigenvalues Row 24  Eigenvalues Row 25  Eigenvalues Row 26  Eigenvalues Row 27  Eigenvalues Row 28  Eigenvalues Row 29  Eigenvalues Row 30
            -0.800000   -0.120000           0.513550           0.529257           0.545249           0.561513           0.578033           0.594790           0.611760           0.628912           0.646210            0.663605            0.681033            0.698411            0.715619            0.732485            0.748750            0.764010            0.777634            0.788694            0.796119            0.799285            0.798587            0.795088            0.789810            0.783451            0.776438            0.769031            0.761387            0.753608            0.745762            0.737896
            -0.755172   -0.111724           0.513583           0.529295           0.545293           0.561564           0.578093           0.594861           0.611844           0.629013           0.646333            0.663755            0.681222            0.698652            0.715934            0.732910            0.749343            0.764871            0.778927            0.790673            0.799065            0.803327            0.803587            0.800783            0.795968            0.789916            0.783113            0.775853            0.768317            0.760620            0.752838            0.745024
            -0.710345   -0.103448           0.513614           0.529330           0.545334           0.561611           0.578149           0.594926           0.611921           0.629106           0.646445            0.663894            0.681395            0.698872            0.716221            0.733294            0.749875            0.765635            0.780068            0.792414            0.801683            0.807007            0.808265            0.806220            0.801925            0.796219            0.789651            0.782557            0.775142            0.767536            0.759825            0.752067
            -0.665517   -0.095172           0.513642           0.529362           0.545371           0.561655           0.578199           0.594986           0.611992           0.629191           0.646548            0.664020            0.681552            0.699071            0.716480            0.733639            0.750350            0.766314            0.781072            0.793940            0.803994            0.810321            0.812591            0.811364            0.807646            0.802331            0.796029            0.789121            0.781840            0.774336            0.766703            0.759007
            -0.620690   -0.086897           0.513667           0.529391           0.545404           0.561694           0.578245           0.595039           0.612056           0.629267           0.646641            0.664134            0.681694            0.699251            0.716713            0.733949            0.750774            0.766914            0.781953            0.795273            0.806019            0.813274            0.816545            0.816179            0.813095            0.808216            0.802213            0.795514            0.788385            0.780993            0.773447            0.765820
            -0.575862   -0.078621           0.513689           0.529417           0.545434           0.561728           0.578286           0.595088           0.612113           0.629336           0.646724            0.664236            0.681821            0.699413            0.716921            0.734225            0.751150            0.767442            0.782724            0.796432            0.807780            0.815874            0.820109            0.820628            0.818227            0.813832            0.808164            0.801701            0.794742            0.787476            0.780027            0.772475
            -0.531034   -0.070345           0.513708           0.529440           0.545460           0.561759           0.578322           0.595131           0.612164           0.629398           0.646798            0.664327            0.681935            0.699556            0.717106            0.734468            0.751480            0.767905            0.783395            0.797433            0.809300            0.818138            0.823275            0.824677            0.822996            0.819128            0.813833            0.807633            0.800865            0.793741            0.786399            0.778931
            -0.486207   -0.062069           0.513725           0.529459           0.545483           0.561786           0.578353           0.595168           0.612209           0.629451           0.646863            0.664407            0.682034            0.699681            0.717267            0.734681            0.751768            0.768306            0.783972            0.798292            0.810600            0.820085            0.826043            0.828298            0.827353            0.824047            0.819159            0.813252            0.806696            0.799730            0.792509            0.785135
            -0.441379   -0.053793           0.513739           0.529475           0.545502           0.561808           0.578380           0.595199           0.612247           0.629497           0.646919            0.664476            0.682119            0.699790            0.717407            0.734864            0.752015            0.768650            0.784465            0.799020            0.811698            0.821733            0.828417            0.831468            0.831250            0.828526            0.824072            0.818482            0.812161            0.805370            0.798283            0.791014
            -0.396552   -0.045517           0.513750           0.529488           0.545517           0.561827           0.578401           0.595225           0.612278           0.629535           0.646966            0.664533            0.682191            0.699881            0.717524            0.735019            0.752224            0.768939            0.784877            0.799626            0.812609            0.823104            0.830408            0.834173            0.834642            0.832495            0.828488            0.823235            0.817165            0.810566            0.803626            0.796472
            -0.351724   -0.037241           0.513758           0.529498           0.545529           0.561841           0.578418           0.595246           0.612303           0.629565           0.647003            0.664580            0.682250            0.699955            0.717620            0.735146            0.752394            0.769175            0.785214            0.800119            0.813348            0.824215            0.832031            0.836408            0.837493            0.835889            0.832319            0.827405            0.821596            0.815196            0.808412            0.801381
