 Distance (nm)  Height (nm)
      0.000000     0.000000
      0.078125     0.044689
      0.156250    -0.012979
      0.234375    -0.060725
      0.312500    -0.056534
      0.390625    -0.039499
      0.468750    -0.034894
      0.546875    -0.066741
      0.625000    -0.005243
      0.703125    -0.004725
      0.781250    -0.029944
      0.859375    -0.032827
      0.937500    -0.007362
      1.015625     0.010061
      1.093750     0.024434
      1.171875     0.348801
      1.250000     0.988164
      1.328125     1.475942
      1.406250     1.586995
      1.484375     1.309020
      1.562500     0.828976
      1.640625     0.241804
      1.718750     0.114415
      1.796875     0.091730
      1.875000     0.015082
      1.953125     0.024418
      2.031250     0.071692
      2.109375     0.062423
      2.187500     0.080763
      2.265625     0.101401
      2.343750     0.190622
      2.421875     0.313736
      2.500000     0.164113
      2.578125     0.050649
      2.656250     0.031161
      2.734375     0.016651
      2.812500     0.005639
      2.890625    -0.022764
      2.968750    -0.091141
      3.046875    -0.100071
      3.125000    -0.072672
      3.203125     0.000676
      3.281250     0.123669
      3.359375     0.985998
      3.437500     3.181445
      3.515625     4.423164
      3.593750     4.245092
      3.671875     3.858884
      3.750000     3.784210
      3.828125     3.756557
      3.906250     3.746582
      3.984375     3.745368
      4.062500     3.733534
      4.140625     3.715344
      4.218750     3.810721
      4.296875     3.804682
      4.375000     3.728435
      4.453125     3.670838
      4.531250     3.633713
      4.609375     3.623114
      4.687500     3.609501
      4.765625     3.609802
      4.843750     3.609276
      4.921875     3.611272
      5.000000     3.579329
      5.078125     3.636414
      5.156250     3.626450
      5.234375     3.614483
      5.312500     3.638343
      5.390625     3.664756
      5.468750     3.647172
      5.546875     3.673822
      5.625000     3.652677
      5.703125     3.684286
      5.781250     3.653127
      5.859375     3.615779
      5.937500     3.627025
      6.015625     3.705066
      6.093750     3.751059
      6.171875     3.764954
      6.250000     3.846884
      6.328125     3.915036
      6.406250     3.844431
      6.484375     3.773450
      6.562500     3.818985
      6.640625     3.820407
      6.718750     3.832436
