 Incident Energy (eV)  Int (a.u.)
              849.405    0.022575
              849.404    0.020665
              849.404    0.020606
              849.484    0.017067
              849.484    0.011527
              849.484    0.005289
              849.499   -0.000085
              849.499   -0.004059
              849.602   -0.003230
              849.602   -0.004275
              849.703   -0.001349
              849.703   -0.001001
              849.703   -0.001088
              849.703   -0.005613
              849.800   -0.006325
              849.800   -0.007834
              849.903   -0.008253
              849.903   -0.008137
              849.999    0.002933
              849.999    0.003775
              849.999    0.000787
              850.065    0.003400
              850.065   -0.000777
              850.101   -0.000150
              850.101   -0.010884
              850.200   -0.009197
              850.200   -0.004207
              850.290    0.002045
              850.290    0.003553
              850.302    0.003472
              850.302   -0.006159
              850.402    0.000194
              850.402    0.007998
              850.501   -0.002383
              850.501   -0.007199
              850.501   -0.004907
              850.501   -0.008011
              850.501   -0.005081
              850.601    0.008612
              850.601   -0.000701
              850.702   -0.005810
              850.702   -0.007116
              850.797   -0.011649
              850.797   -0.010430
              850.797   -0.004367
              850.801   -0.012971
              850.801   -0.017178
              850.901   -0.015814
              850.901   -0.016423
              851.002   -0.010974
              851.002   -0.002213
              851.096   -0.002041
              851.096   -0.006161
              851.096   -0.005378
              851.101   -0.007140
              851.101   -0.006299
              851.203    0.002077
              851.203   -0.003348
              851.300   -0.001594
              851.300    0.007341
              851.300    0.006877
              851.300    0.006499
              851.403    0.012260
              851.403    0.009010
              851.503    0.013420
              851.503    0.014116
              851.595    0.007682
              851.595    0.009365
              851.595    0.017052
              851.659    0.017615
              851.659    0.017383
              851.703    0.020499
              851.703    0.024125
              851.800    0.032551
              851.800    0.040094
              851.899    0.038300
              851.899    0.042274
              851.899    0.054168
              851.903    0.057371
              851.903    0.062389
              852.002    0.068950
              852.002    0.074752
              852.101    0.089377
              852.101    0.109597
              852.187    0.123003
              852.187    0.133156
              852.187    0.152477
              852.203    0.185043
              852.203    0.213270
              852.302    0.241617
              852.399    0.271191
              852.399    0.302986
              852.399    0.346094
              852.455    0.411007
              852.455    0.456668
              852.503    0.492315
              852.503    0.564782
              852.600    0.635637
              852.600    0.697428
              852.700    0.742248
              852.700    0.781411
              852.700    0.818254
              852.756    0.865180
              852.756    0.920298
              852.800    0.968669
              852.800    1.000000
              852.902    1.002225
              852.902    0.995263
              852.984    0.939556
              852.984    0.914027
              852.984    0.913157
              853.001    0.854976
              853.001    0.819004
              853.101    0.815958
              853.199    0.710168
              853.199    0.641705
              853.199    0.623719
              853.296    0.569832
              853.296    0.536471
              853.299    0.512206
              853.299    0.436519
              853.401    0.399175
              853.401    0.396535
              853.496    0.362065
              853.496    0.339408
              853.496    0.329951
              853.501    0.316323
              853.501    0.304603
              853.601    0.297612
              853.601    0.273186
              853.700    0.263588
              853.700    0.259353
              853.792    0.245985
