 Incident Energy (eV)  Int (a.u.)
                  0.0    0.000000
                  1.0    0.000950
                  2.0    0.003642
                  3.0    0.007168
                  4.0    0.011522
                  5.0    0.015701
                  6.0    0.020923
                  7.0    0.026479
                  8.0    0.032789
                  9.0    0.039644
                 10.0    0.047524
                 11.0    0.056610
                 12.0    0.067222
                 13.0    0.079553
                 14.0    0.093724
                 15.0    0.110962
                 16.0    0.131349
                 17.0    0.157001
                 18.0    0.188257
                 19.0    0.226219
                 20.0    0.273108
                 21.0    0.331529
                 22.0    0.407004
                 23.0    0.500740
                 24.0    0.614015
                 25.0    0.737820
                 26.0    0.859151
                 27.0    0.952427
                 28.0    1.000000
                 29.0    0.993456
                 30.0    0.938021
                 31.0    0.848548
                 32.0    0.740049
                 33.0    0.635332
                 34.0    0.548671
                 35.0    0.490393
                 36.0    0.454097
                 37.0    0.432217
                 38.0    0.414734
                 39.0    0.398856
                 40.0    0.381924
                 41.0    0.364502
                 42.0    0.346692
                 43.0    0.327082
                 44.0    0.305355
                 45.0    0.281430
                 46.0    0.257976
                 47.0    0.236730
                 48.0    0.219379
                 49.0    0.207550
                 50.0    0.199698
                 51.0    0.195956
                 52.0    0.194913
                 53.0    0.197632
                 54.0    0.203624
                 55.0    0.212611
                 56.0    0.224502
                 57.0    0.238621
                 58.0    0.254121
                 59.0    0.271820
                 60.0    0.288587
                 61.0    0.303443
                 62.0    0.311582
                 63.0    0.314864
                 64.0    0.312931
                 65.0    0.307553
                 66.0    0.299936
                 67.0    0.291931
                 68.0    0.286011
                 69.0    0.282473
                 70.0    0.281604
                 71.0    0.283659
                 72.0    0.288076
                 73.0    0.293802
                 74.0    0.297523
                 75.0    0.299343
                 76.0    0.297125
                 77.0    0.291419
                 78.0    0.278210
                 79.0    0.258538
                 80.0    0.233305
                 81.0    0.207386
                 82.0    0.185118
                 83.0    0.168136
                 84.0    0.157339
                 85.0    0.149793
                 86.0    0.144201
                 87.0    0.140469
                 88.0    0.137698
                 89.0    0.136205
                 90.0    0.134385
                 91.0    0.132831
                 92.0    0.131676
                 93.0    0.131103
                 94.0    0.131185
                 95.0    0.132156
                 96.0    0.132668
                 97.0    0.133997
                 98.0    0.134477
                 99.0    0.134794
                100.0    0.133915
