 Incident Energy (eV)  Int (a.u.)
             850.0014    0.000000
             850.0990   -0.000514
             850.1975   -0.002572
             850.2977    0.001029
             850.3975    0.004115
             850.4949    0.009774
             850.5991   -0.000514
             850.6947    0.007716
             850.7990    0.004630
             850.8992    0.021605
             850.9989    0.019033
             851.0988    0.021605
             851.1986    0.041152
             851.2987    0.045782
             851.3988    0.053498
             851.4985    0.058128
             851.5982    0.068416
             851.6986    0.106996
             851.7987    0.120885
             851.8993    0.164095
             851.9989    0.225823
             852.0922    0.292695
             852.1992    0.379115
             852.2916    0.498971
             852.3989    0.670782
             852.4924    0.859568
             852.5991    1.000000
             852.6954    0.976337
             852.7987    0.851337
             852.8920    0.722222
             852.9987    0.567387
             853.0922    0.459877
             853.1988    0.393519
             853.2932    0.370370
             853.3984    0.338477
             853.4925    0.329218
             853.5984    0.290638
             853.6937    0.272634
             853.7984    0.245885
             853.8988    0.229938
             853.9985    0.214506
             854.0988    0.194959
             854.1982    0.186728
             854.2986    0.168724
             854.3978    0.140432
             854.4936    0.132716
             854.5984    0.119856
             854.6934    0.123457
             854.7979    0.110082
             854.8931    0.114198
             854.9986    0.108539
             855.0930    0.093107
             855.1988    0.096708
             855.2924    0.095679
             855.3994    0.096708
             855.4937    0.108025
             855.5995    0.110082
             855.6959    0.098251
             855.7978    0.119856
             855.8911    0.122942
             855.9968    0.120885
             856.0984    0.117798
             856.1978    0.120885
             856.2983    0.117798
             856.3974    0.110597
             856.4984    0.103395
             856.5983    0.101852
             856.6989    0.100823
             856.7978    0.101852
             856.8995    0.110082
             856.9992    0.114712
             857.1010    0.117798
             857.1991    0.106481
             857.2958    0.103909
             857.3989    0.117284
             857.4965    0.102881
             857.5995    0.108025
             857.7001    0.099794
             857.7991    0.088477
             857.8952    0.087449
             857.9989    0.085905
             858.0983    0.095679
             858.1985    0.086420
             858.2981    0.091049
             858.3984    0.077160
             858.4985    0.076646
             858.5975    0.080761
             858.6990    0.087449
             858.7987    0.073560
             858.8992    0.070988
             858.9982    0.080761
             859.0949    0.084877
             859.1982    0.082819
             859.2950    0.072016
             859.3982    0.068416
             859.4964    0.068930
             859.5986    0.070988
             859.6994    0.069959
             859.7989    0.068930
             859.8991    0.076646
             859.9986    0.067901
