 Incident Energy (eV)  Int (a.u.)
             850.8167    0.000000
             850.9143   -0.000514
             851.0128   -0.002572
             851.1130    0.001029
             851.2128    0.004115
             851.3102    0.009774
             851.4144   -0.000514
             851.5100    0.007716
             851.6143    0.004630
             851.7145    0.021605
             851.8142    0.019033
             851.9141    0.021605
             852.0139    0.041152
             852.1140    0.045782
             852.2141    0.053498
             852.3138    0.058128
             852.4135    0.068416
             852.5139    0.106996
             852.6140    0.120885
             852.7146    0.164095
             852.8142    0.225823
             852.9075    0.292695
             853.0145    0.379115
             853.1069    0.498971
             853.2142    0.670782
             853.3077    0.859568
             853.4144    1.000000
             853.5107    0.976337
             853.6140    0.851337
             853.7073    0.722222
             853.8140    0.567387
             853.9075    0.459877
             854.0141    0.393519
             854.1085    0.370370
             854.2137    0.338477
             854.3078    0.329218
             854.4137    0.290638
             854.5090    0.272634
             854.6137    0.245885
             854.7141    0.229938
             854.8138    0.214506
             854.9141    0.194959
             855.0135    0.186728
             855.1139    0.168724
             855.2131    0.140432
             855.3089    0.132716
             855.4137    0.119856
             855.5087    0.123457
             855.6132    0.110082
             855.7084    0.114198
             855.8139    0.108539
             855.9083    0.093107
             856.0141    0.096708
             856.1077    0.095679
             856.2147    0.096708
             856.3090    0.108025
             856.4148    0.110082
             856.5112    0.098251
             856.6131    0.119856
             856.7064    0.122942
             856.8121    0.120885
             856.9137    0.117798
             857.0131    0.120885
             857.1136    0.117798
             857.2127    0.110597
             857.3137    0.103395
             857.4136    0.101852
             857.5142    0.100823
             857.6131    0.101852
             857.7148    0.110082
             857.8145    0.114712
             857.9163    0.117798
             858.0144    0.106481
             858.1111    0.103909
             858.2142    0.117284
             858.3118    0.102881
             858.4148    0.108025
             858.5154    0.099794
             858.6144    0.088477
             858.7105    0.087449
             858.8142    0.085905
             858.9136    0.095679
             859.0138    0.086420
             859.1134    0.091049
             859.2137    0.077160
             859.3138    0.076646
             859.4128    0.080761
             859.5143    0.087449
             859.6140    0.073560
             859.7145    0.070988
             859.8135    0.080761
             859.9102    0.084877
             860.0135    0.082819
             860.1103    0.072016
             860.2135    0.068416
             860.3117    0.068930
             860.4139    0.070988
             860.5147    0.069959
             860.6142    0.068930
             860.7144    0.076646
             860.8139    0.067901
