 10Dq (eV)  Eigenvalues Row 1  Eigenvalues Row 2  Eigenvalues Row 3  Eigenvalues Row 4  Eigenvalues Row 5  Eigenvalues Row 6  Eigenvalues Row 7  Eigenvalues Row 8  Eigenvalues Row 9  Eigenvalues Row 10  Eigenvalues Row 11  Eigenvalues Row 12  Eigenvalues Row 13  Eigenvalues Row 14  Eigenvalues Row 15  Eigenvalues Row 16  Eigenvalues Row 17  Eigenvalues Row 18  Eigenvalues Row 19  Eigenvalues Row 20  Eigenvalues Row 21  Eigenvalues Row 22  Eigenvalues Row 23  Eigenvalues Row 24  Eigenvalues Row 25  Eigenvalues Row 26  Eigenvalues Row 27  Eigenvalues Row 28  Eigenvalues Row 29  Eigenvalues Row 30  Eigenvalues Row 31  Eigenvalues Row 32  Eigenvalues Row 33  Eigenvalues Row 34  Eigenvalues Row 35  Eigenvalues Row 36  Eigenvalues Row 37  Eigenvalues Row 38  Eigenvalues Row 39  Eigenvalues Row 40  Eigenvalues Row 41  Eigenvalues Row 42  Eigenvalues Row 43  Eigenvalues Row 44  Eigenvalues Row 45
   0.00000                0.0       3.330669e-16       4.440892e-16       5.551115e-16       6.661338e-16       6.661338e-16       8.881784e-16       8.881784e-16       8.881784e-16        1.110223e-15        1.110223e-15        1.110223e-15        1.110223e-15        1.221245e-15        1.332268e-15        1.332268e-15        1.332268e-15        1.554312e-15        1.554312e-15        1.998401e-15        2.109424e-15            1.032073            1.032073            1.032073            1.032073            1.032073            1.250992            1.250992            1.250992            1.250992            1.250992            1.250992            1.250992            1.250992            1.250992            1.615870            1.615870            1.615870            1.615870            1.615870            1.615870            1.615870            1.615870            1.615870            3.987555
   0.04375                0.0       2.220446e-16       6.661338e-16       4.375000e-02       4.375000e-02       4.375000e-02       4.375000e-02       4.375000e-02       4.375000e-02        4.375000e-02        4.375000e-02        4.375000e-02        7.850000e-02        7.850000e-02        7.850000e-02        7.850000e-02        7.850000e-02        7.850000e-02        7.850000e-02        7.850000e-02        7.850000e-02            1.066445            1.066445            1.093780            1.093780            1.093780            1.303742            1.303742            1.303742            1.303742            1.303742            1.303742            1.303742            1.303742            1.303742            1.650101            1.659620            1.659620            1.659620            1.668998            1.668998            1.685413            1.685413            1.685413            4.040824
   0.08750                0.0       3.330669e-16       8.881784e-16       8.750000e-02       8.750000e-02       8.750000e-02       8.750000e-02       8.750000e-02       8.750000e-02        8.750000e-02        8.750000e-02        8.750000e-02        1.564788e-01        1.564788e-01        1.564788e-01        1.564788e-01        1.564788e-01        1.564788e-01        1.564788e-01        1.564788e-01        1.564788e-01            1.094994            1.094994            1.153945            1.153945            1.153945            1.357013            1.357013            1.357013            1.357013            1.357013            1.357013            1.357013            1.357013            1.357013            1.682820            1.703370            1.703370            1.703370            1.727949            1.727949            1.756498            1.756498            1.756498            4.095605
   0.13125                0.0       1.110223e-16       1.110223e-16       1.312500e-01       1.312500e-01       1.312500e-01       1.312500e-01       1.312500e-01       1.312500e-01        1.312500e-01        1.312500e-01        1.312500e-01        2.339034e-01        2.339034e-01        2.339034e-01        2.339034e-01        2.339034e-01        2.339034e-01        2.339034e-01        2.339034e-01        2.339034e-01            1.118506            1.118506            1.212651            1.212651            1.212651            1.410838            1.410838            1.410838            1.410838            1.410838            1.410838            1.410838            1.410838            1.410838            1.714067            1.747120            1.747120            1.747120            1.791937            1.791937            1.829042            1.829042            1.829042            4.151857
   0.17500                0.0       3.330669e-16       3.330669e-16       1.750000e-01       1.750000e-01       1.750000e-01       1.750000e-01       1.750000e-01       1.750000e-01        1.750000e-01        1.750000e-01        1.750000e-01        3.107401e-01        3.107401e-01        3.107401e-01        3.107401e-01        3.107401e-01        3.107401e-01        3.107401e-01        3.107401e-01        3.107401e-01            1.137828            1.137828            1.269994            1.269994            1.269994            1.465252            1.465252            1.465252            1.465252            1.465252            1.465252            1.465252            1.465252            1.465252            1.743888            1.790870            1.790870            1.790870            1.860115            1.860115            1.902949            1.902949            1.902949            4.209537
   0.21875                0.0       2.220446e-16       6.661338e-16       2.187500e-01       2.187500e-01       2.187500e-01       2.187500e-01       2.187500e-01       2.187500e-01        2.187500e-01        2.187500e-01        2.187500e-01        3.869537e-01        3.869537e-01        3.869537e-01        3.869537e-01        3.869537e-01        3.869537e-01        3.869537e-01        3.869537e-01        3.869537e-01            1.153749            1.153749            1.326076            1.326076            1.326076            1.520288            1.520288            1.520288            1.520288            1.520288            1.520288            1.520288            1.520288            1.520288            1.772329            1.834620            1.834620            1.834620            1.931694            1.931694            1.978117            1.978117            1.978117            4.268595
   0.26250                0.0       2.220446e-16       4.440892e-16       2.625000e-01       2.625000e-01       2.625000e-01       2.625000e-01       2.625000e-01       2.625000e-01        2.625000e-01        2.625000e-01        2.625000e-01        4.625089e-01        4.625089e-01        4.625089e-01        4.625089e-01        4.625089e-01        4.625089e-01        4.625089e-01        4.625089e-01        4.625089e-01            1.166944            1.166944            1.381006            1.381006            1.381006            1.575983            1.575983            1.575983            1.575983            1.575983            1.575983            1.575983            1.575983            1.575983            1.799443            1.878370            1.878370            1.878370            2.005999            2.005999            2.054437            2.054437            2.054437            4.328982
   0.30625                0.0       8.881784e-16       1.110223e-15       3.062500e-01       3.062500e-01       3.062500e-01       3.062500e-01       3.062500e-01       3.062500e-01        3.062500e-01        3.062500e-01        3.062500e-01        5.373697e-01        5.373697e-01        5.373697e-01        5.373697e-01        5.373697e-01        5.373697e-01        5.373697e-01        5.373697e-01        5.373697e-01            1.177966            1.177966            1.434890            1.434890            1.434890            1.632372            1.632372            1.632372            1.632372            1.632372            1.632372            1.632372            1.632372            1.632372            1.825279            1.922120            1.922120            1.922120            2.082477            2.082477            2.131804            2.131804            2.131804            4.390646
   0.35000                0.0       2.220446e-16       4.440892e-16       3.500000e-01       3.500000e-01       3.500000e-01       3.500000e-01       3.500000e-01       3.500000e-01        3.500000e-01        3.500000e-01        3.500000e-01        6.115006e-01        6.115006e-01        6.115006e-01        6.115006e-01        6.115006e-01        6.115006e-01        6.115006e-01        6.115006e-01        6.115006e-01            1.187254            1.187254            1.487828            1.487828            1.487828            1.689491            1.689491            1.689491            1.689491            1.689491            1.689491            1.689491            1.689491            1.689491            1.849890            1.965870            1.965870            1.965870            2.160689            2.160689            2.210115            2.210115            2.210115            4.453534
   0.39375                0.0       4.440892e-16       6.661338e-16       3.937500e-01       3.937500e-01       3.937500e-01       3.937500e-01       3.937500e-01       3.937500e-01        3.937500e-01        3.937500e-01        3.937500e-01        6.848663e-01        6.848663e-01        6.848663e-01        6.848663e-01        6.848663e-01        6.848663e-01        6.848663e-01        6.848663e-01        6.848663e-01            1.195149            1.195149            1.539919            1.539919            1.539919            1.747376            1.747376            1.747376            1.747376            1.747376            1.747376            1.747376            1.747376            1.747376            1.873331            2.009620            2.009620            2.009620            2.240294            2.240294            2.289274            2.289274            2.289274            4.517594
