 delta (eV)  Eigenvalues Row 1  Eigenvalues Row 2  Eigenvalues Row 3  Eigenvalues Row 4  Eigenvalues Row 5  Eigenvalues Row 6  Eigenvalues Row 7  Eigenvalues Row 8  Eigenvalues Row 9  Eigenvalues Row 10  Eigenvalues Row 11  Eigenvalues Row 12  Eigenvalues Row 13  Eigenvalues Row 14  Eigenvalues Row 15  Eigenvalues Row 16  Eigenvalues Row 17  Eigenvalues Row 18  Eigenvalues Row 19  Eigenvalues Row 20  Eigenvalues Row 21  Eigenvalues Row 22  Eigenvalues Row 23  Eigenvalues Row 24  Eigenvalues Row 25  Eigenvalues Row 26  Eigenvalues Row 27  Eigenvalues Row 28  Eigenvalues Row 29  Eigenvalues Row 30  Eigenvalues Row 31  Eigenvalues Row 32  Eigenvalues Row 33  Eigenvalues Row 34  Eigenvalues Row 35  Eigenvalues Row 36  Eigenvalues Row 37  Eigenvalues Row 38  Eigenvalues Row 39  Eigenvalues Row 40  Eigenvalues Row 41  Eigenvalues Row 42  Eigenvalues Row 43  Eigenvalues Row 44  Eigenvalues Row 45  Eigenvalues Row 46  Eigenvalues Row 47  Eigenvalues Row 48  Eigenvalues Row 49  Eigenvalues Row 50  Eigenvalues Row 51  Eigenvalues Row 52  Eigenvalues Row 53  Eigenvalues Row 54  Eigenvalues Row 55  Eigenvalues Row 56  Eigenvalues Row 57  Eigenvalues Row 58  Eigenvalues Row 59  Eigenvalues Row 60  Eigenvalues Row 61  Eigenvalues Row 62  Eigenvalues Row 63  Eigenvalues Row 64  Eigenvalues Row 65  Eigenvalues Row 66  Eigenvalues Row 67  Eigenvalues Row 68  Eigenvalues Row 69  Eigenvalues Row 70  Eigenvalues Row 71  Eigenvalues Row 72  Eigenvalues Row 73  Eigenvalues Row 74  Eigenvalues Row 75  Eigenvalues Row 76  Eigenvalues Row 77  Eigenvalues Row 78  Eigenvalues Row 79  Eigenvalues Row 80  Eigenvalues Row 81  Eigenvalues Row 82  Eigenvalues Row 83  Eigenvalues Row 84  Eigenvalues Row 85  Eigenvalues Row 86  Eigenvalues Row 87  Eigenvalues Row 88  Eigenvalues Row 89  Eigenvalues Row 90  Eigenvalues Row 91  Eigenvalues Row 92  Eigenvalues Row 93  Eigenvalues Row 94  Eigenvalues Row 95  Eigenvalues Row 96  Eigenvalues Row 97  Eigenvalues Row 98  Eigenvalues Row 99  Eigenvalues Row 100  Eigenvalues Row 101  Eigenvalues Row 102  Eigenvalues Row 103  Eigenvalues Row 104  Eigenvalues Row 105  Eigenvalues Row 106  Eigenvalues Row 107  Eigenvalues Row 108  Eigenvalues Row 109  Eigenvalues Row 110  Eigenvalues Row 111  Eigenvalues Row 112  Eigenvalues Row 113  Eigenvalues Row 114  Eigenvalues Row 115  Eigenvalues Row 116  Eigenvalues Row 117  Eigenvalues Row 118  Eigenvalues Row 119  Eigenvalues Row 120  Eigenvalues Row 121  Eigenvalues Row 122  Eigenvalues Row 123  Eigenvalues Row 124  Eigenvalues Row 125  Eigenvalues Row 126  Eigenvalues Row 127  Eigenvalues Row 128  Eigenvalues Row 129  Eigenvalues Row 130  Eigenvalues Row 131  Eigenvalues Row 132  Eigenvalues Row 133  Eigenvalues Row 134  Eigenvalues Row 135  Eigenvalues Row 136  Eigenvalues Row 137  Eigenvalues Row 138  Eigenvalues Row 139  Eigenvalues Row 140  Eigenvalues Row 141  Eigenvalues Row 142  Eigenvalues Row 143  Eigenvalues Row 144  Eigenvalues Row 145  Eigenvalues Row 146  Eigenvalues Row 147  Eigenvalues Row 148  Eigenvalues Row 149  Eigenvalues Row 150  Eigenvalues Row 151  Eigenvalues Row 152  Eigenvalues Row 153  Eigenvalues Row 154  Eigenvalues Row 155  Eigenvalues Row 156  Eigenvalues Row 157  Eigenvalues Row 158  Eigenvalues Row 159  Eigenvalues Row 160  Eigenvalues Row 161  Eigenvalues Row 162  Eigenvalues Row 163  Eigenvalues Row 164  Eigenvalues Row 165  Eigenvalues Row 166  Eigenvalues Row 167  Eigenvalues Row 168  Eigenvalues Row 169  Eigenvalues Row 170  Eigenvalues Row 171  Eigenvalues Row 172  Eigenvalues Row 173  Eigenvalues Row 174  Eigenvalues Row 175  Eigenvalues Row 176  Eigenvalues Row 177  Eigenvalues Row 178  Eigenvalues Row 179  Eigenvalues Row 180  Eigenvalues Row 181  Eigenvalues Row 182  Eigenvalues Row 183  Eigenvalues Row 184  Eigenvalues Row 185  Eigenvalues Row 186  Eigenvalues Row 187  Eigenvalues Row 188  Eigenvalues Row 189  Eigenvalues Row 190
   0.000000                0.0       1.065814e-14       3.108624e-14           0.871285           0.871285           1.063544           1.063544           1.063544           1.063544            1.063544            1.063544            1.063544            1.063544            1.063544            1.291383            1.647871            1.647871            1.647871            1.647871            1.647871            1.647871            1.647871            1.647871            1.647871            2.073166            2.073166            2.073166            2.297602            2.297602            2.297602            2.716080            2.716080            2.716080            2.716080            2.716080            2.716080            2.716080            2.716080            2.716080            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.665426            3.665426            3.685474            3.685474            3.685474            4.446150            4.823359            4.823359            4.823359            4.825935            4.825935            4.825935            4.825935            4.825935            4.825935            4.825935            4.825935            4.825935            4.948095            4.948095            4.948095            4.948095            4.948095            4.948095            4.948095            4.948095            4.948095            4.965676            4.965676            4.965676            4.983592            4.983592            4.983592            5.724555            5.724555            5.724555            5.724555            5.724555            5.724555            5.724555            5.724555            5.724555            5.990755            5.990755            6.004142            6.004142            6.004142            6.004142            6.004142            6.004142             6.004142             6.004142             6.004142             6.004142             6.004142             6.004142             6.004142             6.004142             6.004142             6.004142             6.004142             6.004142             6.004142             6.004142             6.004142             6.237543             6.237543             6.237543             6.237543             6.237543             6.237543             6.237543             6.237543             6.237543             6.595440             6.595440             6.595440             6.833589             6.899402             6.899402             6.899402             6.899402             6.899402             6.899402             6.899402             6.899402             6.899402             7.000117             7.000117             7.000117             7.408535             7.408535             7.447120             7.447120             7.447120             9.770349            10.224633            10.224633            10.224633            10.284030            10.284030            10.780231            11.828099            11.828099            11.828099            11.828099            11.828099            11.828099            11.828099            11.828099            11.828099            11.842641            11.842641            11.842641            11.842641            11.842641            11.842641            11.842641            11.842641            11.842641            11.847290            11.847290            11.847290            11.853939            11.853939            11.853939            13.453482            13.453482            13.453482            13.453482            13.453482            13.453482            13.453482            13.453482            13.453482            13.459192            13.459192            13.459198            13.459198            13.459198            13.483323
  -0.003061                0.0       4.440892e-15       8.881784e-15           0.871285           0.871285           1.060778           1.060778           1.060778           1.064903            1.064903            1.064903            1.064903            1.064903            1.064903            1.291382            1.644488            1.644488            1.644488            1.649582            1.649582            1.649582            1.649582            1.649582            1.649582            2.070669            2.074346            2.074346            2.294985            2.298977            2.298977            2.711578            2.711578            2.711578            2.718331            2.718331            2.718331            2.718331            2.718331            2.718331            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.664889            3.664889            3.683839            3.683839            3.689768            4.446187            4.823359            4.823359            4.823359            4.823909            4.823909            4.823909            4.826899            4.826899            4.826899            4.826899            4.826899            4.826899            4.946854            4.946854            4.946854            4.948757            4.948757            4.948757            4.948757            4.948757            4.948757            4.964589            4.966085            4.966085            4.982615            4.984214            4.984214            5.723345            5.723345            5.723345            5.725156            5.725156            5.725156            5.725156            5.725156            5.725156            5.990713            5.990713            6.001080            6.001080            6.001080            6.001080            6.001080            6.001080             6.001080             6.001080             6.001080             6.001080             6.005639             6.005639             6.005639             6.005639             6.005639             6.005639             6.005711             6.005711             6.010264             6.010264             6.010264             6.235130             6.235130             6.235130             6.238784             6.238784             6.238784             6.238784             6.238784             6.238784             6.593875             6.596193             6.596193             6.833577             6.895989             6.895989             6.895989             6.901121             6.901121             6.901121             6.901121             6.901121             6.901121             6.997739             7.001330             7.001330             7.408306             7.408306             7.445474             7.445474             7.450907             9.770359            10.224633            10.224633            10.224633            10.284030            10.284030            10.780235            11.827979            11.827979            11.827979            11.828156            11.828156            11.828156            11.828156            11.828156            11.828156            11.842505            11.842505            11.842505            11.842712            11.842712            11.842712            11.842712            11.842712            11.842712            11.847149            11.847354            11.847354            11.853789            11.854022            11.854022            13.453262            13.453262            13.453262            13.453592            13.453592            13.453592            13.453592            13.453592            13.453592            13.458964            13.458964            13.459310            13.459310            13.459425            13.483329
  -0.006122                0.0       1.243450e-14       2.842171e-14           0.871285           0.871285           1.058012           1.058012           1.058012           1.066214            1.066214            1.066214            1.066214            1.066214            1.066214            1.291380            1.641101            1.641101            1.641101            1.651334            1.651334            1.651334            1.651334            1.651334            1.651334            2.068168            2.075388            2.075388            2.292367            2.300484            2.300484            2.707079            2.707079            2.707079            2.720583            2.720583            2.720583            2.720583            2.720583            2.720583            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.663223            3.663223            3.683324            3.683324            3.693981            4.446299            4.821879            4.821879            4.821879            4.823359            4.823359            4.823359            4.827766            4.827766            4.827766            4.827766            4.827766            4.827766            4.945612            4.945612            4.945612            4.949504            4.949504            4.949504            4.949504            4.949504            4.949504            4.963502            4.966234            4.966234            4.981636            4.985092            4.985092            5.722138            5.722138            5.722138            5.725746            5.725746            5.725746            5.725746            5.725746            5.725746            5.990603            5.990603            5.998019            5.998019            5.998019            5.998019            5.998019            5.998019             5.998019             5.998019             5.998019             5.998019             6.007069             6.007069             6.007069             6.007069             6.007069             6.007069             6.007343             6.007343             6.016386             6.016386             6.016386             6.232718             6.232718             6.232718             6.240097             6.240097             6.240097             6.240097             6.240097             6.240097             6.592294             6.596895             6.596895             6.833542             6.892579             6.892579             6.892579             6.902865             6.902865             6.902865             6.902865             6.902865             6.902865             6.995363             7.002591             7.002591             7.407586             7.407586             7.444342             7.444342             7.454714             9.770388            10.224633            10.224633            10.224633            10.284030            10.284030            10.780248            11.827860            11.827860            11.827860            11.828209            11.828209            11.828209            11.828209            11.828209            11.828209            11.842368            11.842368            11.842368            11.842788            11.842788            11.842788            11.842788            11.842788            11.842788            11.847008            11.847403            11.847403            11.853639            11.854119            11.854119            13.453042            13.453042            13.453042            13.453702            13.453702            13.453702            13.453702            13.453702            13.453702            13.458732            13.458732            13.459427            13.459427            13.459641            13.483348
  -0.009184                0.0       1.421085e-14       1.687539e-14           0.871285           0.871285           1.055245           1.055245           1.055245           1.067476            1.067476            1.067476            1.067476            1.067476            1.067476            1.291378            1.637712            1.637712            1.637712            1.653126            1.653126            1.653126            1.653126            1.653126            1.653126            2.065666            2.076295            2.076295            2.289749            2.302123            2.302123            2.702580            2.702580            2.702580            2.722835            2.722835            2.722835            2.722835            2.722835            2.722835            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.660597            3.660597            3.683759            3.683759            3.698114            4.446486            4.819846            4.819846            4.819846            4.823359            4.823359            4.823359            4.828536            4.828536            4.828536            4.828536            4.828536            4.828536            4.944368            4.944368            4.944368            4.950337            4.950337            4.950337            4.950337            4.950337            4.950337            4.962414            4.966152            4.966152            4.980658            4.986197            4.986197            5.720935            5.720935            5.720935            5.726326            5.726326            5.726326            5.726326            5.726326            5.726326            5.990445            5.990445            5.994958            5.994958            5.994958            5.994958            5.994958            5.994958             5.994958             5.994958             5.994958             5.994958             6.008432             6.008432             6.008432             6.008432             6.008432             6.008432             6.009016             6.009016             6.022509             6.022509             6.022509             6.230307             6.230307             6.230307             6.241480             6.241480             6.241480             6.241480             6.241480             6.241480             6.590696             6.597547             6.597547             6.833482             6.889171             6.889171             6.889171             6.904633             6.904633             6.904633             6.904633             6.904633             6.904633             6.992987             7.003901             7.003901             7.406358             7.406358             7.443744             7.443744             7.458538             9.770438            10.224633            10.224633            10.224633            10.284030            10.284030            10.780270            11.827741            11.827741            11.827741            11.828257            11.828257            11.828257            11.828257            11.828257            11.828257            11.842232            11.842232            11.842232            11.842870            11.842870            11.842870            11.842870            11.842870            11.842870            11.846867            11.847439            11.847439            11.853489            11.854230            11.854230            13.452823            13.452823            13.452823            13.453813            13.453813            13.453813            13.453813            13.453813            13.453813            13.458500            13.458500            13.459544            13.459544            13.459846            13.483378
  -0.012245                0.0       7.105427e-15       1.953993e-14           0.871285           0.871285           1.052478           1.052478           1.052478           1.068691            1.068691            1.068691            1.068691            1.068691            1.068691            1.291374            1.634320            1.634320            1.634320            1.654960            1.654960            1.654960            1.654960            1.654960            1.654960            2.063161            2.077066            2.077066            2.287129            2.303892            2.303892            2.698083            2.698083            2.698083            2.725087            2.725087            2.725087            2.725087            2.725087            2.725087            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.657329            3.657329            3.684827            3.684827            3.702164            4.446750            4.817809            4.817809            4.817809            4.823359            4.823359            4.823359            4.829210            4.829210            4.829210            4.829210            4.829210            4.829210            4.943123            4.943123            4.943123            4.951253            4.951253            4.951253            4.951253            4.951253            4.951253            4.961325            4.965877            4.965877            4.979678            4.987492            4.987492            5.719736            5.719736            5.719736            5.726894            5.726894            5.726894            5.726894            5.726894            5.726894            5.990251            5.990251            5.991897            5.991897            5.991897            5.991897            5.991897            5.991897             5.991897             5.991897             5.991897             5.991897             6.009729             6.009729             6.009729             6.009729             6.009729             6.009729             6.010719             6.010719             6.028631             6.028631             6.028631             6.227896             6.227896             6.227896             6.242934             6.242934             6.242934             6.242934             6.242934             6.242934             6.589084             6.598149             6.598149             6.833398             6.885766             6.885766             6.885766             6.906426             6.906426             6.906426             6.906426             6.906426             6.906426             6.990613             7.005257             7.005257             7.404646             7.404646             7.443655             7.443655             7.462381             9.770507            10.224633            10.224633            10.224633            10.284030            10.284030            10.780301            11.827621            11.827621            11.827621            11.828300            11.828300            11.828300            11.828300            11.828300            11.828300            11.842096            11.842096            11.842096            11.842957            11.842957            11.842957            11.842957            11.842957            11.842957            11.846727            11.847462            11.847462            11.853339            11.854356            11.854356            13.452603            13.452603            13.452603            13.453925            13.453925            13.453925            13.453925            13.453925            13.453925            13.458268            13.458268            13.459662            13.459662            13.460040            13.483422
  -0.015306                0.0       9.769963e-15       2.131628e-14           0.871284           0.871284           1.049710           1.049710           1.049710           1.069857            1.069857            1.069857            1.069857            1.069857            1.069857            1.291369            1.630924            1.630924            1.630924            1.656834            1.656834            1.656834            1.656834            1.656834            1.656834            2.060654            2.077705            2.077705            2.284509            2.305790            2.305790            2.693588            2.693588            2.693588            2.727339            2.727339            2.727339            2.727339            2.727339            2.727339            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.653674            3.653674            3.686272            3.686272            3.706131            4.447092            4.815769            4.815769            4.815769            4.823359            4.823359            4.823359            4.829789            4.829789            4.829789            4.829789            4.829789            4.829789            4.941876            4.941876            4.941876            4.952254            4.952254            4.952254            4.952254            4.952254            4.952254            4.960236            4.965448            4.965448            4.978699            4.988938            4.988938            5.718540            5.718540            5.718540            5.727452            5.727452            5.727452            5.727452            5.727452            5.727452            5.988835            5.988835            5.988835            5.988835            5.988835            5.988835            5.988835            5.988835             5.988835             5.988835             5.990031             5.990031             6.010960             6.010960             6.010960             6.010960             6.010960             6.010960             6.012443             6.012443             6.034754             6.034754             6.034754             6.225486             6.225486             6.225486             6.244459             6.244459             6.244459             6.244459             6.244459             6.244459             6.587458             6.598700             6.598700             6.833291             6.882363             6.882363             6.882363             6.908244             6.908244             6.908244             6.908244             6.908244             6.908244             6.988240             7.006659             7.006659             7.402509             7.402509             7.444018             7.444018             7.466239             9.770597            10.224633            10.224633            10.224633            10.284030            10.284030            10.780340            11.827502            11.827502            11.827502            11.828339            11.828339            11.828339            11.828339            11.828339            11.828339            11.841960            11.841960            11.841960            11.843049            11.843049            11.843049            11.843049            11.843049            11.843049            11.846586            11.847472            11.847472            11.853190            11.854495            11.854495            13.452384            13.452384            13.452384            13.454037            13.454037            13.454037            13.454037            13.454037            13.454037            13.458037            13.458037            13.459780            13.459780            13.460222            13.483479
  -0.018367                0.0       3.552714e-15       1.243450e-14           0.871284           0.871284           1.046942           1.046942           1.046942           1.070976            1.070976            1.070976            1.070976            1.070976            1.070976            1.291363            1.627526            1.627526            1.627526            1.658749            1.658749            1.658749            1.658749            1.658749            1.658749            2.058145            2.078213            2.078213            2.281889            2.307813            2.307813            2.689094            2.689094            2.689094            2.729592            2.729592            2.729592            2.729592            2.729592            2.729592            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.649786            3.649786            3.687940            3.687940            3.710013            4.447514            4.813725            4.813725            4.813725            4.823359            4.823359            4.823359            4.830274            4.830274            4.830274            4.830274            4.830274            4.830274            4.940627            4.940627            4.940627            4.953336            4.953336            4.953336            4.953336            4.953336            4.953336            4.959147            4.964899            4.964899            4.977718            4.990501            4.990501            5.717349            5.717349            5.717349            5.727999            5.727999            5.727999            5.727999            5.727999            5.727999            5.985774            5.985774            5.985774            5.985774            5.985774            5.985774            5.985774            5.985774             5.985774             5.985774             5.989791             5.989791             6.012125             6.012125             6.012125             6.012125             6.012125             6.012125             6.014181             6.014181             6.040876             6.040876             6.040876             6.223076             6.223076             6.223076             6.246053             6.246053             6.246053             6.246053             6.246053             6.246053             6.585818             6.599201             6.599201             6.833160             6.878963             6.878963             6.878963             6.910086             6.910086             6.910086             6.910086             6.910086             6.910086             6.985868             7.008108             7.008108             7.400018             7.400018             7.444761             7.444761             7.470114             9.770706            10.224633            10.224633            10.224633            10.284030            10.284030            10.780389            11.827383            11.827383            11.827383            11.828373            11.828373            11.828373            11.828373            11.828373            11.828373            11.841824            11.841824            11.841824            11.843146            11.843146            11.843146            11.843146            11.843146            11.843146            11.846446            11.847470            11.847470            11.853040            11.854647            11.854647            13.452165            13.452165            13.452165            13.454149            13.454149            13.454149            13.454149            13.454149            13.454149            13.457806            13.457806            13.459899            13.459899            13.460392            13.483549
  -0.021429                0.0       7.993606e-15       3.375078e-14           0.871284           0.871284           1.044174           1.044174           1.044174           1.072047            1.072047            1.072047            1.072047            1.072047            1.072047            1.291356            1.624124            1.624124            1.624124            1.660704            1.660704            1.660704            1.660704            1.660704            1.660704            2.055633            2.078593            2.078593            2.279267            2.309959            2.309959            2.684602            2.684602            2.684602            2.731845            2.731845            2.731845            2.731845            2.731845            2.731845            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.645754            3.645754            3.689743            3.689743            3.713809            4.448016            4.811678            4.811678            4.811678            4.823359            4.823359            4.823359            4.830666            4.830666            4.830666            4.830666            4.830666            4.830666            4.939377            4.939377            4.939377            4.954499            4.954499            4.954499            4.954499            4.954499            4.954499            4.958058            4.964256            4.964256            4.976738            4.992154            4.992154            5.716161            5.716161            5.716161            5.728535            5.728535            5.728535            5.728535            5.728535            5.728535            5.982713            5.982713            5.982713            5.982713            5.982713            5.982713            5.982713            5.982713             5.982713             5.982713             5.989535             5.989535             6.013225             6.013225             6.013225             6.013225             6.013225             6.013225             6.015928             6.015928             6.046999             6.046999             6.046999             6.220667             6.220667             6.220667             6.247716             6.247716             6.247716             6.247716             6.247716             6.247716             6.584165             6.599654             6.599654             6.833005             6.875565             6.875565             6.875565             6.911952             6.911952             6.911952             6.911952             6.911952             6.911952             6.983497             7.009601             7.009601             7.397248             7.397248             7.445810             7.445810             7.474004             9.770836            10.224633            10.224633            10.224633            10.284030            10.284030            10.780446            11.827264            11.827264            11.827264            11.828403            11.828403            11.828403            11.828403            11.828403            11.828403            11.841688            11.841688            11.841688            11.843248            11.843248            11.843248            11.843248            11.843248            11.843248            11.846306            11.847456            11.847456            11.852891            11.854810            11.854810            13.451947            13.451947            13.451947            13.454262            13.454262            13.454262            13.454262            13.454262            13.454262            13.457575            13.457575            13.460018            13.460018            13.460551            13.483633
  -0.024490                0.0       2.664535e-15       1.687539e-14           0.871283           0.871283           1.041405           1.041405           1.041405           1.073071            1.073071            1.073071            1.073071            1.073071            1.073071            1.291348            1.620719            1.620719            1.620719            1.662699            1.662699            1.662699            1.662699            1.662699            1.662699            2.053119            2.078848            2.078848            2.276645            2.312226            2.312226            2.680112            2.680112            2.680112            2.734098            2.734098            2.734098            2.734098            2.734098            2.734098            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.641627            3.641627            3.691630            3.691630            3.717518            4.448599            4.809627            4.809627            4.809627            4.823359            4.823359            4.823359            4.830968            4.830968            4.830968            4.830968            4.830968            4.830968            4.938125            4.938125            4.938125            4.955741            4.955741            4.955741            4.955741            4.955741            4.955741            4.956968            4.963542            4.963542            4.975756            4.993876            4.993876            5.714976            5.714976            5.714976            5.729060            5.729060            5.729060            5.729060            5.729060            5.729060            5.979652            5.979652            5.979652            5.979652            5.979652            5.979652            5.979652            5.979652             5.979652             5.979652             5.989267             5.989267             6.014261             6.014261             6.014261             6.014261             6.014261             6.014261             6.017682             6.017682             6.053121             6.053121             6.053121             6.218258             6.218258             6.218258             6.249448             6.249448             6.249448             6.249448             6.249448             6.249448             6.582500             6.600056             6.600056             6.832826             6.872169             6.872169             6.872169             6.913843             6.913843             6.913843             6.913843             6.913843             6.913843             6.981127             7.011137             7.011137             7.394261             7.394261             7.447103             7.447103             7.477908             9.770987            10.224633            10.224633            10.224633            10.284030            10.284030            10.780512            11.827146            11.827146            11.827146            11.828428            11.828428            11.828428            11.828428            11.828428            11.828428            11.841553            11.841553            11.841553            11.843356            11.843356            11.843356            11.843356            11.843356            11.843356            11.846166            11.847433            11.847433            11.852742            11.854985            11.854985            13.451728            13.451728            13.451728            13.454375            13.454375            13.454375            13.454375            13.454375            13.454375            13.457345            13.457345            13.460137            13.460137            13.460697            13.483731
  -0.027551                0.0       1.776357e-15       4.440892e-14           0.871283           0.871283           1.038636           1.038636           1.038636           1.074047            1.074047            1.074047            1.074047            1.074047            1.074047            1.291338            1.617311            1.617311            1.617311            1.664734            1.664734            1.664734            1.664734            1.664734            1.664734            2.050604            2.078982            2.078982            2.274022            2.314610            2.314610            2.675623            2.675623            2.675623            2.736351            2.736351            2.736351            2.736351            2.736351            2.736351            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.614142            3.637437            3.637437            3.693571            3.693571            3.721140            4.449265            4.807573            4.807573            4.807573            4.823359            4.823359            4.823359            4.831183            4.831183            4.831183            4.831183            4.831183            4.831183            4.936871            4.936871            4.936871            4.955878            4.957058            4.957058            4.957058            4.957058            4.957058            4.957058            4.962771            4.962771            4.974774            4.995650            4.995650            5.713795            5.713795            5.713795            5.729574            5.729574            5.729574            5.729574            5.729574            5.729574            5.976591            5.976591            5.976591            5.976591            5.976591            5.976591            5.976591            5.976591             5.976591             5.976591             5.988989             5.988989             6.015233             6.015233             6.015233             6.015233             6.015233             6.015233             6.019440             6.019440             6.059244             6.059244             6.059244             6.215849             6.215849             6.215849             6.251248             6.251248             6.251248             6.251248             6.251248             6.251248             6.580823             6.600411             6.600411             6.832624             6.868776             6.868776             6.868776             6.915758             6.915758             6.915758             6.915758             6.915758             6.915758             6.978759             7.012717             7.012717             7.391110             7.391110             7.448589             7.448589             7.481826             9.771158            10.224633            10.224633            10.224633            10.284030            10.284030            10.780588            11.827027            11.827027            11.827027            11.828448            11.828448            11.828448            11.828448            11.828448            11.828448            11.841417            11.841417            11.841417            11.843468            11.843468            11.843468            11.843468            11.843468            11.843468            11.846026            11.847399            11.847399            11.852593            11.855171            11.855171            13.451510            13.451510            13.451510            13.454489            13.454489            13.454489            13.454489            13.454489            13.454489            13.457115            13.457115            13.460257            13.460257            13.460830            13.483843
