 delta (eV)  Eigenvalues Row 1  Eigenvalues Row 2  Eigenvalues Row 3  Eigenvalues Row 4  Eigenvalues Row 5  Eigenvalues Row 6  Eigenvalues Row 7  Eigenvalues Row 8  Eigenvalues Row 9  Eigenvalues Row 10  Eigenvalues Row 11  Eigenvalues Row 12  Eigenvalues Row 13  Eigenvalues Row 14  Eigenvalues Row 15  Eigenvalues Row 16  Eigenvalues Row 17  Eigenvalues Row 18  Eigenvalues Row 19  Eigenvalues Row 20  Eigenvalues Row 21  Eigenvalues Row 22  Eigenvalues Row 23  Eigenvalues Row 24  Eigenvalues Row 25  Eigenvalues Row 26  Eigenvalues Row 27  Eigenvalues Row 28  Eigenvalues Row 29  Eigenvalues Row 30  Eigenvalues Row 31  Eigenvalues Row 32  Eigenvalues Row 33  Eigenvalues Row 34  Eigenvalues Row 35  Eigenvalues Row 36  Eigenvalues Row 37  Eigenvalues Row 38  Eigenvalues Row 39  Eigenvalues Row 40  Eigenvalues Row 41  Eigenvalues Row 42  Eigenvalues Row 43  Eigenvalues Row 44  Eigenvalues Row 45  Eigenvalues Row 46  Eigenvalues Row 47  Eigenvalues Row 48  Eigenvalues Row 49  Eigenvalues Row 50  Eigenvalues Row 51  Eigenvalues Row 52  Eigenvalues Row 53  Eigenvalues Row 54  Eigenvalues Row 55  Eigenvalues Row 56  Eigenvalues Row 57  Eigenvalues Row 58  Eigenvalues Row 59  Eigenvalues Row 60  Eigenvalues Row 61  Eigenvalues Row 62  Eigenvalues Row 63  Eigenvalues Row 64  Eigenvalues Row 65  Eigenvalues Row 66  Eigenvalues Row 67  Eigenvalues Row 68  Eigenvalues Row 69  Eigenvalues Row 70  Eigenvalues Row 71  Eigenvalues Row 72  Eigenvalues Row 73  Eigenvalues Row 74  Eigenvalues Row 75  Eigenvalues Row 76  Eigenvalues Row 77  Eigenvalues Row 78  Eigenvalues Row 79  Eigenvalues Row 80  Eigenvalues Row 81  Eigenvalues Row 82  Eigenvalues Row 83  Eigenvalues Row 84  Eigenvalues Row 85  Eigenvalues Row 86  Eigenvalues Row 87  Eigenvalues Row 88  Eigenvalues Row 89  Eigenvalues Row 90  Eigenvalues Row 91  Eigenvalues Row 92  Eigenvalues Row 93  Eigenvalues Row 94  Eigenvalues Row 95  Eigenvalues Row 96  Eigenvalues Row 97  Eigenvalues Row 98  Eigenvalues Row 99  Eigenvalues Row 100  Eigenvalues Row 101  Eigenvalues Row 102  Eigenvalues Row 103  Eigenvalues Row 104  Eigenvalues Row 105  Eigenvalues Row 106  Eigenvalues Row 107  Eigenvalues Row 108  Eigenvalues Row 109  Eigenvalues Row 110  Eigenvalues Row 111  Eigenvalues Row 112  Eigenvalues Row 113  Eigenvalues Row 114  Eigenvalues Row 115  Eigenvalues Row 116  Eigenvalues Row 117  Eigenvalues Row 118  Eigenvalues Row 119  Eigenvalues Row 120  Eigenvalues Row 121  Eigenvalues Row 122  Eigenvalues Row 123  Eigenvalues Row 124  Eigenvalues Row 125  Eigenvalues Row 126  Eigenvalues Row 127  Eigenvalues Row 128  Eigenvalues Row 129  Eigenvalues Row 130  Eigenvalues Row 131  Eigenvalues Row 132  Eigenvalues Row 133  Eigenvalues Row 134  Eigenvalues Row 135  Eigenvalues Row 136  Eigenvalues Row 137  Eigenvalues Row 138  Eigenvalues Row 139  Eigenvalues Row 140  Eigenvalues Row 141  Eigenvalues Row 142  Eigenvalues Row 143  Eigenvalues Row 144  Eigenvalues Row 145  Eigenvalues Row 146  Eigenvalues Row 147  Eigenvalues Row 148  Eigenvalues Row 149  Eigenvalues Row 150  Eigenvalues Row 151  Eigenvalues Row 152  Eigenvalues Row 153  Eigenvalues Row 154  Eigenvalues Row 155  Eigenvalues Row 156  Eigenvalues Row 157  Eigenvalues Row 158  Eigenvalues Row 159  Eigenvalues Row 160  Eigenvalues Row 161  Eigenvalues Row 162  Eigenvalues Row 163  Eigenvalues Row 164  Eigenvalues Row 165  Eigenvalues Row 166  Eigenvalues Row 167  Eigenvalues Row 168  Eigenvalues Row 169  Eigenvalues Row 170  Eigenvalues Row 171  Eigenvalues Row 172  Eigenvalues Row 173  Eigenvalues Row 174  Eigenvalues Row 175  Eigenvalues Row 176  Eigenvalues Row 177  Eigenvalues Row 178  Eigenvalues Row 179  Eigenvalues Row 180  Eigenvalues Row 181  Eigenvalues Row 182  Eigenvalues Row 183  Eigenvalues Row 184  Eigenvalues Row 185  Eigenvalues Row 186  Eigenvalues Row 187  Eigenvalues Row 188  Eigenvalues Row 189  Eigenvalues Row 190
   0.000000                0.0       7.105427e-15       1.598721e-14           0.850224           0.850224           1.046822           1.046822           1.046822           1.060581            1.060581            1.091414            1.091414            1.091414            1.110220            1.281115            1.629533            1.638064            1.638064            1.638064            1.681262            1.681262            1.681262            1.696093            1.696093            2.075000            2.075000            2.075000            2.307756            2.307756            2.307756            2.719752            2.722078            2.722078            2.722078            2.731536            2.731536            2.738143            2.738143            2.738143            3.620695            3.623159            3.623159            3.623159            3.623475            3.623475            3.623475            3.625561            3.625561            3.625561            3.675774            3.675774            3.696498            3.696498            3.696498            4.456274            4.775432            4.775432            4.775432            4.815802            4.815802            4.818219            4.818219            4.818219            4.865192            4.887880            4.887880            4.887880            4.943769            4.943769            4.943769            4.952557            4.952557            4.967901            4.967901            4.967901            4.985722            4.992077            4.992077            4.992077            4.994423            4.994423            4.994423            5.704343            5.704343            5.711992            5.711992            5.711992            5.735809            5.735809            5.735809            5.737275            5.931732            5.931732            5.931732            5.987820            5.987820            5.992230            5.992230            5.992230             5.995347             5.995347             5.995347             6.000695             6.000695             6.053950             6.053950             6.053950             6.059051             6.059051             6.059051             6.066113             6.066113             6.066113             6.074563             6.194106             6.238519             6.238519             6.238519             6.283976             6.283976             6.283976             6.294670             6.294670             6.583727             6.583727             6.583727             6.850090             6.902675             6.902675             6.923791             6.923791             6.923791             6.926565             6.926565             6.926565             6.938128             7.018514             7.018514             7.018514             7.425801             7.425801             7.463248             7.463248             7.463248             9.785227            10.235591            10.235591            10.235591            10.295066            10.295066            10.794869            11.837699            11.837699            11.837760            11.837760            11.837760            11.839483            11.839483            11.839483            11.840517            11.851768            11.851768            11.851768            11.852853            11.852853            11.854499            11.854499            11.854499            11.856081            11.859014            11.859014            11.859014            11.865052            11.865052            11.865052            13.460555            13.462727            13.462727            13.462727            13.464740            13.464740            13.464740            13.464776            13.464776            13.470784            13.470784            13.470829            13.470829            13.470829            13.494867
  -0.003061                0.0       1.243450e-14       1.352666e-05           0.850225           0.850225           1.045743           1.047243           1.047243           1.060519            1.060519            1.090682            1.090682            1.093081            1.110283            1.281121            1.629465            1.637317            1.637317            1.639372            1.679352            1.682199            1.682199            1.696316            1.696316            2.072516            2.076184            2.076184            2.305177            2.309114            2.309114            2.719162            2.720015            2.720015            2.724342            2.732067            2.732067            2.736511            2.739676            2.739676            3.620700            3.623157            3.623167            3.623167            3.623453            3.623453            3.623523            3.625565            3.625565            3.625566            3.675275            3.675275            3.694872            3.694872            3.700733            4.456315            4.775157            4.775157            4.775914            4.815708            4.815708            4.817454            4.818613            4.818613            4.865218            4.887465            4.887465            4.888677            4.942584            4.944346            4.944346            4.952573            4.952573            4.967883            4.967883            4.968128            4.985706            4.991347            4.991939            4.991939            4.993600            4.995407            4.995407            5.704311            5.704311            5.711456            5.712246            5.712246            5.735502            5.735502            5.736484            5.737309            5.931602            5.931602            5.931607            5.987795            5.987795            5.991516            5.991516            5.993171             5.994693             5.994693             5.996290             6.000908             6.000908             6.053161             6.054215             6.054215             6.056168             6.060395             6.060395             6.063601             6.067712             6.067712             6.075109             6.194100             6.237779             6.237779             6.239981             6.283072             6.284470             6.284470             6.294764             6.294764             6.582165             6.584489             6.584489             6.850082             6.902440             6.902440             6.921787             6.924062             6.924062             6.926608             6.926608             6.928140             6.938480             7.016336             7.019651             7.019651             7.425570             7.425570             7.461610             7.461610             7.467043             9.785241            10.235596            10.235596            10.235596            10.295070            10.295070            10.794878            11.837690            11.837690            11.837720            11.837791            11.837791            11.839450            11.839450            11.839568            11.840523            11.851670            11.851820            11.851820            11.852859            11.852859            11.854489            11.854489            11.854549            11.856088            11.858888            11.859078            11.859078            11.864911            11.865136            11.865136            13.460553            13.462665            13.462665            13.462843            13.464692            13.464746            13.464746            13.464816            13.464816            13.470638            13.470638            13.470897            13.470897            13.471012            13.494878
  -0.006122                0.0       9.769963e-15       2.702883e-05           0.850220           0.850220           1.044506           1.047472           1.047472           1.060353            1.060353            1.090161            1.090161            1.094695            1.110455            1.281131            1.629236            1.636345            1.636345            1.640722            1.677640            1.683014            1.683014            1.696959            1.696959            2.070030            2.077239            2.077239            2.302598            2.310596            2.310596            2.716689            2.716689            2.717326            2.726607            2.733467            2.733467            2.736129            2.741609            2.741609            3.620705            3.623155            3.623175            3.623175            3.623425            3.623425            3.623564            3.625570            3.625570            3.625572            3.673710            3.673710            3.694309            3.694309            3.704895            4.456430            4.774817            4.774817            4.776362            4.815480            4.815480            4.816560            4.819028            4.819028            4.865276            4.887031            4.887031            4.889417            4.941401            4.944849            4.944849            4.952633            4.952633            4.968018            4.968018            4.968413            4.985607            4.990774            4.991314            4.991314            4.992802            4.996922            4.996922            5.704205            5.704205            5.710849            5.712501            5.712501            5.735244            5.735244            5.737147            5.737399            5.931215            5.931215            5.931233            5.987713            5.987713            5.990438            5.990438            5.993666             5.993666             5.994031             5.997144             6.001499             6.001499             6.051822             6.053294             6.054551             6.054551             6.060942             6.061463             6.061463             6.070069             6.070069             6.076622             6.194065             6.236965             6.236965             6.241526             6.282275             6.284992             6.284992             6.295033             6.295033             6.580588             6.585206             6.585206             6.850051             6.901688             6.901688             6.919291             6.923781             6.923781             6.927745             6.927745             6.929721             6.939352             7.014177             7.020859             7.020859             7.424834             7.424834             7.460501             7.460501             7.470858             9.785275            10.235601            10.235601            10.235601            10.295075            10.295075            10.794896            11.837663            11.837663            11.837673            11.837825            11.837825            11.839423            11.839423            11.839649            11.840533            11.851571            11.851865            11.851865            11.852867            11.852867            11.854492            11.854492            11.854604            11.856100            11.858764            11.859131            11.859131            11.864771            11.865236            11.865236            13.460539            13.462580            13.462580            13.462960            13.464652            13.464756            13.464756            13.464870            13.464870            13.470472            13.470472            13.470996            13.470996            13.471189            13.494900
  -0.009184                0.0       1.598721e-14       4.050777e-05           0.850208           0.850208           1.043123           1.047470           1.047470           1.060136            1.060136            1.089837            1.089837            1.096256            1.110722            1.281143            1.628822            1.635149            1.635149            1.642114            1.676150            1.683760            1.683760            1.697970            1.697970            2.067541            2.078166            2.078166            2.300018            2.312201            2.312201            2.712812            2.712812            2.714486            2.728873            2.735282            2.735282            2.736754            2.743679            2.743679            3.620709            3.623153            3.623182            3.623182            3.623388            3.623388            3.623601            3.625575            3.625575            3.625577            3.671223            3.671223            3.694668            3.694668            3.708981            4.456621            4.774415            4.774415            4.776779            4.815174            4.815174            4.815548            4.819410            4.819410            4.865354            4.886577            4.886577            4.890097            4.940219            4.945228            4.945228            4.952775            4.952775            4.968315            4.968315            4.968752            4.985362            4.990426            4.990592            4.990592            4.992033            4.998577            4.998577            5.704024            5.704024            5.710177            5.712758            5.712758            5.735035            5.735035            5.737536            5.737800            5.930594            5.930594            5.930630            5.987563            5.987563            5.989106            5.989106            5.992329             5.992329             5.994809             5.997908             6.002340             6.002340             6.050078             6.050428             6.054977             6.054977             6.058190             6.062319             6.062319             6.073044             6.073044             6.078888             6.193997             6.236074             6.236074             6.243153             6.281591             6.285553             6.285553             6.295469             6.295469             6.578995             6.585880             6.585880             6.849996             6.900417             6.900417             6.916507             6.923785             6.923785             6.929142             6.929142             6.931305             6.940538             7.012040             7.022136             7.022136             7.423577             7.423577             7.459939             7.459939             7.474691             9.785329            10.235606            10.235606            10.235606            10.295080            10.295080            10.794923            11.837619            11.837624            11.837624            11.837857            11.837857            11.839401            11.839401            11.839725            11.840545            11.851472            11.851898            11.851898            11.852882            11.852882            11.854508            11.854508            11.854663            11.856116            11.858642            11.859173            11.859173            11.864631            11.865350            11.865350            13.460512            13.462475            13.462475            13.463077            13.464621            13.464783            13.464783            13.464918            13.464918            13.470311            13.470311            13.471097            13.471097            13.471361            13.494935
  -0.012245                0.0       1.065814e-14       5.396470e-05           0.850189           0.850189           1.041608           1.047198           1.047198           1.059927            1.059927            1.089690            1.089690            1.097764            1.111071            1.281159            1.628205            1.633734            1.633734            1.643547            1.674903            1.684497            1.684497            1.699283            1.699283            2.065050            2.078966            2.078966            2.297438            2.313928            2.313928            2.708691            2.708691            2.711025            2.731141            2.737282            2.737282            2.738004            2.745812            2.745812            3.620714            3.623152            3.623190            3.623190            3.623340            3.623340            3.623634            3.625580            3.625580            3.625583            3.668104            3.668104            3.695661            3.695661            3.712990            4.456887            4.773953            4.773953            4.777165            4.814431            4.814817            4.814817            4.819733            4.819733            4.865438            4.886102            4.886102            4.890714            4.939039            4.945435            4.945435            4.953045            4.953045            4.968772            4.968772            4.969137            4.984928            4.989856            4.989856            4.990344            4.991301            5.000288            5.000288            5.703769            5.703769            5.709447            5.713019            5.713019            5.734872            5.734872            5.737716            5.738442            5.929759            5.929759            5.929817            5.987236            5.987236            5.987666            5.987666            5.990789             5.990789             5.995505             5.998582             6.003322             6.003322             6.047573             6.048062             6.055384             6.055491             6.055491             6.063077             6.063077             6.076469             6.076469             6.081716             6.193886             6.235107             6.235107             6.244860             6.281026             6.286165             6.286165             6.296059             6.296059             6.577389             6.586510             6.586510             6.849917             6.898690             6.898690             6.913556             6.924199             6.924199             6.930614             6.930614             6.932889             6.941919             7.009927             7.023481             7.023481             7.421827             7.421827             7.459895             7.459895             7.478541             9.785403            10.235611            10.235611            10.235611            10.295085            10.295085            10.794959            11.837559            11.837576            11.837576            11.837885            11.837885            11.839384            11.839384            11.839797            11.840559            11.851371            11.851917            11.851917            11.852906            11.852906            11.854538            11.854538            11.854728            11.856136            11.858523            11.859203            11.859203            11.864493            11.865479            11.865479            13.460472            13.462354            13.462354            13.463195            13.464601            13.464826            13.464826            13.464961            13.464961            13.470157            13.470157            13.471201            13.471201            13.471525            13.494983
  -0.015306                0.0       1.598721e-14       6.740088e-05           0.850164           0.850164           1.039974           1.046631           1.046631           1.059777            1.059777            1.089695            1.089695            1.099218            1.111490            1.281178            1.627368            1.632112            1.632112            1.645023            1.673914            1.685279            1.685279            1.700832            1.700832            2.062556            2.079641            2.079641            2.294858            2.315775            2.315775            2.704450            2.704450            2.707211            2.733409            2.739373            2.739373            2.739609            2.747976            2.747976            3.620719            3.623150            3.623194            3.623194            3.623282            3.623282            3.623664            3.625585            3.625585            3.625589            3.664599            3.664599            3.697044            3.697044            3.716919            4.457231            4.773431            4.773431            4.777522            4.813220            4.814424            4.814424            4.819988            4.819988            4.865517            4.885606            4.885606            4.891268            4.937861            4.945434            4.945434            4.953475            4.953475            4.969387            4.969387            4.969562            4.984315            4.989133            4.989133            4.990521            4.990614            5.002033            5.002033            5.703442            5.703442            5.708666            5.713285            5.713285            5.734752            5.734752            5.737930            5.739072            5.928732            5.928732            5.928812            5.985794            5.985794            5.986992            5.986992            5.989210             5.989210             5.996117             5.999164             6.004380             6.004380             6.044731             6.045870             6.052546             6.056083             6.056083             6.063806             6.063806             6.080230             6.080230             6.084971             6.193727             6.234065             6.234065             6.246646             6.280586             6.286841             6.286841             6.296791             6.296791             6.575769             6.587096             6.587096             6.849815             6.896599             6.896599             6.910504             6.924970             6.924970             6.932122             6.932122             6.934469             6.943428             7.007844             7.024891             7.024891             7.419648             7.419648             7.460307             7.460307             7.482408             9.785497            10.235616            10.235616            10.235616            10.295091            10.295091            10.795004            11.837493            11.837520            11.837520            11.837910            11.837910            11.839370            11.839370            11.839865            11.840574            11.851270            11.851919            11.851919            11.852942            11.852942            11.854581            11.854581            11.854798            11.856159            11.858407            11.859223            11.859223            11.864354            11.865621            11.865621            13.460419            13.462218            13.462218            13.463313            13.464591            13.464882            13.464882            13.464997            13.464997            13.470012            13.470012            13.471306            13.471306            13.471681            13.495043
  -0.018367                0.0       1.332268e-14       8.081751e-05           0.850133           0.850133           1.038233           1.045767           1.045767           1.059716            1.059716            1.089825            1.089825            1.100619            1.111966            1.281201            1.626302            1.630297            1.630297            1.646540            1.673192            1.686143            1.686143            1.702564            1.702564            2.060060            2.080192            2.080192            2.292277            2.317740            2.317740            2.700142            2.700142            2.703196            2.735679            2.741420            2.741516            2.741516            2.750159            2.750159            3.620724            3.623149            3.623176            3.623176            3.623229            3.623229            3.623690            3.625590            3.625590            3.625595            3.660868            3.660868            3.698662            3.698662            3.720768            4.457654            4.772851            4.772851            4.777849            4.811926            4.814001            4.814001            4.820170            4.820170            4.865580            4.885089            4.885089            4.891756            4.936684            4.945220            4.945220            4.954069            4.954069            4.970013            4.970150            4.970150            4.983567            4.988438            4.988438            4.989983            4.990911            5.003800            5.003800            5.703048            5.703048            5.707839            5.713555            5.713555            5.734672            5.734672            5.738173            5.739692            5.927532            5.927532            5.927634            5.983961            5.983961            5.986013            5.986013            5.988006             5.988006             5.996645             5.999654             6.005477             6.005477             6.041905             6.043563             6.049693             6.056741             6.056741             6.064539             6.064539             6.084254             6.084254             6.088559             6.193511             6.232950             6.232950             6.248510             6.280277             6.287592             6.287592             6.297652             6.297652             6.574136             6.587638             6.587638             6.849689             6.894238             6.894238             6.907389             6.926018             6.926018             6.933655             6.933655             6.936040             6.945029             7.005793             7.026364             7.026364             7.417115             7.417115             7.461098             7.461098             7.486290             9.785611            10.235621            10.235621            10.235621            10.295096            10.295096            10.795058            11.837423            11.837457            11.837457            11.837930            11.837930            11.839360            11.839360            11.839928            11.840590            11.851168            11.851904            11.851904            11.852993            11.852993            11.854636            11.854636            11.854873            11.856186            11.858295            11.859233            11.859233            11.864217            11.865776            11.865776            13.460353            13.462071            13.462071            13.463432            13.464592            13.464948            13.464948            13.465026            13.465026            13.469875            13.469875            13.471413            13.471413            13.471829            13.495117
  -0.021429                0.0       1.509903e-14       9.421582e-05           0.850094           0.850094           1.036397           1.044623           1.044623           1.059750            1.059750            1.090055            1.090055            1.101966            1.112488            1.281226            1.625006            1.628308            1.628308            1.648099            1.672738            1.687113            1.687113            1.704439            1.704439            2.057563            2.080622            2.080622            2.289696            2.319822            2.319822            2.695794            2.695794            2.699058            2.737949            2.743355            2.743690            2.743690            2.752355            2.752355            3.620729            3.623085            3.623085            3.623148            3.623224            3.623224            3.623715            3.625596            3.625596            3.625601            3.657008            3.657008            3.700425            3.700425            3.724534            4.458156            4.772215            4.772215            4.778149            4.810558            4.813554            4.813554            4.820278            4.820278            4.865619            4.884550            4.884550            4.892178            4.935509            4.944817            4.944817            4.954805            4.954805            4.970477            4.971051            4.971051            4.982730            4.987780            4.987780            4.989423            4.991472            5.005585            5.005585            5.702590            5.702590            5.706973            5.713828            5.713828            5.734629            5.734629            5.738440            5.740300            5.926178            5.926178            5.926298            5.981995            5.981995            5.984289            5.984289            5.987407             5.987407             5.997085             6.000054             6.006590             6.006590             6.039098             6.041179             6.046834             6.057454             6.057454             6.065289             6.065289             6.088494             6.088494             6.092417             6.193234             6.231766             6.231766             6.250451             6.280103             6.288427             6.288427             6.298630             6.298630             6.572490             6.588136             6.588136             6.849539             6.891680             6.891680             6.904233             6.927275             6.927275             6.935207             6.935207             6.937598             6.946698             7.003781             7.027898             7.027898             7.414307             7.414307             7.462192             7.462192             7.490188             9.785746            10.235627            10.235627            10.235627            10.295102            10.295102            10.795121            11.837349            11.837388            11.837388            11.837947            11.837947            11.839351            11.839351            11.839987            11.840606            11.851065            11.851871            11.851871            11.853057            11.853057            11.854702            11.854702            11.854953            11.856213            11.858188            11.859235            11.859235            11.864080            11.865943            11.865943            13.460275            13.461915            13.461915            13.463551            13.464604            13.465016            13.465016            13.465053            13.465053            13.469749            13.469749            13.471523            13.471523            13.471968            13.495204
  -0.024490                0.0       1.509903e-14       1.075970e-04           0.850050           0.850050           1.034474           1.043236           1.043236           1.059869            1.059869            1.090362            1.090362            1.103259            1.113045            1.281255            1.623487            1.626161            1.626161            1.649699            1.672546            1.688199            1.688199            1.706428            1.706428            2.055062            2.080934            2.080934            2.287115            2.322016            2.322016            2.691419            2.691419            2.694844            2.740221            2.745371            2.745884            2.745884            2.754559            2.754559            3.620734            3.622950            3.622950            3.623146            3.623230            3.623230            3.623737            3.625601            3.625601            3.625608            3.653080            3.653080            3.702280            3.702280            3.728217            4.458739            4.771524            4.771524            4.778422            4.809124            4.813086            4.813086            4.820312            4.820312            4.865627            4.883990            4.883990            4.892534            4.934336            4.944257            4.944257            4.955647            4.955647            4.970934            4.972079            4.972079            4.981834            4.987171            4.987171            4.988952            4.992169            5.007385            5.007385            5.702072            5.702072            5.706071            5.714103            5.714103            5.734619            5.734619            5.738726            5.740897            5.924684            5.924684            5.924820            5.979922            5.979922            5.982218            5.982218            5.987030             5.987030             5.997437             6.000362             6.007708             6.007708             6.036314             6.038743             6.043979             6.058211             6.058211             6.066058             6.066058             6.092915             6.092915             6.096498             6.192889             6.230516             6.230516             6.252467             6.280069             6.289353             6.289353             6.299715             6.299715             6.570833             6.588592             6.588592             6.849367             6.888979             6.888979             6.901048             6.928690             6.928690             6.936778             6.936778             6.939135             6.948422             7.001815             7.029492             7.029492             7.411287             7.411287             7.463525             7.463525             7.494100             9.785901            10.235633            10.235633            10.235633            10.295107            10.295107            10.795194            11.837272            11.837313            11.837313            11.837960            11.837960            11.839343            11.839343            11.840042            11.840620            11.850961            11.851824            11.851824            11.853134            11.853134            11.854779            11.854779            11.855037            11.856241            11.858087            11.859228            11.859228            11.863944            11.866122            11.866122            13.460185            13.461752            13.461752            13.463671            13.464626            13.465043            13.465043            13.465118            13.465118            13.469634            13.469634            13.471633            13.471633            13.472097            13.495304
  -0.027551                0.0       1.243450e-14       1.209623e-04           0.849999           0.849999           1.032476           1.041645           1.041645           1.060052            1.060052            1.090726            1.090726            1.104499            1.113628            1.281287            1.621758            1.623876            1.623876            1.651342            1.672603            1.689402            1.689402            1.708510            1.708510            2.052560            2.081130            2.081130            2.284534            2.324321            2.324321            2.687028            2.687028            2.690579            2.742493            2.747441            2.748093            2.748093            2.756769            2.756769            3.620739            3.622765            3.622765            3.623146            3.623238            3.623238            3.623757            3.625607            3.625607            3.625615            3.649133            3.649133            3.704194            3.704194            3.731814            4.459403            4.770781            4.770781            4.778668            4.807632            4.812600            4.812600            4.820274            4.820274            4.865597            4.883410            4.883410            4.892822            4.933163            4.943573            4.943573            4.956558            4.956558            4.971362            4.973224            4.973224            4.980902            4.986621            4.986621            4.988590            4.992983            5.009196            5.009196            5.701501            5.701501            5.705139            5.714379            5.714379            5.734638            5.734638            5.739027            5.741482            5.923067            5.923067            5.923215            5.977757            5.977757            5.979992            5.979992            5.986702             5.986702             5.997696             6.000578             6.008819             6.008819             6.033558             6.036267             6.041136             6.059003             6.059003             6.066846             6.066846             6.097490             6.097490             6.100768             6.192472             6.229204             6.229204             6.254557             6.280178             6.290374             6.290374             6.300897             6.300897             6.569164             6.589004             6.589004             6.849171             6.886174             6.886174             6.897844             6.930227             6.930227             6.938366             6.938366             6.940644             6.950193             6.999902             7.031143             7.031143             7.408106             7.408106             7.465046             7.465046             7.498025             9.786076            10.235638            10.235639            10.235639            10.295113            10.295113            10.795275            11.837191            11.837234            11.837234            11.837970            11.837970            11.839336            11.839336            11.840092            11.840634            11.850857            11.851763            11.851763            11.853221            11.853221            11.854865            11.854865            11.855127            11.856268            11.857994            11.859214            11.859214            11.863809            11.866311            11.866311            13.460085            13.461582            13.461582            13.463792            13.464658            13.465043            13.465043            13.465206            13.465206            13.469531            13.469531            13.471746            13.471746            13.472217            13.495418
