 delta (eV)  Eigenvalues Row 1  Eigenvalues Row 2  Eigenvalues Row 3  Eigenvalues Row 4  Eigenvalues Row 5  Eigenvalues Row 6  Eigenvalues Row 7  Eigenvalues Row 8  Eigenvalues Row 9  Eigenvalues Row 10  Eigenvalues Row 11  Eigenvalues Row 12  Eigenvalues Row 13  Eigenvalues Row 14  Eigenvalues Row 15  Eigenvalues Row 16  Eigenvalues Row 17  Eigenvalues Row 18  Eigenvalues Row 19  Eigenvalues Row 20  Eigenvalues Row 21  Eigenvalues Row 22  Eigenvalues Row 23  Eigenvalues Row 24  Eigenvalues Row 25  Eigenvalues Row 26  Eigenvalues Row 27  Eigenvalues Row 28  Eigenvalues Row 29  Eigenvalues Row 30  Eigenvalues Row 31  Eigenvalues Row 32  Eigenvalues Row 33  Eigenvalues Row 34  Eigenvalues Row 35  Eigenvalues Row 36  Eigenvalues Row 37  Eigenvalues Row 38  Eigenvalues Row 39  Eigenvalues Row 40  Eigenvalues Row 41  Eigenvalues Row 42  Eigenvalues Row 43  Eigenvalues Row 44  Eigenvalues Row 45
   0.000000                0.0       4.440892e-16       1.332268e-15           0.992067           0.992067           1.033339           1.033339           1.033339           1.084504            1.084504            1.084504            1.106961            1.260152            1.260152            1.587286            1.656787            1.656787            1.656787            1.740114            1.740114            1.740114            1.773118            1.773118            2.149303            2.248267            2.248267            2.248267            2.677777            2.677777            2.677777            2.724250            2.724250            2.752549            2.752549            2.752549            2.769303            2.769303            2.769303            2.773834            3.526655            3.526655            3.557768            3.557768            3.557768            5.614338
  -0.003061                0.0       4.440892e-16       2.264291e-05           0.992007           0.992007           1.032212           1.033840           1.033840           1.083617            1.083617            1.086362            1.107032            1.260161            1.260161            1.587266            1.655940            1.655940            1.658374            1.737732            1.741301            1.741301            1.773278            1.773278            2.149301            2.245732            2.249501            2.249501            2.675232            2.679062            2.679062            2.723960            2.723960            2.749537            2.753614            2.753614            2.768853            2.768853            2.771356            2.774333            3.526063            3.526063            3.555568            3.555568            3.563376            5.614377
  -0.006122                0.0       4.440892e-16       4.524267e-05           0.991810           0.991810           1.030912           1.034286           1.034286           1.082820            1.082820            1.088163            1.107222            1.260174            1.260174            1.587188            1.654939            1.654939            1.660005            1.735450            1.742416            1.742416            1.773742            1.773742            2.149281            2.243193            2.250645            2.250645            2.672640            2.680373            2.680373            2.723029            2.723029            2.745819            2.754363            2.754363            2.769442            2.769442            2.773467            2.775557            3.524194            3.524194            3.554651            3.554651            3.568944            5.614478
  -0.009184                0.0       1.332268e-15       6.780167e-05           0.991473           0.991473           1.029453           1.034685           1.034685           1.082109            1.082109            1.089907            1.107517            1.260189            1.260189            1.587045            1.653779            1.653779            1.661679            1.733274            1.743475            1.743475            1.774497            1.774497            2.149243            2.240653            2.251701            2.251701            2.670007            2.681700            2.681700            2.721443            2.721443            2.741687            2.755051            2.755051            2.770839            2.770839            2.775631            2.777213            3.521157            3.521157            3.554910            3.554910            3.574470            5.614643
  -0.012245                0.0       0.000000e+00       9.032230e-05           0.990998           0.990998           1.027849           1.035043           1.035043           1.081479            1.081479            1.091593            1.107903            1.260207            1.260207            1.586831            1.652462            1.652462            1.663397            1.731210            1.744495            1.744495            1.775523            1.775523            2.149185            2.238111            2.252668            2.252668            2.667338            2.683026            2.683026            2.719268            2.719268            2.737315            2.755898            2.755898            2.772773            2.772773            2.777843            2.779127            3.517251            3.517251            3.556045            3.556045            3.579953            5.614872
  -0.015306                0.0       4.440892e-16       1.128069e-04           0.990382           0.990382           1.026113           1.035365           1.035365           1.080924            1.080924            1.093221            1.108366            1.260227            1.260227            1.586539            1.650986            1.650986            1.665159            1.729265            1.745501            1.745501            1.776799            1.776799            2.149108            2.235567            2.253547            2.253547            2.664638            2.684324            2.684324            2.716634            2.716634            2.732798            2.757003            2.757003            2.775044            2.775044            2.780097            2.781205            3.512767            3.512767            3.557764            3.557764            3.585393            5.615165
  -0.018367                0.0       4.440892e-16       1.352579e-04           0.989629           0.989629           1.024257           1.035657           1.035657           1.080437            1.080437            1.094791            1.108895            1.260248            1.260248            1.586163            1.649355            1.649355            1.666966            1.727446            1.746515            1.746515            1.778299            1.778299            2.149012            2.233024            2.254338            2.254338            2.661911            2.685548            2.685548            2.713701            2.713701            2.728189            2.758371            2.758371            2.777530            2.777530            2.782390            2.783393            3.507916            3.507916            3.559859            3.559859            3.590789            5.615523
  -0.021429                0.0       4.440892e-16       1.576776e-04           0.988741           0.988741           1.022294           1.035924           1.035924           1.080013            1.080013            1.096304            1.109476            1.260270            1.260270            1.585697            1.647572            1.647572            1.668816            1.725758            1.747559            1.747559            1.779996            1.779996            2.148896            2.230480            2.255043            2.255043            2.659160            2.686613            2.686613            2.710656            2.710656            2.723520            2.759970            2.759970            2.780160            2.780160            2.784718            2.785659            3.502827            3.502827            3.562199            3.562199            3.596140            5.615946
  -0.024490                0.0       8.881784e-16       1.800683e-04           0.987721           0.987721           1.020235           1.036170           1.036170           1.079643            1.079643            1.097758            1.110100            1.260293            1.260293            1.585135            1.645643            1.645643            1.670712            1.724209            1.748651            1.748651            1.781867            1.781867            2.148760            2.227938            2.255661            2.255661            2.656388            2.687363            2.687363            2.707738            2.707738            2.718811            2.761758            2.761758            2.782894            2.782894            2.787079            2.787983            3.497583            3.497583            3.564702            3.564702            3.601445            5.616435
  -0.027551                0.0       4.440892e-16       2.024323e-04           0.986574           0.986574           1.018090           1.036399           1.036399           1.079321            1.079321            1.099155            1.110755            1.260315            1.260315            1.584471            1.643574            1.643574            1.672651            1.722803            1.749806            1.749806            1.783891            1.783891            2.148603            2.225398            2.256194            2.256194            2.653597            2.687528            2.687528            2.705278            2.705278            2.714074            2.763696            2.763696            2.785707            2.785707            2.789470            2.790353            3.492233            3.492233            3.567318            3.567318            3.606703            5.616991
  -0.030612                0.0       4.440892e-16       2.247718e-04           0.985306           0.985306           1.015867           1.036613           1.036613           1.079040            1.079040            1.100493            1.111433            1.260338            1.260338            1.583700            1.641372            1.641372            1.674636            1.721546            1.751036            1.751036            1.786048            1.786048            2.148425            2.222861            2.256642            2.256642            2.650789            2.686749            2.686749            2.703680            2.703680            2.709317            2.765756            2.765756            2.788581            2.788581            2.791889            2.792760            3.486811            3.486811            3.570016            3.570016            3.611914            5.617613
  -0.033673                0.0       4.440892e-16       2.470892e-04           0.983922           0.983922           1.013576           1.036813           1.036813           1.078791            1.078791            1.101774            1.112125            1.260360            1.260360            1.582818            1.639044            1.639044            1.676664            1.720442            1.752349            1.752349            1.788323            1.788323            2.148224            2.220327            2.257006            2.257006            2.647967            2.684827            2.684827            2.703176            2.703176            2.704547            2.767913            2.767913            2.791508            2.791508            2.794333            2.795199            3.481337            3.481337            3.572774            3.572774            3.617077            5.618303
  -0.036735                0.0       4.440892e-16       2.693867e-04           0.982429           0.982429           1.011223           1.037002           1.037002           1.078570            1.078570            1.102998            1.112825            1.260380            1.260380            1.581820            1.636598            1.636598            1.678737            1.719496            1.753750            1.753750            1.790703            1.790703            2.148000            2.217799            2.257288            2.257288            2.645131            2.681928            2.681928            2.699768            2.703623            2.703623            2.770151            2.770151            2.794478            2.794478            2.796803            2.797664            3.475826            3.475826            3.575576            3.575576            3.622191            5.619061
  -0.039796                0.0       1.776357e-15       2.916665e-04           0.980833           0.980833           1.008815           1.037180           1.037180           1.078369            1.078369            1.104164            1.113526            1.260399            1.260399            1.580703            1.634043            1.634043            1.680855            1.718709            1.755243            1.755243            1.793175            1.793175            2.147753            2.215278            2.257489            2.257489            2.642283            2.678381            2.678381            2.694982            2.704711            2.704711            2.772454            2.772454            2.797489            2.797489            2.799295            2.800153            3.470289            3.470289            3.578414            3.578414            3.627255            5.619887
  -0.042857                0.0       8.881784e-16       3.139309e-04           0.979141           0.979141           1.006357           1.037346           1.037346           1.078183            1.078183            1.105272            1.114222            1.260416            1.260416            1.579466            1.631386            1.631386            1.683017            1.718085            1.756827            1.756827            1.795731            1.795731            2.147480            2.212764            2.257608            2.257608            2.639425            2.674441            2.674441            2.690192            2.706194            2.706194            2.774812            2.774812            2.800536            2.800536            2.801809            2.802664            3.464734            3.464734            3.581280            3.581280            3.632269            5.620782
  -0.045918                0.0       8.881784e-16       3.361820e-04           0.977360           0.977360           1.003855           1.037500           1.037500           1.078006            1.078006            1.106323            1.114909            1.260431            1.260431            1.578106            1.628634            1.628634            1.685223            1.717624            1.758504            1.758504            1.798364            1.798364            2.147181            2.210260            2.257649            2.257649            2.636557            2.670261            2.670261            2.685399            2.707931            2.707931            2.777219            2.777219            2.803616            2.803616            2.804343            2.805194            3.459166            3.459166            3.584168            3.584168            3.637232            5.621746
  -0.048980                0.0       8.881784e-16       3.584221e-04           0.975496           0.975496           1.001313           1.037642           1.037642           1.077835            1.077835            1.107318            1.115583            1.260443            1.260443            1.576623            1.625795            1.625795            1.687473            1.717328            1.760271            1.760271            1.801065            1.801065            2.146854            2.207766            2.257612            2.257612            2.633680            2.665927            2.665927            2.680606            2.709842            2.709842            2.779666            2.779666            2.806728            2.806728            2.806897            2.807742            3.453589            3.453589            3.587074            3.587074            3.642144            5.622779
  -0.052041                0.0       8.881784e-16       3.806534e-04           0.973554           0.973554           0.998735           1.037770           1.037770           1.077664            1.077664            1.108256            1.116238            1.260452            1.260452            1.575018            1.622875            1.622875            1.689767            1.717194            1.762128            1.762128            1.803832            1.803832            2.146498            2.205286            2.257498            2.257498            2.630796            2.661489            2.661489            2.675813            2.711882            2.711882            2.782150            2.782150            2.809470            2.809869            2.809869            2.810308            3.448006            3.448006            3.589996            3.589996            3.647003            5.623883
  -0.055102                0.0       4.440892e-16       4.028779e-04           0.971542           0.971542           0.996124           1.037883           1.037883           1.077490            1.077490            1.109137            1.116873            1.260457            1.260457            1.573291            1.619882            1.619882            1.692105            1.717223            1.764071            1.764071            1.806658            1.806658            2.146111            2.202821            2.257309            2.257309            2.627904            2.656978            2.656978            2.671020            2.714023            2.714023            2.784665            2.784665            2.812060            2.812890            2.813040            2.813040            3.442422            3.442422            3.592931            3.592931            3.651809            5.625058
  -0.058163                0.0       4.440892e-16       4.250980e-04           0.969463           0.969463           0.993485           1.037982           1.037982           1.077310            1.077310            1.109963            1.117485            1.260458            1.260458            1.571445            1.616821            1.616821            1.694486            1.717411            1.766097            1.766097            1.809539            1.809539            2.145690            2.200374            2.257046            2.257046            2.625006            2.652413            2.652413            2.666229            2.716248            2.716248            2.787210            2.787210            2.814668            2.815487            2.816238            2.816238            3.436837            3.436837            3.595876            3.595876            3.656562            5.626303
  -0.061224                0.0       8.881784e-16       4.473157e-04           0.967324           0.967324           0.990818           1.038064           1.038064           1.077119            1.077119            1.110733            1.118071            1.260454            1.260454            1.569481            1.613697            1.613697            1.696911            1.717756            1.768205            1.768205            1.812474            1.812474            2.145233            2.197947            2.256711            2.256711            2.622103            2.647809            2.647809            2.661440            2.718545            2.718545            2.789781            2.789781            2.817292            2.818099            2.819463            2.819463            3.431253            3.431253            3.598831            3.598831            3.661261            5.627620
  -0.064286                0.0       4.440892e-16       4.695332e-04           0.965129           0.965129           0.988128           1.038128           1.038128           1.076917            1.076917            1.111447            1.118628            1.260446            1.260446            1.567404            1.610516            1.610516            1.699378            1.718254            1.770392            1.770392            1.815458            1.815458            2.144738            2.195544            2.256304            2.256304            2.619194            2.643174            2.643174            2.656654            2.720906            2.720906            2.792375            2.792375            2.819932            2.820725            2.822715            2.822715            3.425673            3.425673            3.601794            3.601794            3.665904            5.629008
