 Eloss (eV)    Int (a.u.)
   0.000000  1.438506e-68
   0.001600  1.947163e-68
   0.003201  2.634931e-68
   0.004801  3.564613e-68
   0.006401  4.820939e-68
   0.008002  6.518189e-68
   0.009602  8.810458e-68
   0.011202  1.190546e-67
   0.012803  1.608311e-67
   0.014403  2.172050e-67
   0.016003  2.932554e-67
   0.017604  3.958205e-67
   0.019204  5.341050e-67
   0.020804  7.204954e-67
   0.022404  9.716546e-67
   0.024005  1.309992e-66
   0.025605  1.765638e-66
   0.027205  2.379090e-66
   0.028806  3.204765e-66
   0.030406  4.315764e-66
   0.032006  5.810256e-66
   0.033607  7.820040e-66
   0.035207  1.052201e-65
   0.036807  1.415353e-65
   0.038408  1.903299e-65
   0.040008  2.558736e-65
   0.041608  3.438903e-65
   0.043209  4.620517e-65
   0.044809  6.206366e-65
   0.046409  8.334130e-65
   0.048010  1.118818e-64
   0.049610  1.501532e-64
   0.051210  2.014587e-64
   0.052811  2.702175e-64
   0.054411  3.623408e-64
   0.056011  4.857323e-64
   0.057612  6.509580e-64
   0.059212  8.721378e-64
   0.060812  1.168136e-63
   0.062412  1.564148e-63
   0.064013  2.093815e-63
   0.065613  2.802045e-63
   0.067213  3.748763e-63
   0.068814  5.013915e-63
   0.070414  6.704126e-63
   0.072014  8.961557e-63
   0.073615  1.197570e-62
   0.075215  1.599906e-62
   0.076815  2.136802e-62
   0.078416  2.853055e-62
   0.080016  3.808310e-62
   0.081616  5.081951e-62
   0.083217  6.779612e-62
   0.084817  9.041809e-62
   0.086417  1.205541e-61
   0.088018  1.606885e-61
   0.089618  2.141232e-61
   0.091218  2.852455e-61
   0.092819  3.798832e-61
   0.094419  5.057751e-61
   0.096019  6.731952e-61
   0.097620  8.957787e-61
   0.099220  1.191617e-60
   0.100820  1.584705e-60
   0.102420  2.106865e-60
   0.104021  2.800277e-60
   0.105621  3.720844e-60
   0.107221  4.942629e-60
   0.108822  6.563731e-60
   0.110422  8.714042e-60
   0.112022  1.156551e-59
   0.113623  1.534567e-59
   0.115223  2.035557e-59
