 Eloss (eV)    Int (a.u.)
   0.000000  1.026359e-47
   0.001600  1.309369e-47
   0.003201  1.669996e-47
   0.004801  2.129409e-47
   0.006401  2.714519e-47
   0.008002  3.459531e-47
   0.009602  4.407901e-47
   0.011202  5.614833e-47
   0.012803  7.150430e-47
   0.014403  9.103697e-47
   0.016003  1.158761e-46
   0.017604  1.474552e-46
   0.019204  1.875931e-46
   0.020804  2.385963e-46
   0.022404  3.033899e-46
   0.024005  3.856814e-46
   0.025605  4.901700e-46
   0.027205  6.228093e-46
   0.028806  7.911408e-46
   0.030406  1.004715e-45
   0.032006  1.275622e-45
   0.033607  1.619168e-45
   0.035207  2.054716e-45
   0.036807  2.606767e-45
   0.038408  3.306305e-45
   0.040008  4.192508e-45
   0.041608  5.314902e-45
   0.043209  6.736076e-45
   0.044809  8.535108e-45
   0.046409  1.081189e-44
   0.048010  1.369254e-44
   0.049610  1.733633e-44
   0.051210  2.194424e-44
   0.052811  2.776990e-44
   0.054411  3.513325e-44
   0.056011  4.443782e-44
   0.057612  5.619239e-44
   0.059212  7.103831e-44
   0.060812  8.978380e-44
   0.062412  1.134472e-43
   0.064013  1.433111e-43
   0.065613  1.809907e-43
   0.067213  2.285194e-43
   0.068814  2.884564e-43
   0.070414  3.640219e-43
   0.072014  4.592671e-43
   0.073615  5.792865e-43
   0.075215  7.304859e-43
   0.076815  9.209173e-43
   0.078416  1.160699e-42
   0.080016  1.462545e-42
   0.081616  1.842422e-42
   0.083217  2.320380e-42
   0.084817  2.921592e-42
   0.086417  3.677650e-42
   0.088018  4.628194e-42
   0.089618  5.822949e-42
   0.091218  7.324278e-42
   0.092819  9.210368e-42
   0.094419  1.157922e-41
   0.096019  1.455366e-41
   0.097620  1.828755e-41
   0.099220  2.297359e-41
   0.100820  2.885312e-41
   0.102420  3.622821e-41
   0.104021  4.547696e-41
   0.105621  5.707242e-41
   0.107221  7.160634e-41
   0.108822  8.981874e-41
   0.110422  1.126349e-40
   0.112022  1.412112e-40
   0.113623  1.769928e-40
   0.115223  2.217851e-40
   0.116823  2.778431e-40
   0.118424  3.479823e-40
   0.120024  4.357175e-40
   0.121624  5.454353e-40
   0.123225  6.826086e-40
   0.124825  8.540645e-40
   0.126425  1.068316e-39
   0.128026  1.335978e-39
   0.129626  1.670280e-39
   0.131226  2.087707e-39
   0.132827  2.608796e-39
   0.134427  3.259125e-39
   0.136027  4.070542e-39
   0.137628  5.082693e-39
   0.139228  6.344915e-39
   0.140828  7.918593e-39
   0.142428  9.880084e-39
   0.144029  1.232434e-38
   0.145629  1.536940e-38
   0.147229  1.916198e-38
   0.148830  2.388440e-38
   0.150430  2.976313e-38
   0.152030  3.707945e-38
   0.153631  4.618258e-38
   0.155231  5.750604e-38
   0.156831  7.158781e-38
   0.158432  8.909535e-38
   0.160032  1.108565e-37
   0.161632  1.378980e-37
   0.163233  1.714924e-37
   0.164833  2.132172e-37
   0.166433  2.650269e-37
   0.168034  3.293426e-37
   0.169634  4.091628e-37
   0.171234  5.082002e-37
   0.172835  6.310501e-37
   0.174435  7.833992e-37
   0.176035  9.722832e-37
   0.177636  1.206404e-36
   0.179236  1.496522e-36
   0.180836  1.855939e-36
   0.182436  2.301096e-36
   0.184037  2.852306e-36
   0.185637  3.534662e-36
   0.187237  4.379150e-36
   0.188838  5.424032e-36
   0.190438  6.716529e-36
   0.192038  8.314918e-36
   0.193639  1.029109e-35
   0.195239  1.273371e-35
   0.196839  1.575212e-35
   0.198440  1.948110e-35
   0.200040  2.408675e-35
   0.201640  2.977373e-35
   0.203241  3.679413e-35
   0.204841  4.545842e-35
   0.206441  5.614879e-35
   0.208042  6.933568e-35
   0.209642  8.559798e-35
   0.211242  1.056478e-34
   0.212843  1.303611e-34
   0.214443  1.608147e-34
   0.216043  1.983325e-34
   0.217644  2.445413e-34
   0.219244  3.014401e-34
   0.220844  3.714840e-34
   0.222444  4.576880e-34
   0.224045  5.637535e-34
   0.225645  6.942236e-34
   0.227245  8.546727e-34
   0.228846  1.051939e-33
   0.230446  1.294410e-33
   0.232046  1.592367e-33
   0.233647  1.958416e-33
   0.235247  2.408003e-33
   0.236847  2.960053e-33
   0.238448  3.637746e-33
   0.240048  4.469464e-33
   0.241648  5.489957e-33
   0.243249  6.741752e-33
   0.244849  8.276885e-33
   0.246449  1.015901e-32
   0.248050  1.246597e-32
   0.249650  1.529295e-32
   0.251250  1.875629e-32
   0.252851  2.299814e-32
   0.254451  2.819219e-32
   0.256051  3.455058e-32
   0.257652  4.233233e-32
   0.259252  5.185365e-32
   0.260852  6.350046e-32
   0.262452  7.774361e-32
   0.264053  9.515748e-32
   0.265653  1.164425e-31
   0.267253  1.424526e-31
   0.268854  1.742286e-31
   0.270454  2.130390e-31
   0.272054  2.604287e-31
   0.273655  3.182798e-31
   0.275255  3.888836e-31
   0.276855  4.750295e-31
   0.278456  5.801119e-31
   0.280056  7.082610e-31
   0.281656  8.645004e-31
   0.283257  1.054939e-30
   0.284857  1.287004e-30
   0.286457  1.569723e-30
   0.288058  1.914063e-30
   0.289658  2.333349e-30
   0.291258  2.843764e-30
   0.292859  3.464957e-30
   0.294459  4.220778e-30
   0.296059  5.140169e-30
   0.297660  6.258246e-30
   0.299260  7.617601e-30
   0.300860  9.269881e-30
   0.302460  1.127770e-29
   0.304061  1.371693e-29
   0.305661  1.667954e-29
   0.307261  2.027689e-29
   0.308862  2.464387e-29
   0.310462  2.994380e-29
   0.312062  3.637434e-29
   0.313663  4.417472e-29
   0.315263  5.363431e-29
   0.316863  6.510315e-29
   0.318464  7.900447e-29
   0.320064  9.584990e-29
   0.321664  1.162578e-28
   0.323265  1.409752e-28
   0.324865  1.709045e-28
   0.326465  2.071357e-28
   0.328066  2.509843e-28
   0.329666  3.040385e-28
   0.331266  3.682145e-28
   0.332867  4.458241e-28
   0.334467  5.396555e-28
   0.336067  6.530703e-28
   0.337668  7.901210e-28
   0.339268  9.556913e-28
   0.340868  1.155665e-27
   0.342468  1.397130e-27
   0.344069  1.688619e-27
   0.345669  2.040408e-27
   0.347269  2.464863e-27
   0.348870  2.976863e-27
   0.350470  3.594307e-27
   0.352070  4.338723e-27
   0.353671  5.235991e-27
   0.355271  6.317225e-27
   0.356871  7.619808e-27
   0.358472  9.188658e-27
   0.360072  1.107772e-26
   0.361672  1.335178e-26
   0.363273  1.608860e-26
   0.364873  1.938151e-26
   0.366473  2.334250e-26
   0.368074  2.810590e-26
   0.369674  3.383280e-26
   0.371274  4.071634e-26
   0.372875  4.898801e-26
   0.374475  5.892522e-26
   0.376075  7.086030e-26
   0.377676  8.519127e-26
   0.379276  1.023947e-25
   0.380876  1.230411e-25
   0.382476  1.478133e-25
   0.384077  1.775280e-25
   0.385677  2.131624e-25
   0.387277  2.558849e-25
   0.388878  3.070925e-25
