 Eloss (eV)    Int (a.u.)  Int Err (a.u.)
 -38.057940  -3364.767711        0.000000
 -38.026215   -688.920078        0.000000
 -37.994490   -537.678478        0.000000
 -37.962765   -298.785953        0.000000
 -37.931040  -1502.198010        0.000000
 -37.899315   -520.864408        0.000000
 -37.867590   -757.827632        0.000000
 -37.835865   -665.432528        0.000000
 -37.804140  -1290.128493        0.000000
 -37.772415   -364.840036        0.000000
 -37.740690  -1122.447455        0.000000
 -37.708966   -745.293290        0.000000
 -37.677241   -890.412109        0.000000
 -37.645516   -628.653363        0.000000
 -37.613791   -461.599090        0.000000
 -37.582066   -494.561515        0.000000
 -37.550341  -1057.446329        0.000000
 -37.518616   -652.854519        0.000000
 -37.486891   -464.868613        0.000000
 -37.455166   -391.574719        0.000000
 -37.423441  -1074.459072        0.000000
 -37.391716  -1128.001450        0.000000
 -37.359992   -239.089467        0.000000
 -37.328267   -394.841293        0.000000
 -37.296542  -1164.584524        0.000000
 -37.264817  -1248.086122        0.000000
 -37.233092   -643.414627        0.000000
 -37.201367   -609.819985        0.000000
 -37.169642   -901.559334        0.000000
 -37.137917   -819.891467        0.000000
 -37.106192   -507.667722        0.000000
 -37.074467   -116.941344        0.000000
 -37.042742   -787.675671        0.000000
 -37.011017   -457.434489        0.000000
 -36.979293   -263.243105        0.000000
 -36.947568   -393.134018        0.000000
 -36.915843   -926.672582        0.000000
 -36.884118   -633.317977        0.000000
 -36.852393   -640.370853        0.000000
 -36.820668   -932.504592        0.000000
 -36.788943  -1000.545516        0.000000
 -36.757218   -891.336137        0.000000
 -36.725493   -176.969041        0.000000
 -36.693768   -685.451644        0.000000
 -36.662043   -917.541266        0.000000
 -36.630319   -633.802390        0.000000
 -36.598594   -296.088891        0.000000
 -36.566869   -238.199401        0.000000
 -36.535144   -830.081472        0.000000
 -36.503419  -1024.197686        0.000000
 -36.471694   -146.045952        0.000000
 -36.439969      5.570060        2.360097
 -36.408244  -1096.127849        0.000000
 -36.376519   -641.004631        0.000000
 -36.344794   -217.887677        0.000000
 -36.313069   -142.877648        0.000000
 -36.281345  -1300.661048        0.000000
 -36.249620   -804.561261        0.000000
 -36.217895   -487.907213        0.000000
 -36.186170    -44.860744        0.000000
 -36.154445   -875.810135        0.000000
 -36.122720   -523.836864        0.000000
 -36.090995   -460.559428        0.000000
 -36.059270   -218.186769        0.000000
 -36.027545  -1163.897194        0.000000
 -35.995820   -438.078992        0.000000
 -35.964095   -878.285231        0.000000
 -35.932371  -1063.864422        0.000000
 -35.900646  -1971.017846        0.000000
 -35.868921  -1073.774638        0.000000
 -35.837196    157.500218       12.549909
 -35.805471   -354.926457        0.000000
 -35.773746  -1032.090829        0.000000
 -35.742021   -489.883506        0.000000
 -35.710296   -273.489873        0.000000
 -35.678571      8.760558        2.959824
 -35.646846   -860.108181        0.000000
 -35.615121  -1023.419993        0.000000
 -35.583396   -382.743168        0.000000
 -35.551672   -464.136632        0.000000
 -35.519947   -721.743521        0.000000
 -35.488222   -599.880521        0.000000
 -35.456497   -644.603352        0.000000
 -35.424772     60.082581        7.751295
 -35.393047   -654.679022        0.000000
 -35.361322   -541.883202        0.000000
 -35.329597   -431.849780        0.000000
 -35.297872   -273.091912        0.000000
 -35.266147   -989.812968        0.000000
 -35.234422   -419.740491        0.000000
 -35.202698   -609.697591        0.000000
 -35.170973   -581.166244        0.000000
 -35.139248  -1249.680628        0.000000
 -35.107523   -647.337519        0.000000
 -35.075798   -518.901705        0.000000
 -35.044073    110.347812       10.504657
 -35.012348   -728.372718        0.000000
 -34.980623   -487.562541        0.000000
 -34.948898  -1090.708792        0.000000
 -34.917173   -791.401716        0.000000
 -34.885448  -1300.089013        0.000000
 -34.853724   -851.258128        0.000000
 -34.821999   -708.287435        0.000000
 -34.790274     70.111532        8.373263
 -34.758549  -1408.466562        0.000000
 -34.726824   -887.836256        0.000000
 -34.695099   -825.028301        0.000000
 -34.663374   -409.392332        0.000000
 -34.631649  -1422.762609        0.000000
 -34.599924   -463.291320        0.000000
 -34.568199   -658.257091        0.000000
 -34.536474   -723.428046        0.000000
 -34.504750  -1023.350578        0.000000
 -34.473025   -782.896014        0.000000
 -34.441300   -437.886655        0.000000
 -34.409575    -98.976108        0.000000
 -34.377850  -1252.638765        0.000000
 -34.346125   -782.666429        0.000000
 -34.314400   -527.038493        0.000000
 -34.282675   -260.471243        0.000000
 -34.250950  -1136.705169        0.000000
 -34.219225   -438.953752        0.000000
 -34.187500   -607.609847        0.000000
 -34.155775   -476.049027        0.000000
 -34.124051   -856.783933        0.000000
 -34.092326   -733.741369        0.000000
 -34.060601   -522.379866        0.000000
 -34.028876   -404.736119        0.000000
 -33.997151  -1191.525676        0.000000
 -33.965426   -437.919985        0.000000
 -33.933701   -516.602887        0.000000
 -33.901976   -192.282100        0.000000
 -33.870251   -588.121790        0.000000
 -33.838526   -555.145844        0.000000
 -33.806801   -597.710171        0.000000
 -33.775077   -769.162059        0.000000
 -33.743352  -1444.239545        0.000000
 -33.711627  -1056.045640        0.000000
 -33.679902   -757.193100        0.000000
 -33.648177   -945.741461        0.000000
 -33.616452  -1516.818169        0.000000
 -33.584727   -974.401556        0.000000
 -33.553002   -357.549362        0.000000
 -33.521277   -471.912170        0.000000
 -33.489552   -617.976312        0.000000
 -33.457827    -53.794324        0.000000
 -33.426103   -479.689818        0.000000
 -33.394378   -570.647207        0.000000
 -33.362653  -1214.860268        0.000000
 -33.330928   -128.092159        0.000000
 -33.299203   -307.357913        0.000000
 -33.267478   -227.774670        0.000000
 -33.235753  -1364.571674        0.000000
 -33.204028   -538.533195        0.000000
 -33.172303   -378.229065        0.000000
 -33.140578   -643.443491        0.000000
 -33.108853  -1490.313650        0.000000
 -33.077129   -803.330777        0.000000
 -33.045404   -478.382780        0.000000
 -33.013679    593.586111       24.363623
 -32.981954   -652.219531        0.000000
 -32.950229   -490.320387        0.000000
 -32.918504   -803.315777        0.000000
 -32.886779   -170.502202        0.000000
 -32.855054  -1663.864002        0.000000
 -32.823329   -861.694627        0.000000
 -32.791604   -187.126632        0.000000
 -32.759879     -9.275294        0.000000
 -32.728154  -1274.222300        0.000000
 -32.696430   -556.272506        0.000000
 -32.664705     -3.157886        0.000000
 -32.632980   -437.532026        0.000000
 -32.601255  -1110.610259        0.000000
 -32.569530   -616.438413        0.000000
 -32.537805   -646.536772        0.000000
 -32.506080    -82.384572        0.000000
 -32.474355  -1037.847652        0.000000
 -32.442630  -1078.336541        0.000000
