 Eloss (eV)    Int (a.u.)
   0.000000  1.245974e-46
   0.001600  1.585139e-46
   0.003201  2.016118e-46
   0.004801  2.563624e-46
   0.006401  3.258988e-46
   0.008002  4.141913e-46
   0.009602  5.262708e-46
   0.011202  6.685092e-46
   0.012803  8.489761e-46
   0.014403  1.077888e-45
   0.016003  1.368174e-45
   0.017604  1.736198e-45
   0.019204  2.202658e-45
   0.020804  2.793732e-45
   0.022404  3.542521e-45
   0.024005  4.490865e-45
   0.025605  5.691642e-45
   0.027205  7.211656e-45
   0.028806  9.135290e-45
   0.030406  1.156910e-44
   0.032006  1.464761e-44
   0.033607  1.854061e-44
   0.035207  2.346233e-44
   0.036807  2.968302e-44
   0.038408  3.754353e-44
   0.040008  4.747358e-44
   0.041608  6.001486e-44
   0.043209  7.584999e-44
   0.044809  9.583898e-44
   0.046409  1.210650e-43
   0.048010  1.528922e-43
   0.049610  1.930375e-43
   0.051210  2.436622e-43
   0.052811  3.074854e-43
   0.054411  3.879276e-43
   0.056011  4.892906e-43
   0.057612  6.169826e-43
   0.059212  7.778019e-43
   0.060812  9.802908e-43
   0.062412  1.235182e-42
   0.064013  1.555954e-42
   0.065613  1.959532e-42
   0.067213  2.467164e-42
   0.068814  3.105515e-42
   0.070414  3.908042e-42
   0.072014  4.916711e-42
   0.073615  6.184150e-42
   0.075215  7.776342e-42
   0.076815  9.775987e-42
   0.078416  1.228672e-41
   0.080016  1.543835e-41
   0.081616  1.939349e-41
   0.083217  2.435572e-41
   0.084817  3.057988e-41
   0.086417  3.838492e-41
   0.088018  4.816986e-41
   0.089618  6.043383e-41
   0.091218  7.580096e-41
   0.092819  9.505156e-41
   0.094419  1.191609e-40
   0.096019  1.493476e-40
   0.097620  1.871339e-40
   0.099220  2.344211e-40
   0.100820  2.935830e-40
   0.102420  3.675827e-40
   0.104021  4.601178e-40
   0.105621  5.758018e-40
   0.107221  7.203888e-40
   0.108822  9.010540e-40
   0.110422  1.126742e-39
   0.112022  1.408602e-39
   0.113623  1.760524e-39
