    FddR  Eigenvalues Row 2
0.400000          13.152373
0.411224          13.160310
0.422449          13.168281
0.433673          13.176287
0.444898          13.184329
0.456122          13.192405
0.467347          13.200517
0.478571          13.208665
0.489796          13.216849
0.501020          13.225069
0.512245          13.233326
0.523469          13.241621
0.534694          13.249952
0.545918          13.258322
0.557143          13.266730
0.568367          13.275177
0.579592          13.283663
0.590816          13.292188
0.602041          13.300754
0.613265          13.309361
0.624490          13.318008
0.635714          13.326698
0.646939          13.335430
0.658163          13.344206
0.669388          13.353026
0.680612          13.361890
0.691837          13.370800
0.703061          13.379756
0.714286          13.388759
0.725510          13.397811
0.736735          13.406913
0.747959          13.416065
0.759184          13.425268
0.770408          13.434525
0.781633          13.443836
0.792857          13.453203
0.804082          13.462627
0.815306          13.472110
0.826531          13.481654
0.837755          13.491261
0.848980          13.500933
0.860204          13.510672
0.871429          13.520481
0.882653          13.530362
0.893878          13.540319
0.905102          13.550353
0.916327          13.560469
0.927551          13.570671
0.938776          13.580961
0.950000          13.591346
