 Charge Transfer (eV)  Eigenvalues Row 1
            -1.200000          10.617656
            -1.151020          10.588373
            -1.102041          10.559904
            -1.053061          10.532320
            -1.004082          10.505710
            -0.955102          10.480190
            -0.906122          10.455907
            -0.857143          10.433060
            -0.808163          10.411912
            -0.759184          10.392826
            -0.710204          10.376300
            -0.661224          10.363020
            -0.612245          10.353926
            -0.563265          10.350243
            -0.514286          10.353434
            -0.465306          10.364939
            -0.416327          10.385712
            -0.367347          10.415775
            -0.318367          10.454199
            -0.269388          10.499520
            -0.220408          10.550230
            -0.171429          10.605055
            -0.122449          10.663021
            -0.073469          10.723418
            -0.024490          10.785736
             0.024490          10.849607
             0.073469          10.914766
             0.122449          10.981018
             0.171429          11.048215
             0.220408          11.116247
             0.269388          11.185027
             0.318367          11.254487
             0.367347          11.324575
             0.416327          11.395246
             0.465306          11.466464
             0.514286          11.538200
             0.563265          11.610428
             0.612245          11.683127
             0.661224          11.756278
             0.710204          11.829866
             0.759184          11.903875
             0.808163          11.978294
             0.857143          12.053110
             0.906122          12.128314
             0.955102          12.203895
             1.004082          12.279845
             1.053061          12.356156
             1.102041          12.432819
             1.151020          12.509828
             1.200000          12.587175
