  Cp (eV)  Eigenvalues Row 2
-0.120000          11.342198
-0.115102          11.341760
-0.110204          11.341335
-0.105306          11.340923
-0.100408          11.340525
-0.095510          11.340141
-0.090612          11.339773
-0.085714          11.339420
-0.080816          11.339083
-0.075918          11.338764
-0.071020          11.338462
-0.066122          11.338178
-0.061224          11.337913
-0.056327          11.337667
-0.051429          11.337441
-0.046531          11.337235
-0.041633          11.337050
-0.036735          11.336885
-0.031837          11.336740
-0.026939          11.336616
-0.022041          11.336512
-0.017143          11.336429
-0.012245          11.336365
-0.007347          11.336320
-0.002449          11.336293
 0.002449          11.336298
 0.007347          11.336331
 0.012245          11.336382
 0.017143          11.336449
 0.022041          11.336531
 0.026939          11.336627
 0.031837          11.336737
 0.036735          11.336860
 0.041633          11.336996
 0.046531          11.337143
 0.051429          11.337301
 0.056327          11.337470
 0.061224          11.337649
 0.066122          11.337837
 0.071020          11.338034
 0.075918          11.338240
 0.080816          11.338453
 0.085714          11.338674
 0.090612          11.338902
 0.095510          11.339137
 0.100408          11.339379
 0.105306          11.339627
 0.110204          11.339881
 0.115102          11.340141
 0.120000          11.340406
