     pdsi  Eigenvalues Row 2
-0.700000          10.691877
-0.707755          10.713021
-0.715510          10.734224
-0.723265          10.755484
-0.731020          10.776801
-0.738776          10.798173
-0.746531          10.819600
-0.754286          10.841081
-0.762041          10.862614
-0.769796          10.884200
-0.777551          10.905836
-0.785306          10.927523
-0.793061          10.949259
-0.800816          10.971045
-0.808571          10.992878
-0.816327          11.014758
-0.824082          11.036685
-0.831837          11.058658
-0.839592          11.080676
-0.847347          11.102738
-0.855102          11.124845
-0.862857          11.146995
-0.870612          11.169187
-0.878367          11.191422
-0.886122          11.213698
-0.893878          11.236015
-0.901633          11.258373
-0.909388          11.280771
-0.917143          11.303208
-0.924898          11.325685
-0.932653          11.348199
-0.940408          11.370752
-0.948163          11.393343
-0.955918          11.415971
-0.963673          11.438636
-0.971429          11.461337
-0.979184          11.484074
-0.986939          11.506847
-0.994694          11.529655
-1.002449          11.552498
-1.010204          11.575376
-1.017959          11.598288
-1.025714          11.621234
-1.033469          11.644214
-1.041224          11.667228
-1.048980          11.690274
-1.056735          11.713354
-1.064490          11.736466
-1.072245          11.759611
-1.080000          11.782789
